,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MEMPHIS_ACTION,CHARLOTTE_SCORE,MEMPHIS_SCORE
0,1,11:37.0,,Z. Randolph makes 2-pt jump shot from 4 ft,0,2
1,1,11:21.0,M. Williams misses 3-pt jump shot from 25 ft,,0,2
2,1,11:20.0,,Defensive rebound by Team,0,2
3,1,11:05.0,,T. Allen makes 2-pt layup from 1 ft (assist by Z. Randolph),0,4
4,1,10:42.0,Turnover by P. Hairston (bad pass; steal by Z. Randolph),,0,4
5,1,10:35.0,,Shooting foul by C. Zeller (drawn by M. Conley),0,4
6,1,10:35.0,,M. Conley makes free throw 1 of 2,0,5
7,1,10:35.0,,M. Conley makes free throw 2 of 2,0,6
8,1,10:13.0,P. Hairston misses 3-pt jump shot from 26 ft,,0,6
9,1,10:13.0,,Defensive rebound by M. Gasol,0,6
10,1,9:53.0,,T. Allen makes 2-pt jump shot from 20 ft (assist by M. Conley),0,8
11,1,9:39.0,K. Walker misses 2-pt jump shot from 13 ft (block by M. Conley),,0,8
12,1,9:36.0,,Defensive rebound by J. Green,0,8
13,1,9:24.0,,J. Green makes 2-pt layup from 1 ft,0,10
14,1,9:19.0,Charlotte full timeout,,0,10
15,1,9:09.0,N. Batum misses 2-pt jump shot from 20 ft,,0,10
16,1,9:06.0,,Defensive rebound by T. Allen,0,10
17,1,8:47.0,,Shooting foul by N. Batum (drawn by J. Green),0,10
18,1,8:47.0,,J. Green misses free throw 1 of 2,0,10
19,1,8:47.0,,Offensive rebound by Team,0,10
20,1,8:47.0,,J. Green makes free throw 2 of 2,0,11
21,1,8:38.0,K. Walker makes 2-pt jump shot from 6 ft,,2,11
22,1,8:26.0,,Personal foul by P. Hairston (drawn by J. Green),2,11
23,1,8:12.0,,M. Conley makes 2-pt jump shot from 11 ft,2,13
24,1,8:00.0,K. Walker makes 2-pt jump shot from 19 ft,,4,13
25,1,7:53.0,,Offensive foul by T. Allen (drawn by K. Walker),4,13
26,1,7:53.0,,Turnover by T. Allen (offensive foul),4,13
27,1,7:35.0,C. Zeller misses 2-pt jump shot from 8 ft,,4,13
28,1,7:34.0,,Defensive rebound by M. Gasol,4,13
29,1,7:21.0,,T. Allen makes 2-pt layup from 2 ft (assist by M. Gasol),4,15
30,1,7:07.0,C. Zeller misses 2-pt dunk at rim (block by T. Allen),,4,15
31,1,7:07.0,Offensive rebound by Team,,4,15
