,QUARTER,TIME_REMAINING,MIAMI_ACTION,UTAH_ACTION,MIAMI_SCORE,UTAH_SCORE
0,1,11:41.0,,Turnover by G. Hayward (bad pass),0,0
1,1,11:21.0,G. Dragić makes 2-pt jump shot from 14 ft,,2,0
2,1,11:03.0,,R. Neto misses 2-pt jump shot from 16 ft,2,0
3,1,11:02.0,,Offensive rebound by R. Gobert,2,0
4,1,11:01.0,,R. Gobert makes 2-pt dunk at rim,2,2
5,1,10:32.0,H. Whiteside misses 2-pt hook shot from 5 ft,,2,2
6,1,10:31.0,,Defensive rebound by T. Lyles,2,2
7,1,10:05.0,,R. Gobert makes 2-pt jump shot from 3 ft,2,4
8,1,9:46.0,Turnover by G. Dragić (bad pass; steal by C. Johnson),,2,4
9,1,9:43.0,,Turnover by C. Johnson (lost ball),2,4
10,1,9:27.0,L. Deng misses 2-pt hook shot from 2 ft,,2,4
11,1,9:26.0,,Defensive rebound by R. Neto,2,4
12,1,9:22.0,,Turnover by R. Gobert (lost ball),2,4
13,1,9:11.0,G. Dragić makes 2-pt jump shot from 14 ft,,4,4
14,1,8:58.0,,G. Hayward makes 2-pt dunk from 1 ft (assist by R. Gobert),4,6
15,1,8:37.0,D. Wade makes 2-pt jump shot from 7 ft,,6,6
16,1,8:12.0,,C. Johnson misses 3-pt jump shot from 25 ft,6,6
17,1,8:11.0,Defensive rebound by H. Whiteside,,6,6
18,1,8:07.0,Shooting block foul by R. Neto (drawn by G. Dragić),,6,6
19,1,8:07.0,G. Dragić makes free throw 1 of 2,,7,6
20,1,8:07.0,G. Dragić makes free throw 2 of 2,,8,6
21,1,7:53.0,,Turnover by C. Johnson (lost ball; steal by D. Wade),8,6
22,1,7:47.0,G. Dragić misses 2-pt layup from 3 ft,,8,6
23,1,7:46.0,,Defensive rebound by C. Johnson,8,6
24,1,7:38.0,,T. Lyles makes 3-pt jump shot from 22 ft (assist by R. Neto),8,9
25,1,7:17.0,Turnover by D. Wade (bad pass; steal by T. Lyles),,8,9
26,1,7:16.0,,Personal foul by G. Dragić (drawn by R. Neto),8,9
27,1,7:06.0,,G. Hayward misses 2-pt jump shot from 4 ft,8,9
28,1,7:06.0,,Offensive rebound by Team,8,9
29,1,7:06.0,,Personal foul by H. Whiteside (drawn by R. Gobert),8,9
30,1,6:58.0,,G. Hayward misses 3-pt jump shot from 24 ft,8,9
31,1,6:58.0,Defensive rebound by H. Whiteside,,8,9
32,1,6:48.0,H. Whiteside makes 2-pt dunk at rim (assist by C. Bosh),,10,9
33,1,6:20.0,,T. Lyles misses 3-pt jump shot from 24 ft,10,9
34,1,6:20.0,Defensive rebound by C. Bosh,,10,9
35,1,6:09.0,C. Bosh makes 2-pt jump shot from 19 ft (assist by D. Wade),,12,9
36,1,6:09.0,,Utah full timeout,12,9
37,1,6:09.0,G. Green enters the game for C. Bosh,,12,9
38,1,6:09.0,,J. Withey enters the game for R. Gobert,12,9
39,1,6:09.0,,J. Ingles enters the game for C. Johnson,12,9
40,1,5:52.0,,R. Neto makes 2-pt jump shot from 14 ft,12,11
41,1,5:34.0,L. Deng makes 2-pt layup from 1 ft,,14,11
42,1,5:18.0,,T. Lyles misses 2-pt layup from 2 ft (block by H. Whiteside),14,11
43,1,5:17.0,Defensive rebound by L. Deng,,14,11
44,1,5:11.0,G. Dragić makes 3-pt jump shot from 23 ft (assist by D. Wade),,17,11
45,1,4:47.0,,G. Hayward misses 2-pt jump shot from 9 ft (block by H. Whiteside),17,11
46,1,4:45.0,,Offensive rebound by G. Hayward,17,11
47,1,4:43.0,,G. Hayward makes 2-pt layup from 1 ft,17,13
48,1,4:27.0,Turnover by G. Green (step out of bounds),,17,13
49,1,4:27.0,,T. Booker enters the game for T. Lyles,17,13
