,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ORLANDO_ACTION,CHARLOTTE_SCORE,ORLANDO_SCORE
0,1,11:35.0,,N. Vučević makes 2-pt jump shot from 11 ft (assist by C. Frye),0,2
1,1,11:12.0,P. Hairston makes 3-pt jump shot from 25 ft (assist by K. Walker),,3,2
2,1,10:59.0,,E. Fournier misses 3-pt jump shot from 24 ft,3,2
3,1,10:59.0,Defensive rebound by M. Williams,,3,2
4,1,10:47.0,M. Williams misses 3-pt jump shot from 25 ft,,3,2
5,1,10:46.0,Offensive rebound by N. Batum,,3,2
6,1,10:35.0,P. Hairston misses 2-pt layup from 1 ft,,3,2
7,1,10:35.0,,Defensive rebound by E. Payton,3,2
8,1,10:10.0,,E. Payton misses 2-pt jump shot from 18 ft,3,2
9,1,10:10.0,Defensive rebound by K. Walker,,3,2
10,1,10:00.0,Turnover by K. Walker (lost ball; steal by E. Payton),,3,2
11,1,9:56.0,,T. Harris makes 2-pt layup from 2 ft (assist by E. Payton),3,4
12,1,9:56.0,,Shooting foul by N. Batum (drawn by T. Harris),3,4
13,1,9:56.0,,T. Harris makes free throw 1 of 1,3,5
14,1,9:38.0,N. Batum makes 3-pt jump shot from 24 ft (assist by K. Walker),,6,5
15,1,9:20.0,,T. Harris misses 2-pt jump shot from 9 ft,6,5
16,1,9:20.0,,Offensive rebound by Team,6,5
17,1,9:20.0,Loose ball foul by P. Hairston (drawn by N. Vučević),,6,5
18,1,9:16.0,,Turnover by E. Payton (bad pass),6,5
19,1,9:07.0,Turnover by K. Walker (bad pass; steal by E. Fournier),,6,5
20,1,8:51.0,,E. Payton makes 2-pt layup at rim (assist by N. Vučević),6,7
21,1,8:36.0,K. Walker makes 2-pt jump shot from 20 ft (assist by M. Williams),,8,7
22,1,8:23.0,,Shooting foul by M. Williams (drawn by E. Fournier),8,7
23,1,8:23.0,,E. Fournier makes free throw 1 of 2,8,8
24,1,8:23.0,,E. Fournier makes free throw 2 of 2,8,9
25,1,8:01.0,Turnover by P. Hairston (bad pass; steal by C. Frye),,8,9
26,1,7:48.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by E. Fournier),8,12
27,1,7:37.0,Turnover by M. Williams (bad pass),,8,12
28,1,7:26.0,,E. Payton misses 2-pt layup at rim (block by M. Williams),8,12
29,1,7:25.0,Defensive rebound by C. Zeller,,8,12
30,1,7:20.0,P. Hairston misses 3-pt jump shot from 24 ft,,8,12
31,1,7:18.0,Offensive rebound by P. Hairston,,8,12
32,1,7:16.0,Turnover by P. Hairston (bad pass; steal by C. Frye),,8,12
33,1,7:10.0,,Turnover by T. Harris (lost ball; steal by C. Zeller),8,12
34,1,7:02.0,K. Walker misses 2-pt jump shot from 18 ft,,8,12
35,1,7:01.0,,Defensive rebound by C. Frye,8,12
36,1,6:40.0,,T. Harris makes 3-pt jump shot from 23 ft (assist by N. Vučević),8,15
37,1,6:33.0,Charlotte full timeout,,8,15
38,1,6:24.0,Turnover by N. Batum (bad pass; steal by N. Vučević),,8,15
39,1,6:19.0,,E. Payton misses 2-pt layup from 1 ft (block by M. Williams),8,15
40,1,6:19.0,,Offensive rebound by Team,8,15
41,1,6:05.0,,N. Vučević makes 2-pt dunk at rim (assist by E. Fournier),8,17
42,1,5:48.0,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),,11,17
43,1,5:29.0,,T. Harris makes 3-pt jump shot from 22 ft (assist by E. Payton),11,20
44,1,5:17.0,N. Batum misses 2-pt jump shot from 20 ft,,11,20
45,1,5:17.0,,Defensive rebound by N. Vučević,11,20
46,1,5:07.0,,E. Fournier makes 3-pt jump shot from 24 ft (assist by N. Vučević),11,23
47,1,4:50.0,P. Hairston misses 3-pt jump shot from 25 ft,,11,23
48,1,4:50.0,,Defensive rebound by E. Payton,11,23
49,1,4:33.0,,N. Vučević misses 2-pt layup from 1 ft (block by M. Williams),11,23
50,1,4:31.0,Defensive rebound by C. Zeller,,11,23
51,1,4:29.0,P. Hairston makes 2-pt layup from 1 ft (assist by K. Walker),,13,23
52,1,4:29.0,Shooting foul by E. Payton (drawn by P. Hairston),,13,23
53,1,4:29.0,F. Kaminsky enters the game for M. Williams,,13,23
54,1,4:29.0,,V. Oladipo enters the game for E. Fournier,13,23
55,1,4:29.0,,A. Nicholson enters the game for C. Frye,13,23
56,1,4:29.0,P. Hairston makes free throw 1 of 1,,14,23
57,1,4:17.0,,T. Harris misses 2-pt layup from 1 ft,14,23
58,1,4:16.0,Defensive rebound by F. Kaminsky,,14,23
59,1,4:03.0,K. Walker misses 3-pt jump shot from 24 ft,,14,23
60,1,4:02.0,Offensive rebound by N. Batum,,14,23
61,1,3:55.0,P. Hairston makes 3-pt jump shot from 25 ft (assist by K. Walker),,17,23
62,1,3:35.0,,T. Harris misses 3-pt jump shot from 24 ft,17,23
63,1,3:34.0,Defensive rebound by K. Walker,,17,23
64,1,3:29.0,K. Walker misses 2-pt layup from 2 ft (block by T. Harris),,17,23
65,1,3:28.0,,Defensive rebound by A. Nicholson,17,23
66,1,3:22.0,,N. Vučević makes 2-pt layup from 2 ft (assist by E. Payton),17,25
67,1,3:09.0,Shooting foul by A. Nicholson (drawn by K. Walker),,17,25
68,1,3:09.0,K. Walker misses free throw 1 of 2,,17,25
69,1,3:09.0,Offensive rebound by Team,,17,25
70,1,3:09.0,S. Hawes enters the game for P. Hairston,,17,25
71,1,3:09.0,J. Lin enters the game for C. Zeller,,17,25
72,1,3:09.0,,M. Hezonja enters the game for E. Payton,17,25
73,1,3:09.0,,A. Gordon enters the game for T. Harris,17,25
74,1,3:09.0,K. Walker misses free throw 2 of 2,,17,25
75,1,3:08.0,,Defensive rebound by A. Gordon,17,25
76,1,2:50.0,,N. Vučević misses 2-pt jump shot from 6 ft,17,25
77,1,2:49.0,Defensive rebound by F. Kaminsky,,17,25
78,1,2:39.0,N. Batum misses 3-pt jump shot from 25 ft,,17,25
79,1,2:38.0,,Defensive rebound by M. Hezonja,17,25
80,1,2:22.0,,Shooting foul by S. Hawes (drawn by N. Vučević),17,25
81,1,2:22.0,,Orlando full timeout,17,25
82,1,2:22.0,J. Lamb enters the game for N. Batum,,17,25
83,1,2:22.0,,N. Vučević misses free throw 1 of 2,17,25
84,1,2:22.0,,Offensive rebound by Team,17,25
85,1,2:22.0,,N. Vučević misses free throw 2 of 2,17,25
86,1,2:21.0,Defensive rebound by J. Lamb,,17,25
87,1,2:08.0,K. Walker misses 2-pt layup from 2 ft,,17,25
88,1,2:08.0,,Defensive rebound by N. Vučević,17,25
89,1,1:52.0,,A. Nicholson makes 2-pt hook shot from 6 ft,17,27
90,1,1:39.0,Turnover by J. Lamb (bad pass; steal by A. Gordon),,17,27
91,1,1:33.0,,Turnover by V. Oladipo (bad pass; steal by J. Lamb),17,27
92,1,1:27.0,J. Lamb makes 2-pt layup from 1 ft,,19,27
93,1,1:09.0,,N. Vučević misses 2-pt jump shot from 18 ft,19,27
94,1,1:08.0,Defensive rebound by J. Lin,,19,27
95,1,1:00.0,J. Lin makes 2-pt jump shot from 17 ft,,21,27
96,1,0:43.0,,V. Oladipo makes 3-pt jump shot from 23 ft,21,30
97,1,0:31.0,J. Lin makes 2-pt layup from 1 ft,,23,30
98,1,0:13.0,,N. Vučević misses 2-pt jump shot from 20 ft,23,30
99,1,0:12.0,Defensive rebound by F. Kaminsky,,23,30
100,1,0:00.0,J. Lin misses 2-pt jump shot from 20 ft,,23,30
101,1,0:00.0,Offensive rebound by Team,,23,30
102,2,11:45.0,F. Kaminsky misses 2-pt layup from 2 ft,,23,30
