,QUARTER,TIME_REMAINING,PHOENIX_ACTION,OKLAHOMA CITY_ACTION,PHOENIX_SCORE,OKLAHOMA CITY_SCORE
0,1,11:48.0,,K. Durant makes 2-pt jump shot from 15 ft (assist by R. Westbrook),0,2
1,1,11:23.0,B. Knight misses 2-pt hook shot from 6 ft,,0,2
2,1,11:22.0,Offensive rebound by P. Tucker,,0,2
3,1,11:19.0,P. Tucker makes 2-pt hook shot from 5 ft,,2,2
4,1,10:56.0,,A. Roberson misses 3-pt jump shot from 22 ft,2,2
5,1,10:56.0,Defensive rebound by T. Chandler,,2,2
6,1,10:32.0,T. Warren makes 3-pt jump shot from 26 ft (assist by P. Tucker),,5,2
7,1,10:06.0,,S. Ibaka makes 2-pt jump shot from 18 ft (assist by R. Westbrook),5,4
8,1,9:54.0,D. Booker misses 3-pt jump shot from 23 ft,,5,4
9,1,9:53.0,,Defensive rebound by S. Adams,5,4
10,1,9:40.0,,R. Westbrook makes 2-pt layup from 2 ft,5,6
11,1,9:22.0,P. Tucker makes 2-pt layup from 1 ft (assist by B. Knight),,7,6
12,1,9:09.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by R. Westbrook),7,9
13,1,8:44.0,T. Warren makes 2-pt jump shot from 19 ft,,9,9
14,1,8:38.0,,Personal foul by T. Warren (drawn by K. Durant),9,9
15,1,8:32.0,,K. Durant misses 2-pt jump shot from 10 ft,9,9
16,1,8:32.0,Defensive rebound by B. Knight,,9,9
17,1,8:23.0,Personal foul by A. Roberson (drawn by B. Knight),,9,9
18,1,8:10.0,Turnover by B. Knight (bad pass; steal by S. Adams),,9,9
19,1,8:04.0,,Personal foul by P. Tucker (drawn by R. Westbrook),9,9
20,1,7:58.0,,S. Ibaka misses 2-pt jump shot from 18 ft,9,9
21,1,7:57.0,Defensive rebound by D. Booker,,9,9
22,1,7:42.0,B. Knight misses 3-pt jump shot from 26 ft,,9,9
23,1,7:41.0,Offensive rebound by T. Chandler,,9,9
24,1,7:34.0,T. Chandler misses 2-pt dunk at rim (block by S. Ibaka),,9,9
25,1,7:33.0,Offensive rebound by Team,,9,9
26,1,7:29.0,T. Warren misses 2-pt jump shot from 11 ft,,9,9
27,1,7:28.0,,Defensive rebound by K. Durant,9,9
28,1,7:22.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by K. Durant),9,11
29,1,7:06.0,D. Booker makes 2-pt jump shot from 17 ft,,11,11
30,1,6:54.0,,Personal foul by T. Chandler (drawn by S. Adams),11,11
31,1,6:54.0,,Technical foul by S. Adams,11,11
32,1,6:54.0,Technical foul by T. Chandler,,11,11
33,1,6:41.0,,S. Ibaka misses 2-pt jump shot from 13 ft,11,11
34,1,6:40.0,,Offensive rebound by A. Roberson,11,11
35,1,6:39.0,,Turnover by A. Roberson (traveling),11,11
36,1,6:27.0,D. Booker makes 2-pt jump shot from 18 ft,,13,11
37,1,6:14.0,,Shooting foul by T. Chandler (drawn by S. Adams),13,11
38,1,6:14.0,,S. Adams makes free throw 1 of 2,13,12
39,1,6:14.0,,D. Waiters enters the game for A. Roberson,13,12
40,1,6:14.0,M. Teletović enters the game for P. Tucker,,13,12
41,1,6:14.0,A. Len enters the game for T. Chandler,,13,12
42,1,6:14.0,,S. Adams makes free throw 2 of 2,13,13
43,1,6:06.0,Turnover by B. Knight (bad pass; steal by R. Westbrook),,13,13
44,1,6:03.0,,R. Westbrook makes 2-pt dunk at rim (assist by D. Waiters),13,15
45,1,5:52.0,,Oklahoma City full timeout,13,15
46,1,5:37.0,M. Teletović makes 3-pt jump shot from 23 ft (assist by B. Knight),,16,15
47,1,5:23.0,,S. Ibaka misses 3-pt jump shot from 22 ft,16,15
48,1,5:22.0,Defensive rebound by A. Len,,16,15
49,1,5:01.0,M. Teletović misses 3-pt jump shot from 24 ft (block by K. Durant),,16,15
50,1,5:00.0,Offensive rebound by M. Teletović,,16,15
51,1,4:57.0,M. Teletović misses 2-pt jump shot from 7 ft,,16,15
52,1,4:57.0,,Defensive rebound by Team,16,15
53,1,4:37.0,,R. Westbrook makes 3-pt jump shot from 24 ft (assist by S. Ibaka),16,18
54,1,4:21.0,B. Knight misses 2-pt layup from 3 ft,,16,18
55,1,4:21.0,,Defensive rebound by S. Ibaka,16,18
56,1,4:15.0,,R. Westbrook makes 2-pt layup from 1 ft,16,20
57,1,3:53.0,T. Warren makes 2-pt jump shot from 6 ft,,18,20
58,1,3:33.0,,R. Westbrook makes 2-pt jump shot from 17 ft (assist by K. Durant),18,22
59,1,3:15.0,D. Booker makes 2-pt jump shot from 9 ft (assist by T. Warren),,20,22
60,1,3:02.0,,Shooting foul by D. Booker (drawn by R. Westbrook),20,22
61,1,3:02.0,,R. Westbrook makes free throw 1 of 2,20,23
62,1,3:02.0,,E. Freedom enters the game for S. Adams,20,23
63,1,3:02.0,,R. Westbrook makes free throw 2 of 2,20,24
64,1,2:38.0,Turnover by Team (shot clock),,20,24
65,1,2:38.0,Phoenix full timeout,,20,24
66,1,2:38.0,,N. Collison enters the game for S. Ibaka,20,24
67,1,2:38.0,,C. Payne enters the game for R. Westbrook,20,24
68,1,2:38.0,P. Tucker enters the game for T. Warren,,20,24
69,1,2:27.0,,K. Durant misses 3-pt jump shot from 23 ft,20,24
70,1,2:26.0,Defensive rebound by D. Booker,,20,24
71,1,2:14.0,B. Knight makes 2-pt jump shot from 18 ft (assist by D. Booker),,22,24
72,1,1:55.0,,D. Waiters makes 2-pt jump shot from 5 ft,22,26
73,1,1:41.0,Personal foul by C. Payne (drawn by B. Knight),,22,26
74,1,1:41.0,B. Cotton enters the game for B. Knight,,22,26
75,1,1:29.0,M. Teletović makes 2-pt layup from 1 ft,,24,26
76,1,1:13.0,,C. Payne makes 2-pt jump shot from 17 ft,24,28
77,1,0:57.0,Personal foul by D. Waiters (drawn by D. Booker),,24,28
78,1,0:57.0,D. Booker makes free throw 1 of 2,,25,28
79,1,0:57.0,D. Booker makes free throw 2 of 2,,26,28
80,1,0:41.0,,Turnover by E. Freedom (lost ball),26,28
81,1,0:32.0,D. Booker misses 2-pt jump shot from 19 ft,,26,28
82,1,0:32.0,,Defensive rebound by D. Waiters,26,28
83,1,0:26.0,,D. Waiters misses 3-pt jump shot from 24 ft,26,28
84,1,0:24.0,Defensive rebound by A. Len,,26,28
85,1,0:00.0,P. Tucker misses 2-pt jump shot from 10 ft,,26,28
86,1,0:00.0,Offensive rebound by Team,,26,28
87,2,11:38.0,Shooting foul by N. Collison (drawn by D. Booker),,26,28
88,2,11:38.0,D. Booker makes free throw 1 of 2,,27,28
89,2,11:38.0,D. Booker makes free throw 2 of 2,,28,28
90,2,11:31.0,,Personal foul by P. Tucker (drawn by D. Waiters),28,28
91,2,11:24.0,,C. Payne misses 2-pt jump shot from 5 ft,28,28
92,2,11:23.0,,Offensive rebound by N. Collison,28,28
93,2,11:19.0,,A. Morrow makes 2-pt jump shot from 14 ft (assist by N. Collison),28,30
94,2,11:00.0,P. Tucker makes 2-pt hook shot from 4 ft,,30,30
95,2,10:48.0,,D. Waiters misses 2-pt layup from 2 ft,30,30
96,2,10:47.0,,Offensive rebound by D. Waiters,30,30
97,2,10:35.0,,C. Payne makes 3-pt jump shot from 26 ft (assist by E. Freedom),30,33
98,2,10:19.0,D. Booker misses 2-pt jump shot from 5 ft (block by D. Waiters),,30,33
99,2,10:18.0,Offensive rebound by D. Booker,,30,33
100,2,10:15.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by D. Booker),,33,33
101,2,10:03.0,,Shooting foul by A. Len (drawn by E. Freedom),33,33
102,2,10:03.0,,E. Freedom makes free throw 1 of 2,33,34
103,2,10:03.0,,E. Freedom misses free throw 2 of 2,33,34
104,2,10:02.0,Defensive rebound by P. Tucker,,33,34
105,2,9:42.0,P. Tucker makes 3-pt jump shot from 25 ft (assist by M. Teletović),,36,34
106,2,9:24.0,,Shooting foul by A. Len (drawn by A. Morrow),36,34
107,2,9:24.0,,A. Morrow makes free throw 1 of 2,36,35
108,2,9:24.0,B. Knight enters the game for D. Booker,,36,35
109,2,9:24.0,T. Chandler enters the game for A. Len,,36,35
110,2,9:24.0,T. Warren enters the game for B. Cotton,,36,35
111,2,9:24.0,,A. Morrow misses free throw 2 of 2,36,35
112,2,9:23.0,Defensive rebound by P. Tucker,,36,35
113,2,9:06.0,P. Tucker misses 2-pt jump shot from 9 ft,,36,35
114,2,9:06.0,,Defensive rebound by A. Morrow,36,35
115,2,8:52.0,,Turnover by D. Waiters (lost ball; steal by M. Teletović),36,35
116,2,8:45.0,T. Warren makes 3-pt jump shot from 23 ft (assist by B. Knight),,39,35
117,2,8:44.0,,Oklahoma City full timeout,39,35
118,2,8:44.0,,A. Roberson enters the game for D. Waiters,39,35
119,2,8:36.0,,A. Morrow misses 3-pt jump shot from 24 ft,39,35
120,2,8:36.0,,Offensive rebound by N. Collison,39,35
121,2,8:27.0,,C. Payne misses 3-pt jump shot from 24 ft,39,35
122,2,8:26.0,Defensive rebound by P. Tucker,,39,35
123,2,8:09.0,M. Teletović misses 3-pt jump shot from 24 ft,,39,35
124,2,8:08.0,,Defensive rebound by A. Roberson,39,35
125,2,8:00.0,,E. Freedom misses 2-pt jump shot from 13 ft,39,35
126,2,7:59.0,Defensive rebound by T. Warren,,39,35
127,2,7:41.0,B. Knight misses 2-pt jump shot from 17 ft,,39,35
128,2,7:41.0,,Defensive rebound by E. Freedom,39,35
129,2,7:31.0,,A. Morrow makes 2-pt jump shot from 15 ft (assist by C. Payne),39,37
130,2,7:14.0,B. Knight makes 2-pt layup from 1 ft,,41,37
131,2,7:10.0,,Personal foul by B. Knight (drawn by C. Payne),41,37
