,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHICAGO_ACTION,DETROIT_SCORE,CHICAGO_SCORE
0,1,11:42.0,,P. Gasol misses 2-pt jump shot from 12 ft,0,0
1,1,11:42.0,Defensive rebound by Team,,0,0
2,1,11:27.0,A. Drummond misses 2-pt hook shot from 8 ft,,0,0
3,1,11:26.0,,Defensive rebound by P. Gasol,0,0
4,1,11:03.0,,Turnover by Team (shot clock),0,0
5,1,10:54.0,T. Harris misses 2-pt jump shot from 20 ft,,0,0
6,1,10:53.0,,Defensive rebound by E. Moore,0,0
7,1,10:42.0,,P. Gasol makes 2-pt jump shot from 18 ft (assist by J. Butler),0,2
8,1,10:15.0,R. Jackson makes 3-pt jump shot from 24 ft,,3,2
9,1,9:54.0,,P. Gasol makes 3-pt jump shot from 23 ft (assist by J. Butler),3,5
10,1,9:38.0,T. Harris makes 2-pt jump shot from 18 ft (assist by R. Jackson),,5,5
11,1,9:22.0,,P. Gasol misses 2-pt jump shot from 20 ft,5,5
12,1,9:21.0,Defensive rebound by T. Harris,,5,5
13,1,9:16.0,Turnover by R. Jackson (bad pass; steal by J. Butler),,5,5
14,1,9:12.0,,J. Butler misses 2-pt layup from 3 ft,5,5
15,1,9:11.0,,Offensive rebound by B. Portis,5,5
16,1,9:11.0,,B. Portis makes 2-pt layup from 3 ft,5,7
17,1,8:51.0,R. Jackson misses 2-pt layup from 1 ft,,5,7
18,1,8:50.0,,Defensive rebound by P. Gasol,5,7
19,1,8:38.0,,J. Butler misses 2-pt layup from 1 ft (block by M. Morris),5,7
20,1,8:36.0,,Offensive rebound by J. Butler,5,7
21,1,8:36.0,,J. Butler makes 2-pt layup from 2 ft,5,9
22,1,8:21.0,M. Morris makes 3-pt jump shot from 24 ft (assist by T. Harris),,8,9
23,1,8:06.0,,P. Gasol makes 2-pt layup from 2 ft (assist by J. Butler),8,11
24,1,7:43.0,T. Harris misses 3-pt jump shot from 23 ft,,8,11
25,1,7:42.0,,Defensive rebound by P. Gasol,8,11
26,1,7:27.0,,B. Portis makes 2-pt hook shot from 9 ft (assist by J. Butler),8,13
27,1,7:12.0,T. Harris makes 2-pt jump shot from 15 ft (assist by R. Jackson),,10,13
28,1,6:55.0,,M. Dunleavy makes 2-pt layup from 1 ft (assist by P. Gasol),10,15
29,1,6:29.0,Turnover by A. Drummond (3 sec),,10,15
30,1,6:17.0,,Turnover by E. Moore (bad pass),10,15
31,1,6:01.0,M. Morris makes 2-pt jump shot from 17 ft (assist by R. Jackson),,12,15
32,1,5:48.0,,J. Butler makes 2-pt layup from 2 ft,12,17
33,1,5:32.0,Shooting foul by B. Portis (drawn by M. Morris),,12,17
34,1,5:32.0,,Chicago full timeout,12,17
35,1,5:32.0,M. Morris misses free throw 1 of 3,,12,17
36,1,5:32.0,Offensive rebound by Team,,12,17
37,1,5:32.0,M. Morris makes free throw 2 of 3,,13,17
38,1,5:32.0,M. Morris makes free throw 3 of 3,,14,17
39,1,5:10.0,,E. Moore makes 3-pt jump shot from 24 ft (assist by J. Butler),14,20
40,1,4:56.0,T. Harris makes 2-pt layup from 1 ft,,16,20
41,1,4:42.0,,B. Portis misses 2-pt layup from 2 ft,16,20
42,1,4:41.0,Defensive rebound by A. Drummond,,16,20
43,1,4:36.0,R. Jackson misses 3-pt jump shot from 25 ft,,16,20
44,1,4:35.0,,Defensive rebound by J. Butler,16,20
45,1,4:31.0,,Personal foul by T. Harris,16,20
46,1,4:31.0,,D. McDermott enters the game for M. Dunleavy,16,20
47,1,4:31.0,,N. Mirotić enters the game for B. Portis,16,20
48,1,4:16.0,,E. Moore misses 2-pt jump shot from 22 ft,16,20
49,1,4:15.0,Defensive rebound by A. Drummond,,16,20
50,1,4:06.0,K. Caldwell-Pope makes 2-pt jump shot from 11 ft (assist by A. Drummond),,18,20
51,1,4:06.0,Shooting foul by D. McDermott (drawn by K. Caldwell-Pope),,18,20
52,1,4:06.0,S. Johnson enters the game for M. Morris,,18,20
53,1,4:06.0,K. Caldwell-Pope misses free throw 1 of 1,,18,20
54,1,4:05.0,,Defensive rebound by P. Gasol,18,20
55,1,3:50.0,,N. Mirotić makes 3-pt jump shot from 24 ft (assist by J. Butler),18,23
56,1,3:40.0,Detroit full timeout,,18,23
57,1,3:32.0,A. Drummond misses 2-pt layup from 1 ft (block by P. Gasol),,18,23
58,1,3:30.0,Offensive rebound by A. Drummond,,18,23
59,1,3:30.0,A. Drummond makes 2-pt layup from 1 ft,,20,23
60,1,3:09.0,,J. Butler makes 2-pt layup from 1 ft,20,25
61,1,2:53.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,20,25
62,1,2:51.0,,Defensive rebound by E. Moore,20,25
63,1,2:40.0,,N. Mirotić misses 3-pt jump shot from 24 ft,20,25
64,1,2:39.0,Defensive rebound by K. Caldwell-Pope,,20,25
65,1,2:30.0,R. Jackson misses 2-pt jump shot from 18 ft (block by P. Gasol),,20,25
66,1,2:28.0,Offensive rebound by R. Jackson,,20,25
67,1,2:18.0,R. Jackson misses 2-pt layup from 1 ft,,20,25
68,1,2:17.0,,Defensive rebound by J. Butler,20,25
69,1,1:59.0,,N. Mirotić misses 2-pt jump shot from 11 ft,20,25
70,1,1:58.0,Defensive rebound by T. Harris,,20,25
71,1,1:46.0,R. Jackson makes 2-pt layup from 1 ft,,22,25
72,1,1:31.0,,P. Gasol misses 2-pt jump shot from 19 ft,22,25
