,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,TORONTO_ACTION,MILWAUKEE_SCORE,TORONTO_SCORE
0,1,11:42.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by K. Lowry),0,2
1,1,11:29.0,Turnover by G. Monroe (lost ball; steal by K. Lowry),,0,2
2,1,11:23.0,,Turnover by D. DeRozan (lost ball; steal by G. Monroe),0,2
3,1,11:20.0,,Violation by K. Lowry (def goaltending),0,2
4,1,11:20.0,G. Monroe makes 2-pt layup from 2 ft,,2,2
5,1,11:05.0,,J. Valančiūnas misses 2-pt layup at rim,2,2
6,1,11:04.0,,Offensive rebound by Team,2,2
7,1,10:54.0,,K. Lowry makes 2-pt layup from 3 ft (assist by D. DeRozan),2,4
8,1,10:30.0,G. Monroe misses 2-pt hook shot from 5 ft,,2,4
9,1,10:29.0,Offensive rebound by G. Monroe,,2,4
10,1,10:25.0,G. Monroe makes 2-pt dunk at rim,,4,4
11,1,10:07.0,,D. Carroll misses 2-pt jump shot from 20 ft,4,4
12,1,10:06.0,Defensive rebound by J. O'Bryant,,4,4
13,1,9:50.0,M. Carter-Williams misses 2-pt jump shot from 16 ft,,4,4
14,1,9:49.0,,Defensive rebound by K. Lowry,4,4
15,1,9:35.0,,K. Lowry misses 3-pt jump shot from 27 ft,4,4
16,1,9:35.0,Defensive rebound by G. Antetokounmpo,,4,4
17,1,9:25.0,K. Middleton makes 2-pt layup from 1 ft (assist by G. Monroe),,6,4
18,1,9:01.0,,Shooting foul by G. Monroe (drawn by J. Valančiūnas),6,4
19,1,9:01.0,,J. Valančiūnas makes free throw 1 of 2,6,5
20,1,9:01.0,,J. Valančiūnas misses free throw 2 of 2,6,5
21,1,9:00.0,Defensive rebound by G. Monroe,,6,5
22,1,8:47.0,J. O'Bryant makes 2-pt jump shot from 16 ft (assist by M. Carter-Williams),,8,5
23,1,8:20.0,,L. Scola misses 2-pt jump shot from 5 ft,8,5
24,1,8:20.0,Defensive rebound by G. Antetokounmpo,,8,5
25,1,8:01.0,K. Middleton misses 3-pt jump shot from 26 ft,,8,5
26,1,8:00.0,,Defensive rebound by J. Valančiūnas,8,5
27,1,7:52.0,,J. Valančiūnas makes 2-pt jump shot from 19 ft (assist by K. Lowry),8,7
28,1,7:35.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by G. Monroe),,10,7
29,1,7:13.0,,D. DeRozan makes 2-pt jump shot from 5 ft,10,9
30,1,6:58.0,K. Middleton misses 2-pt jump shot from 16 ft,,10,9
31,1,6:58.0,,Defensive rebound by K. Lowry,10,9
32,1,6:42.0,,L. Scola misses 2-pt jump shot from 18 ft,10,9
33,1,6:41.0,,Offensive rebound by K. Lowry,10,9
34,1,6:37.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by K. Lowry),10,12
35,1,6:18.0,M. Carter-Williams misses 2-pt jump shot from 7 ft (block by D. DeRozan),,10,12
36,1,6:18.0,Offensive rebound by M. Carter-Williams,,10,12
37,1,6:09.0,G. Antetokounmpo misses 2-pt jump shot from 22 ft,,10,12
38,1,6:08.0,,Defensive rebound by L. Scola,10,12
39,1,5:55.0,,J. Valančiūnas misses 2-pt jump shot from 3 ft (block by G. Monroe),10,12
40,1,5:54.0,Defensive rebound by J. O'Bryant,,10,12
41,1,5:50.0,Shooting foul by D. DeRozan (drawn by G. Antetokounmpo),,10,12
42,1,5:50.0,,Toronto full timeout,10,12
43,1,5:50.0,,B. Biyombo enters the game for J. Valančiūnas,10,12
44,1,5:50.0,G. Vásquez enters the game for G. Monroe,,10,12
45,1,5:50.0,M. Plumlee enters the game for M. Carter-Williams,,10,12
46,1,5:50.0,,P. Patterson enters the game for L. Scola,10,12
47,1,5:50.0,G. Antetokounmpo makes free throw 1 of 2,,11,12
48,1,5:50.0,G. Antetokounmpo makes free throw 2 of 2,,12,12
49,1,5:41.0,,Personal foul by M. Plumlee (drawn by K. Lowry),12,12
50,1,5:33.0,,D. DeRozan makes 2-pt jump shot from 9 ft (assist by K. Lowry),12,14
51,1,5:14.0,Shooting foul by B. Biyombo (drawn by M. Plumlee),,12,14
52,1,5:14.0,M. Plumlee makes free throw 1 of 2,,13,14
53,1,5:14.0,M. Plumlee makes free throw 2 of 2,,14,14
54,1,4:56.0,,P. Patterson misses 2-pt jump shot from 16 ft,14,14
55,1,4:55.0,Defensive rebound by K. Middleton,,14,14
56,1,4:43.0,G. Vásquez misses 2-pt jump shot from 8 ft,,14,14
57,1,4:43.0,,Defensive rebound by Team,14,14
58,1,4:43.0,Loose ball foul by M. Plumlee (drawn by B. Biyombo),,14,14
59,1,4:33.0,,P. Patterson makes 3-pt jump shot from 24 ft (assist by K. Lowry),14,17
60,1,4:15.0,K. Middleton misses 2-pt jump shot from 19 ft,,14,17
61,1,4:15.0,Offensive rebound by Team,,14,17
62,1,4:06.0,G. Antetokounmpo misses 2-pt layup from 1 ft (block by B. Biyombo),,14,17
63,1,4:04.0,,Defensive rebound by B. Biyombo,14,17
64,1,3:58.0,,Turnover by D. DeRozan (bad pass; steal by G. Vásquez),14,17
65,1,3:49.0,K. Middleton misses 2-pt jump shot from 10 ft,,14,17
66,1,3:49.0,,Defensive rebound by B. Biyombo,14,17
67,1,3:40.0,,K. Lowry misses 3-pt jump shot from 26 ft,14,17
68,1,3:39.0,Defensive rebound by K. Middleton,,14,17
69,1,3:31.0,Turnover by G. Vásquez (bad pass),,14,17
70,1,3:22.0,,Personal foul by K. Middleton (drawn by D. DeRozan),14,17
71,1,3:22.0,C. Copeland enters the game for J. O'Bryant,,14,17
72,1,3:22.0,J. Bayless enters the game for K. Middleton,,14,17
73,1,3:15.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by D. DeRozan),14,20
74,1,2:56.0,Turnover by M. Plumlee (lost ball; steal by K. Lowry),,14,20
75,1,2:46.0,,D. Carroll misses 3-pt jump shot from 23 ft,14,20
76,1,2:46.0,,Offensive rebound by B. Biyombo,14,20
77,1,2:31.0,,K. Lowry misses 2-pt jump shot from 19 ft,14,20
78,1,2:31.0,,Offensive rebound by D. Carroll,14,20
79,1,2:29.0,,Offensive foul by D. Carroll (drawn by G. Vásquez),14,20
