,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
0,1,11:40.0,J. Cunningham makes 3-pt jump shot from 22 ft (assist by L. James),,3,0
1,1,11:21.0,,E. Payton misses 2-pt jump shot from 8 ft,3,0
2,1,11:20.0,Defensive rebound by K. Love,,3,0
3,1,11:15.0,Personal foul by E. Payton (drawn by M. Dellavedova),,3,0
4,1,11:04.0,K. Love makes 2-pt jump shot from 6 ft (assist by L. James),,5,0
5,1,10:46.0,,Turnover by T. Harris (lost ball),5,0
6,1,10:30.0,J. Cunningham misses 3-pt jump shot from 23 ft,,5,0
7,1,10:29.0,Offensive rebound by T. Mozgov,,5,0
8,1,10:17.0,T. Mozgov makes 2-pt dunk at rim (assist by K. Love),,7,0
9,1,9:56.0,,N. Vučević makes 2-pt jump shot from 12 ft,7,2
10,1,9:36.0,M. Dellavedova makes 3-pt jump shot from 24 ft (assist by L. James),,10,2
11,1,9:12.0,,N. Vučević makes 2-pt layup from 1 ft (assist by E. Payton),10,4
12,1,8:55.0,T. Mozgov makes 2-pt layup at rim (assist by M. Dellavedova),,12,4
13,1,8:35.0,,E. Fournier misses 2-pt layup from 2 ft,12,4
14,1,8:32.0,,Offensive rebound by N. Vučević,12,4
15,1,8:32.0,,N. Vučević misses 2-pt layup from 2 ft,12,4
16,1,8:30.0,Defensive rebound by K. Love,,12,4
17,1,8:19.0,Turnover by T. Mozgov (traveling),,12,4
18,1,8:08.0,,Shooting foul by J. Cunningham (drawn by E. Fournier),12,4
19,1,8:08.0,,E. Fournier makes free throw 1 of 2,12,5
20,1,8:08.0,,E. Fournier makes free throw 2 of 2,12,6
21,1,7:58.0,L. James makes 2-pt dunk at rim (assist by M. Dellavedova),,14,6
22,1,7:47.0,,Personal foul by T. Mozgov (drawn by N. Vučević),14,6
23,1,7:39.0,,T. Harris misses 3-pt jump shot from 24 ft,14,6
24,1,7:38.0,Defensive rebound by K. Love,,14,6
25,1,7:23.0,T. Mozgov makes 2-pt layup from 1 ft (assist by K. Love),,16,6
26,1,7:19.0,,Orlando full timeout,16,6
27,1,7:19.0,,V. Oladipo enters the game for T. Harris,16,6
28,1,7:19.0,,A. Gordon enters the game for E. Fournier,16,6
29,1,7:10.0,Violation by L. James (kicked ball),,16,6
30,1,7:00.0,,Turnover by A. Gordon (lost ball; steal by L. James),16,6
31,1,6:44.0,K. Love misses 3-pt jump shot from 27 ft,,16,6
32,1,6:43.0,,Defensive rebound by E. Payton,16,6
33,1,6:38.0,,E. Payton makes 2-pt layup at rim,16,8
34,1,6:18.0,J. Cunningham misses 2-pt jump shot from 20 ft,,16,8
35,1,6:17.0,,Defensive rebound by A. Gordon,16,8
36,1,6:07.0,,E. Payton misses 2-pt layup from 1 ft,16,8
37,1,6:05.0,,Offensive rebound by Team,16,8
38,1,6:05.0,I. Shumpert enters the game for J. Cunningham,,16,8
39,1,5:58.0,,C. Frye misses 2-pt jump shot from 18 ft,16,8
40,1,5:57.0,Defensive rebound by L. James,,16,8
41,1,5:43.0,L. James misses 2-pt jump shot from 4 ft,,16,8
42,1,5:42.0,,Defensive rebound by V. Oladipo,16,8
43,1,5:38.0,,Personal foul by T. Mozgov (drawn by N. Vučević),16,8
44,1,5:38.0,,N. Vučević misses free throw 1 of 2,16,8
45,1,5:38.0,,Offensive rebound by Team,16,8
46,1,5:38.0,T. Thompson enters the game for T. Mozgov,,16,8
47,1,5:38.0,,N. Vučević makes free throw 2 of 2,16,9
48,1,5:17.0,K. Love misses 2-pt jump shot from 10 ft,,16,9
49,1,5:16.0,,Defensive rebound by V. Oladipo,16,9
50,1,5:02.0,,N. Vučević misses 2-pt hook shot from 7 ft,16,9
51,1,5:01.0,Defensive rebound by L. James,,16,9
52,1,4:50.0,L. James makes 2-pt layup at rim,,18,9
53,1,4:37.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by E. Payton),18,11
54,1,4:20.0,Shooting foul by V. Oladipo (drawn by I. Shumpert),,18,11
55,1,4:20.0,I. Shumpert makes free throw 1 of 2,,19,11
56,1,4:20.0,,A. Nicholson enters the game for C. Frye,19,11
57,1,4:20.0,R. Jefferson enters the game for L. James,,19,11
58,1,4:20.0,I. Shumpert misses free throw 2 of 2,,19,11
59,1,4:18.0,,Defensive rebound by A. Nicholson,19,11
60,1,4:03.0,,Turnover by V. Oladipo (lost ball; steal by R. Jefferson),19,11
61,1,3:56.0,I. Shumpert misses 3-pt jump shot from 23 ft,,19,11
62,1,3:55.0,,Defensive rebound by E. Payton,19,11
63,1,3:44.0,,A. Gordon misses 3-pt jump shot from 25 ft,19,11
64,1,3:43.0,,Offensive rebound by N. Vučević,19,11
65,1,3:40.0,,N. Vučević makes 2-pt hook shot from 4 ft,19,13
66,1,3:21.0,Cleveland full timeout,,19,13
67,1,3:16.0,M. Dellavedova misses 2-pt jump shot from 10 ft,,19,13
68,1,3:15.0,,Defensive rebound by Team,19,13
69,1,3:15.0,M. Williams enters the game for M. Dellavedova,,19,13
70,1,3:01.0,,A. Nicholson makes 2-pt hook shot from 7 ft,19,15
71,1,2:34.0,R. Jefferson makes 3-pt jump shot from 24 ft (assist by M. Williams),,22,15
72,1,2:15.0,,J. Smith enters the game for N. Vučević,22,15
73,1,2:05.0,,A. Nicholson makes 2-pt layup at rim,22,17
74,1,1:47.0,T. Thompson misses 2-pt jump shot from 5 ft,,22,17
75,1,1:45.0,Offensive rebound by K. Love,,22,17
76,1,1:40.0,M. Williams misses 2-pt jump shot from 16 ft,,22,17
77,1,1:39.0,,Defensive rebound by A. Nicholson,22,17
78,1,1:25.0,,Shooting foul by M. Williams (drawn by E. Payton),22,17
79,1,1:25.0,,E. Payton misses free throw 1 of 2,22,17
80,1,1:25.0,,Offensive rebound by Team,22,17
81,1,1:25.0,J. Jones enters the game for K. Love,,22,17
82,1,1:25.0,,T. Harris enters the game for A. Gordon,22,17
83,1,1:25.0,L. James enters the game for R. Jefferson,,22,17
84,1,1:25.0,,E. Payton makes free throw 2 of 2,22,18
85,1,1:11.0,M. Williams misses 2-pt jump shot from 18 ft,,22,18
86,1,1:09.0,,Defensive rebound by V. Oladipo,22,18
87,1,0:57.0,,E. Payton makes 2-pt layup from 1 ft,22,20
88,1,0:42.0,Turnover by L. James (bad pass; steal by E. Payton),,22,20
89,1,0:30.0,,V. Oladipo misses 2-pt layup from 1 ft,22,20
90,1,0:29.0,Defensive rebound by I. Shumpert,,22,20
91,1,0:13.0,Turnover by L. James (bad pass),,22,20
92,1,0:12.0,,S. Napier enters the game for E. Payton,22,20
93,1,0:12.0,R. Jefferson enters the game for L. James,,22,20
94,1,0:00.0,,A. Nicholson misses 2-pt jump shot from 8 ft,22,20
95,1,0:00.0,,Offensive rebound by Team,22,20
96,2,11:44.0,,Personal foul by J. Jones (drawn by J. Smith),22,20
97,2,11:29.0,,S. Napier misses 3-pt jump shot from 25 ft,22,20
98,2,11:28.0,,Offensive rebound by V. Oladipo,22,20
99,2,11:25.0,,V. Oladipo misses 2-pt jump shot from 9 ft,22,20
100,2,11:23.0,Defensive rebound by T. Thompson,,22,20
101,2,11:11.0,Turnover by M. Williams (bad pass; steal by S. Napier),,22,20
102,2,11:08.0,,Turnover by V. Oladipo (lost ball),22,20
103,2,10:55.0,J. Jones misses 3-pt jump shot from 27 ft,,22,20
104,2,10:51.0,Offensive rebound by T. Thompson,,22,20
105,2,10:36.0,I. Shumpert makes 2-pt layup from 1 ft,,24,20
106,2,10:36.0,,Violation by A. Nicholson (def goaltending),24,20
107,2,10:29.0,,Personal foul by M. Williams (drawn by S. Napier),24,20
108,2,10:21.0,,J. Smith misses 2-pt jump shot from 20 ft,24,20
109,2,10:20.0,Defensive rebound by R. Jefferson,,24,20
110,2,10:04.0,J. Jones misses 2-pt jump shot from 14 ft,,24,20
111,2,10:03.0,,Defensive rebound by A. Nicholson,24,20
112,2,9:52.0,,A. Nicholson misses 3-pt jump shot from 25 ft,24,20
113,2,9:52.0,Defensive rebound by I. Shumpert,,24,20
114,2,9:44.0,M. Williams makes 2-pt jump shot from 15 ft,,26,20
115,2,9:29.0,,V. Oladipo makes 2-pt jump shot from 19 ft (assist by J. Smith),26,22
116,2,9:13.0,T. Thompson misses 2-pt dunk at rim,,26,22
117,2,9:12.0,,Defensive rebound by A. Nicholson,26,22
118,2,9:06.0,,T. Harris misses 2-pt jump shot from 6 ft,26,22
119,2,9:05.0,Defensive rebound by M. Williams,,26,22
120,2,8:58.0,M. Williams misses 2-pt layup from 2 ft,,26,22
121,2,8:55.0,,Defensive rebound by T. Harris,26,22
122,2,8:43.0,,V. Oladipo misses 3-pt jump shot from 25 ft,26,22
123,2,8:41.0,Defensive rebound by M. Williams,,26,22
124,2,8:38.0,Cleveland full timeout,,26,22
125,2,8:38.0,,E. Fournier enters the game for V. Oladipo,26,22
126,2,8:38.0,L. James enters the game for I. Shumpert,,26,22
127,2,8:31.0,Turnover by R. Jefferson (traveling),,26,22
128,2,8:26.0,,Personal foul by R. Jefferson (drawn by E. Fournier),26,22
129,2,8:26.0,J. Cunningham enters the game for M. Williams,,26,22
130,2,8:26.0,M. Dellavedova enters the game for R. Jefferson,,26,22
131,2,8:17.0,,Turnover by T. Harris (bad pass),26,22
132,2,8:05.0,Personal foul by S. Napier (drawn by M. Dellavedova),,26,22
133,2,8:05.0,,N. Vučević enters the game for J. Smith,26,22
134,2,7:54.0,M. Dellavedova makes 2-pt jump shot from 9 ft,,28,22
135,2,7:29.0,,T. Harris misses 3-pt jump shot from 25 ft,28,22
136,2,7:27.0,Defensive rebound by T. Thompson,,28,22
137,2,7:21.0,Turnover by M. Dellavedova (bad pass; steal by T. Harris),,28,22
138,2,7:17.0,,Turnover by N. Vučević (bad pass; steal by T. Thompson),28,22
139,2,7:10.0,J. Jones misses 3-pt jump shot from 23 ft,,28,22
140,2,7:09.0,Offensive rebound by Team,,28,22
141,2,7:09.0,,Loose ball foul by E. Fournier (drawn by T. Thompson),28,22
142,2,7:09.0,T. Mozgov enters the game for J. Jones,,28,22
143,2,7:09.0,,E. Payton enters the game for S. Napier,28,22
144,2,7:06.0,T. Thompson makes 2-pt dunk at rim (assist by M. Dellavedova),,30,22
145,2,6:43.0,,E. Fournier makes 2-pt jump shot from 5 ft (assist by N. Vučević),30,24
146,2,6:29.0,Turnover by T. Mozgov (bad pass; steal by E. Fournier),,30,24
147,2,6:28.0,,Personal foul by M. Dellavedova (drawn by E. Fournier),30,24
148,2,6:10.0,,E. Payton misses 2-pt layup at rim,30,24
149,2,6:08.0,Defensive rebound by T. Mozgov,,30,24
150,2,5:52.0,T. Mozgov makes 2-pt layup at rim (assist by M. Dellavedova),,32,24
151,2,5:36.0,,T. Harris misses 2-pt jump shot from 10 ft,32,24
152,2,5:35.0,Defensive rebound by T. Thompson,,32,24
153,2,5:23.0,Shooting foul by T. Harris (drawn by L. James),,32,24
154,2,5:23.0,Official timeout,,32,24
155,2,5:23.0,K. Love enters the game for T. Thompson,,32,24
156,2,5:23.0,,A. Gordon enters the game for T. Harris,32,24
157,2,5:23.0,L. James makes free throw 1 of 2,,33,24
158,2,5:23.0,L. James makes free throw 2 of 2,,34,24
159,2,5:07.0,,A. Nicholson makes 2-pt hook shot from 13 ft,34,26
160,2,4:55.0,Personal foul by A. Gordon (drawn by L. James),,34,26
161,2,4:48.0,K. Love misses 3-pt jump shot from 27 ft,,34,26
162,2,4:47.0,,Defensive rebound by A. Gordon,34,26
