,QUARTER,TIME_REMAINING,PHOENIX_ACTION,ATLANTA_ACTION,PHOENIX_SCORE,ATLANTA_SCORE
0,1,11:42.0,,J. Teague misses 3-pt jump shot from 24 ft,0,0
1,1,11:39.0,Defensive rebound by D. Booker,,0,0
2,1,11:17.0,T. Chandler misses 2-pt jump shot from 17 ft,,0,0
3,1,11:16.0,,Defensive rebound by K. Bazemore,0,0
4,1,11:08.0,,Shooting foul by D. Booker (drawn by K. Bazemore),0,0
5,1,11:08.0,,K. Bazemore misses free throw 1 of 2,0,0
6,1,11:08.0,,Offensive rebound by Team,0,0
7,1,11:08.0,,K. Bazemore misses free throw 2 of 2,0,0
8,1,11:07.0,Defensive rebound by P. Tucker,,0,0
9,1,10:51.0,A. Len makes 2-pt hook shot from 6 ft (assist by R. Price),,2,0
10,1,10:34.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by K. Bazemore),2,2
11,1,10:20.0,Shooting foul by P. Millsap (drawn by A. Len),,2,2
12,1,10:20.0,A. Len makes free throw 1 of 2,,3,2
13,1,10:20.0,A. Len makes free throw 2 of 2,,4,2
14,1,10:10.0,,A. Horford misses 2-pt jump shot from 18 ft,4,2
15,1,10:08.0,Defensive rebound by A. Len,,4,2
16,1,10:03.0,Turnover by A. Len (traveling),,4,2
17,1,9:55.0,,Turnover by J. Teague (lost ball; steal by R. Price),4,2
18,1,9:49.0,D. Booker misses 3-pt jump shot from 24 ft,,4,2
19,1,9:48.0,,Defensive rebound by Team,4,2
20,1,9:36.0,,P. Millsap misses 2-pt jump shot from 4 ft,4,2
21,1,9:34.0,Defensive rebound by A. Len,,4,2
22,1,9:23.0,T. Chandler makes 2-pt layup from 1 ft (assist by R. Price),,6,2
23,1,9:08.0,,J. Teague makes 3-pt jump shot from 24 ft (assist by P. Millsap),6,5
24,1,8:51.0,A. Len misses 2-pt jump shot from 19 ft,,6,5
25,1,8:49.0,,Defensive rebound by P. Millsap,6,5
26,1,8:42.0,,J. Teague makes 3-pt jump shot from 25 ft (assist by P. Millsap),6,8
27,1,8:25.0,Turnover by P. Tucker (step out of bounds),,6,8
28,1,8:18.0,,K. Korver makes 2-pt layup from 1 ft (assist by K. Bazemore),6,10
29,1,8:18.0,,Shooting foul by P. Tucker (drawn by K. Korver),6,10
30,1,8:18.0,,K. Korver makes free throw 1 of 1,6,11
31,1,7:59.0,R. Price makes 3-pt jump shot from 25 ft (assist by P. Tucker),,9,11
32,1,7:50.0,,P. Millsap makes 3-pt jump shot from 24 ft (assist by K. Bazemore),9,14
33,1,7:30.0,P. Tucker misses 2-pt jump shot from 8 ft,,9,14
34,1,7:28.0,,Defensive rebound by P. Millsap,9,14
35,1,7:23.0,,P. Millsap misses 3-pt jump shot from 24 ft,9,14
36,1,7:22.0,,Offensive rebound by A. Horford,9,14
37,1,7:13.0,,J. Teague makes 2-pt layup at rim,9,16
38,1,7:03.0,Turnover by P. Tucker (bad pass; steal by K. Bazemore),,9,16
39,1,6:56.0,,P. Millsap makes 2-pt dunk at rim (assist by J. Teague),9,18
40,1,6:56.0,Phoenix full timeout,,9,18
41,1,6:56.0,,K. Humphries enters the game for P. Millsap,9,18
42,1,6:50.0,R. Price misses 2-pt jump shot from 16 ft,,9,18
43,1,6:48.0,,Defensive rebound by K. Korver,9,18
44,1,6:37.0,,J. Teague misses 3-pt jump shot from 24 ft,9,18
45,1,6:34.0,Defensive rebound by T. Chandler,,9,18
46,1,6:22.0,R. Price makes 3-pt jump shot from 23 ft (assist by A. Len),,12,18
47,1,6:04.0,,Turnover by J. Teague (lost ball; steal by R. Price),12,18
48,1,5:47.0,Turnover by R. Price (bad pass; steal by K. Bazemore),,12,18
49,1,5:44.0,,K. Bazemore makes 2-pt layup at rim,12,20
50,1,5:31.0,D. Booker makes 2-pt jump shot from 17 ft,,14,20
51,1,5:17.0,,K. Korver misses 2-pt jump shot from 12 ft,14,20
52,1,5:13.0,Defensive rebound by P. Tucker,,14,20
53,1,5:10.0,D. Booker makes 3-pt jump shot from 25 ft (assist by R. Price),,17,20
54,1,4:53.0,,J. Teague misses 2-pt layup at rim,17,20
55,1,4:51.0,Defensive rebound by T. Chandler,,17,20
56,1,4:47.0,D. Booker misses 3-pt jump shot from 25 ft,,17,20
57,1,4:45.0,,Defensive rebound by K. Humphries,17,20
