,QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
0,1,11:44.0,D. Wade misses 2-pt jump shot from 13 ft,,0,0
1,1,11:42.0,,Defensive rebound by C. Anthony,0,0
2,1,11:34.0,,R. Lopez misses 2-pt layup from 1 ft,0,0
3,1,11:32.0,Defensive rebound by C. Bosh,,0,0
4,1,11:28.0,Turnover by G. Green (step out of bounds),,0,0
5,1,11:06.0,,J. Calderón makes 2-pt jump shot from 17 ft,0,2
6,1,10:47.0,C. Bosh misses 2-pt jump shot from 15 ft,,0,2
7,1,10:45.0,,Defensive rebound by J. Calderón,0,2
8,1,10:37.0,,A. Afflalo misses 3-pt jump shot from 25 ft,0,2
9,1,10:35.0,Defensive rebound by C. Bosh,,0,2
10,1,10:24.0,G. Green makes 3-pt jump shot from 23 ft (assist by G. Dragić),,3,2
11,1,10:09.0,,Shooting foul by G. Green (drawn by C. Anthony),3,2
12,1,10:09.0,,C. Anthony makes free throw 1 of 2,3,3
13,1,10:09.0,,C. Anthony makes free throw 2 of 2,3,4
14,1,9:54.0,D. Wade misses 2-pt jump shot from 5 ft,,3,4
15,1,9:51.0,Offensive rebound by H. Whiteside,,3,4
16,1,9:51.0,H. Whiteside makes 2-pt layup at rim,,5,4
17,1,9:40.0,,R. Lopez misses 2-pt jump shot from 3 ft (block by H. Whiteside),5,4
18,1,9:39.0,,Offensive rebound by Team,5,4
19,1,9:38.0,,Offensive foul by R. Lopez (drawn by C. Bosh),5,4
20,1,9:38.0,,Turnover by R. Lopez (offensive foul),5,4
21,1,9:21.0,Shooting foul by R. Lopez (drawn by G. Green),,5,4
22,1,9:21.0,G. Green makes free throw 1 of 2,,6,4
23,1,9:21.0,,K. O'Quinn enters the game for R. Lopez,6,4
24,1,9:21.0,G. Green makes free throw 2 of 2,,7,4
25,1,9:11.0,,Turnover by K. O'Quinn (bad pass; steal by G. Green),7,4
26,1,9:06.0,D. Wade makes 2-pt dunk at rim,,9,4
27,1,8:45.0,,C. Anthony makes 2-pt jump shot from 15 ft (assist by K. O'Quinn),9,6
28,1,8:32.0,Turnover by G. Dragić (bad pass),,9,6
29,1,8:10.0,,K. Porziņģis makes 2-pt jump shot from 12 ft,9,8
30,1,7:52.0,C. Bosh misses 2-pt jump shot from 17 ft,,9,8
31,1,7:50.0,,Defensive rebound by K. O'Quinn,9,8
32,1,7:37.0,,K. O'Quinn misses 2-pt jump shot from 16 ft,9,8
33,1,7:35.0,Defensive rebound by D. Wade,,9,8
34,1,7:26.0,Turnover by C. Bosh (bad pass; steal by K. O'Quinn),,9,8
35,1,7:17.0,,J. Calderón makes 2-pt jump shot from 16 ft,9,10
36,1,6:52.0,G. Dragić misses 2-pt jump shot from 3 ft,,9,10
37,1,6:50.0,Offensive rebound by H. Whiteside,,9,10
38,1,6:50.0,H. Whiteside misses 2-pt layup from 1 ft,,9,10
39,1,6:49.0,Offensive rebound by H. Whiteside,,9,10
40,1,6:49.0,H. Whiteside misses 2-pt layup from 1 ft,,9,10
41,1,6:48.0,,Defensive rebound by K. Porziņģis,9,10
42,1,6:33.0,,K. Porziņģis misses 2-pt jump shot from 15 ft,9,10
43,1,6:31.0,,Offensive rebound by K. O'Quinn,9,10
44,1,6:28.0,,A. Afflalo makes 2-pt layup from 1 ft (assist by K. O'Quinn),9,12
45,1,6:18.0,Miami full timeout,,9,12
46,1,6:18.0,J. Winslow enters the game for C. Bosh,,9,12
47,1,6:18.0,J. McRoberts enters the game for G. Green,,9,12
48,1,6:03.0,Shooting foul by C. Anthony (drawn by H. Whiteside),,9,12
49,1,6:03.0,H. Whiteside misses free throw 1 of 2,,9,12
50,1,6:03.0,Offensive rebound by Team,,9,12
51,1,6:03.0,H. Whiteside misses free throw 2 of 2,,9,12
52,1,6:03.0,,Defensive rebound by K. Porziņģis,9,12
53,1,5:44.0,,K. Porziņģis misses 2-pt jump shot from 15 ft,9,12
54,1,5:42.0,Defensive rebound by H. Whiteside,,9,12
55,1,5:34.0,Turnover by H. Whiteside (bad pass; steal by K. Porziņģis),,9,12
56,1,5:33.0,,Shooting foul by J. McRoberts (drawn by K. Porziņģis),9,12
57,1,5:33.0,,K. Porziņģis makes free throw 1 of 2,9,13
58,1,5:33.0,,K. Porziņģis misses free throw 2 of 2,9,13
59,1,5:32.0,Defensive rebound by G. Dragić,,9,13
60,1,5:21.0,D. Wade misses 2-pt jump shot from 1 ft,,9,13
61,1,5:20.0,Offensive rebound by D. Wade,,9,13
62,1,5:20.0,D. Wade makes 2-pt layup from 1 ft,,11,13
63,1,5:20.0,Shooting foul by K. O'Quinn (drawn by D. Wade),,11,13
64,1,5:20.0,,L. Thomas enters the game for K. Porziņģis,11,13
65,1,5:20.0,D. Wade makes free throw 1 of 1,,12,13
66,1,5:05.0,,C. Anthony makes 2-pt layup from 2 ft,12,15
67,1,4:39.0,D. Wade misses 2-pt jump shot from 15 ft (block by A. Afflalo),,12,15
68,1,4:37.0,,Defensive rebound by K. O'Quinn,12,15
69,1,4:33.0,,A. Afflalo misses 2-pt layup from 2 ft,12,15
70,1,4:31.0,Defensive rebound by G. Dragić,,12,15
71,1,4:27.0,G. Dragić makes 2-pt layup from 1 ft,,14,15
72,1,4:10.0,,Shooting foul by H. Whiteside (drawn by K. O'Quinn),14,15
73,1,4:10.0,,K. O'Quinn misses free throw 1 of 2,14,15
74,1,4:10.0,,Offensive rebound by Team,14,15
75,1,4:10.0,,L. Galloway enters the game for A. Afflalo,14,15
76,1,4:10.0,T. Johnson enters the game for D. Wade,,14,15
77,1,4:10.0,,K. O'Quinn makes free throw 2 of 2,14,16
78,1,4:01.0,Shooting foul by J. Calderón (drawn by G. Dragić),,14,16
79,1,4:01.0,G. Dragić makes free throw 1 of 3,,15,16
80,1,4:01.0,G. Dragić makes free throw 2 of 3,,16,16
81,1,4:01.0,G. Dragić makes free throw 3 of 3,,17,16
82,1,3:37.0,,L. Thomas misses 3-pt jump shot from 24 ft,17,16
83,1,3:35.0,,Offensive rebound by C. Anthony,17,16
84,1,3:34.0,,C. Anthony misses 2-pt jump shot from 4 ft,17,16
85,1,3:34.0,,Offensive rebound by K. O'Quinn,17,16
86,1,3:34.0,,Shooting foul by T. Johnson (drawn by K. O'Quinn),17,16
87,1,3:34.0,,K. O'Quinn makes free throw 1 of 2,17,17
88,1,3:34.0,,J. Grant enters the game for J. Calderón,17,17
89,1,3:34.0,,K. O'Quinn makes free throw 2 of 2,17,18
90,1,3:15.0,T. Johnson makes 2-pt jump shot from 3 ft (assist by G. Dragić),,19,18
91,1,2:57.0,,C. Anthony makes 2-pt dunk at rim (assist by K. O'Quinn),19,20
92,1,2:42.0,J. Winslow makes 3-pt jump shot from 23 ft (assist by G. Dragić),,22,20
93,1,2:24.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by L. Thomas),22,23
94,1,1:59.0,Shooting foul by K. O'Quinn (drawn by T. Johnson),,22,23
95,1,1:59.0,,New York full timeout,22,23
96,1,1:59.0,,K. Séraphin enters the game for K. O'Quinn,22,23
97,1,1:59.0,C. Bosh enters the game for H. Whiteside,,22,23
98,1,1:59.0,T. Johnson makes free throw 1 of 2,,23,23
99,1,1:59.0,T. Johnson makes free throw 2 of 2,,24,23
100,1,1:48.0,,J. Grant misses 2-pt layup from 2 ft,24,23
101,1,1:46.0,Defensive rebound by J. Winslow,,24,23
102,1,1:42.0,G. Dragić misses 2-pt layup from 1 ft (block by C. Anthony),,24,23
103,1,1:40.0,,Defensive rebound by L. Galloway,24,23
