,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DETROIT_ACTION,LA CLIPPERS_SCORE,DETROIT_SCORE
0,1,11:39.0,,E. İlyasova misses 2-pt jump shot from 13 ft,0,0
1,1,11:39.0,,Offensive rebound by R. Jackson,0,0
2,1,11:25.0,,Turnover by A. Drummond (bad pass; steal by C. Paul),0,0
3,1,11:18.0,J. Redick makes 3-pt jump shot from 27 ft (assist by C. Paul),,3,0
4,1,10:54.0,,M. Morris misses 2-pt jump shot from 16 ft,3,0
5,1,10:51.0,Defensive rebound by B. Griffin,,3,0
6,1,10:35.0,B. Griffin makes 2-pt jump shot from 18 ft (assist by J. Redick),,5,0
7,1,10:19.0,,A. Drummond misses 2-pt hook shot from 7 ft,5,0
8,1,10:18.0,Defensive rebound by L. Mbah a Moute,,5,0
9,1,10:08.0,C. Paul makes 2-pt jump shot from 18 ft,,7,0
10,1,9:54.0,,Personal foul by J. Redick (drawn by E. İlyasova),7,0
11,1,9:42.0,,R. Jackson makes 2-pt jump shot from 17 ft,7,2
12,1,9:38.0,B. Griffin makes 2-pt layup at rim (assist by C. Paul),,9,2
13,1,9:19.0,,A. Drummond misses 2-pt hook shot from 8 ft,9,2
14,1,9:17.0,Defensive rebound by J. Redick,,9,2
15,1,9:07.0,C. Paul misses 2-pt jump shot from 9 ft,,9,2
16,1,9:06.0,Offensive rebound by D. Jordan,,9,2
17,1,9:04.0,D. Jordan makes 2-pt layup at rim,,11,2
18,1,9:00.0,,Detroit full timeout,11,2
19,1,8:51.0,,A. Drummond misses 2-pt dunk at rim,11,2
20,1,8:49.0,,Offensive rebound by R. Jackson,11,2
21,1,8:39.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,11,2
22,1,8:38.0,Defensive rebound by C. Paul,,11,2
23,1,8:24.0,J. Redick makes 2-pt jump shot from 17 ft (assist by C. Paul),,13,2
24,1,8:17.0,,Shooting foul by D. Jordan (drawn by R. Jackson),13,2
25,1,8:17.0,,R. Jackson makes free throw 1 of 2,13,3
26,1,8:17.0,,R. Jackson makes free throw 2 of 2,13,4
27,1,8:03.0,J. Redick misses 2-pt jump shot from 20 ft,,13,4
28,1,8:03.0,,Defensive rebound by M. Morris,13,4
29,1,7:55.0,,R. Jackson misses 2-pt layup at rim,13,4
30,1,7:54.0,Defensive rebound by L. Mbah a Moute,,13,4
31,1,7:54.0,,Technical foul by Team,13,4
32,1,7:54.0,C. Paul makes technical free throw,,14,4
33,1,7:37.0,B. Griffin misses 2-pt jump shot from 19 ft,,14,4
34,1,7:37.0,,Defensive rebound by Team,14,4
35,1,7:18.0,,Turnover by M. Morris (lost ball; steal by L. Mbah a Moute),14,4
36,1,7:10.0,L. Mbah a Moute misses 2-pt layup at rim,,14,4
37,1,7:10.0,,Defensive rebound by E. İlyasova,14,4
38,1,7:01.0,,K. Caldwell-Pope makes 2-pt jump shot from 8 ft,14,6
39,1,6:51.0,C. Paul makes 2-pt jump shot from 11 ft,,16,6
40,1,6:30.0,,A. Drummond misses 2-pt hook shot from 9 ft,16,6
41,1,6:30.0,,Offensive rebound by E. İlyasova,16,6
42,1,6:30.0,,E. İlyasova misses 2-pt layup at rim,16,6
43,1,6:30.0,,Offensive rebound by Team,16,6
44,1,6:21.0,,R. Jackson makes 2-pt jump shot from 15 ft,16,8
45,1,6:15.0,B. Griffin makes 2-pt layup at rim (assist by C. Paul),,18,8
46,1,6:00.0,,R. Jackson makes 3-pt jump shot from 26 ft,18,11
47,1,5:57.0,Personal foul by E. İlyasova (drawn by B. Griffin),,18,11
48,1,5:42.0,B. Griffin misses 2-pt jump shot from 17 ft,,18,11
49,1,5:42.0,,Defensive rebound by R. Jackson,18,11
50,1,5:33.0,,R. Jackson makes 2-pt layup at rim,18,13
51,1,5:14.0,J. Redick makes 2-pt jump shot from 20 ft (assist by B. Griffin),,20,13
52,1,5:04.0,,Turnover by R. Jackson (lost ball),20,13
53,1,5:04.0,W. Johnson enters the game for L. Mbah a Moute,,20,13
54,1,4:52.0,J. Redick makes 2-pt jump shot from 19 ft (assist by B. Griffin),,22,13
55,1,4:37.0,,K. Caldwell-Pope misses 2-pt layup at rim,22,13
56,1,4:37.0,Defensive rebound by C. Paul,,22,13
57,1,4:37.0,Personal foul by K. Caldwell-Pope (drawn by C. Paul),,22,13
58,1,4:37.0,,A. Tolliver enters the game for E. İlyasova,22,13
59,1,4:24.0,J. Redick misses 2-pt jump shot from 14 ft,,22,13
60,1,4:23.0,Offensive rebound by D. Jordan,,22,13
61,1,4:11.0,D. Jordan misses 2-pt dunk from 1 ft,,22,13
62,1,4:11.0,,Defensive rebound by A. Tolliver,22,13
63,1,4:10.0,,Shooting foul by B. Griffin (drawn by K. Caldwell-Pope),22,13
64,1,4:10.0,,K. Caldwell-Pope makes free throw 1 of 2,22,14
65,1,4:10.0,,K. Caldwell-Pope makes free throw 2 of 2,22,15
66,1,4:01.0,C. Paul misses 2-pt jump shot from 19 ft,,22,15
67,1,4:01.0,,Defensive rebound by A. Drummond,22,15
68,1,3:53.0,,K. Caldwell-Pope misses 2-pt layup from 1 ft (block by D. Jordan),22,15
69,1,3:53.0,,Offensive rebound by Team,22,15
70,1,3:53.0,J. Crawford enters the game for J. Redick,,22,15
71,1,3:53.0,J. Smith enters the game for B. Griffin,,22,15
72,1,3:42.0,,K. Caldwell-Pope makes 2-pt jump shot from 15 ft,22,17
73,1,3:10.0,C. Paul misses 2-pt jump shot from 15 ft,,22,17
74,1,3:09.0,,Defensive rebound by M. Morris,22,17
75,1,3:04.0,,M. Morris misses 2-pt jump shot from 17 ft,22,17
76,1,3:04.0,Defensive rebound by Team,,22,17
77,1,2:55.0,C. Paul misses 2-pt jump shot from 7 ft,,22,17
78,1,2:55.0,,Defensive rebound by M. Morris,22,17
79,1,2:44.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by A. Drummond),22,20
80,1,2:37.0,LA Clippers full timeout,,22,20
81,1,2:37.0,,S. Blake enters the game for M. Morris,22,20
82,1,2:37.0,,S. Johnson enters the game for R. Jackson,22,20
83,1,2:37.0,A. Rivers enters the game for C. Paul,,22,20
84,1,2:24.0,W. Johnson makes 3-pt jump shot from 27 ft (assist by J. Crawford),,25,20
85,1,2:10.0,,Turnover by S. Blake (bad pass; steal by J. Smith),25,20
86,1,2:03.0,W. Johnson misses 2-pt jump shot from 20 ft,,25,20
87,1,2:02.0,Offensive rebound by D. Jordan,,25,20
88,1,1:57.0,J. Smith misses 2-pt jump shot from 15 ft,,25,20
89,1,1:56.0,,Defensive rebound by A. Drummond,25,20
90,1,1:53.0,,Turnover by S. Blake (bad pass; steal by W. Johnson),25,20
91,1,1:44.0,J. Crawford misses 3-pt jump shot from 25 ft,,25,20
92,1,1:44.0,,Defensive rebound by A. Drummond,25,20
93,1,1:25.0,,Shooting foul by J. Smith (drawn by K. Caldwell-Pope),25,20
94,1,1:25.0,,K. Caldwell-Pope misses free throw 1 of 3,25,20
95,1,1:25.0,,Offensive rebound by Team,25,20
96,1,1:25.0,,K. Caldwell-Pope makes free throw 2 of 3,25,21
97,1,1:25.0,,K. Caldwell-Pope makes free throw 3 of 3,25,22
98,1,1:05.0,A. Rivers misses 3-pt jump shot from 27 ft,,25,22
99,1,1:04.0,,Defensive rebound by K. Caldwell-Pope,25,22
100,1,0:59.0,,A. Drummond makes 2-pt hook shot from 5 ft (assist by K. Caldwell-Pope),25,24
101,1,0:39.0,D. Jordan makes 2-pt dunk at rim (assist by J. Smith),,27,24
102,1,0:23.0,,S. Blake makes 3-pt jump shot from 25 ft (assist by S. Johnson),27,27
103,1,0:02.0,P. Pierce enters the game for D. Jordan,,27,27
104,1,0:01.0,P. Pierce misses 3-pt jump shot from 26 ft,,27,27
105,1,0:00.0,Offensive rebound by Team,,27,27
106,2,11:45.0,J. Smith misses 2-pt layup at rim,,27,27
107,2,11:44.0,,Defensive rebound by S. Johnson,27,27
108,2,11:36.0,,M. Morris misses 3-pt jump shot from 24 ft,27,27
109,2,11:36.0,Defensive rebound by Team,,27,27
110,2,11:18.0,J. Smith makes 2-pt hook shot from 6 ft,,29,27
111,2,10:58.0,,A. Baynes misses 2-pt hook shot from 6 ft,29,27
112,2,10:56.0,Defensive rebound by W. Johnson,,29,27
113,2,10:50.0,A. Rivers misses 2-pt layup at rim,,29,27
114,2,10:50.0,Offensive rebound by J. Smith,,29,27
115,2,10:45.0,W. Johnson misses 3-pt jump shot from 25 ft,,29,27
116,2,10:44.0,,Defensive rebound by S. Johnson,29,27
117,2,10:42.0,,S. Johnson misses 2-pt jump shot from 16 ft,29,27
118,2,10:40.0,,Offensive rebound by A. Baynes,29,27
119,2,10:39.0,,Turnover by A. Baynes (traveling),29,27
120,2,10:26.0,J. Smith misses 2-pt jump shot from 16 ft,,29,27
121,2,10:25.0,,Defensive rebound by S. Blake,29,27
122,2,10:15.0,,A. Tolliver misses 2-pt jump shot from 22 ft,29,27
123,2,10:13.0,Defensive rebound by J. Crawford,,29,27
124,2,10:01.0,J. Crawford makes 2-pt jump shot from 17 ft,,31,27
125,2,9:50.0,,M. Morris makes 2-pt layup at rim (assist by A. Baynes),31,29
126,2,9:35.0,J. Crawford makes 2-pt jump shot from 15 ft,,33,29
127,2,9:35.0,Shooting foul by S. Blake (drawn by J. Crawford),,33,29
128,2,9:35.0,B. Griffin enters the game for J. Smith,,33,29
129,2,9:35.0,J. Crawford makes free throw 1 of 1,,34,29
130,2,9:21.0,,S. Blake makes 2-pt layup at rim,34,31
131,2,9:07.0,W. Johnson misses 2-pt jump shot from 19 ft,,34,31
132,2,9:06.0,,Defensive rebound by S. Johnson,34,31
133,2,9:00.0,,Turnover by S. Blake (bad pass; steal by P. Pierce),34,31
134,2,8:48.0,Turnover by W. Johnson (offensive foul),,34,31
135,2,8:48.0,,Offensive charge foul by W. Johnson (drawn by S. Blake),34,31
136,2,8:48.0,Official timeout,,34,31
137,2,8:37.0,,Turnover by S. Johnson (bad pass; steal by W. Johnson),34,31
138,2,8:20.0,Shooting foul by A. Tolliver (drawn by P. Pierce),,34,31
139,2,8:20.0,P. Pierce makes free throw 1 of 2,,35,31
140,2,8:20.0,P. Pierce makes free throw 2 of 2,,36,31
141,2,8:07.0,,A. Baynes makes 2-pt layup at rim (assist by M. Morris),36,33
142,2,7:54.0,A. Rivers makes 2-pt layup at rim (assist by B. Griffin),,38,33
143,2,7:31.0,,M. Morris misses 2-pt jump shot from 19 ft,38,33
144,2,7:30.0,,Offensive rebound by Team,38,33
145,2,7:14.0,,Turnover by A. Baynes (3 sec),38,33
146,2,6:56.0,B. Griffin misses 2-pt jump shot from 19 ft,,38,33
147,2,6:56.0,,Defensive rebound by A. Tolliver,38,33
148,2,6:52.0,,S. Johnson misses 2-pt layup from 1 ft,38,33
149,2,6:51.0,,Offensive rebound by A. Baynes,38,33
