,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BOSTON_ACTION,GOLDEN STATE_SCORE,BOSTON_SCORE
0,1,11:38.0,I. Clark misses 2-pt layup from 1 ft (block by A. Johnson),,0,0
1,1,11:37.0,,Defensive rebound by J. Sullinger,0,0
2,1,11:22.0,,Turnover by I. Thomas (bad pass; steal by D. Green),0,0
3,1,11:17.0,B. Rush makes 2-pt layup from 2 ft (assist by D. Green),,2,0
4,1,10:54.0,,I. Thomas misses 2-pt jump shot from 22 ft,2,0
5,1,10:53.0,,Offensive rebound by J. Sullinger,2,0
6,1,10:50.0,,J. Sullinger misses 2-pt jump shot from 10 ft,2,0
7,1,10:49.0,Defensive rebound by B. Rush,,2,0
8,1,10:32.0,A. Bogut misses 2-pt dunk at rim,,2,0
9,1,10:31.0,Offensive rebound by A. Bogut,,2,0
10,1,10:27.0,I. Clark misses 2-pt layup from 1 ft (block by A. Johnson),,2,0
11,1,10:26.0,Offensive rebound by Team,,2,0
12,1,10:19.0,S. Curry misses 2-pt jump shot from 20 ft,,2,0
13,1,10:18.0,,Defensive rebound by J. Crowder,2,0
14,1,10:10.0,,J. Sullinger misses 2-pt jump shot from 20 ft,2,0
15,1,10:09.0,Defensive rebound by A. Bogut,,2,0
16,1,9:58.0,D. Green misses 2-pt jump shot at rim,,2,0
17,1,9:57.0,Offensive rebound by D. Green,,2,0
18,1,9:57.0,D. Green makes 2-pt layup at rim,,4,0
19,1,9:45.0,,A. Bradley makes 3-pt jump shot from 26 ft (assist by J. Sullinger),4,3
20,1,9:23.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),,7,3
21,1,9:07.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by J. Sullinger),7,5
22,1,8:56.0,D. Green makes 3-pt jump shot from 26 ft (assist by S. Curry),,10,5
23,1,8:43.0,,Personal block foul by I. Clark (drawn by I. Thomas),10,5
24,1,8:31.0,,A. Bradley makes 2-pt layup at rim,10,7
25,1,8:23.0,S. Curry misses 2-pt layup from 2 ft,,10,7
26,1,8:22.0,,Defensive rebound by J. Crowder,10,7
27,1,8:17.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by I. Thomas),10,10
28,1,8:00.0,B. Rush misses 3-pt jump shot from 22 ft,,10,10
29,1,7:59.0,,Defensive rebound by A. Johnson,10,10
30,1,7:51.0,,I. Thomas misses 3-pt jump shot from 25 ft,10,10
31,1,7:50.0,Defensive rebound by S. Curry,,10,10
32,1,7:45.0,S. Curry misses 3-pt jump shot from 27 ft,,10,10
33,1,7:44.0,,Defensive rebound by J. Sullinger,10,10
34,1,7:28.0,,A. Bradley makes 2-pt jump shot from 17 ft (assist by I. Thomas),10,12
35,1,7:08.0,D. Green misses 3-pt jump shot from 25 ft,,10,12
36,1,7:07.0,,Defensive rebound by J. Crowder,10,12
37,1,6:53.0,,Turnover by I. Thomas (lost ball; steal by D. Green),10,12
38,1,6:37.0,B. Rush misses 3-pt jump shot from 23 ft,,10,12
39,1,6:35.0,Offensive rebound by Team,,10,12
40,1,6:29.0,Personal foul by J. Crowder (drawn by A. Bogut),,10,12
41,1,6:13.0,D. Green misses 2-pt jump shot from 6 ft (block by A. Johnson),,10,12
42,1,6:11.0,Offensive rebound by S. Curry,,10,12
43,1,6:09.0,S. Curry misses 3-pt jump shot from 26 ft,,10,12
44,1,6:08.0,,Defensive rebound by I. Thomas,10,12
45,1,6:01.0,,A. Bradley misses 2-pt jump shot from 19 ft,10,12
46,1,6:00.0,Defensive rebound by B. Rush,,10,12
47,1,5:42.0,S. Curry misses 2-pt jump shot from 5 ft,,10,12
48,1,5:40.0,,Defensive rebound by J. Sullinger,10,12
49,1,5:34.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by I. Thomas),10,15
50,1,5:34.0,Golden State full timeout,,10,15
51,1,5:34.0,A. Iguodala enters the game for B. Rush,,10,15
52,1,5:34.0,Violation by Team (delay of game),,10,15
53,1,5:17.0,D. Green makes 3-pt jump shot from 24 ft (assist by A. Iguodala),,13,15
54,1,4:59.0,,I. Thomas misses 2-pt layup from 1 ft,13,15
55,1,4:58.0,,Offensive rebound by I. Thomas,13,15
56,1,4:56.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by I. Thomas),13,18
57,1,4:45.0,,E. Turner enters the game for J. Crowder,13,18
58,1,4:45.0,,K. Olynyk enters the game for J. Sullinger,13,18
59,1,4:38.0,S. Curry misses 2-pt jump shot from 7 ft,,13,18
60,1,4:37.0,,Defensive rebound by A. Johnson,13,18
61,1,4:30.0,F. Ezeli enters the game for A. Bogut,,13,18
62,1,4:24.0,,A. Bradley misses 2-pt jump shot from 7 ft,13,18
63,1,4:23.0,Defensive rebound by F. Ezeli,,13,18
64,1,4:13.0,A. Iguodala misses 3-pt jump shot from 22 ft,,13,18
65,1,4:12.0,,Defensive rebound by K. Olynyk,13,18
66,1,4:01.0,,Turnover by E. Turner (lost ball; steal by A. Iguodala),13,18
67,1,3:56.0,S. Curry makes 2-pt layup from 1 ft (assist by A. Iguodala),,15,18
68,1,3:34.0,,A. Bradley misses 3-pt jump shot from 25 ft,15,18
