,QUARTER,TIME_REMAINING,INDIANA_ACTION,CHICAGO_ACTION,INDIANA_SCORE,CHICAGO_SCORE
0,1,11:31.0,P. George misses 3-pt jump shot from 42 ft,,0,0
1,1,11:30.0,,Defensive rebound by P. Gasol,0,0
2,1,11:10.0,,P. Gasol makes 2-pt jump shot from 13 ft,0,2
3,1,10:54.0,M. Ellis misses 2-pt jump shot from 16 ft,,0,2
4,1,10:54.0,,Defensive rebound by P. Gasol,0,2
5,1,10:29.0,,P. Gasol misses 3-pt jump shot from 24 ft,0,2
6,1,10:28.0,Defensive rebound by G. Hill,,0,2
7,1,10:21.0,G. Hill makes 2-pt jump shot from 17 ft,,2,2
8,1,10:02.0,,J. Butler misses 2-pt jump shot from 17 ft,2,2
9,1,9:59.0,Defensive rebound by G. Hill,,2,2
10,1,9:56.0,Turnover by G. Hill (step out of bounds),,2,2
11,1,9:33.0,,K. Hinrich makes 3-pt jump shot from 24 ft (assist by N. Mirotić),2,5
12,1,9:20.0,P. George makes 2-pt jump shot from 17 ft (assist by I. Mahinmi),,4,5
13,1,8:58.0,,P. Gasol misses 2-pt jump shot from 12 ft,4,5
14,1,8:57.0,Defensive rebound by L. Allen,,4,5
15,1,8:42.0,G. Hill misses 2-pt jump shot from 10 ft (block by K. Hinrich),,4,5
16,1,8:41.0,,Defensive rebound by N. Mirotić,4,5
17,1,8:32.0,,Turnover by K. Hinrich (back court),4,5
18,1,8:22.0,M. Ellis makes 2-pt layup from 1 ft,,6,5
19,1,8:01.0,,Turnover by P. Gasol (lost ball; steal by I. Mahinmi),6,5
20,1,7:47.0,P. George misses 2-pt jump shot from 14 ft (block by P. Gasol),,6,5
21,1,7:45.0,,Defensive rebound by T. Gibson,6,5
22,1,7:32.0,,Shooting foul by M. Ellis (drawn by P. Gasol),6,5
23,1,7:32.0,,P. Gasol makes free throw 1 of 2,6,6
24,1,7:32.0,,P. Gasol makes free throw 2 of 2,6,7
25,1,7:18.0,I. Mahinmi misses 2-pt jump shot from 15 ft,,6,7
26,1,7:17.0,,Defensive rebound by P. Gasol,6,7
27,1,6:56.0,,K. Hinrich misses 2-pt jump shot from 4 ft,6,7
28,1,6:55.0,Defensive rebound by I. Mahinmi,,6,7
29,1,6:46.0,I. Mahinmi makes 2-pt hook shot from 1 ft (assist by G. Hill),,8,7
30,1,6:22.0,,T. Gibson misses 2-pt hook shot from 5 ft,8,7
31,1,6:22.0,,Offensive rebound by Team,8,7
32,1,6:22.0,Loose ball foul by M. Ellis (drawn by N. Mirotić),,8,7
33,1,6:22.0,R. Stuckey enters the game for M. Ellis,,8,7
34,1,6:08.0,,P. Gasol misses 2-pt hook shot from 8 ft,8,7
35,1,6:07.0,Defensive rebound by L. Allen,,8,7
36,1,5:58.0,L. Allen makes 2-pt layup from 1 ft (assist by P. George),,10,7
37,1,5:48.0,,Shooting foul by L. Allen (drawn by J. Butler),10,7
38,1,5:48.0,,Chicago full timeout,10,7
39,1,5:48.0,,J. Butler misses free throw 1 of 2,10,7
40,1,5:48.0,,Offensive rebound by Team,10,7
41,1,5:48.0,,J. Butler makes free throw 2 of 2,10,8
42,1,5:35.0,Turnover by P. George (bad pass),,10,8
43,1,5:16.0,,J. Butler misses 2-pt jump shot from 19 ft,10,8
44,1,5:15.0,Defensive rebound by G. Hill,,10,8
45,1,5:00.0,R. Stuckey misses 2-pt jump shot from 16 ft,,10,8
46,1,4:58.0,Offensive rebound by P. George,,10,8
47,1,4:48.0,P. George misses 2-pt jump shot from 16 ft,,10,8
48,1,4:48.0,,Defensive rebound by Team,10,8
49,1,4:48.0,,A. Brooks enters the game for K. Hinrich,10,8
50,1,4:31.0,,P. Gasol misses 2-pt layup from 3 ft (block by I. Mahinmi),10,8
51,1,4:31.0,,Offensive rebound by Team,10,8
52,1,4:24.0,,T. Gibson misses 2-pt jump shot from 17 ft,10,8
53,1,4:23.0,Defensive rebound by I. Mahinmi,,10,8
54,1,4:19.0,R. Stuckey makes 2-pt layup from 2 ft,,12,8
55,1,4:09.0,,Personal foul by I. Mahinmi (drawn by P. Gasol),12,8
56,1,4:09.0,,B. Portis enters the game for T. Gibson,12,8
57,1,4:09.0,,T. Snell enters the game for N. Mirotić,12,8
58,1,4:01.0,,Shooting foul by L. Allen (drawn by A. Brooks),12,8
59,1,4:01.0,,A. Brooks makes free throw 1 of 2,12,9
60,1,4:01.0,,A. Brooks makes free throw 2 of 2,12,10
61,1,3:48.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Stuckey),,15,10
62,1,3:23.0,,B. Portis makes 2-pt jump shot from 20 ft (assist by J. Butler),15,12
63,1,3:12.0,G. Hill misses 2-pt jump shot from 20 ft,,15,12
64,1,3:11.0,,Defensive rebound by P. Gasol,15,12
65,1,2:57.0,,A. Brooks makes 3-pt jump shot from 24 ft (assist by J. Butler),15,15
66,1,2:57.0,Indiana full timeout,,15,15
67,1,2:57.0,S. Hill enters the game for L. Allen,,15,15
68,1,2:40.0,S. Hill misses 2-pt jump shot from 8 ft,,15,15
69,1,2:39.0,,Defensive rebound by T. Snell,15,15
70,1,2:24.0,,Shooting foul by R. Stuckey (drawn by J. Butler),15,15
71,1,2:24.0,,J. Butler makes free throw 1 of 2,15,16
72,1,2:24.0,,J. Butler makes free throw 2 of 2,15,17
73,1,2:07.0,S. Hill misses 3-pt jump shot from 25 ft,,15,17
74,1,2:05.0,Offensive rebound by G. Hill,,15,17
75,1,1:57.0,R. Stuckey misses 2-pt jump shot from 19 ft,,15,17
76,1,1:56.0,,Defensive rebound by J. Butler,15,17
77,1,1:32.0,,Turnover by Team (shot clock),15,17
78,1,1:10.0,P. George misses 2-pt jump shot from 14 ft,,15,17
79,1,1:09.0,Offensive rebound by S. Hill,,15,17
80,1,1:09.0,S. Hill makes 2-pt layup from 2 ft,,17,17
81,1,0:59.0,,A. Brooks makes 2-pt jump shot from 19 ft,17,19
82,1,0:52.0,P. George makes 2-pt jump shot from 11 ft,,19,19
83,1,0:47.0,,B. Portis makes 2-pt layup at rim (assist by A. Brooks),19,21
84,1,0:32.0,R. Stuckey makes 2-pt jump shot from 20 ft (assist by G. Hill),,21,21
85,1,0:15.0,,Turnover by A. Brooks (lost ball; steal by P. George),21,21
86,1,0:01.0,Turnover by P. George (bad pass; steal by B. Portis),,21,21
87,1,0:00.0,,B. Portis misses 3-pt jump shot from 42 ft,21,21
88,1,0:00.0,,Offensive rebound by Team,21,21
89,2,11:43.0,,T. Snell misses 2-pt layup from 2 ft (block by M. Turner),21,21
90,2,11:41.0,Defensive rebound by S. Hill,,21,21
91,2,11:38.0,M. Ellis misses 3-pt jump shot from 26 ft,,21,21
92,2,11:36.0,,Defensive rebound by N. Mirotić,21,21
93,2,11:26.0,,B. Portis makes 2-pt hook shot from 5 ft (assist by A. Brooks),21,23
94,2,11:07.0,M. Turner misses 2-pt hook shot from 9 ft,,21,23
95,2,11:06.0,,Defensive rebound by B. Portis,21,23
96,2,10:52.0,,B. Portis misses 2-pt jump shot from 15 ft,21,23
97,2,10:51.0,Defensive rebound by M. Turner,,21,23
98,2,10:43.0,M. Ellis misses 2-pt jump shot from 21 ft,,21,23
99,2,10:42.0,,Defensive rebound by N. Mirotić,21,23
100,2,10:37.0,,B. Portis misses 2-pt layup from 3 ft,21,23
101,2,10:36.0,Defensive rebound by C. Budinger,,21,23
102,2,10:29.0,Shooting foul by T. Snell (drawn by R. Stuckey),,21,23
103,2,10:29.0,R. Stuckey makes 2-pt layup from 1 ft,,23,23
104,2,10:29.0,R. Stuckey misses free throw 1 of 1,,23,23
105,2,10:28.0,,Defensive rebound by D. McDermott,23,23
106,2,10:15.0,,A. Brooks misses 2-pt jump shot from 12 ft,23,23
107,2,10:14.0,Defensive rebound by S. Hill,,23,23
108,2,10:07.0,C. Budinger misses 2-pt jump shot from 14 ft,,23,23
109,2,10:06.0,,Defensive rebound by N. Mirotić,23,23
110,2,9:59.0,,N. Mirotić misses 3-pt jump shot from 26 ft,23,23
111,2,9:58.0,,Offensive rebound by D. McDermott,23,23
112,2,9:55.0,,D. McDermott makes 2-pt jump shot from 20 ft,23,25
113,2,9:41.0,S. Hill makes 2-pt layup from 1 ft,,25,25
114,2,9:26.0,,Turnover by D. McDermott (lost ball),25,25
115,2,9:13.0,S. Hill misses 2-pt layup from 3 ft,,25,25
116,2,9:12.0,,Defensive rebound by T. Snell,25,25
117,2,9:03.0,,D. McDermott misses 2-pt jump shot from 8 ft,25,25
118,2,9:02.0,Defensive rebound by C. Budinger,,25,25
119,2,8:58.0,R. Stuckey misses 2-pt layup from 3 ft (block by T. Snell),,25,25
120,2,8:58.0,Offensive rebound by Team,,25,25
121,2,8:58.0,Indiana full timeout,,25,25
122,2,8:47.0,Shooting foul by B. Portis (drawn by M. Turner),,25,25
123,2,8:47.0,M. Turner makes free throw 1 of 2,,26,25
124,2,8:47.0,M. Turner misses free throw 2 of 2,,26,25
125,2,8:45.0,,Defensive rebound by B. Portis,26,25
126,2,8:33.0,,Personal foul by C. Budinger (drawn by N. Mirotić),26,25
127,2,8:20.0,,A. Brooks misses 2-pt layup from 2 ft,26,25
128,2,8:19.0,,Offensive rebound by B. Portis,26,25
129,2,8:19.0,,Shooting foul by R. Stuckey (drawn by B. Portis),26,25
130,2,8:19.0,,B. Portis makes free throw 1 of 2,26,26
131,2,8:19.0,,B. Portis makes free throw 2 of 2,26,27
132,2,8:04.0,C. Budinger misses 2-pt layup from 2 ft,,26,27
133,2,8:03.0,,Defensive rebound by T. Snell,26,27
134,2,7:54.0,,T. Snell makes 2-pt layup from 2 ft,26,29
135,2,7:45.0,,Violation by N. Mirotić (kicked ball),26,29
136,2,7:45.0,,T. Gibson enters the game for N. Mirotić,26,29
137,2,7:37.0,M. Turner makes 2-pt jump shot from 21 ft (assist by M. Ellis),,28,29
138,2,7:20.0,,D. McDermott makes 2-pt jump shot from 16 ft (assist by T. Gibson),28,31
139,2,7:06.0,M. Turner makes 2-pt jump shot from 21 ft (assist by M. Ellis),,30,31
140,2,6:44.0,,A. Brooks misses 2-pt layup from 1 ft (block by S. Hill),30,31
141,2,6:43.0,,Offensive rebound by B. Portis,30,31
142,2,6:43.0,,B. Portis makes 2-pt layup from 1 ft,30,33
143,2,6:43.0,Indiana full timeout,,30,33
144,2,6:43.0,,J. Butler enters the game for T. Snell,30,33
145,2,6:30.0,M. Turner misses 2-pt jump shot from 18 ft,,30,33
146,2,6:29.0,,Defensive rebound by D. McDermott,30,33
147,2,6:05.0,,A. Brooks makes 3-pt jump shot from 26 ft (assist by D. McDermott),30,36
148,2,5:46.0,S. Hill misses 3-pt jump shot from 25 ft,,30,36
149,2,5:45.0,,Defensive rebound by D. McDermott,30,36
150,2,5:33.0,,B. Portis misses 2-pt jump shot from 19 ft,30,36
151,2,5:31.0,Defensive rebound by C. Budinger,,30,36
152,2,5:19.0,Shooting foul by T. Gibson (drawn by C. Budinger),,30,36
153,2,5:19.0,C. Budinger makes free throw 1 of 2,,31,36
154,2,5:19.0,,P. Gasol enters the game for B. Portis,31,36
155,2,5:19.0,L. Allen enters the game for S. Hill,,31,36
156,2,5:19.0,G. Hill enters the game for M. Ellis,,31,36
157,2,5:19.0,C. Budinger makes free throw 2 of 2,,32,36
158,2,5:00.0,,A. Brooks makes 2-pt jump shot from 6 ft,32,38
159,2,5:00.0,Indiana full timeout,,32,38
160,2,5:00.0,P. George enters the game for C. Budinger,,32,38
161,2,5:00.0,I. Mahinmi enters the game for M. Turner,,32,38
162,2,4:40.0,R. Stuckey misses 2-pt jump shot from 6 ft,,32,38
163,2,4:38.0,Offensive rebound by L. Allen,,32,38
164,2,4:38.0,L. Allen makes 2-pt dunk at rim,,34,38
165,2,4:24.0,,Offensive foul by T. Gibson (drawn by I. Mahinmi),34,38
166,2,4:24.0,,Turnover by T. Gibson (offensive foul),34,38
167,2,4:07.0,G. Hill makes 3-pt jump shot from 23 ft (assist by P. George),,37,38
168,2,3:42.0,,P. Gasol misses 2-pt hook shot from 10 ft,37,38
169,2,3:40.0,Defensive rebound by L. Allen,,37,38
170,2,3:26.0,Turnover by P. George (bad pass; steal by J. Butler),,37,38
171,2,3:22.0,,J. Butler makes 2-pt layup at rim,37,40
172,2,2:55.0,G. Hill misses 2-pt jump shot from 10 ft,,37,40
173,2,2:54.0,Offensive rebound by L. Allen,,37,40
174,2,2:51.0,L. Allen misses 2-pt layup from 1 ft,,37,40
175,2,2:50.0,,Defensive rebound by T. Gibson,37,40
176,2,2:40.0,,P. Gasol misses 2-pt jump shot from 8 ft,37,40
177,2,2:38.0,,Offensive rebound by T. Gibson,37,40
178,2,2:34.0,,D. McDermott misses 3-pt jump shot from 24 ft,37,40
179,2,2:34.0,Defensive rebound by I. Mahinmi,,37,40
180,2,2:17.0,L. Allen misses 2-pt jump shot from 19 ft,,37,40
181,2,2:16.0,,Defensive rebound by P. Gasol,37,40
182,2,2:00.0,,J. Butler misses 2-pt layup from 3 ft,37,40
183,2,1:59.0,,Offensive rebound by T. Gibson,37,40
184,2,1:59.0,,T. Gibson makes 2-pt layup at rim,37,42
