,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ORLANDO_ACTION,SACRAMENTO_SCORE,ORLANDO_SCORE
0,1,11:43.0,,Turnover by N. Vučević (lost ball; steal by D. Collison),0,0
1,1,11:37.0,D. Collison misses 2-pt jump shot from 4 ft,,0,0
2,1,11:36.0,Offensive rebound by W. Cauley-Stein,,0,0
3,1,11:36.0,W. Cauley-Stein misses 2-pt jump shot from 1 ft,,0,0
4,1,11:34.0,Offensive rebound by W. Cauley-Stein,,0,0
5,1,11:34.0,W. Cauley-Stein misses 2-pt jump shot from 1 ft,,0,0
6,1,11:33.0,,Defensive rebound by V. Oladipo,0,0
7,1,11:29.0,,T. Harris makes 2-pt layup from 1 ft (assist by V. Oladipo),0,2
8,1,11:11.0,D. Cousins misses 2-pt layup from 2 ft,,0,2
9,1,11:10.0,,Defensive rebound by N. Vučević,0,2
10,1,11:03.0,,E. Fournier misses 3-pt jump shot from 24 ft,0,2
11,1,11:03.0,Defensive rebound by D. Cousins,,0,2
12,1,10:54.0,W. Cauley-Stein misses 2-pt hook shot from 4 ft,,0,2
13,1,10:53.0,,Defensive rebound by N. Vučević,0,2
14,1,10:33.0,,E. Fournier misses 2-pt jump shot from 7 ft,0,2
15,1,10:32.0,Defensive rebound by D. Cousins,,0,2
16,1,10:19.0,Turnover by D. Collison (traveling),,0,2
17,1,10:11.0,,Personal foul by D. Cousins (drawn by N. Vučević),0,2
18,1,10:06.0,,Turnover by E. Payton (bad pass; steal by R. Rondo),0,2
19,1,10:02.0,B. McLemore makes 2-pt dunk at rim (assist by R. Rondo),,2,2
20,1,9:44.0,,T. Harris misses 3-pt jump shot from 22 ft,2,2
21,1,9:43.0,Defensive rebound by R. Rondo,,2,2
22,1,9:32.0,B. McLemore misses 2-pt jump shot from 15 ft,,2,2
23,1,9:31.0,,Defensive rebound by V. Oladipo,2,2
24,1,9:21.0,,E. Fournier misses 3-pt jump shot from 23 ft,2,2
25,1,9:19.0,Defensive rebound by W. Cauley-Stein,,2,2
26,1,9:07.0,R. Rondo makes 3-pt jump shot from 23 ft (assist by B. McLemore),,5,2
27,1,8:44.0,,E. Fournier misses 3-pt jump shot from 23 ft,5,2
28,1,8:43.0,Defensive rebound by R. Rondo,,5,2
29,1,8:37.0,B. McLemore misses 3-pt jump shot from 22 ft,,5,2
30,1,8:35.0,,Defensive rebound by N. Vučević,5,2
31,1,8:25.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Fournier),5,4
32,1,8:13.0,Shooting foul by N. Vučević (drawn by D. Cousins),,5,4
33,1,8:13.0,D. Cousins makes free throw 1 of 2,,6,4
34,1,8:13.0,O. Casspi enters the game for W. Cauley-Stein,,6,4
35,1,8:13.0,D. Cousins makes free throw 2 of 2,,7,4
36,1,7:55.0,,N. Vučević misses 2-pt jump shot from 13 ft,7,4
37,1,7:53.0,Defensive rebound by D. Collison,,7,4
38,1,7:44.0,D. Cousins makes 2-pt layup at rim,,9,4
39,1,7:29.0,,T. Harris misses 3-pt jump shot from 25 ft,9,4
40,1,7:29.0,Defensive rebound by Team,,9,4
41,1,7:27.0,Personal foul by V. Oladipo (drawn by D. Collison),,9,4
42,1,7:13.0,Def 3 sec tech foul by E. Fournier,,9,4
43,1,7:13.0,D. Cousins misses technical free throw,,9,4
44,1,7:13.0,Offensive rebound by Team,,9,4
45,1,7:05.0,Turnover by D. Cousins (lost ball; steal by E. Fournier),,9,4
46,1,6:56.0,,Turnover by E. Fournier (bad pass; steal by D. Cousins),9,4
47,1,6:50.0,Turnover by R. Rondo (bad pass; steal by T. Harris),,9,4
48,1,6:45.0,,E. Payton misses 2-pt layup from 1 ft (block by D. Cousins),9,4
49,1,6:42.0,,Offensive rebound by V. Oladipo,9,4
50,1,6:41.0,,V. Oladipo makes 2-pt jump shot from 2 ft,9,6
51,1,6:33.0,D. Collison makes 2-pt layup from 1 ft,,11,6
52,1,6:16.0,,N. Vučević makes 2-pt jump shot from 3 ft (assist by T. Harris),11,8
53,1,6:09.0,D. Collison misses 3-pt jump shot from 26 ft,,11,8
54,1,6:08.0,,Defensive rebound by V. Oladipo,11,8
55,1,5:56.0,,E. Fournier misses 2-pt jump shot from 7 ft,11,8
56,1,5:55.0,Defensive rebound by D. Cousins,,11,8
57,1,5:47.0,D. Cousins misses 3-pt jump shot from 24 ft,,11,8
58,1,5:45.0,,Defensive rebound by N. Vučević,11,8
59,1,5:39.0,,E. Payton makes 2-pt jump shot from 19 ft,11,10
60,1,5:28.0,Turnover by D. Cousins (lost ball; steal by N. Vučević),,11,10
61,1,5:25.0,,T. Harris makes 2-pt layup from 1 ft (assist by V. Oladipo),11,12
62,1,5:25.0,,Shooting foul by O. Casspi (drawn by T. Harris),11,12
63,1,5:25.0,,Orlando full timeout,11,12
64,1,5:25.0,,M. Hezonja enters the game for E. Fournier,11,12
65,1,5:25.0,,T. Harris makes free throw 1 of 1,11,13
66,1,5:08.0,B. McLemore makes 2-pt jump shot from 22 ft (assist by R. Rondo),,13,13
67,1,4:52.0,,V. Oladipo misses 2-pt jump shot from 16 ft,13,13
68,1,4:49.0,,Offensive rebound by M. Hezonja,13,13
69,1,4:38.0,,V. Oladipo makes 3-pt jump shot from 26 ft (assist by E. Payton),13,16
70,1,4:17.0,D. Cousins makes 2-pt layup from 1 ft,,15,16
71,1,4:11.0,,Technical foul by T. Harris,15,16
72,1,4:11.0,D. Collison makes technical free throw,,16,16
73,1,4:11.0,M. Belinelli enters the game for D. Collison,,16,16
74,1,4:11.0,,A. Gordon enters the game for T. Harris,16,16
75,1,4:11.0,,Technical foul by Team,16,16
76,1,4:11.0,M. Belinelli misses technical free throw,,16,16
77,1,4:11.0,,Offensive rebound by Team,16,16
78,1,4:01.0,,E. Payton misses 2-pt jump shot from 18 ft,16,16
79,1,3:58.0,Defensive rebound by B. McLemore,,16,16
80,1,3:55.0,Shooting foul by A. Gordon (drawn by M. Belinelli),,16,16
81,1,3:55.0,M. Belinelli makes free throw 1 of 3,,17,16
82,1,3:55.0,M. Belinelli makes free throw 2 of 3,,18,16
83,1,3:55.0,,D. Dedmon enters the game for N. Vučević,18,16
84,1,3:55.0,K. Koufos enters the game for B. McLemore,,18,16
85,1,3:55.0,M. Belinelli makes free throw 3 of 3,,19,16
86,1,3:45.0,,Turnover by V. Oladipo (lost ball; steal by R. Rondo),19,16
87,1,3:22.0,O. Casspi makes 2-pt jump shot from 5 ft (assist by R. Rondo),,21,16
88,1,3:06.0,,V. Oladipo makes 2-pt jump shot from 17 ft,21,18
89,1,2:43.0,R. Rondo makes 3-pt jump shot from 26 ft (assist by M. Belinelli),,24,18
90,1,2:25.0,,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),24,20
91,1,2:14.0,Personal foul by D. Dedmon (drawn by D. Cousins),,24,20
92,1,2:14.0,Sacramento full timeout,,24,20
93,1,2:14.0,,E. Fournier enters the game for V. Oladipo,24,20
94,1,2:05.0,M. Belinelli misses 2-pt jump shot from 16 ft,,24,20
95,1,2:04.0,,Defensive rebound by M. Hezonja,24,20
96,1,1:53.0,,Turnover by D. Dedmon (offensive foul),24,20
97,1,1:53.0,,Offensive foul by D. Dedmon (drawn by M. Belinelli),24,20
98,1,1:53.0,,J. Smith enters the game for D. Dedmon,24,20
99,1,1:29.0,Turnover by Team (shot clock),,24,20
100,1,1:18.0,,Turnover by M. Hezonja (bad pass; steal by K. Koufos),24,20
101,1,1:08.0,R. Rondo makes 3-pt jump shot from 26 ft (assist by D. Cousins),,27,20
102,1,0:55.0,,E. Payton misses 2-pt layup from 1 ft,27,20
103,1,0:53.0,Defensive rebound by K. Koufos,,27,20
104,1,0:48.0,O. Casspi misses 3-pt jump shot from 24 ft,,27,20
105,1,0:46.0,,Defensive rebound by A. Gordon,27,20
106,1,0:40.0,,A. Gordon misses 2-pt jump shot from 11 ft,27,20
107,1,0:39.0,Defensive rebound by D. Cousins,,27,20
108,1,0:28.0,K. Koufos misses 2-pt layup from 2 ft,,27,20
109,1,0:27.0,,Defensive rebound by E. Payton,27,20
110,1,0:23.0,,A. Gordon makes 2-pt dunk at rim (assist by M. Hezonja),27,22
111,1,0:00.0,O. Casspi misses 2-pt layup from 2 ft,,27,22
112,1,0:00.0,Offensive rebound by Team,,27,22
113,2,12:00.0,Violation by Team (delay of game),,27,22
114,2,11:49.0,Personal foul by S. Napier (drawn by R. Rondo),,27,22
115,2,11:35.0,W. Cauley-Stein makes 2-pt jump shot from 2 ft (assist by R. Rondo),,29,22
116,2,11:23.0,,Personal foul by M. Belinelli (drawn by E. Fournier),29,22
117,2,11:15.0,,J. Smith makes 2-pt jump shot from 4 ft (assist by S. Napier),29,24
118,2,11:04.0,Personal foul by J. Smith (drawn by R. Rondo),,29,24
119,2,11:04.0,D. Collison enters the game for R. Rondo,,29,24
120,2,10:55.0,O. Casspi misses 2-pt jump shot from 4 ft,,29,24
121,2,10:53.0,Offensive rebound by K. Koufos,,29,24
122,2,10:53.0,K. Koufos misses 2-pt jump shot from 2 ft,,29,24
123,2,10:52.0,,Defensive rebound by J. Smith,29,24
124,2,10:44.0,,M. Hezonja makes 3-pt jump shot from 22 ft,29,27
125,2,10:33.0,Personal foul by M. Hezonja (drawn by O. Casspi),,29,27
126,2,10:20.0,D. Collison misses 2-pt jump shot from 13 ft,,29,27
127,2,10:18.0,,Defensive rebound by Team,29,27
128,2,10:18.0,Loose ball foul by K. Koufos (drawn by J. Smith),,29,27
129,2,10:07.0,,E. Fournier misses 2-pt jump shot from 4 ft,29,27
130,2,10:06.0,Defensive rebound by M. Belinelli,,29,27
131,2,9:49.0,M. Belinelli misses 3-pt jump shot from 30 ft,,29,27
132,2,9:47.0,Offensive rebound by K. Koufos,,29,27
133,2,9:47.0,Shooting foul by J. Smith (drawn by K. Koufos),,29,27
134,2,9:47.0,K. Koufos makes free throw 1 of 2,,30,27
135,2,9:47.0,,N. Vučević enters the game for J. Smith,30,27
136,2,9:47.0,,A. Nicholson enters the game for A. Gordon,30,27
137,2,9:47.0,K. Koufos makes free throw 2 of 2,,31,27
138,2,9:29.0,,E. Fournier misses 3-pt jump shot from 23 ft,31,27
139,2,9:27.0,Defensive rebound by O. Casspi,,31,27
140,2,9:14.0,,Violation by A. Nicholson (kicked ball),31,27
141,2,9:03.0,M. Belinelli misses 3-pt jump shot from 24 ft,,31,27
142,2,9:02.0,Offensive rebound by W. Cauley-Stein,,31,27
143,2,8:56.0,O. Casspi misses 2-pt layup from 1 ft,,31,27
144,2,8:54.0,,Defensive rebound by N. Vučević,31,27
145,2,8:54.0,,Personal foul by W. Cauley-Stein (drawn by N. Vučević),31,27
146,2,8:54.0,Official timeout,,31,27
147,2,8:54.0,B. McLemore enters the game for O. Casspi,,31,27
148,2,8:36.0,,A. Nicholson misses 2-pt jump shot from 7 ft,31,27
149,2,8:35.0,Defensive rebound by K. Koufos,,31,27
150,2,8:29.0,Turnover by D. Collison (bad pass; steal by E. Fournier),,31,27
151,2,8:24.0,,E. Fournier makes 2-pt dunk at rim,31,29
152,2,8:23.0,,Violation by Team (delay of game),31,29
153,2,8:06.0,B. McLemore misses 2-pt jump shot from 7 ft,,31,29
154,2,8:05.0,,Defensive rebound by M. Hezonja,31,29
155,2,7:58.0,,A. Nicholson misses 2-pt jump shot from 6 ft (block by W. Cauley-Stein),31,29
156,2,7:56.0,,Offensive rebound by S. Napier,31,29
157,2,7:52.0,,E. Fournier misses 3-pt jump shot from 23 ft,31,29
158,2,7:51.0,,Offensive rebound by A. Nicholson,31,29
159,2,7:49.0,,A. Nicholson makes 2-pt layup from 2 ft,31,31
160,2,7:33.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by B. McLemore),,34,31
161,2,7:16.0,,Shooting foul by B. McLemore (drawn by N. Vučević),34,31
162,2,7:16.0,,N. Vučević makes free throw 1 of 2,34,32
163,2,7:16.0,D. Cousins enters the game for K. Koufos,,34,32
164,2,7:16.0,,E. Payton enters the game for E. Fournier,34,32
165,2,7:16.0,,V. Oladipo enters the game for M. Hezonja,34,32
166,2,7:16.0,,T. Harris enters the game for S. Napier,34,32
167,2,7:16.0,,N. Vučević misses free throw 2 of 2,34,32
168,2,7:15.0,Defensive rebound by B. McLemore,,34,32
169,2,7:05.0,Turnover by D. Collison (bad pass; steal by T. Harris),,34,32
170,2,6:58.0,,V. Oladipo misses 3-pt jump shot from 23 ft,34,32
171,2,6:57.0,Defensive rebound by W. Cauley-Stein,,34,32
172,2,6:52.0,B. McLemore misses 2-pt dunk at rim,,34,32
173,2,6:50.0,,Defensive rebound by N. Vučević,34,32
174,2,6:43.0,,V. Oladipo misses 2-pt layup from 1 ft (block by D. Cousins),34,32
