,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MINNESOTA_ACTION,LA CLIPPERS_SCORE,MINNESOTA_SCORE
0,1,11:43.0,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),,3,0
1,1,11:20.0,,R. Rubio misses 2-pt layup from 1 ft (block by D. Jordan),3,0
2,1,11:18.0,,Offensive rebound by K. Towns,3,0
3,1,11:15.0,,G. Dieng misses 2-pt jump shot from 22 ft,3,0
4,1,11:14.0,Defensive rebound by L. Mbah a Moute,,3,0
5,1,10:50.0,C. Paul makes 3-pt jump shot from 25 ft,,6,0
6,1,10:29.0,,G. Dieng misses 2-pt layup from 2 ft (block by D. Jordan),6,0
7,1,10:27.0,Defensive rebound by L. Mbah a Moute,,6,0
8,1,10:17.0,L. Mbah a Moute misses 3-pt jump shot from 23 ft,,6,0
9,1,10:16.0,,Defensive rebound by K. Towns,6,0
10,1,10:05.0,,K. Towns makes 3-pt jump shot from 24 ft (assist by R. Rubio),6,3
11,1,9:46.0,J. Redick misses 3-pt jump shot from 23 ft,,6,3
12,1,9:45.0,,Defensive rebound by R. Rubio,6,3
13,1,9:30.0,,G. Dieng misses 2-pt jump shot from 15 ft,6,3
14,1,9:28.0,Defensive rebound by D. Jordan,,6,3
15,1,9:15.0,Turnover by C. Paul (bad pass; steal by R. Rubio),,6,3
16,1,9:04.0,,K. Towns makes 3-pt jump shot from 24 ft (assist by Z. LaVine),6,6
17,1,8:48.0,J. Redick misses 3-pt jump shot from 23 ft,,6,6
18,1,8:47.0,,Defensive rebound by G. Dieng,6,6
19,1,8:36.0,,A. Wiggins misses 2-pt jump shot from 11 ft,6,6
20,1,8:35.0,,Offensive rebound by G. Dieng,6,6
21,1,8:30.0,,Z. LaVine misses 2-pt jump shot from 20 ft,6,6
22,1,8:30.0,,Offensive rebound by Team,6,6
23,1,8:27.0,,A. Wiggins misses 2-pt layup from 1 ft,6,6
24,1,8:26.0,,Offensive rebound by K. Towns,6,6
25,1,8:25.0,,Turnover by K. Towns (traveling),6,6
26,1,8:19.0,C. Paul misses 2-pt jump shot from 19 ft,,6,6
27,1,8:17.0,Offensive rebound by L. Mbah a Moute,,6,6
28,1,8:10.0,Offensive foul by D. Jordan (drawn by K. Towns),,6,6
29,1,8:10.0,Turnover by D. Jordan (offensive foul),,6,6
30,1,7:58.0,,Personal foul by L. Mbah a Moute,6,6
31,1,7:49.0,,Turnover by A. Wiggins (lost ball),6,6
32,1,7:33.0,J. Redick makes 2-pt jump shot from 21 ft (assist by C. Paul),,8,6
33,1,7:23.0,,Minnesota full timeout,8,6
34,1,7:15.0,,Turnover by A. Wiggins (bad pass; steal by W. Johnson),8,6
35,1,7:11.0,J. Redick misses 3-pt jump shot from 24 ft,,8,6
36,1,7:09.0,,Defensive rebound by K. Towns,8,6
37,1,6:47.0,,R. Rubio misses 3-pt jump shot from 24 ft,8,6
38,1,6:46.0,Defensive rebound by L. Mbah a Moute,,8,6
39,1,6:31.0,W. Johnson misses 2-pt jump shot from 20 ft,,8,6
40,1,6:30.0,,Defensive rebound by K. Towns,8,6
41,1,6:21.0,,G. Dieng misses 2-pt jump shot from 18 ft,8,6
42,1,6:20.0,Defensive rebound by C. Paul,,8,6
43,1,6:15.0,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by C. Paul),,10,6
44,1,5:56.0,,G. Dieng misses 2-pt hook shot from 4 ft,10,6
45,1,5:55.0,Defensive rebound by D. Jordan,,10,6
46,1,5:46.0,D. Jordan misses 2-pt layup from 1 ft,,10,6
47,1,5:44.0,,Defensive rebound by G. Dieng,10,6
48,1,5:37.0,,N. Bjelica enters the game for G. Dieng,10,6
49,1,5:37.0,J. Green enters the game for L. Mbah a Moute,,10,6
50,1,5:33.0,,K. Towns makes 2-pt jump shot from 22 ft,10,8
51,1,5:03.0,J. Green misses 3-pt jump shot from 22 ft,,10,8
52,1,5:02.0,Offensive rebound by D. Jordan,,10,8
53,1,4:59.0,C. Paul misses 3-pt jump shot from 24 ft,,10,8
54,1,4:58.0,,Defensive rebound by K. Towns,10,8
55,1,4:49.0,,R. Rubio misses 2-pt jump shot from 4 ft,10,8
56,1,4:48.0,Defensive rebound by C. Paul,,10,8
57,1,4:44.0,C. Paul makes 2-pt layup at rim,,12,8
58,1,4:44.0,Shooting foul by K. Towns (drawn by C. Paul),,12,8
59,1,4:44.0,J. Crawford enters the game for W. Johnson,,12,8
60,1,4:44.0,C. Paul makes free throw 1 of 1,,13,8
61,1,4:31.0,,Def 3 sec tech foul by D. Jordan,13,8
62,1,4:31.0,,R. Rubio makes technical free throw,13,9
63,1,4:25.0,,Turnover by A. Wiggins (traveling),13,9
64,1,4:18.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,15,9
