,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
0,1,11:40.0,,A. Afflalo makes 2-pt jump shot from 15 ft (assist by R. Lopez),0,2
1,1,11:26.0,J. Teague misses 3-pt jump shot from 24 ft,,0,2
2,1,11:25.0,,Defensive rebound by R. Lopez,0,2
3,1,11:15.0,,J. Calderón makes 3-pt jump shot from 24 ft,0,5
4,1,10:52.0,P. Millsap makes 2-pt jump shot from 14 ft (assist by K. Korver),,2,5
5,1,10:52.0,Shooting foul by R. Lopez (drawn by P. Millsap),,2,5
6,1,10:52.0,P. Millsap misses free throw 1 of 1,,2,5
7,1,10:52.0,,Defensive rebound by C. Anthony,2,5
8,1,10:45.0,,Personal foul by J. Teague,2,5
9,1,10:38.0,,A. Afflalo misses 2-pt jump shot from 18 ft,2,5
10,1,10:37.0,,Offensive rebound by C. Anthony,2,5
11,1,10:29.0,,K. Porziņģis misses 2-pt layup from 2 ft,2,5
12,1,10:28.0,,Offensive rebound by R. Lopez,2,5
13,1,10:28.0,,R. Lopez makes 2-pt layup from 1 ft,2,7
14,1,10:09.0,Turnover by J. Teague (bad pass),,2,7
15,1,9:48.0,,K. Porziņģis makes 2-pt layup from 2 ft (assist by R. Lopez),2,9
16,1,9:26.0,Turnover by K. Bazemore (bad pass),,2,9
17,1,9:10.0,,A. Afflalo makes 2-pt jump shot from 16 ft,2,11
18,1,9:10.0,Atlanta full timeout,,2,11
19,1,8:59.0,A. Horford makes 2-pt layup from 2 ft (assist by J. Teague),,4,11
20,1,8:44.0,,Turnover by R. Lopez (bad pass; steal by K. Bazemore),4,11
21,1,8:38.0,K. Bazemore makes 2-pt dunk from 2 ft,,6,11
22,1,8:21.0,,C. Anthony misses 2-pt jump shot from 15 ft,6,11
23,1,8:20.0,,Offensive rebound by Team,6,11
24,1,8:20.0,Loose ball foul by P. Millsap,,6,11
25,1,8:12.0,,Turnover by C. Anthony (traveling),6,11
26,1,8:04.0,A. Horford misses 3-pt jump shot from 25 ft,,6,11
27,1,8:03.0,,Defensive rebound by K. Porziņģis,6,11
28,1,7:53.0,,Turnover by R. Lopez (lost ball; steal by J. Teague),6,11
29,1,7:49.0,J. Teague makes 2-pt layup from 2 ft (assist by K. Bazemore),,8,11
30,1,7:49.0,Shooting foul by C. Anthony (drawn by J. Teague),,8,11
31,1,7:49.0,J. Teague makes free throw 1 of 1,,9,11
32,1,7:38.0,,J. Calderón makes 2-pt jump shot from 15 ft (assist by C. Anthony),9,13
33,1,7:24.0,P. Millsap misses 3-pt jump shot from 25 ft,,9,13
34,1,7:23.0,,Defensive rebound by R. Lopez,9,13
35,1,7:02.0,,C. Anthony misses 2-pt jump shot from 17 ft,9,13
36,1,7:01.0,Defensive rebound by P. Millsap,,9,13
37,1,6:51.0,A. Horford makes 2-pt layup from 2 ft,,11,13
38,1,6:32.0,,J. Calderón makes 2-pt jump shot from 16 ft (assist by R. Lopez),11,15
39,1,6:22.0,J. Teague misses 2-pt layup from 2 ft (block by J. Calderón),,11,15
40,1,6:21.0,Offensive rebound by Team,,11,15
