,QUARTER,TIME_REMAINING,PORTLAND_ACTION,PHOENIX_ACTION,PORTLAND_SCORE,PHOENIX_SCORE
0,1,11:50.0,,Personal foul by M. Leonard (drawn by B. Knight),0,0
1,1,11:35.0,,M. Morris misses 2-pt jump shot from 20 ft,0,0
2,1,11:35.0,Defensive rebound by A. Aminu,,0,0
3,1,11:14.0,M. Leonard misses 3-pt jump shot from 24 ft,,0,0
4,1,11:13.0,Offensive rebound by A. Aminu,,0,0
5,1,11:07.0,D. Lillard makes 3-pt jump shot from 24 ft (assist by C. McCollum),,3,0
6,1,10:52.0,,B. Knight makes 2-pt layup from 1 ft,3,2
7,1,10:33.0,M. Leonard misses 2-pt jump shot from 14 ft,,3,2
8,1,10:32.0,,Defensive rebound by T. Chandler,3,2
9,1,10:20.0,,P. Tucker misses 3-pt jump shot from 22 ft,3,2
10,1,10:19.0,Defensive rebound by C. McCollum,,3,2
11,1,10:16.0,Turnover by C. McCollum (bad pass; steal by B. Knight),,3,2
12,1,10:04.0,,B. Knight makes 2-pt layup from 1 ft,3,4
13,1,9:39.0,D. Lillard misses 2-pt layup from 2 ft,,3,4
14,1,9:38.0,,Defensive rebound by M. Morris,3,4
15,1,9:38.0,,Turnover by M. Morris (traveling),3,4
16,1,9:32.0,C. McCollum makes 2-pt jump shot from 19 ft (assist by M. Leonard),,5,4
17,1,9:11.0,,T. Chandler makes 2-pt dunk at rim (assist by B. Knight),5,6
18,1,9:01.0,M. Plumlee makes 2-pt layup from 2 ft (assist by D. Lillard),,7,6
19,1,9:01.0,Shooting foul by T. Chandler (drawn by M. Plumlee),,7,6
20,1,9:01.0,M. Plumlee misses free throw 1 of 1,,7,6
21,1,9:00.0,,Defensive rebound by M. Morris,7,6
22,1,8:51.0,,E. Bledsoe makes 2-pt jump shot from 20 ft,7,8
23,1,8:32.0,D. Lillard misses 3-pt jump shot from 24 ft,,7,8
24,1,8:32.0,,Defensive rebound by M. Morris,7,8
25,1,8:25.0,,Turnover by E. Bledsoe (bad pass; steal by M. Plumlee),7,8
26,1,8:20.0,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),,9,8
27,1,8:15.0,,T. Chandler makes 2-pt dunk at rim (assist by P. Tucker),9,10
28,1,8:01.0,Turnover by A. Aminu (bad pass; steal by E. Bledsoe),,9,10
29,1,7:58.0,,Shooting foul by D. Lillard (drawn by E. Bledsoe),9,10
30,1,7:58.0,,E. Bledsoe makes free throw 1 of 2,9,11
31,1,7:58.0,,E. Bledsoe makes free throw 2 of 2,9,12
32,1,7:46.0,C. McCollum misses 2-pt jump shot from 17 ft,,9,12
33,1,7:46.0,,Defensive rebound by P. Tucker,9,12
34,1,7:33.0,,M. Morris misses 2-pt jump shot from 17 ft,9,12
35,1,7:33.0,Defensive rebound by A. Aminu,,9,12
36,1,7:21.0,Offensive foul by A. Aminu (drawn by P. Tucker),,9,12
37,1,7:21.0,Turnover by A. Aminu (offensive foul),,9,12
38,1,7:04.0,,M. Morris misses 3-pt jump shot from 25 ft,9,12
39,1,7:03.0,Defensive rebound by A. Aminu,,9,12
40,1,6:56.0,A. Aminu makes 2-pt dunk at rim,,11,12
41,1,6:46.0,,T. Chandler makes 2-pt layup from 1 ft (assist by B. Knight),11,14
42,1,6:30.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by M. Leonard),,14,14
43,1,6:22.0,,Shooting block foul by M. Plumlee (drawn by T. Chandler),14,14
44,1,6:22.0,,T. Chandler makes free throw 1 of 2,14,15
45,1,6:22.0,,T. Chandler makes free throw 2 of 2,14,16
46,1,6:01.0,M. Plumlee misses 2-pt layup from 2 ft,,14,16
47,1,6:01.0,,Defensive rebound by E. Bledsoe,14,16
48,1,5:50.0,,M. Morris makes 2-pt jump shot from 14 ft,14,18
49,1,5:31.0,C. McCollum misses 3-pt jump shot from 24 ft,,14,18
50,1,5:30.0,Offensive rebound by M. Plumlee,,14,18
51,1,5:23.0,M. Plumlee makes 2-pt layup at rim (assist by D. Lillard),,16,18
52,1,5:10.0,,T. Chandler misses 2-pt layup at rim,16,18
53,1,5:10.0,,Offensive rebound by T. Chandler,16,18
54,1,5:10.0,,Shooting foul by A. Aminu (drawn by T. Chandler),16,18
55,1,5:10.0,,Phoenix full timeout,16,18
56,1,5:10.0,A. Crabbe enters the game for C. McCollum,,16,18
57,1,5:10.0,,T. Chandler makes free throw 1 of 2,16,19
58,1,5:10.0,,T. Chandler misses free throw 2 of 2,16,19
59,1,5:09.0,Defensive rebound by M. Leonard,,16,19
60,1,4:51.0,M. Leonard misses 2-pt jump shot from 8 ft,,16,19
61,1,4:50.0,,Defensive rebound by M. Morris,16,19
62,1,4:34.0,,Shooting foul by M. Leonard (drawn by T. Chandler),16,19
63,1,4:34.0,,T. Chandler misses free throw 1 of 2,16,19
64,1,4:34.0,,Offensive rebound by Team,16,19
65,1,4:34.0,,S. Weems enters the game for B. Knight,16,19
66,1,4:34.0,,T. Chandler makes free throw 2 of 2,16,20
67,1,4:27.0,M. Plumlee misses 2-pt layup from 1 ft,,16,20
68,1,4:27.0,,Defensive rebound by S. Weems,16,20
69,1,4:16.0,,S. Weems misses 3-pt jump shot from 24 ft,16,20
70,1,4:15.0,Defensive rebound by M. Leonard,,16,20
71,1,4:07.0,D. Lillard misses 2-pt jump shot from 21 ft,,16,20
72,1,4:06.0,,Defensive rebound by T. Chandler,16,20
73,1,3:54.0,,T. Chandler misses 2-pt jump shot from 18 ft,16,20
74,1,3:54.0,Defensive rebound by D. Lillard,,16,20
75,1,3:47.0,D. Lillard makes 3-pt jump shot from 24 ft,,19,20
76,1,3:26.0,,E. Bledsoe makes 2-pt jump shot from 17 ft (assist by T. Chandler),19,22
77,1,3:15.0,D. Lillard misses 2-pt jump shot from 19 ft,,19,22
78,1,3:14.0,,Defensive rebound by T. Chandler,19,22
