,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHARLOTTE_ACTION,DETROIT_SCORE,CHARLOTTE_SCORE
0,1,11:36.0,M. Morris misses 2-pt jump shot from 15 ft,,0,0
1,1,11:34.0,,Defensive rebound by P. Hairston,0,0
2,1,11:17.0,,C. Zeller misses 2-pt layup from 1 ft,0,0
3,1,11:16.0,Defensive rebound by E. İlyasova,,0,0
4,1,11:11.0,Shooting foul by P. Hairston (drawn by E. İlyasova),,0,0
5,1,11:11.0,E. İlyasova misses free throw 1 of 2,,0,0
6,1,11:11.0,Offensive rebound by Team,,0,0
7,1,11:11.0,E. İlyasova misses free throw 2 of 2,,0,0
8,1,11:09.0,,Defensive rebound by N. Batum,0,0
9,1,10:57.0,,P. Hairston makes 3-pt jump shot from 22 ft (assist by N. Batum),0,3
10,1,10:42.0,E. İlyasova misses 2-pt layup from 2 ft,,0,3
11,1,10:41.0,Offensive rebound by A. Drummond,,0,3
12,1,10:41.0,A. Drummond makes 2-pt layup at rim,,2,3
13,1,10:17.0,,K. Walker misses 2-pt layup from 2 ft,2,3
14,1,10:16.0,Defensive rebound by E. İlyasova,,2,3
15,1,10:07.0,R. Jackson makes 2-pt layup from 1 ft,,4,3
16,1,9:49.0,,K. Walker misses 2-pt jump shot from 17 ft,4,3
17,1,9:47.0,Defensive rebound by A. Drummond,,4,3
18,1,9:31.0,Shooting foul by P. Hairston (drawn by K. Caldwell-Pope),,4,3
19,1,9:31.0,K. Caldwell-Pope makes 2-pt layup from 2 ft,,6,3
20,1,9:31.0,K. Caldwell-Pope makes free throw 1 of 1,,7,3
21,1,9:17.0,,N. Batum misses 2-pt jump shot from 13 ft,7,3
22,1,9:16.0,Defensive rebound by E. İlyasova,,7,3
23,1,9:06.0,E. İlyasova misses 3-pt jump shot from 25 ft,,7,3
24,1,9:05.0,,Defensive rebound by N. Batum,7,3
25,1,8:56.0,,N. Batum makes 2-pt jump shot from 7 ft,7,5
26,1,8:39.0,R. Jackson misses 3-pt jump shot from 25 ft,,7,5
27,1,8:38.0,,Defensive rebound by P. Hairston,7,5
28,1,8:30.0,,K. Walker makes 3-pt jump shot from 25 ft (assist by C. Zeller),7,8
29,1,8:02.0,M. Morris misses 2-pt jump shot from 9 ft,,7,8
30,1,7:59.0,,Defensive rebound by M. Williams,7,8
31,1,7:39.0,,N. Batum misses 2-pt jump shot from 18 ft,7,8
32,1,7:38.0,Defensive rebound by A. Drummond,,7,8
33,1,7:26.0,E. İlyasova misses 2-pt layup from 1 ft (block by C. Zeller),,7,8
34,1,7:24.0,,Defensive rebound by N. Batum,7,8
35,1,7:19.0,,Turnover by N. Batum (lost ball; steal by E. İlyasova),7,8
36,1,6:58.0,A. Drummond misses 2-pt hook shot from 9 ft,,7,8
37,1,6:58.0,Offensive rebound by Team,,7,8
38,1,6:58.0,,J. Lin enters the game for K. Walker,7,8
39,1,6:54.0,Turnover by M. Morris (bad pass; steal by J. Lin),,7,8
40,1,6:51.0,,Personal foul by K. Caldwell-Pope (drawn by N. Batum),7,8
41,1,6:38.0,,N. Batum misses 2-pt jump shot from 15 ft,7,8
42,1,6:37.0,Defensive rebound by K. Caldwell-Pope,,7,8
43,1,6:28.0,M. Morris makes 3-pt jump shot from 25 ft (assist by E. İlyasova),,10,8
44,1,6:13.0,,P. Hairston misses 2-pt jump shot from 9 ft (block by M. Morris),10,8
45,1,6:11.0,Defensive rebound by M. Morris,,10,8
46,1,6:09.0,Shooting foul by C. Zeller (drawn by M. Morris),,10,8
47,1,6:09.0,M. Morris misses free throw 1 of 2,,10,8
48,1,6:09.0,Offensive rebound by Team,,10,8
49,1,6:09.0,M. Morris makes free throw 2 of 2,,11,8
50,1,5:50.0,,N. Batum misses 2-pt jump shot from 20 ft,11,8
51,1,5:49.0,,Offensive rebound by C. Zeller,11,8
52,1,5:43.0,,M. Williams makes 3-pt jump shot from 22 ft (assist by J. Lin),11,11
53,1,5:24.0,E. İlyasova misses 3-pt jump shot from 25 ft,,11,11
54,1,5:22.0,,Defensive rebound by P. Hairston,11,11
55,1,5:17.0,,P. Hairston misses 3-pt jump shot from 24 ft,11,11
