,QUARTER,TIME_REMAINING,INDIANA_ACTION,WASHINGTON_ACTION,INDIANA_SCORE,WASHINGTON_SCORE
0,1,11:46.0,,J. Wall misses 2-pt layup from 1 ft,0,0
1,1,11:44.0,,Offensive rebound by O. Porter,0,0
2,1,11:42.0,,O. Porter makes 2-pt layup at rim,0,2
3,1,11:27.0,P. George makes 3-pt jump shot from 26 ft (assist by M. Ellis),,3,2
4,1,11:02.0,,M. Morris misses 2-pt jump shot from 14 ft,3,2
5,1,11:02.0,,Offensive rebound by M. Gortat,3,2
6,1,11:02.0,,M. Gortat misses 2-pt layup at rim,3,2
7,1,11:01.0,Defensive rebound by I. Mahinmi,,3,2
8,1,10:40.0,P. George misses 2-pt jump shot from 18 ft,,3,2
9,1,10:38.0,,Defensive rebound by M. Gortat,3,2
10,1,10:30.0,,O. Porter makes 2-pt layup from 1 ft (assist by M. Gortat),3,4
11,1,10:11.0,P. George misses 2-pt layup from 2 ft (block by M. Gortat),,3,4
12,1,10:09.0,,Defensive rebound by M. Morris,3,4
13,1,10:09.0,,Turnover by M. Morris (traveling),3,4
14,1,9:59.0,M. Ellis makes 2-pt jump shot from 5 ft,,5,4
15,1,9:46.0,,Turnover by M. Gortat (lost ball; steal by I. Mahinmi),5,4
16,1,9:35.0,G. Hill makes 3-pt jump shot from 23 ft,,8,4
17,1,9:23.0,,Turnover by B. Beal (traveling),8,4
18,1,9:11.0,M. Turner misses 2-pt jump shot from 20 ft,,8,4
19,1,9:10.0,,Defensive rebound by J. Wall,8,4
20,1,9:02.0,,O. Porter misses 3-pt jump shot from 23 ft,8,4
21,1,9:01.0,,Offensive rebound by M. Morris,8,4
22,1,8:58.0,,J. Wall misses 3-pt jump shot from 27 ft,8,4
23,1,8:57.0,,Offensive rebound by M. Morris,8,4
24,1,8:53.0,,O. Porter makes 2-pt layup at rim (assist by J. Wall),8,6
25,1,8:35.0,P. George makes 2-pt jump shot from 17 ft (assist by G. Hill),,10,6
26,1,8:24.0,,Personal foul by M. Ellis (drawn by B. Beal),10,6
27,1,8:20.0,,B. Beal makes 2-pt jump shot from 16 ft,10,8
28,1,8:07.0,I. Mahinmi misses 2-pt layup from 2 ft (block by M. Gortat),,10,8
29,1,8:06.0,Offensive rebound by G. Hill,,10,8
30,1,8:02.0,G. Hill misses 3-pt jump shot from 26 ft,,10,8
31,1,8:01.0,,Defensive rebound by B. Beal,10,8
32,1,7:54.0,,M. Morris makes 2-pt dunk at rim (assist by O. Porter),10,10
33,1,7:39.0,M. Turner misses 2-pt jump shot from 10 ft,,10,10
34,1,7:38.0,,Defensive rebound by M. Gortat,10,10
35,1,7:32.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),10,13
36,1,7:15.0,P. George makes 2-pt jump shot from 17 ft,,12,13
37,1,6:59.0,,M. Gortat makes 2-pt hook shot from 8 ft (assist by J. Wall),12,15
38,1,6:42.0,Turnover by I. Mahinmi (bad pass; steal by J. Wall),,12,15
39,1,6:39.0,,J. Wall makes 2-pt layup from 1 ft,12,17
40,1,6:39.0,,Shooting foul by G. Hill (drawn by J. Wall),12,17
41,1,6:39.0,,J. Wall misses free throw 1 of 1,12,17
42,1,6:38.0,Defensive rebound by M. Turner,,12,17
43,1,6:34.0,Indiana full timeout,,12,17
44,1,6:25.0,M. Ellis makes 2-pt jump shot from 19 ft,,14,17
45,1,5:59.0,,B. Beal makes 2-pt jump shot from 17 ft,14,19
46,1,5:44.0,M. Ellis makes 2-pt jump shot from 21 ft,,16,19
47,1,5:28.0,,B. Beal misses 2-pt jump shot from 18 ft,16,19
48,1,5:27.0,Defensive rebound by G. Hill,,16,19
49,1,5:16.0,P. George makes 2-pt jump shot from 12 ft,,18,19
50,1,5:05.0,,Personal foul by P. George (drawn by O. Porter),18,19
51,1,4:53.0,,B. Beal misses 2-pt jump shot from 9 ft,18,19
52,1,4:52.0,Defensive rebound by I. Mahinmi,,18,19
53,1,4:45.0,Shooting foul by O. Porter (drawn by P. George),,18,19
54,1,4:45.0,P. George makes free throw 1 of 2,,19,19
55,1,4:45.0,,A. Anderson enters the game for O. Porter,19,19
56,1,4:45.0,P. George makes free throw 2 of 2,,20,19
57,1,4:31.0,,M. Morris misses 2-pt jump shot from 15 ft,20,19
58,1,4:30.0,Defensive rebound by I. Mahinmi,,20,19
59,1,4:22.0,M. Turner misses 2-pt jump shot from 12 ft,,20,19
60,1,4:21.0,,Defensive rebound by J. Wall,20,19
61,1,4:15.0,R. Stuckey enters the game for G. Hill,,20,19
62,1,4:09.0,,M. Gortat makes 2-pt dunk at rim (assist by J. Wall),20,21
63,1,3:54.0,M. Ellis misses 3-pt jump shot from 26 ft,,20,21
64,1,3:53.0,,Defensive rebound by J. Wall,20,21
65,1,3:49.0,,J. Wall makes 2-pt layup at rim,20,23
66,1,3:30.0,I. Mahinmi makes 2-pt layup at rim (assist by P. George),,22,23
67,1,3:20.0,,J. Wall makes 2-pt jump shot from 16 ft,22,25
68,1,2:58.0,P. George makes 3-pt jump shot from 25 ft (assist by I. Mahinmi),,25,25
69,1,2:51.0,,Washington full timeout,25,25
70,1,2:51.0,,G. Temple enters the game for B. Beal,25,25
71,1,2:51.0,J. Hill enters the game for I. Mahinmi,,25,25
72,1,2:51.0,L. Allen enters the game for M. Turner,,25,25
73,1,2:42.0,,A. Anderson makes 3-pt jump shot from 23 ft (assist by J. Wall),25,28
74,1,2:27.0,P. George makes 2-pt dunk at rim (assist by M. Ellis),,27,28
75,1,2:10.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by J. Wall),27,30
76,1,1:54.0,Shooting foul by G. Temple (drawn by R. Stuckey),,27,30
77,1,1:54.0,R. Stuckey makes free throw 1 of 2,,28,30
78,1,1:54.0,,J. Dudley enters the game for M. Morris,28,30
79,1,1:54.0,R. Stuckey makes free throw 2 of 2,,29,30
