,QUARTER,TIME_REMAINING,CHICAGO_ACTION,INDIANA_ACTION,CHICAGO_SCORE,INDIANA_SCORE
0,1,11:46.0,M. Dunleavy makes 2-pt layup from 1 ft (assist by P. Gasol),,2,0
1,1,11:30.0,,P. George misses 3-pt jump shot from 23 ft (block by P. Gasol),2,0
2,1,11:29.0,Defensive rebound by J. Butler,,2,0
3,1,11:20.0,Turnover by P. Gasol (bad pass),,2,0
4,1,11:08.0,,M. Ellis misses 2-pt jump shot from 10 ft,2,0
5,1,11:07.0,Defensive rebound by P. Gasol,,2,0
6,1,10:48.0,P. Gasol makes 2-pt jump shot from 18 ft (assist by T. Gibson),,4,0
7,1,10:34.0,,I. Mahinmi makes 2-pt layup at rim,4,2
8,1,10:24.0,T. Gibson misses 2-pt layup at rim,,4,2
9,1,10:24.0,Offensive rebound by T. Gibson,,4,2
10,1,10:24.0,D. Rose misses 2-pt layup from 1 ft,,4,2
11,1,10:23.0,,Defensive rebound by M. Turner,4,2
12,1,10:08.0,,I. Mahinmi makes 2-pt dunk at rim (assist by M. Ellis),4,4
13,1,9:47.0,T. Gibson misses 2-pt jump shot from 6 ft (block by I. Mahinmi),,4,4
14,1,9:47.0,Offensive rebound by P. Gasol,,4,4
15,1,9:44.0,P. Gasol makes 2-pt jump shot from 13 ft (assist by D. Rose),,6,4
16,1,9:32.0,,G. Hill makes 2-pt jump shot from 18 ft,6,6
17,1,9:16.0,P. Gasol misses 2-pt jump shot from 18 ft,,6,6
18,1,9:15.0,,Defensive rebound by M. Turner,6,6
19,1,9:10.0,,Personal foul by D. Rose,6,6
20,1,8:57.0,,M. Turner misses 2-pt layup from 3 ft,6,6
21,1,8:57.0,,Offensive rebound by Team,6,6
22,1,8:57.0,Loose ball foul by J. Butler,,6,6
23,1,8:49.0,,Turnover by I. Mahinmi (bad pass),6,6
24,1,8:41.0,Personal foul by M. Turner,,6,6
25,1,8:32.0,J. Butler makes 2-pt dunk at rim (assist by P. Gasol),,8,6
26,1,8:21.0,,M. Ellis misses 2-pt layup at rim,8,6
27,1,8:20.0,Defensive rebound by P. Gasol,,8,6
28,1,8:01.0,Shooting foul by I. Mahinmi (drawn by P. Gasol),,8,6
29,1,8:01.0,P. Gasol makes free throw 1 of 3,,9,6
30,1,8:01.0,P. Gasol misses free throw 2 of 3,,9,6
31,1,8:01.0,Offensive rebound by Team,,9,6
32,1,8:01.0,P. Gasol makes free throw 3 of 3,,10,6
33,1,7:51.0,,Personal foul by M. Dunleavy,10,6
34,1,7:38.0,,I. Mahinmi misses 2-pt layup from 1 ft (block by P. Gasol),10,6
35,1,7:37.0,Defensive rebound by T. Gibson,,10,6
36,1,7:24.0,D. Rose makes 2-pt jump shot from 15 ft,,12,6
37,1,7:14.0,,G. Hill makes 2-pt jump shot from 18 ft,12,8
38,1,6:56.0,D. Rose misses 2-pt layup at rim,,12,8
39,1,6:56.0,Offensive rebound by P. Gasol,,12,8
40,1,6:51.0,D. Rose makes 2-pt jump shot from 11 ft (assist by P. Gasol),,14,8
41,1,6:32.0,,I. Mahinmi misses 2-pt hook shot from 6 ft,14,8
42,1,6:32.0,Defensive rebound by P. Gasol,,14,8
43,1,6:29.0,Turnover by P. Gasol (lost ball; steal by P. George),,14,8
44,1,6:28.0,,I. Mahinmi makes 2-pt dunk at rim (assist by P. George),14,10
45,1,6:07.0,T. Gibson misses 2-pt jump shot from 11 ft,,14,10
46,1,6:05.0,,Defensive rebound by P. George,14,10
47,1,5:59.0,,M. Ellis misses 3-pt jump shot from 24 ft,14,10
48,1,5:57.0,Defensive rebound by J. Butler,,14,10
49,1,5:51.0,T. Gibson misses 2-pt layup from 1 ft (block by P. George),,14,10
