,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PORTLAND_ACTION,BROOKLYN_SCORE,PORTLAND_SCORE
0,1,11:45.0,,A. Aminu makes 2-pt jump shot from 22 ft (assist by M. Plumlee),0,2
1,1,11:26.0,Turnover by B. Lopez (bad pass),,0,2
2,1,11:12.0,,A. Aminu misses 2-pt jump shot from 5 ft,0,2
3,1,11:12.0,Defensive rebound by J. Johnson,,0,2
4,1,11:04.0,T. Young misses 2-pt jump shot from 4 ft,,0,2
5,1,11:03.0,,Defensive rebound by C. McCollum,0,2
6,1,10:54.0,,C. McCollum makes 2-pt jump shot from 9 ft,0,4
7,1,10:32.0,J. Johnson makes 2-pt hook shot from 8 ft,,2,4
8,1,10:17.0,,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),2,6
9,1,10:06.0,T. Young misses 2-pt jump shot from 19 ft,,2,6
10,1,10:06.0,,Defensive rebound by M. Plumlee,2,6
11,1,9:59.0,,D. Lillard misses 3-pt jump shot from 26 ft,2,6
12,1,9:58.0,Defensive rebound by W. Ellington,,2,6
13,1,9:39.0,B. Lopez makes 2-pt dunk at rim,,4,6
14,1,9:22.0,,N. Vonleh misses 2-pt jump shot from 2 ft,4,6
15,1,9:21.0,Defensive rebound by T. Young,,4,6
16,1,9:16.0,J. Johnson makes 2-pt jump shot from 15 ft (assist by T. Young),,6,6
17,1,8:57.0,,C. McCollum misses 2-pt jump shot from 14 ft,6,6
18,1,8:56.0,Defensive rebound by J. Johnson,,6,6
19,1,8:36.0,B. Lopez makes 2-pt layup at rim,,8,6
20,1,8:23.0,,N. Vonleh makes 2-pt jump shot from 5 ft (assist by A. Aminu),8,8
21,1,8:08.0,W. Ellington makes 2-pt jump shot from 19 ft (assist by J. Johnson),,10,8
22,1,7:44.0,,D. Lillard misses 3-pt jump shot from 27 ft,10,8
23,1,7:43.0,Defensive rebound by W. Ellington,,10,8
24,1,7:28.0,B. Lopez misses 2-pt jump shot from 8 ft,,10,8
25,1,7:27.0,,Defensive rebound by M. Plumlee,10,8
