,QUARTER,TIME_REMAINING,TORONTO_ACTION,DETROIT_ACTION,TORONTO_SCORE,DETROIT_SCORE
0,1,11:42.0,,R. Jackson makes 3-pt jump shot from 24 ft (assist by A. Drummond),0,3
1,1,11:21.0,D. DeRozan makes 2-pt jump shot from 9 ft (assist by C. Joseph),,2,3
2,1,11:07.0,,T. Harris misses 2-pt jump shot from 15 ft,2,3
3,1,11:06.0,Defensive rebound by L. Scola,,2,3
4,1,10:49.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,5,3
5,1,10:32.0,,K. Caldwell-Pope misses 2-pt jump shot from 17 ft,5,3
6,1,10:31.0,Defensive rebound by J. Johnson,,5,3
7,1,10:07.0,D. DeRozan makes 2-pt jump shot from 15 ft (assist by J. Johnson),,7,3
8,1,9:52.0,,T. Harris misses 2-pt jump shot from 17 ft,7,3
9,1,9:51.0,Defensive rebound by J. Johnson,,7,3
10,1,9:40.0,J. Valančiūnas misses 2-pt jump shot from 8 ft,,7,3
11,1,9:38.0,,Defensive rebound by A. Drummond,7,3
12,1,9:27.0,,Turnover by R. Jackson (bad pass; steal by J. Valančiūnas),7,3
13,1,9:17.0,J. Valančiūnas makes 2-pt hook shot from 7 ft (assist by J. Johnson),,9,3
14,1,9:06.0,,R. Jackson makes 2-pt layup from 1 ft,9,5
15,1,9:06.0,,Shooting foul by C. Joseph (drawn by R. Jackson),9,5
16,1,9:06.0,,R. Jackson makes free throw 1 of 1,9,6
17,1,8:54.0,Personal foul by T. Harris (drawn by D. DeRozan),,9,6
18,1,8:45.0,Personal foul by A. Drummond (drawn by J. Valančiūnas),,9,6
19,1,8:33.0,Shooting foul by T. Harris (drawn by J. Johnson),,9,6
20,1,8:33.0,J. Johnson misses free throw 1 of 2,,9,6
21,1,8:33.0,Offensive rebound by Team,,9,6
22,1,8:33.0,,J. Harper enters the game for T. Harris,9,6
23,1,8:33.0,J. Johnson misses free throw 2 of 2,,9,6
24,1,8:31.0,,Defensive rebound by A. Drummond,9,6
25,1,8:20.0,,M. Morris misses 2-pt jump shot from 12 ft,9,6
26,1,8:18.0,Defensive rebound by J. Valančiūnas,,9,6
27,1,8:01.0,D. DeRozan misses 2-pt jump shot from 13 ft,,9,6
28,1,8:00.0,,Defensive rebound by A. Drummond,9,6
29,1,7:53.0,,Personal foul by C. Joseph (drawn by R. Jackson),9,6
30,1,7:53.0,D. Wright enters the game for C. Joseph,,9,6
31,1,7:43.0,,J. Harper makes 3-pt jump shot from 25 ft (assist by R. Jackson),9,9
32,1,7:30.0,Turnover by D. Wright (bad pass),,9,9
33,1,7:10.0,,K. Caldwell-Pope makes 2-pt jump shot from 15 ft (assist by M. Morris),9,11
34,1,6:50.0,J. Valančiūnas makes 2-pt jump shot from 16 ft (assist by D. Wright),,11,11
35,1,6:37.0,,R. Jackson misses 2-pt jump shot from 16 ft,11,11
36,1,6:35.0,Defensive rebound by D. Wright,,11,11
37,1,6:14.0,J. Johnson misses 2-pt layup from 2 ft,,11,11
38,1,6:13.0,,Defensive rebound by A. Drummond,11,11
39,1,6:07.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,11,11
40,1,6:06.0,Defensive rebound by J. Valančiūnas,,11,11
41,1,5:45.0,D. DeRozan makes 2-pt jump shot from 19 ft,,13,11
42,1,5:26.0,,J. Harper makes 3-pt jump shot from 24 ft (assist by M. Morris),13,14
43,1,5:20.0,Toronto full timeout,,13,14
44,1,5:01.0,D. DeRozan makes 2-pt jump shot from 18 ft,,15,14
45,1,4:39.0,,R. Jackson misses 3-pt jump shot from 25 ft,15,14
46,1,4:38.0,,Offensive rebound by A. Drummond,15,14
47,1,4:34.0,,A. Drummond misses 2-pt hook shot from 7 ft,15,14
48,1,4:32.0,Defensive rebound by J. Johnson,,15,14
49,1,4:25.0,Personal foul by J. Harper (drawn by L. Scola),,15,14
50,1,4:25.0,T. Ross enters the game for J. Johnson,,15,14
51,1,4:25.0,,R. Bullock enters the game for M. Morris,15,14
52,1,4:12.0,D. Wright misses 3-pt jump shot from 22 ft,,15,14
53,1,4:11.0,,Defensive rebound by A. Drummond,15,14
54,1,4:00.0,,K. Caldwell-Pope makes 2-pt jump shot from 16 ft (assist by R. Jackson),15,16
55,1,3:45.0,Personal foul by K. Caldwell-Pope (drawn by L. Scola),,15,16
56,1,3:45.0,L. Scola misses free throw 1 of 2,,15,16
57,1,3:45.0,Offensive rebound by Team,,15,16
58,1,3:45.0,L. Scola makes free throw 2 of 2,,16,16
59,1,3:33.0,,A. Drummond misses 2-pt layup from 2 ft (block by D. DeRozan),16,16
60,1,3:31.0,,Offensive rebound by A. Drummond,16,16
61,1,3:27.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by A. Drummond),16,19
62,1,3:03.0,T. Ross makes 2-pt jump shot from 18 ft,,18,19
63,1,2:41.0,,R. Bullock makes 2-pt jump shot from 20 ft (assist by K. Caldwell-Pope),18,21
64,1,2:21.0,L. Scola misses 2-pt layup from 1 ft,,18,21
65,1,2:20.0,,Defensive rebound by A. Drummond,18,21
66,1,2:12.0,,Shooting foul by L. Scola (drawn by R. Jackson),18,21
67,1,2:12.0,,Detroit full timeout,18,21
68,1,2:12.0,B. Biyombo enters the game for L. Scola,,18,21
69,1,2:12.0,P. Patterson enters the game for J. Valančiūnas,,18,21
70,1,2:12.0,,R. Jackson makes free throw 1 of 2,18,22
71,1,2:12.0,,R. Jackson makes free throw 2 of 2,18,23
72,1,1:56.0,T. Ross makes 2-pt layup at rim (assist by D. DeRozan),,20,23
73,1,1:34.0,,A. Drummond misses 2-pt hook shot at rim,20,23
74,1,1:32.0,Defensive rebound by B. Biyombo,,20,23
75,1,1:27.0,D. DeRozan makes 2-pt jump shot from 12 ft,,22,23
76,1,1:27.0,Shooting foul by K. Caldwell-Pope (drawn by D. DeRozan),,22,23
77,1,1:27.0,,S. Blake enters the game for R. Jackson,22,23
78,1,1:27.0,,D. Hilliard enters the game for K. Caldwell-Pope,22,23
79,1,1:27.0,,Violation by Team (delay of game),22,23
80,1,1:27.0,D. DeRozan makes free throw 1 of 1,,23,23
81,1,1:04.0,,J. Harper misses 3-pt jump shot from 26 ft,23,23
82,1,1:02.0,Defensive rebound by B. Biyombo,,23,23
83,1,0:45.0,D. Wright misses 3-pt jump shot from 25 ft,,23,23
84,1,0:44.0,,Defensive rebound by A. Drummond,23,23
