,QUARTER,TIME_REMAINING,TORONTO_ACTION,CLEVELAND_ACTION,TORONTO_SCORE,CLEVELAND_SCORE
0,1,12:00.0,,Violation by Team (jump ball),0,0
1,1,11:40.0,D. DeRozan makes 2-pt layup from 2 ft (assist by J. Valančiūnas),,2,0
2,1,11:21.0,,K. Love misses 3-pt jump shot from 25 ft,2,0
3,1,11:19.0,Defensive rebound by L. Scola,,2,0
4,1,11:09.0,K. Lowry misses 3-pt jump shot from 26 ft,,2,0
5,1,11:08.0,,Defensive rebound by T. Thompson,2,0
6,1,10:52.0,,K. Irving makes 2-pt jump shot from 13 ft,2,2
7,1,10:33.0,L. Scola makes 2-pt jump shot from 4 ft (assist by K. Lowry),,4,2
8,1,10:14.0,,K. Irving makes 2-pt jump shot from 19 ft (assist by J. Smith),4,4
9,1,9:47.0,L. Scola misses 3-pt jump shot from 24 ft,,4,4
10,1,9:45.0,Offensive rebound by J. Valančiūnas,,4,4
11,1,9:42.0,Shooting foul by J. Smith (drawn by J. Johnson),,4,4
12,1,9:42.0,J. Johnson misses free throw 1 of 2,,4,4
13,1,9:42.0,Offensive rebound by Team,,4,4
14,1,9:42.0,J. Johnson misses free throw 2 of 2,,4,4
15,1,9:41.0,,Defensive rebound by K. Love,4,4
16,1,9:25.0,,K. Love makes 2-pt hook shot from 3 ft (assist by L. James),4,6
17,1,9:13.0,L. Scola makes 3-pt jump shot from 26 ft (assist by K. Lowry),,7,6
18,1,9:00.0,,L. James misses 2-pt jump shot from 14 ft,7,6
19,1,9:00.0,,Offensive rebound by Team,7,6
20,1,9:00.0,Loose ball foul by J. Johnson (drawn by T. Thompson),,7,6
21,1,8:52.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Irving),7,9
22,1,8:39.0,D. DeRozan makes 2-pt layup from 1 ft (assist by K. Lowry),,9,9
23,1,8:23.0,,L. James makes 2-pt layup from 1 ft,9,11
24,1,8:18.0,K. Lowry misses 2-pt layup from 1 ft,,9,11
25,1,8:16.0,,Defensive rebound by T. Thompson,9,11
26,1,8:11.0,,K. Irving makes 2-pt layup at rim,9,13
27,1,7:53.0,D. DeRozan makes 2-pt layup from 2 ft,,11,13
28,1,7:35.0,,Personal foul by D. DeRozan (drawn by J. Smith),11,13
29,1,7:27.0,,L. James misses 2-pt jump shot from 17 ft,11,13
30,1,7:25.0,Defensive rebound by J. Valančiūnas,,11,13
31,1,7:16.0,K. Lowry misses 2-pt layup at rim,,11,13
32,1,7:12.0,,Defensive rebound by T. Thompson,11,13
33,1,7:03.0,,T. Thompson makes 2-pt jump shot from 5 ft (assist by K. Irving),11,15
34,1,6:56.0,Toronto full timeout,,11,15
35,1,6:38.0,D. DeRozan misses 2-pt jump shot from 4 ft,,11,15
36,1,6:36.0,,Defensive rebound by K. Love,11,15
37,1,6:32.0,,L. James makes 2-pt layup from 1 ft,11,17
38,1,6:05.0,Turnover by L. Scola (lost ball; steal by L. James),,11,17
39,1,5:54.0,,J. Smith misses 3-pt jump shot from 23 ft,11,17
40,1,5:53.0,Defensive rebound by Team,,11,17
41,1,5:37.0,Turnover by D. DeRozan (lost ball; steal by K. Love),,11,17
42,1,5:24.0,,K. Love makes 3-pt jump shot from 22 ft (assist by K. Irving),11,20
43,1,5:10.0,L. Scola misses 3-pt jump shot from 24 ft,,11,20
44,1,5:09.0,,Defensive rebound by K. Irving,11,20
45,1,4:48.0,,J. Smith makes 3-pt jump shot from 26 ft (assist by L. James),11,23
46,1,4:41.0,Toronto full timeout,,11,23
47,1,4:41.0,P. Patterson enters the game for J. Johnson,,11,23
48,1,4:41.0,T. Ross enters the game for L. Scola,,11,23
49,1,4:41.0,B. Biyombo enters the game for J. Valančiūnas,,11,23
50,1,4:41.0,,M. Dellavedova enters the game for K. Irving,11,23
51,1,4:31.0,P. Patterson makes 2-pt jump shot from 9 ft (assist by K. Lowry),,13,23
52,1,4:14.0,,J. Smith makes 3-pt jump shot from 26 ft,13,26
53,1,3:58.0,P. Patterson makes 3-pt jump shot from 25 ft (assist by K. Lowry),,16,26
54,1,3:35.0,,J. Smith misses 3-pt jump shot from 25 ft,16,26
55,1,3:34.0,Defensive rebound by P. Patterson,,16,26
56,1,3:27.0,K. Lowry makes 2-pt layup from 1 ft,,18,26
57,1,3:05.0,,K. Love misses 3-pt jump shot from 26 ft,18,26
58,1,3:05.0,Defensive rebound by Team,,18,26
59,1,2:52.0,K. Lowry makes 3-pt jump shot from 24 ft,,21,26
60,1,2:39.0,,Cleveland full timeout,21,26
61,1,2:39.0,C. Joseph enters the game for K. Lowry,,21,26
62,1,2:39.0,,J. Jones enters the game for K. Love,21,26
63,1,2:27.0,,T. Thompson makes 2-pt hook shot from 4 ft (assist by L. James),21,28
64,1,2:09.0,D. DeRozan makes 2-pt jump shot from 3 ft,,23,28
65,1,2:09.0,Shooting foul by T. Thompson (drawn by D. DeRozan),,23,28
66,1,2:09.0,,R. Jefferson enters the game for L. James,23,28
67,1,2:09.0,,I. Shumpert enters the game for J. Smith,23,28
68,1,2:09.0,D. DeRozan makes free throw 1 of 1,,24,28
69,1,1:56.0,,J. Jones makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),24,31
70,1,1:37.0,P. Patterson makes 2-pt dunk at rim (assist by D. DeRozan),,26,31
71,1,1:16.0,,Shooting foul by P. Patterson (drawn by J. Jones),26,31
72,1,1:16.0,,J. Jones makes free throw 1 of 2,26,32
73,1,1:16.0,,T. Mozgov enters the game for T. Thompson,26,32
74,1,1:16.0,,J. Jones makes free throw 2 of 2,26,33
75,1,1:04.0,C. Joseph misses 2-pt jump shot from 18 ft,,26,33
76,1,1:03.0,,Defensive rebound by I. Shumpert,26,33
77,1,0:44.0,,Turnover by M. Dellavedova (bad pass; steal by T. Ross),26,33
78,1,0:40.0,T. Ross makes 2-pt dunk at rim (assist by D. DeRozan),,28,33
79,1,0:27.0,,Turnover by M. Dellavedova (bad pass),28,33
80,1,0:09.0,Shooting foul by J. Jones (drawn by B. Biyombo),,28,33
81,1,0:09.0,B. Biyombo misses free throw 1 of 2,,28,33
82,1,0:09.0,Offensive rebound by Team,,28,33
83,1,0:09.0,,K. Irving enters the game for M. Dellavedova,28,33
84,1,0:09.0,B. Biyombo makes free throw 2 of 2,,29,33
85,1,0:00.0,,K. Irving misses 3-pt jump shot from 24 ft,29,33
86,1,0:00.0,,Offensive rebound by Team,29,33
87,2,11:39.0,,K. Irving makes 2-pt layup from 1 ft,29,35
88,2,11:23.0,Personal foul by R. Jefferson (drawn by C. Joseph),,29,35
89,2,11:11.0,J. Valančiūnas makes 2-pt layup at rim,,31,35
90,2,10:54.0,,K. Irving makes 3-pt jump shot from 29 ft,31,38
91,2,10:34.0,K. Lowry misses 2-pt jump shot from 22 ft,,31,38
