,QUARTER,TIME_REMAINING,UTAH_ACTION,MILWAUKEE_ACTION,UTAH_SCORE,MILWAUKEE_SCORE
0,1,11:35.0,R. Hood misses 3-pt jump shot from 24 ft,,0,0
1,1,11:32.0,,Defensive rebound by J. Parker,0,0
2,1,11:17.0,,J. Bayless makes 3-pt jump shot from 22 ft (assist by G. Antetokounmpo),0,3
3,1,11:02.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by R. Gobert),,3,3
4,1,10:40.0,,J. Parker misses 2-pt jump shot from 3 ft,3,3
5,1,10:39.0,Defensive rebound by D. Favors,,3,3
6,1,10:21.0,Turnover by D. Favors (lost ball; steal by G. Antetokounmpo),,3,3
7,1,10:15.0,,J. Bayless misses 3-pt jump shot from 25 ft,3,3
8,1,10:13.0,Defensive rebound by G. Hayward,,3,3
9,1,10:03.0,S. Mack misses 2-pt jump shot from 9 ft,,3,3
10,1,10:01.0,Offensive rebound by Team,,3,3
11,1,9:55.0,Shooting foul by J. Parker (drawn by R. Gobert),,3,3
12,1,9:55.0,R. Gobert makes free throw 1 of 2,,4,3
13,1,9:55.0,R. Gobert makes free throw 2 of 2,,5,3
14,1,9:38.0,,G. Antetokounmpo makes 2-pt jump shot from 21 ft,5,5
15,1,9:14.0,S. Mack makes 3-pt jump shot from 25 ft (assist by G. Hayward),,8,5
16,1,8:53.0,,Turnover by G. Monroe (traveling),8,5
17,1,8:30.0,G. Hayward misses 3-pt jump shot from 23 ft,,8,5
18,1,8:28.0,Offensive rebound by G. Hayward,,8,5
19,1,8:26.0,G. Hayward makes 2-pt dunk at rim,,10,5
20,1,8:10.0,,J. Parker misses 2-pt jump shot from 8 ft,10,5
21,1,8:08.0,Defensive rebound by R. Gobert,,10,5
22,1,8:01.0,R. Gobert makes 2-pt layup at rim (assist by S. Mack),,12,5
23,1,7:43.0,,J. Bayless makes 2-pt jump shot from 22 ft (assist by J. Parker),12,7
24,1,7:26.0,D. Favors misses 2-pt jump shot from 20 ft,,12,7
25,1,7:25.0,,Defensive rebound by J. Parker,12,7
26,1,7:18.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,12,7
27,1,7:15.0,Defensive rebound by D. Favors,,12,7
28,1,7:03.0,D. Favors makes 2-pt dunk at rim (assist by S. Mack),,14,7
29,1,6:42.0,,J. Parker makes 2-pt jump shot from 19 ft (assist by J. Bayless),14,9
30,1,6:17.0,R. Hood misses 3-pt jump shot from 23 ft,,14,9
31,1,6:15.0,Offensive rebound by D. Favors,,14,9
32,1,6:06.0,Turnover by R. Gobert (bad pass),,14,9
33,1,5:54.0,,G. Monroe misses 2-pt jump shot from 17 ft,14,9
34,1,5:53.0,Defensive rebound by S. Mack,,14,9
35,1,5:36.0,G. Hayward misses 3-pt jump shot from 24 ft,,14,9
36,1,5:35.0,,Defensive rebound by G. Antetokounmpo,14,9
37,1,5:23.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,14,9
38,1,5:22.0,Defensive rebound by G. Hayward,,14,9
39,1,5:07.0,Shooting foul by J. Bayless (drawn by S. Mack),,14,9
40,1,5:07.0,,Milwaukee full timeout,14,9
41,1,5:07.0,,J. Henson enters the game for J. Parker,14,9
42,1,5:07.0,,M. Plumlee enters the game for G. Monroe,14,9
43,1,5:07.0,T. Booker enters the game for G. Hayward,,14,9
44,1,5:07.0,J. Ingles enters the game for R. Gobert,,14,9
45,1,5:07.0,S. Mack makes free throw 1 of 2,,15,9
46,1,5:07.0,S. Mack makes free throw 2 of 2,,16,9
47,1,4:51.0,,J. Henson makes 2-pt hook shot from 1 ft (assist by J. Bayless),16,11
48,1,4:35.0,R. Hood misses 3-pt jump shot from 25 ft,,16,11
49,1,4:32.0,Offensive rebound by D. Favors,,16,11
50,1,4:22.0,S. Mack misses 2-pt layup from 1 ft,,16,11
51,1,4:20.0,,Defensive rebound by G. Antetokounmpo,16,11
52,1,4:13.0,,G. Antetokounmpo misses 2-pt layup at rim,16,11
53,1,4:09.0,,Offensive rebound by M. Plumlee,16,11
54,1,4:09.0,,M. Plumlee makes 2-pt dunk at rim,16,13
55,1,3:45.0,S. Mack makes 2-pt layup from 2 ft (assist by R. Hood),,18,13
56,1,3:20.0,,K. Middleton makes 2-pt layup at rim,18,15
57,1,3:11.0,T. Booker misses 2-pt layup from 1 ft,,18,15
58,1,3:09.0,,Defensive rebound by M. Plumlee,18,15
59,1,2:51.0,,J. Henson misses 2-pt layup from 2 ft,18,15
60,1,2:49.0,Defensive rebound by D. Favors,,18,15
61,1,2:35.0,Utah full timeout,,18,15
62,1,2:35.0,,T. Ennis enters the game for J. Bayless,18,15
63,1,2:25.0,R. Hood makes 3-pt jump shot from 24 ft (assist by S. Mack),,21,15
64,1,2:08.0,,M. Plumlee makes 2-pt dunk at rim (assist by G. Antetokounmpo),21,17
65,1,1:54.0,R. Hood misses 2-pt jump shot from 8 ft,,21,17
66,1,1:53.0,,Defensive rebound by J. Henson,21,17
67,1,1:44.0,,K. Middleton makes 3-pt jump shot from 24 ft (assist by T. Ennis),21,20
68,1,1:29.0,D. Favors misses 2-pt layup from 1 ft (block by M. Plumlee),,21,20
69,1,1:27.0,,Defensive rebound by G. Antetokounmpo,21,20
70,1,1:27.0,,Personal foul by J. Ingles,21,20
71,1,1:27.0,R. Neto enters the game for S. Mack,,21,20
72,1,1:26.0,,Personal foul by T. Booker,21,20
73,1,1:26.0,,J. Henson makes free throw 1 of 2,21,21
