,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHOENIX_ACTION,MILWAUKEE_SCORE,PHOENIX_SCORE
0,1,11:42.0,Turnover by K. Middleton (bad pass; steal by E. Bledsoe),,0,0
1,1,11:37.0,,E. Bledsoe misses 2-pt layup from 1 ft,0,0
2,1,11:36.0,Defensive rebound by M. Carter-Williams,,0,0
3,1,11:31.0,Turnover by M. Carter-Williams (bad pass; steal by E. Bledsoe),,0,0
4,1,11:26.0,,B. Knight makes 2-pt layup from 1 ft (assist by P. Tucker),0,2
5,1,11:12.0,,Violation by B. Knight (kicked ball),0,2
6,1,11:04.0,Shooting foul by E. Bledsoe (drawn by M. Carter-Williams),,0,2
7,1,11:04.0,M. Carter-Williams makes free throw 1 of 2,,1,2
8,1,11:04.0,M. Carter-Williams misses free throw 2 of 2,,1,2
9,1,11:03.0,,Defensive rebound by J. Leuer,1,2
10,1,10:49.0,,T. Chandler makes 2-pt dunk at rim (assist by E. Bledsoe),1,4
11,1,10:30.0,M. Carter-Williams misses 2-pt jump shot from 3 ft,,1,4
12,1,10:30.0,,Defensive rebound by J. Leuer,1,4
13,1,10:20.0,,Personal foul by K. Middleton (drawn by T. Chandler),1,4
14,1,10:12.0,,Turnover by E. Bledsoe (bad pass; steal by K. Middleton),1,4
15,1,10:03.0,G. Monroe makes 2-pt layup at rim (assist by O. Mayo),,3,4
16,1,9:49.0,,J. Leuer misses 2-pt jump shot from 7 ft,3,4
17,1,9:47.0,Defensive rebound by J. Parker,,3,4
18,1,9:43.0,J. Parker makes 2-pt layup at rim,,5,4
19,1,9:27.0,,B. Knight misses 2-pt jump shot from 21 ft,5,4
20,1,9:26.0,Defensive rebound by Team,,5,4
21,1,9:09.0,Shooting foul by B. Knight (drawn by O. Mayo),,5,4
22,1,9:09.0,O. Mayo makes free throw 1 of 2,,6,4
23,1,9:09.0,O. Mayo misses free throw 2 of 2,,6,4
24,1,9:07.0,,Defensive rebound by P. Tucker,6,4
25,1,8:55.0,Violation by G. Monroe (kicked ball),,6,4
26,1,8:50.0,,Turnover by P. Tucker (traveling),6,4
27,1,8:44.0,Personal foul by J. Leuer (drawn by J. Parker),,6,4
28,1,8:26.0,Turnover by Team (shot clock),,6,4
29,1,8:06.0,,Turnover by J. Leuer (bad pass; steal by M. Carter-Williams),6,4
30,1,8:00.0,K. Middleton makes 2-pt layup at rim (assist by M. Carter-Williams),,8,4
31,1,7:45.0,,J. Leuer misses 2-pt jump shot from 20 ft,8,4
32,1,7:45.0,Defensive rebound by O. Mayo,,8,4
33,1,7:39.0,O. Mayo makes 2-pt layup from 1 ft,,10,4
34,1,7:35.0,,Phoenix full timeout,10,4
35,1,7:35.0,,M. Morris enters the game for J. Leuer,10,4
36,1,7:27.0,,Turnover by M. Morris (bad pass),10,4
37,1,7:16.0,K. Middleton makes 2-pt jump shot from 10 ft (assist by O. Mayo),,12,4
38,1,7:10.0,,Personal block foul by G. Monroe (drawn by E. Bledsoe),12,4
39,1,7:04.0,,P. Tucker makes 2-pt layup at rim (assist by M. Morris),12,6
40,1,6:45.0,G. Monroe makes 2-pt layup from 1 ft,,14,6
