,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,INDIANA_ACTION,MILWAUKEE_SCORE,INDIANA_SCORE
0,1,11:49.0,Turnover by M. Carter-Williams (bad pass; steal by I. Mahinmi),,0,0
1,1,11:46.0,,P. George misses 2-pt layup from 2 ft (block by G. Monroe),0,0
2,1,11:46.0,,Offensive rebound by Team,0,0
3,1,11:35.0,,C. Miles makes 3-pt jump shot from 27 ft (assist by C. Budinger),0,3
4,1,11:17.0,Shooting foul by I. Mahinmi (drawn by G. Antetokounmpo),,0,3
5,1,11:17.0,G. Antetokounmpo makes free throw 1 of 2,,1,3
6,1,11:17.0,G. Antetokounmpo misses free throw 2 of 2,,1,3
7,1,11:16.0,Offensive rebound by J. Parker,,1,3
8,1,11:13.0,J. Parker makes 2-pt jump shot from 5 ft,,3,3
9,1,11:01.0,,Turnover by I. Mahinmi (lost ball; steal by J. Parker),3,3
10,1,10:56.0,J. Parker makes 2-pt dunk at rim,,5,3
11,1,10:37.0,,C. Budinger misses 2-pt jump shot from 17 ft,5,3
12,1,10:36.0,Defensive rebound by K. Middleton,,5,3
13,1,10:28.0,G. Monroe makes 2-pt layup at rim (assist by M. Carter-Williams),,7,3
14,1,10:16.0,,Turnover by M. Ellis (lost ball; steal by G. Monroe),7,3
15,1,10:13.0,Shooting foul by C. Miles (drawn by J. Parker),,7,3
16,1,10:13.0,J. Parker makes free throw 1 of 2,,8,3
17,1,10:13.0,J. Parker makes free throw 2 of 2,,9,3
18,1,10:02.0,,C. Miles misses 3-pt jump shot from 25 ft,9,3
19,1,10:02.0,,Offensive rebound by I. Mahinmi,9,3
20,1,9:54.0,,I. Mahinmi misses 2-pt hook shot from 5 ft,9,3
21,1,9:53.0,Defensive rebound by G. Monroe,,9,3
22,1,9:44.0,J. Parker misses 2-pt jump shot from 3 ft,,9,3
23,1,9:44.0,,Defensive rebound by C. Miles,9,3
24,1,9:25.0,,C. Budinger makes 3-pt jump shot from 23 ft (assist by M. Ellis),9,6
25,1,9:09.0,G. Antetokounmpo makes 2-pt dunk at rim,,11,6
26,1,8:52.0,,C. Miles misses 3-pt jump shot from 22 ft,11,6
27,1,8:52.0,Defensive rebound by G. Monroe,,11,6
28,1,8:40.0,Turnover by K. Middleton (lost ball; steal by M. Ellis),,11,6
29,1,8:34.0,,Turnover by C. Budinger (bad pass),11,6
30,1,8:23.0,Shooting block foul by C. Miles (drawn by M. Carter-Williams),,11,6
31,1,8:23.0,M. Carter-Williams misses free throw 1 of 2,,11,6
