,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,BOSTON_ACTION,MINNESOTA_SCORE,BOSTON_SCORE
0,1,11:44.0,A. Wiggins misses 2-pt jump shot from 12 ft,,0,0
1,1,11:43.0,,Defensive rebound by D. Lee,0,0
2,1,11:27.0,,A. Bradley makes 2-pt jump shot from 18 ft,0,2
3,1,11:27.0,,Shooting foul by A. Wiggins (drawn by A. Bradley),0,2
4,1,11:27.0,,A. Bradley makes free throw 1 of 1,0,3
5,1,11:12.0,K. Towns makes 2-pt hook shot from 7 ft (assist by R. Rubio),,2,3
6,1,10:51.0,,D. Lee misses 2-pt hook shot from 10 ft,2,3
7,1,10:50.0,Defensive rebound by G. Dieng,,2,3
8,1,10:34.0,K. Towns misses 3-pt jump shot from 24 ft,,2,3
9,1,10:32.0,,Defensive rebound by I. Thomas,2,3
10,1,10:27.0,,Turnover by D. Lee (lost ball; steal by R. Rubio),2,3
11,1,10:25.0,,Violation by I. Thomas (kicked ball),2,3
12,1,10:05.0,R. Rubio misses 3-pt jump shot from 22 ft,,2,3
13,1,10:04.0,Offensive rebound by Team,,2,3
14,1,9:57.0,Turnover by A. Wiggins (lost ball),,2,3
15,1,9:47.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by D. Lee),2,5
16,1,9:20.0,G. Dieng makes 2-pt jump shot from 11 ft,,4,5
17,1,9:06.0,,K. Olynyk makes 2-pt layup from 1 ft (assist by D. Lee),4,7
18,1,8:42.0,A. Wiggins misses 2-pt layup at rim (block by J. Crowder),,4,7
19,1,8:41.0,,Defensive rebound by J. Crowder,4,7
20,1,8:34.0,,J. Crowder misses 2-pt jump shot from 7 ft,4,7
21,1,8:33.0,Defensive rebound by K. Towns,,4,7
22,1,8:28.0,G. Dieng misses 2-pt layup at rim (block by K. Olynyk),,4,7
23,1,8:27.0,,Defensive rebound by D. Lee,4,7
24,1,8:23.0,Technical foul by Team,,4,7
25,1,8:23.0,,I. Thomas makes technical free throw,4,8
26,1,8:07.0,,D. Lee misses 2-pt jump shot from 6 ft,4,8
27,1,8:06.0,Defensive rebound by K. Towns,,4,8
28,1,7:57.0,Shooting foul by D. Lee (drawn by A. Wiggins),,4,8
29,1,7:57.0,Technical foul by A. Miller,,4,8
30,1,7:57.0,,I. Thomas makes technical free throw,4,9
31,1,7:57.0,A. Wiggins makes free throw 1 of 2,,5,9
32,1,7:57.0,A. Wiggins makes free throw 2 of 2,,6,9
33,1,7:41.0,,D. Lee misses 2-pt layup from 2 ft,6,9
34,1,7:40.0,,Offensive rebound by K. Olynyk,6,9
35,1,7:39.0,,K. Olynyk makes 2-pt layup at rim,6,11
36,1,7:23.0,R. Rubio misses 2-pt jump shot from 4 ft,,6,11
37,1,7:22.0,Offensive rebound by G. Dieng,,6,11
38,1,7:20.0,G. Dieng misses 2-pt layup from 1 ft (block by J. Crowder),,6,11
39,1,7:18.0,,Defensive rebound by J. Crowder,6,11
40,1,7:15.0,,Turnover by A. Bradley (bad pass; steal by R. Rubio),6,11
41,1,7:10.0,K. Towns makes 2-pt layup at rim (assist by R. Rubio),,8,11
42,1,7:10.0,Shooting foul by K. Olynyk (drawn by K. Towns),,8,11
43,1,7:10.0,K. Towns makes free throw 1 of 1,,9,11
44,1,6:48.0,,K. Olynyk misses 2-pt layup from 2 ft (block by G. Dieng),9,11
45,1,6:46.0,Defensive rebound by K. Towns,,9,11
46,1,6:41.0,R. Rubio misses 2-pt layup from 1 ft,,9,11
47,1,6:39.0,,Defensive rebound by I. Thomas,9,11
48,1,6:32.0,,I. Thomas misses 3-pt jump shot from 25 ft,9,11
49,1,6:31.0,Defensive rebound by K. Towns,,9,11
50,1,6:23.0,Minnesota full timeout,,9,11
51,1,6:15.0,A. Wiggins misses 2-pt jump shot from 10 ft,,9,11
52,1,6:14.0,,Defensive rebound by K. Olynyk,9,11
53,1,6:00.0,,A. Bradley makes 3-pt jump shot from 24 ft (assist by J. Crowder),9,14
54,1,5:42.0,Def 3 sec tech foul by K. Olynyk,,9,14
55,1,5:42.0,R. Rubio misses technical free throw,,9,14
56,1,5:42.0,Offensive rebound by Team,,9,14
57,1,5:42.0,,T. Zeller enters the game for D. Lee,9,14
58,1,5:37.0,Turnover by T. Prince (lost ball; steal by A. Bradley),,9,14
59,1,5:19.0,,I. Thomas makes 2-pt layup from 1 ft,9,16
60,1,5:00.0,A. Wiggins misses 2-pt jump shot from 6 ft,,9,16
61,1,4:59.0,,Defensive rebound by I. Thomas,9,16
62,1,4:55.0,,J. Crowder makes 2-pt layup at rim (assist by I. Thomas),9,18
63,1,4:39.0,K. Towns makes 2-pt jump shot from 18 ft (assist by R. Rubio),,11,18
64,1,4:21.0,,J. Crowder makes 3-pt jump shot from 25 ft,11,21
65,1,4:06.0,Shooting foul by T. Zeller (drawn by K. Towns),,11,21
66,1,4:06.0,K. Towns makes free throw 1 of 2,,12,21
67,1,4:06.0,S. Muhammad enters the game for T. Prince,,12,21
68,1,4:06.0,A. Payne enters the game for G. Dieng,,12,21
69,1,4:06.0,K. Towns makes free throw 2 of 2,,13,21
70,1,3:52.0,,J. Crowder misses 2-pt jump shot from 20 ft,13,21
71,1,3:51.0,Defensive rebound by A. Wiggins,,13,21
72,1,3:50.0,Personal foul by K. Olynyk (drawn by A. Wiggins),,13,21
73,1,3:50.0,K. Martin enters the game for A. Wiggins,,13,21
74,1,3:39.0,Shooting foul by T. Zeller (drawn by K. Towns),,13,21
75,1,3:39.0,K. Towns makes free throw 1 of 2,,14,21
76,1,3:39.0,,E. Turner enters the game for I. Thomas,14,21
77,1,3:39.0,K. Towns makes free throw 2 of 2,,15,21
78,1,3:29.0,,A. Bradley misses 2-pt jump shot from 20 ft,15,21
79,1,3:27.0,Defensive rebound by A. Payne,,15,21
80,1,3:18.0,K. Towns makes 2-pt layup from 2 ft (assist by R. Rubio),,17,21
81,1,3:18.0,Shooting block foul by T. Zeller (drawn by K. Towns),,17,21
82,1,3:18.0,Z. LaVine enters the game for R. Rubio,,17,21
83,1,3:18.0,,J. Jerebko enters the game for K. Olynyk,17,21
84,1,3:18.0,K. Towns makes free throw 1 of 1,,18,21
85,1,3:05.0,,J. Jerebko makes 3-pt jump shot from 25 ft (assist by E. Turner),18,24
86,1,2:43.0,K. Towns misses 2-pt jump shot from 6 ft,,18,24
87,1,2:42.0,,Defensive rebound by T. Zeller,18,24
88,1,2:36.0,,J. Crowder makes 2-pt jump shot from 21 ft (assist by E. Turner),18,26
89,1,2:19.0,K. Martin misses 2-pt jump shot from 13 ft,,18,26
90,1,2:18.0,,Defensive rebound by T. Zeller,18,26
91,1,2:09.0,,Boston full timeout,18,26
92,1,2:09.0,G. Dieng enters the game for K. Towns,,18,26
93,1,2:04.0,,A. Bradley misses 2-pt jump shot from 18 ft,18,26
94,1,2:02.0,Defensive rebound by A. Payne,,18,26
95,1,1:49.0,K. Martin makes 3-pt jump shot from 25 ft (assist by A. Payne),,21,26
96,1,1:33.0,,Turnover by E. Turner (bad pass; steal by Z. LaVine),21,26
97,1,1:30.0,Shooting foul by E. Turner (drawn by Z. LaVine),,21,26
98,1,1:30.0,Z. LaVine makes free throw 1 of 2,,22,26
99,1,1:30.0,,R. Hunter enters the game for A. Bradley,22,26
100,1,1:30.0,Z. LaVine misses free throw 2 of 2,,22,26
101,1,1:30.0,,Defensive rebound by J. Crowder,22,26
102,1,1:12.0,,T. Zeller makes 2-pt jump shot from 18 ft (assist by R. Hunter),22,28
103,1,0:58.0,Personal foul by R. Hunter (drawn by S. Muhammad),,22,28
104,1,0:58.0,S. Muhammad makes free throw 1 of 2,,23,28
105,1,0:58.0,S. Muhammad makes free throw 2 of 2,,24,28
106,1,0:47.0,,T. Zeller makes 2-pt hook shot from 6 ft (assist by E. Turner),24,30
107,1,0:36.0,K. Martin misses 2-pt jump shot from 9 ft,,24,30
108,1,0:35.0,,Defensive rebound by J. Crowder,24,30
109,1,0:24.0,,Shooting foul by G. Dieng (drawn by J. Jerebko),24,30
110,1,0:24.0,,J. Jerebko misses free throw 1 of 2,24,30
111,1,0:24.0,,Offensive rebound by Team,24,30
112,1,0:24.0,,J. Jerebko makes free throw 2 of 2,24,31
113,1,0:02.0,Z. LaVine makes 2-pt layup from 2 ft,,26,31
114,1,0:00.0,,R. Hunter makes 3-pt jump shot from 40 ft,26,34
115,2,11:41.0,,Turnover by E. Turner (lost ball; steal by A. Payne),26,34
116,2,11:21.0,Z. LaVine misses 2-pt jump shot from 17 ft,,26,34
117,2,11:20.0,,Defensive rebound by J. Jerebko,26,34
118,2,11:09.0,,J. Jerebko makes 3-pt jump shot from 25 ft (assist by E. Turner),26,37
119,2,10:41.0,K. Martin misses 2-pt jump shot from 7 ft (block by R. Hunter),,26,37
120,2,10:39.0,,Defensive rebound by J. Jerebko,26,37
121,2,10:35.0,,E. Turner makes 2-pt layup from 3 ft (assist by J. Jerebko),26,39
122,2,10:13.0,G. Dieng makes 2-pt layup at rim,,28,39
123,2,9:55.0,,T. Zeller makes 2-pt layup at rim (assist by E. Turner),28,41
124,2,9:34.0,S. Muhammad makes 2-pt layup from 1 ft (assist by G. Dieng),,30,41
125,2,9:23.0,,J. Young makes 3-pt jump shot from 26 ft (assist by E. Turner),30,44
126,2,9:05.0,A. Payne misses 3-pt jump shot from 24 ft,,30,44
127,2,9:04.0,,Defensive rebound by R. Hunter,30,44
128,2,8:57.0,,Personal block foul by A. Payne (drawn by R. Hunter),30,44
129,2,8:57.0,Official timeout,,30,44
130,2,8:57.0,D. Rudež enters the game for A. Payne,,30,44
131,2,8:57.0,,D. Lee enters the game for T. Zeller,30,44
132,2,8:43.0,,J. Jerebko misses 2-pt layup from 2 ft,30,44
133,2,8:42.0,Defensive rebound by G. Dieng,,30,44
134,2,8:36.0,Z. LaVine makes 2-pt layup at rim,,32,44
135,2,8:36.0,Shooting block foul by J. Young (drawn by Z. LaVine),,32,44
136,2,8:36.0,Z. LaVine makes free throw 1 of 1,,33,44
137,2,8:21.0,,R. Hunter makes 2-pt dunk at rim (assist by J. Jerebko),33,46
138,2,7:55.0,G. Dieng misses 2-pt jump shot from 8 ft (block by D. Lee),,33,46
139,2,7:52.0,,Defensive rebound by J. Jerebko,33,46
140,2,7:48.0,,R. Hunter misses 3-pt jump shot from 22 ft,33,46
141,2,7:47.0,Defensive rebound by Z. LaVine,,33,46
142,2,7:41.0,Z. LaVine makes 2-pt layup from 1 ft,,35,46
143,2,7:31.0,,Personal foul by K. Martin (drawn by R. Hunter),35,46
144,2,7:31.0,A. Wiggins enters the game for S. Muhammad,,35,46
145,2,7:31.0,,I. Thomas enters the game for E. Turner,35,46
146,2,7:26.0,,Personal foul by D. Rudež (drawn by I. Thomas),35,46
147,2,7:13.0,,R. Hunter misses 3-pt jump shot from 25 ft (block by K. Martin),35,46
148,2,7:12.0,,Offensive rebound by Team,35,46
149,2,7:12.0,,Turnover by Team (shot clock),35,46
150,2,7:01.0,Z. LaVine makes 2-pt jump shot from 13 ft,,37,46
151,2,6:45.0,,Shooting foul by K. Martin (drawn by D. Lee),37,46
152,2,6:45.0,,D. Lee makes free throw 1 of 2,37,47
153,2,6:45.0,,K. Olynyk enters the game for J. Jerebko,37,47
154,2,6:45.0,,D. Lee makes free throw 2 of 2,37,48
155,2,6:28.0,A. Wiggins makes 2-pt layup from 1 ft (assist by G. Dieng),,39,48
156,2,6:18.0,,D. Lee misses 2-pt hook shot from 6 ft,39,48
157,2,6:17.0,Defensive rebound by G. Dieng,,39,48
158,2,6:04.0,Shooting foul by J. Young (drawn by A. Wiggins),,39,48
159,2,6:04.0,A. Wiggins makes free throw 1 of 2,,40,48
160,2,6:04.0,,J. Crowder enters the game for R. Hunter,40,48
161,2,6:04.0,,A. Bradley enters the game for J. Young,40,48
162,2,6:04.0,K. Towns enters the game for K. Martin,,40,48
163,2,6:04.0,R. Rubio enters the game for D. Rudež,,40,48
164,2,6:04.0,A. Wiggins makes free throw 2 of 2,,41,48
165,2,5:50.0,,Personal foul by R. Rubio (drawn by K. Olynyk),41,48
166,2,5:50.0,,Boston full timeout,41,48
167,2,5:50.0,,K. Olynyk misses free throw 1 of 2,41,48
168,2,5:50.0,,Offensive rebound by Team,41,48
169,2,5:50.0,,K. Olynyk makes free throw 2 of 2,41,49
170,2,5:31.0,G. Dieng makes 2-pt jump shot from 12 ft,,43,49
171,2,5:17.0,,Shooting foul by K. Towns (drawn by K. Olynyk),43,49
172,2,5:17.0,,K. Olynyk makes free throw 1 of 2,43,50
173,2,5:17.0,T. Prince enters the game for Z. LaVine,,43,50
174,2,5:17.0,,K. Olynyk misses free throw 2 of 2,43,50
175,2,5:17.0,Defensive rebound by K. Towns,,43,50
176,2,5:05.0,G. Dieng misses 2-pt jump shot from 19 ft,,43,50
177,2,5:04.0,,Defensive rebound by A. Bradley,43,50
178,2,4:58.0,,K. Olynyk makes 3-pt jump shot from 23 ft (assist by A. Bradley),43,53
179,2,4:39.0,Shooting foul by D. Lee (drawn by G. Dieng),,43,53
180,2,4:39.0,G. Dieng misses free throw 1 of 2,,43,53
181,2,4:39.0,Offensive rebound by Team,,43,53
182,2,4:39.0,G. Dieng misses free throw 2 of 2,,43,53
183,2,4:39.0,,Defensive rebound by J. Crowder,43,53
184,2,4:25.0,,A. Bradley misses 3-pt jump shot from 23 ft,43,53
185,2,4:24.0,Defensive rebound by T. Prince,,43,53
186,2,4:18.0,A. Wiggins misses 3-pt jump shot from 24 ft,,43,53
187,2,4:16.0,,Defensive rebound by D. Lee,43,53
188,2,4:08.0,,J. Crowder misses 3-pt jump shot from 25 ft,43,53
189,2,4:07.0,Defensive rebound by R. Rubio,,43,53
190,2,3:53.0,G. Dieng makes 2-pt layup from 1 ft,,45,53
191,2,3:37.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by I. Thomas),45,56
192,2,3:28.0,Minnesota full timeout,,45,56
193,2,3:28.0,N. Bjelica enters the game for G. Dieng,,45,56
194,2,3:22.0,A. Wiggins makes 2-pt jump shot from 16 ft (assist by T. Prince),,47,56
195,2,3:09.0,,Turnover by D. Lee (traveling),47,56
196,2,3:09.0,,J. Jerebko enters the game for D. Lee,47,56
197,2,2:57.0,A. Wiggins misses 3-pt jump shot from 25 ft,,47,56
198,2,2:56.0,Offensive rebound by T. Prince,,47,56
199,2,2:54.0,T. Prince makes 2-pt jump shot from 12 ft,,49,56
200,2,2:35.0,,J. Jerebko misses 2-pt jump shot from 6 ft (block by K. Towns),49,56
201,2,2:34.0,,Offensive rebound by J. Jerebko,49,56
202,2,2:31.0,,J. Crowder makes 2-pt layup from 1 ft (assist by I. Thomas),49,58
203,2,2:31.0,,Shooting foul by A. Wiggins (drawn by J. Crowder),49,58
204,2,2:31.0,,J. Crowder misses free throw 1 of 1,49,58
205,2,2:31.0,Defensive rebound by K. Towns,,49,58
206,2,2:18.0,K. Towns misses 2-pt jump shot from 20 ft,,49,58
207,2,2:17.0,Offensive rebound by T. Prince,,49,58
208,2,2:07.0,R. Rubio misses 2-pt jump shot from 13 ft,,49,58
209,2,2:06.0,,Defensive rebound by J. Crowder,49,58
210,2,1:52.0,,Turnover by I. Thomas (traveling),49,58
211,2,1:39.0,Turnover by N. Bjelica (lost ball; steal by I. Thomas),,49,58
212,2,1:35.0,,A. Bradley misses 3-pt jump shot from 25 ft,49,58
213,2,1:33.0,,Offensive rebound by K. Olynyk,49,58
214,2,1:29.0,,I. Thomas makes 2-pt jump shot from 8 ft (assist by J. Crowder),49,60
215,2,1:03.0,N. Bjelica misses 3-pt jump shot from 26 ft,,49,60
216,2,1:02.0,,Defensive rebound by I. Thomas,49,60
217,2,0:55.0,,A. Bradley misses 2-pt layup from 1 ft,49,60
218,2,0:54.0,,Offensive rebound by A. Bradley,49,60
219,2,0:53.0,,A. Bradley misses 2-pt layup from 1 ft (block by K. Towns),49,60
220,2,0:52.0,Defensive rebound by T. Prince,,49,60
221,2,0:32.0,T. Prince makes 2-pt jump shot from 21 ft (assist by N. Bjelica),,51,60
222,2,0:10.0,,I. Thomas misses 2-pt layup from 2 ft,51,60
223,2,0:09.0,Defensive rebound by K. Towns,,51,60
224,2,0:01.0,Shooting foul by I. Thomas (drawn by R. Rubio),,51,60
225,2,0:01.0,R. Rubio makes free throw 1 of 3,,52,60
226,2,0:01.0,R. Rubio makes free throw 2 of 3,,53,60
