,QUARTER,TIME_REMAINING,NEW YORK_ACTION,ATLANTA_ACTION,NEW YORK_SCORE,ATLANTA_SCORE
0,1,11:44.0,A. Afflalo misses 2-pt jump shot from 16 ft,,0,0
1,1,11:42.0,,Defensive rebound by P. Millsap,0,0
2,1,11:26.0,,P. Millsap misses 2-pt jump shot from 17 ft,0,0
3,1,11:25.0,Defensive rebound by A. Afflalo,,0,0
4,1,11:07.0,R. Lopez misses 2-pt hook shot from 9 ft,,0,0
5,1,11:04.0,Offensive rebound by K. Porziņģis,,0,0
6,1,11:04.0,K. Porziņģis makes 2-pt dunk at rim,,2,0
7,1,10:48.0,,J. Teague misses 3-pt jump shot from 23 ft,2,0
8,1,10:45.0,,Offensive rebound by P. Millsap,2,0
9,1,10:42.0,,Turnover by K. Bazemore (lost ball),2,0
10,1,10:24.0,C. Anthony misses 3-pt jump shot from 24 ft,,2,0
11,1,10:22.0,,Defensive rebound by J. Teague,2,0
12,1,10:16.0,,J. Teague makes 2-pt layup from 1 ft,2,2
13,1,10:03.0,C. Anthony makes 2-pt dunk at rim (assist by J. Calderón),,4,2
14,1,9:43.0,,K. Korver misses 2-pt jump shot from 19 ft,4,2
15,1,9:41.0,Defensive rebound by C. Anthony,,4,2
16,1,9:34.0,Turnover by C. Anthony (bad pass; steal by K. Bazemore),,4,2
17,1,9:30.0,,K. Bazemore makes 2-pt layup at rim (assist by P. Millsap),4,4
18,1,9:14.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,4,4
19,1,9:13.0,,Defensive rebound by K. Bazemore,4,4
20,1,9:03.0,,P. Millsap misses 2-pt layup from 1 ft,4,4
21,1,9:01.0,Defensive rebound by K. Porziņģis,,4,4
22,1,8:50.0,C. Anthony misses 2-pt jump shot from 15 ft,,4,4
23,1,8:48.0,,Defensive rebound by K. Bazemore,4,4
24,1,8:31.0,,K. Bazemore misses 3-pt jump shot from 24 ft,4,4
25,1,8:29.0,Defensive rebound by A. Afflalo,,4,4
26,1,8:17.0,J. Calderón makes 2-pt jump shot from 18 ft,,6,4
27,1,8:01.0,,Def 3 sec tech foul by K. Porziņģis,6,4
28,1,8:01.0,,K. Korver misses technical free throw,6,4
29,1,8:01.0,,Offensive rebound by Team,6,4
30,1,7:56.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by K. Korver),6,7
31,1,7:38.0,C. Anthony misses 3-pt jump shot from 24 ft,,6,7
32,1,7:35.0,Offensive rebound by K. Porziņģis,,6,7
33,1,7:35.0,K. Porziņģis makes 2-pt layup at rim,,8,7
34,1,7:20.0,,Turnover by P. Millsap (lost ball),8,7
35,1,7:04.0,Shooting foul by K. Bazemore (drawn by C. Anthony),,8,7
36,1,7:04.0,C. Anthony makes free throw 1 of 2,,9,7
37,1,7:04.0,,T. Sefolosha enters the game for K. Bazemore,9,7
38,1,7:04.0,C. Anthony makes free throw 2 of 2,,10,7
39,1,6:52.0,,T. Sefolosha misses 3-pt jump shot from 25 ft,10,7
40,1,6:50.0,Defensive rebound by K. Porziņģis,,10,7
41,1,6:42.0,Personal foul by T. Sefolosha (drawn by C. Anthony),,10,7
42,1,6:42.0,,E. Tavares enters the game for A. Horford,10,7
43,1,6:32.0,C. Anthony misses 2-pt jump shot from 19 ft,,10,7
44,1,6:29.0,,Defensive rebound by E. Tavares,10,7
45,1,6:12.0,,T. Sefolosha misses 3-pt jump shot from 24 ft,10,7
46,1,6:11.0,Defensive rebound by Team,,10,7
47,1,5:55.0,K. Porziņģis makes 2-pt jump shot from 14 ft,,12,7
48,1,5:49.0,,Turnover by P. Millsap (offensive foul),12,7
49,1,5:49.0,,Offensive foul by P. Millsap (drawn by K. Porziņģis),12,7
50,1,5:49.0,,Atlanta full timeout,12,7
51,1,5:29.0,A. Afflalo makes 2-pt jump shot from 12 ft,,14,7
52,1,5:12.0,,J. Teague makes 3-pt jump shot from 24 ft,14,10
53,1,4:52.0,A. Afflalo makes 2-pt jump shot from 13 ft,,16,10
54,1,4:40.0,,J. Teague misses 2-pt layup from 1 ft,16,10
55,1,4:38.0,,Offensive rebound by E. Tavares,16,10
56,1,4:38.0,,E. Tavares makes 2-pt dunk at rim,16,12
57,1,4:29.0,J. Calderón misses 2-pt jump shot from 18 ft,,16,12
58,1,4:28.0,,Defensive rebound by P. Millsap,16,12
59,1,4:19.0,,Shooting foul by K. Porziņģis (drawn by J. Teague),16,12
60,1,4:19.0,,J. Teague makes free throw 1 of 2,16,13
61,1,4:19.0,,K. Bazemore enters the game for K. Korver,16,13
62,1,4:19.0,L. Thomas enters the game for K. Porziņģis,,16,13
63,1,4:19.0,,J. Teague makes free throw 2 of 2,16,14
64,1,4:06.0,C. Anthony misses 2-pt layup at rim (block by E. Tavares),,16,14
65,1,4:04.0,Offensive rebound by C. Anthony,,16,14
66,1,4:01.0,L. Thomas makes 3-pt jump shot from 22 ft (assist by C. Anthony),,19,14
67,1,3:59.0,,Shooting foul by R. Lopez (drawn by E. Tavares),19,14
68,1,3:59.0,,E. Tavares makes free throw 1 of 2,19,15
69,1,3:59.0,,D. Schröder enters the game for J. Teague,19,15
70,1,3:59.0,,E. Tavares misses free throw 2 of 2,19,15
71,1,3:57.0,Defensive rebound by A. Afflalo,,19,15
72,1,3:48.0,Personal foul by E. Tavares (drawn by R. Lopez),,19,15
73,1,3:39.0,A. Afflalo makes 2-pt jump shot from 21 ft (assist by J. Calderón),,21,15
74,1,3:31.0,,Personal foul by A. Afflalo (drawn by K. Bazemore),21,15
75,1,3:31.0,L. Galloway enters the game for J. Calderón,,21,15
76,1,3:21.0,,Personal foul by L. Galloway (drawn by P. Millsap),21,15
77,1,3:14.0,,D. Schröder misses 2-pt layup from 2 ft (block by R. Lopez),21,15
78,1,3:12.0,Defensive rebound by A. Afflalo,,21,15
79,1,3:06.0,L. Thomas makes 2-pt jump shot from 12 ft (assist by A. Afflalo),,23,15
80,1,2:53.0,,Turnover by P. Millsap (lost ball; steal by L. Thomas),23,15
81,1,2:53.0,Personal foul by P. Millsap (drawn by L. Thomas),,23,15
82,1,2:53.0,New York full timeout,,23,15
83,1,2:53.0,,M. Scott enters the game for P. Millsap,23,15
84,1,2:40.0,A. Afflalo misses 2-pt jump shot from 19 ft,,23,15
85,1,2:38.0,,Defensive rebound by E. Tavares,23,15
86,1,2:25.0,Violation by L. Thomas (kicked ball),,23,15
87,1,2:14.0,,K. Bazemore makes 3-pt jump shot from 22 ft (assist by D. Schröder),23,18
88,1,1:58.0,C. Anthony makes 2-pt layup from 2 ft (assist by A. Afflalo),,25,18
89,1,1:58.0,Violation by Team (delay of game),,25,18
90,1,1:37.0,,Turnover by D. Schröder (bad pass; steal by R. Lopez),25,18
91,1,1:34.0,Shooting block foul by K. Bazemore (drawn by A. Afflalo),,25,18
92,1,1:34.0,A. Afflalo makes free throw 1 of 2,,26,18
93,1,1:34.0,,T. Hardaway enters the game for K. Bazemore,26,18
94,1,1:34.0,,A. Horford enters the game for E. Tavares,26,18
95,1,1:34.0,K. Porziņģis enters the game for R. Lopez,,26,18
96,1,1:34.0,A. Afflalo makes free throw 2 of 2,,27,18
97,1,1:20.0,,D. Schröder makes 2-pt jump shot from 18 ft (assist by A. Horford),27,20
98,1,1:20.0,,Shooting foul by L. Galloway (drawn by D. Schröder),27,20
99,1,1:20.0,J. Grant enters the game for A. Afflalo,,27,20
100,1,1:20.0,,D. Schröder misses free throw 1 of 1,27,20
101,1,1:19.0,Defensive rebound by C. Anthony,,27,20
102,1,1:06.0,L. Galloway makes 2-pt jump shot from 20 ft,,29,20
103,1,0:45.0,,T. Hardaway misses 3-pt jump shot from 24 ft,29,20
104,1,0:44.0,Defensive rebound by L. Galloway,,29,20
