,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,WASHINGTON_ACTION,MEMPHIS_SCORE,WASHINGTON_SCORE
0,1,11:38.0,M. Conley makes 2-pt jump shot from 16 ft,,2,0
1,1,11:19.0,,K. Oubre misses 2-pt jump shot from 18 ft,2,0
2,1,11:18.0,Defensive rebound by J. Green,,2,0
3,1,11:00.0,C. Lee makes 2-pt jump shot from 19 ft,,4,0
4,1,10:42.0,,J. Wall misses 2-pt jump shot from 19 ft,4,0
5,1,10:41.0,Defensive rebound by M. Gasol,,4,0
6,1,10:25.0,M. Conley makes 2-pt layup from 2 ft,,6,0
7,1,10:19.0,,G. Temple makes 2-pt layup from 1 ft (assist by J. Wall),6,2
8,1,9:59.0,J. Green makes 2-pt jump shot from 13 ft,,8,2
9,1,9:39.0,,K. Oubre misses 2-pt jump shot from 6 ft,8,2
10,1,9:37.0,,Offensive rebound by M. Gortat,8,2
11,1,9:36.0,,M. Gortat misses 2-pt jump shot from 4 ft,8,2
12,1,9:35.0,,Offensive rebound by K. Oubre,8,2
13,1,9:34.0,,K. Oubre misses 2-pt layup from 4 ft (block by M. Gasol),8,2
14,1,9:33.0,,Offensive rebound by K. Oubre,8,2
15,1,9:30.0,,J. Dudley makes 2-pt jump shot from 14 ft (assist by M. Gortat),8,4
16,1,9:06.0,M. Conley misses 2-pt jump shot from 8 ft,,8,4
17,1,9:05.0,,Defensive rebound by J. Dudley,8,4
18,1,9:01.0,,J. Wall makes 2-pt layup at rim (assist by J. Dudley),8,6
19,1,8:42.0,C. Lee misses 2-pt jump shot from 11 ft,,8,6
20,1,8:41.0,,Defensive rebound by K. Oubre,8,6
21,1,8:35.0,,G. Temple makes 3-pt jump shot from 22 ft (assist by J. Wall),8,9
22,1,8:09.0,J. Green misses 3-pt jump shot from 23 ft,,8,9
23,1,8:08.0,,Defensive rebound by M. Gortat,8,9
24,1,7:50.0,,J. Dudley makes 3-pt jump shot from 25 ft (assist by J. Wall),8,12
25,1,7:42.0,Memphis full timeout,,8,12
26,1,7:28.0,M. Gasol makes 2-pt jump shot from 13 ft (assist by J. Green),,10,12
27,1,7:11.0,,J. Wall misses 2-pt jump shot from 19 ft,10,12
28,1,7:10.0,Defensive rebound by J. Green,,10,12
29,1,6:54.0,M. Gasol misses 2-pt jump shot from 4 ft,,10,12
30,1,6:53.0,,Defensive rebound by K. Oubre,10,12
31,1,6:45.0,,Shooting foul by M. Barnes (drawn by K. Oubre),10,12
32,1,6:45.0,,K. Oubre makes free throw 1 of 2,10,13
33,1,6:45.0,,K. Oubre makes free throw 2 of 2,10,14
34,1,6:34.0,M. Conley makes 2-pt jump shot from 19 ft,,12,14
35,1,6:18.0,,G. Temple misses 3-pt jump shot from 26 ft,12,14
36,1,6:18.0,,Offensive rebound by Team,12,14
37,1,6:16.0,,Turnover by J. Dudley (bad pass; steal by J. Green),12,14
38,1,6:09.0,C. Lee misses 2-pt jump shot from 16 ft,,12,14
39,1,6:07.0,,Defensive rebound by M. Gortat,12,14
40,1,6:01.0,,G. Temple makes 2-pt layup at rim (assist by J. Wall),12,16
41,1,5:41.0,M. Conley misses 2-pt jump shot from 18 ft,,12,16
42,1,5:40.0,Offensive rebound by M. Gasol,,12,16
43,1,5:39.0,M. Gasol makes 2-pt layup from 1 ft,,14,16
44,1,5:34.0,,Turnover by J. Wall (bad pass; steal by M. Barnes),14,16
45,1,5:29.0,Personal take foul by J. Dudley (drawn by M. Barnes),,14,16
46,1,5:16.0,M. Gasol misses 2-pt jump shot from 12 ft,,14,16
47,1,5:15.0,,Defensive rebound by J. Wall,14,16
48,1,5:09.0,,G. Temple misses 3-pt jump shot from 24 ft,14,16
49,1,5:07.0,,Offensive rebound by J. Dudley,14,16
50,1,5:06.0,,J. Dudley makes 2-pt layup at rim,14,18
51,1,4:50.0,C. Lee makes 2-pt jump shot from 19 ft (assist by M. Gasol),,16,18
52,1,4:27.0,,G. Temple misses 3-pt jump shot from 23 ft,16,18
53,1,4:26.0,Defensive rebound by J. Green,,16,18
54,1,4:17.0,M. Barnes misses 3-pt jump shot from 24 ft,,16,18
55,1,4:16.0,,Defensive rebound by G. Temple,16,18
56,1,4:09.0,,G. Temple misses 2-pt jump shot from 4 ft,16,18
57,1,4:08.0,Defensive rebound by M. Gasol,,16,18
58,1,3:59.0,M. Gasol misses 2-pt layup from 1 ft,,16,18
59,1,3:59.0,,Defensive rebound by M. Gortat,16,18
60,1,3:51.0,,K. Oubre makes 3-pt jump shot from 26 ft (assist by J. Wall),16,21
61,1,3:31.0,M. Conley misses 2-pt layup from 2 ft,,16,21
62,1,3:30.0,,Defensive rebound by J. Dudley,16,21
63,1,3:21.0,,M. Gortat makes 2-pt jump shot from 7 ft (assist by J. Wall),16,23
64,1,2:59.0,Memphis full timeout,,16,23
65,1,2:59.0,,Washington full timeout,16,23
66,1,2:59.0,,R. Sessions enters the game for K. Oubre,16,23
67,1,2:59.0,,G. Neal enters the game for J. Wall,16,23
68,1,2:59.0,Z. Randolph enters the game for J. Green,,16,23
69,1,2:59.0,M. Chalmers enters the game for M. Conley,,16,23
70,1,2:51.0,M. Barnes misses 3-pt jump shot from 26 ft,,16,23
71,1,2:50.0,,Defensive rebound by J. Dudley,16,23
72,1,2:27.0,,G. Temple misses 2-pt jump shot from 8 ft,16,23
73,1,2:26.0,Defensive rebound by Z. Randolph,,16,23
74,1,2:13.0,M. Chalmers misses 2-pt layup from 2 ft,,16,23
75,1,2:12.0,,Defensive rebound by M. Gortat,16,23
76,1,2:06.0,,G. Temple misses 2-pt layup at rim (block by M. Barnes),16,23
77,1,2:06.0,,Offensive rebound by Team,16,23
78,1,2:06.0,T. Allen enters the game for M. Barnes,,16,23
79,1,2:06.0,,K. Humphries enters the game for J. Dudley,16,23
80,1,2:06.0,J. Green enters the game for M. Gasol,,16,23
81,1,2:06.0,,Turnover by K. Humphries (bad pass; steal by T. Allen),16,23
82,1,1:50.0,Z. Randolph misses 2-pt jump shot from 19 ft,,16,23
83,1,1:49.0,,Defensive rebound by M. Gortat,16,23
84,1,1:45.0,,Personal foul by C. Lee (drawn by R. Sessions),16,23
85,1,1:39.0,,R. Sessions misses 2-pt jump shot from 13 ft,16,23
86,1,1:35.0,Defensive rebound by M. Chalmers,,16,23
87,1,1:32.0,C. Lee misses 3-pt jump shot from 26 ft,,16,23
88,1,1:30.0,,Defensive rebound by G. Temple,16,23
89,1,1:23.0,,M. Gortat makes 2-pt dunk at rim (assist by G. Neal),16,25
90,1,1:00.0,Z. Randolph makes 2-pt hook shot from 6 ft,,18,25
91,1,0:44.0,,Turnover by M. Gortat (bad pass; steal by M. Chalmers),18,25
92,1,0:39.0,Personal foul by M. Gortat (drawn by Z. Randolph),,18,25
93,1,0:39.0,V. Carter enters the game for C. Lee,,18,25
94,1,0:39.0,,D. Blair enters the game for M. Gortat,18,25
95,1,0:25.0,V. Carter misses 2-pt layup from 1 ft,,18,25
96,1,0:23.0,,Defensive rebound by D. Blair,18,25
97,1,0:03.0,,R. Sessions misses 2-pt layup at rim (block by Z. Randolph),18,25
98,1,0:03.0,,Offensive rebound by Team,18,25
99,1,0:02.0,,D. Blair misses 2-pt jump shot from 17 ft,18,25
100,1,0:01.0,Defensive rebound by V. Carter,,18,25
101,2,11:38.0,,Shooting foul by V. Carter (drawn by G. Neal),18,25
102,2,11:38.0,,G. Neal makes free throw 1 of 2,18,26
103,2,11:38.0,,G. Neal misses free throw 2 of 2,18,26
104,2,11:37.0,Defensive rebound by J. Green,,18,26
105,2,11:22.0,Turnover by V. Carter (bad pass),,18,26
106,2,11:08.0,,K. Humphries makes 3-pt jump shot from 26 ft (assist by R. Sessions),18,29
107,2,10:53.0,Turnover by T. Allen (bad pass; steal by D. Blair),,18,29
108,2,10:49.0,,Shooting block foul by M. Chalmers (drawn by R. Sessions),18,29
109,2,10:49.0,,R. Sessions makes free throw 1 of 2,18,30
110,2,10:49.0,,R. Sessions misses free throw 2 of 2,18,30
111,2,10:48.0,,Offensive rebound by Team,18,30
112,2,10:48.0,Loose ball foul by V. Carter (drawn by K. Humphries),,18,30
113,2,10:34.0,,Shooting foul by M. Chalmers (drawn by R. Sessions),18,30
114,2,10:34.0,,R. Sessions makes free throw 1 of 2,18,31
115,2,10:34.0,,R. Sessions makes free throw 2 of 2,18,32
116,2,10:20.0,V. Carter misses 3-pt jump shot from 24 ft,,18,32
117,2,10:19.0,,Defensive rebound by K. Humphries,18,32
118,2,10:11.0,,Personal foul by M. Chalmers (drawn by K. Humphries),18,32
119,2,10:11.0,Technical foul by Team,,18,32
