,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BROOKLYN_ACTION,GOLDEN STATE_SCORE,BROOKLYN_SCORE
0,1,11:42.0,,J. Jack misses 3-pt jump shot from 25 ft,0,0
1,1,11:41.0,,Offensive rebound by B. Lopez,0,0
2,1,11:40.0,,B. Lopez misses 2-pt layup at rim,0,0
3,1,11:40.0,,Offensive rebound by B. Lopez,0,0
4,1,11:39.0,,B. Lopez misses 2-pt layup at rim,0,0
5,1,11:39.0,,Offensive rebound by Team,0,0
6,1,11:20.0,,T. Young misses 2-pt jump shot from 17 ft,0,0
7,1,11:19.0,Defensive rebound by S. Curry,,0,0
8,1,11:02.0,K. Thompson makes 2-pt jump shot from 12 ft (assist by D. Green),,2,0
9,1,10:43.0,,J. Johnson misses 2-pt jump shot from 4 ft,2,0
10,1,10:41.0,Defensive rebound by D. Green,,2,0
11,1,10:35.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Green),,5,0
12,1,10:23.0,,B. Lopez misses 2-pt jump shot from 13 ft,5,0
13,1,10:22.0,Defensive rebound by A. Bogut,,5,0
14,1,10:18.0,Shooting foul by B. Lopez (drawn by D. Green),,5,0
15,1,10:18.0,D. Green misses free throw 1 of 2,,5,0
16,1,10:18.0,Offensive rebound by Team,,5,0
17,1,10:18.0,D. Green makes free throw 2 of 2,,6,0
18,1,9:57.0,,J. Johnson misses 2-pt jump shot from 12 ft,6,0
19,1,9:55.0,Defensive rebound by K. Thompson,,6,0
20,1,9:47.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Green),,9,0
21,1,9:46.0,,Brooklyn full timeout,9,0
22,1,9:27.0,,J. Jack makes 2-pt jump shot from 6 ft,9,2
23,1,9:13.0,Turnover by K. Thompson (step out of bounds),,9,2
24,1,9:00.0,,J. Jack misses 2-pt jump shot from 20 ft,9,2
25,1,8:59.0,Defensive rebound by A. Bogut,,9,2
26,1,8:49.0,Personal foul by B. Lopez (drawn by S. Curry),,9,2
27,1,8:49.0,S. Curry misses free throw 1 of 2,,9,2
28,1,8:49.0,Offensive rebound by Team,,9,2
29,1,8:49.0,S. Curry misses free throw 2 of 2,,9,2
30,1,8:47.0,,Defensive rebound by J. Jack,9,2
31,1,8:27.0,,B. Lopez makes 2-pt layup from 1 ft,9,4
32,1,8:08.0,A. Bogut misses 2-pt hook shot from 6 ft,,9,4
33,1,8:07.0,,Defensive rebound by B. Bogdanović,9,4
34,1,7:55.0,,Turnover by B. Lopez (3 sec),9,4
35,1,7:36.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Thompson),,12,4
36,1,7:24.0,,T. Young makes 2-pt layup from 2 ft (assist by J. Johnson),12,6
37,1,7:12.0,K. Thompson makes 2-pt layup from 1 ft (assist by A. Bogut),,14,6
38,1,7:00.0,,Turnover by J. Jack (bad pass; steal by D. Green),14,6
39,1,6:57.0,D. Green makes 2-pt dunk at rim,,16,6
40,1,6:36.0,,J. Johnson misses 2-pt hook shot from 5 ft,16,6
41,1,6:35.0,Defensive rebound by D. Green,,16,6
42,1,6:27.0,S. Curry misses 3-pt jump shot from 24 ft,,16,6
43,1,6:26.0,,Defensive rebound by B. Bogdanović,16,6
44,1,6:14.0,,B. Lopez makes 2-pt layup from 2 ft,16,8
45,1,5:56.0,D. Green misses 2-pt layup from 3 ft,,16,8
46,1,5:55.0,Offensive rebound by A. Bogut,,16,8
47,1,5:54.0,Shooting foul by J. Jack (drawn by A. Bogut),,16,8
48,1,5:54.0,A. Bogut misses free throw 1 of 2,,16,8
49,1,5:54.0,Offensive rebound by Team,,16,8
50,1,5:54.0,,T. Robinson enters the game for B. Lopez,16,8
51,1,5:54.0,A. Iguodala enters the game for B. Rush,,16,8
52,1,5:54.0,,W. Ellington enters the game for B. Bogdanović,16,8
53,1,5:54.0,A. Bogut misses free throw 2 of 2,,16,8
54,1,5:53.0,,Defensive rebound by T. Young,16,8
55,1,5:39.0,,T. Robinson misses 2-pt hook shot from 7 ft,16,8
56,1,5:38.0,,Offensive rebound by T. Young,16,8
57,1,5:37.0,,T. Young misses 2-pt layup from 1 ft (block by A. Bogut),16,8
58,1,5:35.0,Defensive rebound by A. Iguodala,,16,8
59,1,5:24.0,K. Thompson misses 3-pt jump shot from 24 ft,,16,8
60,1,5:23.0,,Defensive rebound by T. Young,16,8
61,1,5:17.0,,Turnover by J. Johnson (bad pass),16,8
62,1,5:04.0,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),,18,8
63,1,5:04.0,Shooting foul by T. Robinson (drawn by S. Curry),,18,8
64,1,5:04.0,F. Ezeli enters the game for A. Bogut,,18,8
65,1,5:04.0,S. Curry misses free throw 1 of 1,,18,8
