,QUARTER,TIME_REMAINING,BOSTON_ACTION,BROOKLYN_ACTION,BOSTON_SCORE,BROOKLYN_SCORE
0,1,11:38.0,,B. Lopez misses 2-pt layup from 1 ft,0,0
1,1,11:37.0,,Offensive rebound by B. Lopez,0,0
2,1,11:35.0,,B. Lopez makes 2-pt dunk at rim,0,2
3,1,11:20.0,J. Sullinger misses 2-pt jump shot from 18 ft,,0,2
4,1,11:19.0,,Defensive rebound by J. Johnson,0,2
5,1,11:13.0,,Turnover by J. Jack (lost ball; steal by A. Johnson),0,2
6,1,10:55.0,I. Thomas misses 2-pt jump shot from 14 ft,,0,2
7,1,10:54.0,,Defensive rebound by T. Young,0,2
8,1,10:46.0,,B. Lopez misses 2-pt layup at rim,0,2
9,1,10:45.0,,Offensive rebound by T. Young,0,2
10,1,10:44.0,,T. Young misses 2-pt jump shot from 2 ft,0,2
11,1,10:43.0,Defensive rebound by J. Sullinger,,0,2
12,1,10:29.0,Turnover by A. Bradley (bad pass; steal by R. Hollis-Jefferson),,0,2
13,1,10:06.0,,J. Johnson makes 3-pt jump shot from 22 ft (assist by J. Jack),0,5
14,1,9:52.0,Shooting foul by T. Young (drawn by A. Bradley),,0,5
15,1,9:52.0,A. Bradley makes free throw 1 of 2,,1,5
16,1,9:52.0,A. Bradley makes free throw 2 of 2,,2,5
17,1,9:32.0,,Turnover by B. Lopez (bad pass; steal by A. Bradley),2,5
18,1,9:30.0,Personal foul by R. Hollis-Jefferson (drawn by A. Bradley),,2,5
19,1,9:16.0,A. Johnson makes 2-pt dunk at rim (assist by I. Thomas),,4,5
20,1,8:56.0,,B. Lopez misses 2-pt jump shot from 11 ft,4,5
21,1,8:55.0,,Offensive rebound by T. Young,4,5
22,1,8:54.0,,T. Young makes 2-pt layup at rim,4,7
23,1,8:45.0,I. Thomas misses 3-pt jump shot from 26 ft,,4,7
24,1,8:44.0,,Defensive rebound by B. Lopez,4,7
25,1,8:34.0,,J. Jack misses 2-pt jump shot from 18 ft,4,7
26,1,8:33.0,,Offensive rebound by T. Young,4,7
27,1,8:27.0,,J. Jack makes 2-pt layup at rim,4,9
28,1,8:16.0,J. Sullinger makes 3-pt jump shot from 24 ft (assist by I. Thomas),,7,9
29,1,8:01.0,,R. Hollis-Jefferson makes 2-pt jump shot from 19 ft (assist by J. Johnson),7,11
30,1,7:48.0,J. Sullinger misses 3-pt jump shot from 25 ft,,7,11
31,1,7:47.0,,Defensive rebound by J. Jack,7,11
32,1,7:34.0,,J. Johnson misses 3-pt jump shot from 22 ft,7,11
33,1,7:32.0,Defensive rebound by J. Sullinger,,7,11
34,1,7:30.0,Turnover by J. Sullinger (bad pass; steal by R. Hollis-Jefferson),,7,11
35,1,7:25.0,,J. Jack makes 2-pt jump shot from 9 ft (assist by R. Hollis-Jefferson),7,13
36,1,7:24.0,Boston full timeout,,7,13
37,1,7:11.0,J. Crowder makes 2-pt layup from 2 ft (assist by A. Johnson),,9,13
38,1,6:57.0,Offensive charge foul by B. Lopez (drawn by J. Sullinger),,9,13
39,1,6:57.0,,Turnover by B. Lopez (offensive foul),9,13
40,1,6:39.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by I. Thomas),,12,13
41,1,6:24.0,,T. Young misses 2-pt layup from 1 ft,12,13
42,1,6:23.0,Defensive rebound by Team,,12,13
43,1,6:11.0,Turnover by A. Johnson (lost ball; steal by B. Lopez),,12,13
44,1,6:03.0,,Personal foul by A. Johnson (drawn by T. Young),12,13
45,1,5:53.0,,T. Young makes 2-pt jump shot from 19 ft (assist by R. Hollis-Jefferson),12,15
46,1,5:33.0,Turnover by A. Bradley (bad pass; steal by R. Hollis-Jefferson),,12,15
47,1,5:23.0,,B. Lopez misses 2-pt jump shot from 6 ft,12,15
48,1,5:22.0,,Offensive rebound by B. Lopez,12,15
49,1,5:21.0,,B. Lopez makes 2-pt jump shot from 2 ft,12,17
50,1,5:07.0,I. Thomas makes 2-pt jump shot from 20 ft,,14,17
51,1,4:46.0,,T. Young misses 2-pt layup from 1 ft (block by A. Bradley),14,17
52,1,4:44.0,Defensive rebound by J. Sullinger,,14,17
53,1,4:36.0,,Violation by J. Jack (kicked ball),14,17
54,1,4:36.0,K. Olynyk enters the game for A. Johnson,,14,17
55,1,4:36.0,E. Turner enters the game for I. Thomas,,14,17
56,1,4:24.0,A. Bradley misses 2-pt jump shot from 5 ft,,14,17
57,1,4:23.0,Offensive rebound by J. Sullinger,,14,17
58,1,4:22.0,J. Sullinger misses 2-pt jump shot from 1 ft,,14,17
59,1,4:21.0,Offensive rebound by A. Bradley,,14,17
60,1,4:06.0,J. Crowder misses 3-pt jump shot from 25 ft,,14,17
61,1,4:05.0,,Defensive rebound by T. Young,14,17
62,1,3:52.0,,Turnover by R. Hollis-Jefferson (bad pass),14,17
63,1,3:38.0,A. Bradley misses 3-pt jump shot from 24 ft,,14,17
64,1,3:37.0,,Defensive rebound by T. Young,14,17
65,1,3:29.0,,Shooting foul by K. Olynyk (drawn by T. Young),14,17
66,1,3:29.0,,T. Young misses free throw 1 of 2,14,17
67,1,3:29.0,,Offensive rebound by Team,14,17
68,1,3:29.0,,B. Bogdanović enters the game for J. Johnson,14,17
69,1,3:29.0,,T. Young makes free throw 2 of 2,14,18
70,1,3:13.0,K. Olynyk misses 2-pt jump shot from 6 ft,,14,18
71,1,3:12.0,,Defensive rebound by J. Jack,14,18
72,1,3:06.0,,Shooting foul by A. Bradley (drawn by J. Jack),14,18
73,1,3:06.0,,J. Jack misses free throw 1 of 2,14,18
74,1,3:06.0,,Offensive rebound by Team,14,18
75,1,3:06.0,J. Jerebko enters the game for J. Crowder,,14,18
76,1,3:06.0,,J. Jack makes free throw 2 of 2,14,19
