,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,ATLANTA_ACTION,SAN ANTONIO_SCORE,ATLANTA_SCORE
0,1,11:44.0,,K. Korver misses 3-pt jump shot from 24 ft,0,0
1,1,11:43.0,Defensive rebound by K. Leonard,,0,0
2,1,11:19.0,T. Duncan misses 2-pt jump shot from 16 ft,,0,0
3,1,11:17.0,Offensive rebound by T. Parker,,0,0
4,1,11:02.0,D. Green misses 2-pt jump shot from 21 ft,,0,0
5,1,11:01.0,,Defensive rebound by P. Millsap,0,0
6,1,10:50.0,,Shooting foul by K. Leonard (drawn by P. Millsap),0,0
7,1,10:50.0,,P. Millsap makes free throw 1 of 2,0,1
8,1,10:50.0,,P. Millsap misses free throw 2 of 2,0,1
9,1,10:49.0,Defensive rebound by K. Leonard,,0,1
10,1,10:27.0,T. Parker makes 2-pt jump shot from 20 ft (assist by T. Duncan),,2,1
11,1,10:07.0,,Shooting foul by T. Parker (drawn by J. Teague),2,1
12,1,10:07.0,,J. Teague makes free throw 1 of 2,2,2
13,1,10:07.0,,J. Teague makes free throw 2 of 2,2,3
14,1,10:07.0,T. Parker makes 2-pt jump shot from 19 ft (assist by T. Duncan),,4,3
15,1,10:07.0,,Turnover by J. Teague (bad pass; steal by T. Parker),4,3
16,1,10:07.0,K. Leonard misses 2-pt jump shot from 15 ft,,4,3
17,1,10:07.0,,Defensive rebound by J. Teague,4,3
18,1,10:07.0,,Turnover by J. Teague (bad pass),4,3
19,1,9:56.0,Turnover by T. Parker (bad pass; steal by K. Korver),,4,3
20,1,9:43.0,,K. Korver misses 2-pt layup from 1 ft,4,3
21,1,9:42.0,Defensive rebound by K. Leonard,,4,3
22,1,9:30.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. Green),,6,3
23,1,9:07.0,,A. Horford misses 2-pt layup from 1 ft (block by T. Parker),6,3
24,1,9:07.0,Defensive rebound by Team,,6,3
25,1,8:48.0,T. Duncan misses 2-pt jump shot from 7 ft,,6,3
26,1,8:46.0,,Defensive rebound by A. Horford,6,3
27,1,8:36.0,,K. Korver misses 2-pt jump shot from 18 ft,6,3
28,1,8:34.0,Defensive rebound by T. Duncan,,6,3
29,1,8:21.0,T. Parker misses 2-pt jump shot from 20 ft,,6,3
30,1,8:08.0,,Defensive rebound by A. Horford,6,3
31,1,8:08.0,,A. Horford makes 2-pt jump shot from 18 ft (assist by P. Millsap),6,5
32,1,7:40.0,Turnover by L. Aldridge (lost ball; steal by P. Millsap),,6,5
33,1,7:25.0,,Turnover by A. Horford (3 sec),6,5
34,1,7:08.0,L. Aldridge misses 2-pt jump shot from 19 ft,,6,5
35,1,7:06.0,,Defensive rebound by K. Korver,6,5
36,1,6:55.0,,P. Millsap misses 2-pt layup from 3 ft,6,5
37,1,6:52.0,Defensive rebound by T. Duncan,,6,5
38,1,6:39.0,D. Green makes 3-pt jump shot from 24 ft (assist by L. Aldridge),,9,5
39,1,6:25.0,,A. Horford misses 3-pt jump shot from 24 ft,9,5
40,1,6:24.0,Defensive rebound by T. Duncan,,9,5
41,1,6:11.0,L. Aldridge makes 2-pt jump shot from 12 ft,,11,5
42,1,5:52.0,,P. Millsap makes 2-pt jump shot from 9 ft (assist by T. Sefolosha),11,7
43,1,5:52.0,San Antonio full timeout,,11,7
44,1,5:52.0,,K. Bazemore enters the game for K. Korver,11,7
45,1,5:52.0,,M. Muscala enters the game for A. Horford,11,7
46,1,5:37.0,K. Leonard misses 2-pt jump shot from 19 ft,,11,7
47,1,5:35.0,Offensive rebound by K. Leonard,,11,7
48,1,5:33.0,K. Leonard makes 2-pt dunk at rim,,13,7
49,1,5:17.0,B. Diaw enters the game for T. Duncan,,13,7
50,1,5:17.0,M. Ginóbili enters the game for D. Green,,13,7
51,1,5:12.0,,J. Teague misses 2-pt jump shot from 17 ft,13,7
52,1,5:09.0,Defensive rebound by K. Leonard,,13,7
53,1,4:56.0,M. Ginóbili makes 2-pt layup from 1 ft (assist by B. Diaw),,15,7
54,1,4:41.0,,Turnover by M. Muscala (bad pass; steal by K. Leonard),15,7
55,1,4:39.0,Turnover by K. Leonard (traveling),,15,7
56,1,4:39.0,P. Mills enters the game for T. Parker,,15,7
57,1,4:39.0,,D. Schröder enters the game for J. Teague,15,7
58,1,4:28.0,,P. Millsap makes 2-pt jump shot from 15 ft (assist by D. Schröder),15,9
59,1,4:11.0,L. Aldridge misses 2-pt jump shot from 18 ft,,15,9
60,1,4:10.0,,Defensive rebound by P. Millsap,15,9
61,1,3:56.0,,D. Schröder misses 2-pt layup at rim,15,9
62,1,3:53.0,Defensive rebound by K. Leonard,,15,9
