,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW ORLEANS_ACTION,CLEVELAND_SCORE,NEW ORLEANS_SCORE
0,1,11:46.0,,E. Gordon makes 2-pt jump shot from 20 ft (assist by A. Davis),0,2
1,1,11:27.0,Turnover by T. Mozgov (lost ball; steal by Ö. Aşık),,0,2
2,1,11:11.0,,Turnover by A. Gee (bad pass),0,2
3,1,10:52.0,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),,3,2
4,1,10:37.0,,T. Evans misses 2-pt jump shot from 20 ft,3,2
5,1,10:36.0,Defensive rebound by K. Love,,3,2
6,1,10:25.0,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),,6,2
7,1,10:08.0,,A. Davis makes 2-pt jump shot from 19 ft (assist by T. Evans),6,4
8,1,9:56.0,J. Smith makes 3-pt jump shot from 25 ft,,9,4
9,1,9:45.0,,A. Davis misses 2-pt jump shot from 18 ft,9,4
10,1,9:44.0,Defensive rebound by T. Mozgov,,9,4
11,1,9:36.0,Personal foul by T. Evans (drawn by J. Smith),,9,4
12,1,9:27.0,T. Mozgov makes 2-pt dunk at rim (assist by M. Dellavedova),,11,4
13,1,9:09.0,,Turnover by T. Evans (bad pass; steal by K. Love),11,4
14,1,9:04.0,L. James makes 2-pt layup at rim,,13,4
15,1,8:55.0,,New Orleans full timeout,13,4
16,1,8:46.0,,A. Davis misses 2-pt jump shot from 17 ft,13,4
17,1,8:45.0,Defensive rebound by T. Mozgov,,13,4
18,1,8:25.0,Turnover by K. Love (bad pass; steal by A. Davis),,13,4
19,1,8:20.0,,Personal foul by K. Love (drawn by A. Davis),13,4
20,1,8:13.0,,T. Evans misses 3-pt jump shot from 24 ft,13,4
21,1,8:12.0,Defensive rebound by K. Love,,13,4
22,1,8:02.0,L. James makes 2-pt layup at rim (assist by M. Dellavedova),,15,4
23,1,7:41.0,,A. Gee makes 2-pt jump shot from 13 ft,15,6
24,1,7:28.0,K. Love misses 3-pt jump shot from 24 ft,,15,6
25,1,7:27.0,,Defensive rebound by A. Gee,15,6
26,1,7:20.0,,T. Evans makes 2-pt layup at rim,15,8
27,1,7:20.0,,Shooting foul by T. Mozgov (drawn by T. Evans),15,8
28,1,7:20.0,,T. Evans makes free throw 1 of 1,15,9
29,1,7:05.0,J. Smith misses 3-pt jump shot from 25 ft,,15,9
30,1,7:04.0,,Defensive rebound by A. Davis,15,9
31,1,6:55.0,,Turnover by T. Evans (traveling),15,9
32,1,6:44.0,Turnover by L. James (bad pass; steal by A. Davis),,15,9
33,1,6:41.0,,Shooting foul by M. Dellavedova (drawn by A. Gee),15,9
34,1,6:41.0,,A. Gee misses free throw 1 of 2,15,9
35,1,6:41.0,,Offensive rebound by Team,15,9
36,1,6:41.0,,A. Gee makes free throw 2 of 2,15,10
37,1,6:20.0,J. Smith misses 2-pt jump shot from 18 ft,,15,10
38,1,6:18.0,,Defensive rebound by Team,15,10
39,1,6:01.0,,A. Davis makes 2-pt jump shot from 10 ft (assist by A. Gee),15,12
40,1,5:39.0,Personal foul by Ö. Aşık (drawn by T. Mozgov),,15,12
41,1,5:39.0,T. Thompson enters the game for K. Love,,15,12
42,1,5:39.0,,R. Anderson enters the game for Ö. Aşık,15,12
43,1,5:33.0,Turnover by M. Dellavedova (bad pass),,15,12
44,1,5:15.0,,R. Anderson misses 2-pt jump shot from 15 ft,15,12
45,1,5:14.0,Defensive rebound by J. Smith,,15,12
46,1,5:14.0,,Loose ball foul by A. Gee (drawn by J. Smith),15,12
47,1,5:14.0,J. Jones enters the game for T. Mozgov,,15,12
48,1,5:03.0,Shooting foul by R. Anderson (drawn by L. James),,15,12
49,1,5:03.0,L. James makes free throw 1 of 2,,16,12
50,1,5:03.0,L. James makes free throw 2 of 2,,17,12
51,1,4:42.0,,T. Evans misses 2-pt layup from 2 ft,17,12
52,1,4:40.0,,Offensive rebound by R. Anderson,17,12
