,QUARTER,TIME_REMAINING,UTAH_ACTION,PHOENIX_ACTION,UTAH_SCORE,PHOENIX_SCORE
0,1,11:41.0,D. Favors misses 2-pt jump shot from 14 ft (block by M. Morris),,0,0
1,1,11:40.0,,Defensive rebound by A. Goodwin,0,0
2,1,11:17.0,,M. Morris misses 2-pt jump shot from 18 ft,0,0
3,1,11:16.0,Defensive rebound by G. Hayward,,0,0
4,1,11:00.0,G. Hayward makes 2-pt jump shot from 10 ft,,2,0
5,1,10:36.0,,A. Goodwin misses 3-pt jump shot from 26 ft,2,0
6,1,10:36.0,Defensive rebound by D. Favors,,2,0
7,1,10:17.0,D. Favors misses 2-pt jump shot from 9 ft (block by M. Morris),,2,0
8,1,10:16.0,,Defensive rebound by T. Chandler,2,0
9,1,10:10.0,,M. Morris misses 2-pt layup from 2 ft,2,0
10,1,10:08.0,Defensive rebound by R. Gobert,,2,0
11,1,9:47.0,G. Hayward misses 2-pt jump shot from 20 ft,,2,0
12,1,9:46.0,Offensive rebound by R. Neto,,2,0
13,1,9:36.0,Personal foul by M. Morris (drawn by D. Favors),,2,0
14,1,9:36.0,,Technical foul by M. Morris,2,0
15,1,9:36.0,G. Hayward makes technical free throw,,3,0
16,1,9:25.0,R. Neto makes 2-pt jump shot from 10 ft,,5,0
17,1,9:09.0,,A. Goodwin misses 2-pt jump shot from 5 ft,5,0
18,1,9:07.0,,Offensive rebound by T. Chandler,5,0
19,1,9:07.0,,T. Chandler misses 2-pt layup at rim,5,0
20,1,9:06.0,Defensive rebound by R. Neto,,5,0
21,1,8:53.0,Def 3 sec tech foul by T. Chandler,,5,0
22,1,8:53.0,G. Hayward misses technical free throw,,5,0
23,1,8:53.0,Offensive rebound by Team,,5,0
24,1,8:45.0,G. Hayward misses 2-pt jump shot from 11 ft,,5,0
25,1,8:43.0,,Defensive rebound by D. Booker,5,0
26,1,8:31.0,,Turnover by T. Chandler (3 sec),5,0
27,1,8:13.0,R. Hood makes 2-pt jump shot from 9 ft,,7,0
28,1,7:58.0,,M. Morris misses 2-pt jump shot from 17 ft,7,0
29,1,7:57.0,Defensive rebound by R. Gobert,,7,0
30,1,7:43.0,R. Hood makes 3-pt jump shot from 24 ft (assist by G. Hayward),,10,0
31,1,7:41.0,,Phoenix full timeout,10,0
32,1,7:30.0,,A. Goodwin makes 2-pt layup from 2 ft,10,2
33,1,7:14.0,R. Neto makes 2-pt layup at rim (assist by D. Favors),,12,2
34,1,6:53.0,,Turnover by P. Tucker (bad pass; steal by R. Neto),12,2
35,1,6:48.0,R. Neto makes 2-pt layup at rim (assist by G. Hayward),,14,2
36,1,6:27.0,,D. Booker misses 2-pt jump shot from 6 ft,14,2
37,1,6:25.0,,Offensive rebound by T. Chandler,14,2
38,1,6:25.0,,T. Chandler makes 2-pt dunk at rim,14,4
39,1,6:09.0,R. Gobert misses 2-pt hook shot at rim,,14,4
40,1,6:08.0,,Defensive rebound by M. Morris,14,4
41,1,5:54.0,,A. Goodwin misses 2-pt jump shot from 20 ft,14,4
42,1,5:54.0,,Offensive rebound by M. Morris,14,4
43,1,5:48.0,,Shooting foul by G. Hayward (drawn by D. Booker),14,4
44,1,5:48.0,,D. Booker makes free throw 1 of 2,14,5
45,1,5:48.0,,A. Len enters the game for P. Tucker,14,5
46,1,5:48.0,,M. Teletović enters the game for M. Morris,14,5
47,1,5:48.0,,S. Weems enters the game for T. Chandler,14,5
48,1,5:48.0,,J. McRae enters the game for A. Goodwin,14,5
49,1,5:48.0,T. Booker enters the game for D. Favors,,14,5
50,1,5:48.0,,D. Booker makes free throw 2 of 2,14,6
51,1,5:31.0,R. Neto makes 2-pt jump shot from 15 ft,,16,6
52,1,5:20.0,,D. Booker misses 2-pt jump shot from 17 ft,16,6
53,1,5:20.0,Defensive rebound by R. Gobert,,16,6
54,1,5:05.0,G. Hayward makes 2-pt jump shot from 15 ft,,18,6
55,1,4:54.0,,D. Booker makes 2-pt layup from 1 ft,18,8
56,1,4:51.0,,O. Johnson enters the game for D. Booker,18,8
57,1,4:51.0,C. Johnson enters the game for R. Hood,,18,8
58,1,4:39.0,T. Booker misses 2-pt jump shot from 3 ft,,18,8
59,1,4:38.0,,Defensive rebound by M. Teletović,18,8
60,1,4:29.0,,A. Len makes 2-pt dunk at rim (assist by J. McRae),18,10
61,1,4:09.0,T. Booker makes 2-pt layup at rim (assist by C. Johnson),,20,10
62,1,3:55.0,,A. Len misses 2-pt layup at rim (block by R. Gobert),20,10
63,1,3:54.0,Defensive rebound by R. Gobert,,20,10
64,1,3:36.0,C. Johnson misses 3-pt jump shot from 24 ft,,20,10
65,1,3:36.0,,Defensive rebound by J. McRae,20,10
66,1,3:30.0,,M. Teletović misses 3-pt jump shot from 25 ft,20,10
67,1,3:29.0,Defensive rebound by T. Booker,,20,10
68,1,3:24.0,Shooting foul by O. Johnson (drawn by G. Hayward),,20,10
69,1,3:24.0,G. Hayward makes free throw 1 of 2,,21,10
70,1,3:24.0,D. Favors enters the game for R. Gobert,,21,10
71,1,3:24.0,G. Hayward makes free throw 2 of 2,,22,10
72,1,3:03.0,,J. McRae misses 3-pt jump shot from 25 ft,22,10
73,1,3:03.0,Defensive rebound by T. Booker,,22,10
