,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,GOLDEN STATE_ACTION,CLEVELAND_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,Turnover by T. Mozgov (step out of bounds),,0,0
1,1,11:25.0,,Turnover by B. Rush (lost ball; steal by L. James),0,0
2,1,11:03.0,K. Love misses 2-pt jump shot from 4 ft,,0,0
3,1,11:03.0,,Defensive rebound by K. Thompson,0,0
4,1,10:58.0,,K. Thompson misses 3-pt jump shot from 26 ft,0,0
5,1,10:56.0,Defensive rebound by J. Smith,,0,0
6,1,10:43.0,K. Love misses 3-pt jump shot from 26 ft,,0,0
7,1,10:42.0,,Defensive rebound by D. Green,0,0
8,1,10:29.0,,A. Bogut makes 2-pt dunk at rim (assist by K. Thompson),0,2
9,1,10:04.0,L. James misses 2-pt layup at rim,,0,2
10,1,10:02.0,,Defensive rebound by A. Bogut,0,2
11,1,9:49.0,,Turnover by D. Green (traveling),0,2
12,1,9:35.0,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Love),,3,2
13,1,9:23.0,,A. Bogut makes 2-pt layup from 2 ft (assist by D. Green),3,4
14,1,9:03.0,K. Irving misses 3-pt jump shot from 24 ft (block by D. Green),,3,4
15,1,9:01.0,Offensive rebound by K. Irving,,3,4
16,1,8:53.0,J. Smith misses 3-pt jump shot from 25 ft,,3,4
17,1,8:52.0,,Defensive rebound by B. Rush,3,4
18,1,8:46.0,,Turnover by D. Green (bad pass),3,4
19,1,8:26.0,L. James makes 2-pt jump shot from 7 ft,,5,4
20,1,8:17.0,,S. Curry misses 2-pt layup from 1 ft,5,4
21,1,8:16.0,Defensive rebound by K. Love,,5,4
22,1,8:10.0,T. Mozgov misses 2-pt dunk at rim (block by A. Bogut),,5,4
23,1,8:09.0,,Defensive rebound by D. Green,5,4
24,1,8:07.0,,Shooting foul by J. Smith (drawn by D. Green),5,4
25,1,8:07.0,,D. Green makes free throw 1 of 2,5,5
26,1,8:07.0,,D. Green makes free throw 2 of 2,5,6
27,1,7:45.0,Shooting foul by B. Rush (drawn by K. Irving),,5,6
28,1,7:45.0,K. Irving makes free throw 1 of 2,,6,6
29,1,7:45.0,K. Irving makes free throw 2 of 2,,7,6
30,1,7:30.0,,D. Green makes 3-pt jump shot from 25 ft (assist by S. Curry),7,9
31,1,7:16.0,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Love),,10,9
32,1,7:05.0,,K. Thompson misses 3-pt jump shot from 25 ft,10,9
33,1,7:04.0,,Offensive rebound by Team,10,9
34,1,6:53.0,,S. Curry misses 2-pt jump shot from 18 ft,10,9
35,1,6:53.0,Defensive rebound by K. Love,,10,9
36,1,6:39.0,K. Love makes 2-pt layup from 1 ft,,12,9
37,1,6:27.0,,D. Green misses 2-pt layup from 1 ft,12,9
38,1,6:26.0,,Offensive rebound by A. Bogut,12,9
39,1,6:18.0,,K. Thompson makes 2-pt layup at rim (assist by D. Green),12,11
40,1,5:51.0,K. Love misses 3-pt jump shot from 23 ft,,12,11
41,1,5:50.0,Offensive rebound by T. Mozgov,,12,11
42,1,5:45.0,K. Love misses 2-pt layup from 1 ft (block by D. Green),,12,11
43,1,5:43.0,Offensive rebound by Team,,12,11
44,1,5:43.0,,Golden State full timeout,12,11
45,1,5:43.0,,A. Iguodala enters the game for B. Rush,12,11
46,1,5:36.0,Turnover by K. Irving (lost ball; steal by S. Curry),,12,11
47,1,5:34.0,,Personal foul by K. Love (drawn by D. Green),12,11
48,1,5:34.0,M. Dellavedova enters the game for K. Irving,,12,11
49,1,5:25.0,,D. Green makes 3-pt jump shot from 25 ft (assist by S. Curry),12,14
50,1,5:04.0,T. Mozgov misses 2-pt layup from 1 ft (block by A. Bogut),,12,14
51,1,4:59.0,Offensive rebound by T. Mozgov,,12,14
52,1,4:59.0,T. Mozgov misses 2-pt layup from 2 ft,,12,14
53,1,4:58.0,,Defensive rebound by D. Green,12,14
54,1,4:55.0,,Shooting foul by T. Mozgov (drawn by S. Curry),12,14
55,1,4:55.0,,S. Curry makes free throw 1 of 2,12,15
56,1,4:55.0,T. Thompson enters the game for T. Mozgov,,12,15
57,1,4:55.0,,S. Curry makes free throw 2 of 2,12,16
58,1,4:41.0,M. Dellavedova misses 3-pt jump shot from 24 ft,,12,16
59,1,4:40.0,,Defensive rebound by D. Green,12,16
60,1,4:34.0,,D. Green misses 2-pt jump shot from 3 ft (block by K. Love),12,16
61,1,4:32.0,Defensive rebound by T. Thompson,,12,16
62,1,4:21.0,L. James misses 2-pt jump shot from 5 ft (block by K. Thompson),,12,16
63,1,4:19.0,,Defensive rebound by A. Bogut,12,16
64,1,4:10.0,,S. Curry misses 2-pt jump shot from 8 ft,12,16
65,1,4:09.0,Defensive rebound by K. Love,,12,16
66,1,4:02.0,M. Dellavedova makes 2-pt jump shot from 7 ft,,14,16
67,1,4:02.0,Shooting foul by S. Curry (drawn by M. Dellavedova),,14,16
68,1,4:02.0,I. Shumpert enters the game for K. Love,,14,16
69,1,4:02.0,,S. Livingston enters the game for K. Thompson,14,16
70,1,4:02.0,M. Dellavedova makes free throw 1 of 1,,15,16
71,1,3:43.0,,A. Iguodala misses 3-pt jump shot from 24 ft,15,16
72,1,3:42.0,,Offensive rebound by S. Livingston,15,16
73,1,3:40.0,,Turnover by S. Livingston (bad pass; steal by J. Smith),15,16
74,1,3:27.0,I. Shumpert misses 3-pt jump shot from 22 ft,,15,16
75,1,3:25.0,,Defensive rebound by S. Livingston,15,16
76,1,3:14.0,,S. Curry makes 2-pt layup at rim (assist by A. Bogut),15,18
77,1,3:14.0,,Shooting foul by M. Dellavedova (drawn by S. Curry),15,18
78,1,3:14.0,,F. Ezeli enters the game for A. Bogut,15,18
79,1,3:14.0,Cleveland full timeout,,15,18
80,1,3:14.0,,S. Curry makes free throw 1 of 1,15,19
81,1,3:05.0,Turnover by L. James (lost ball; steal by A. Iguodala),,15,19
82,1,2:59.0,,S. Livingston makes 2-pt jump shot from 13 ft (assist by S. Curry),15,21
83,1,2:41.0,L. James misses 3-pt jump shot from 24 ft,,15,21
84,1,2:40.0,,Defensive rebound by D. Green,15,21
85,1,2:33.0,,Turnover by S. Livingston (bad pass; steal by I. Shumpert),15,21
86,1,2:22.0,I. Shumpert misses 2-pt jump shot from 18 ft,,15,21
87,1,2:22.0,,Defensive rebound by S. Curry,15,21
88,1,2:15.0,,S. Curry makes 3-pt jump shot from 29 ft (assist by D. Green),15,24
89,1,1:56.0,L. James makes 2-pt layup from 1 ft,,17,24
90,1,1:34.0,,D. Green makes 2-pt layup from 2 ft (assist by S. Livingston),17,26
91,1,1:34.0,,Shooting foul by J. Smith (drawn by D. Green),17,26
92,1,1:34.0,J. Jones enters the game for L. James,,17,26
93,1,1:34.0,M. Williams enters the game for J. Smith,,17,26
94,1,1:34.0,,D. Green misses free throw 1 of 1,17,26
95,1,1:33.0,Defensive rebound by J. Jones,,17,26
96,1,1:24.0,I. Shumpert misses 3-pt jump shot from 25 ft,,17,26
97,1,1:23.0,,Defensive rebound by S. Livingston,17,26
98,1,1:13.0,,Turnover by D. Green (3 sec),17,26
99,1,1:00.0,M. Dellavedova misses 3-pt jump shot from 24 ft,,17,26
100,1,0:59.0,,Defensive rebound by D. Green,17,26
101,1,0:54.0,,S. Curry misses 2-pt layup from 1 ft,17,26
102,1,0:54.0,Defensive rebound by J. Jones,,17,26
103,1,0:49.0,T. Thompson makes 2-pt dunk at rim (assist by I. Shumpert),,19,26
104,1,0:31.0,,S. Livingston makes 2-pt jump shot from 14 ft,19,28
105,1,0:13.0,M. Williams misses 2-pt jump shot from 16 ft,,19,28
106,1,0:13.0,Offensive rebound by T. Thompson,,19,28
107,1,0:11.0,Personal foul by F. Ezeli (drawn by T. Thompson),,19,28
108,1,0:11.0,L. James enters the game for M. Williams,,19,28
109,2,11:45.0,,L. Barbosa misses 2-pt layup from 2 ft,19,28
110,2,11:45.0,Defensive rebound by K. Love,,19,28
111,2,11:23.0,Shooting foul by S. Livingston (drawn by M. Williams),,19,28
112,2,11:23.0,M. Williams makes free throw 1 of 3,,20,28
113,2,11:23.0,M. Williams makes free throw 2 of 3,,21,28
114,2,11:23.0,M. Williams makes free throw 3 of 3,,22,28
115,2,11:13.0,,S. Livingston misses 2-pt jump shot from 16 ft,22,28
116,2,11:12.0,Defensive rebound by T. Thompson,,22,28
117,2,10:52.0,I. Shumpert misses 2-pt jump shot from 5 ft (block by F. Ezeli),,22,28
118,2,10:51.0,,Defensive rebound by F. Ezeli,22,28
119,2,10:36.0,,A. Iguodala makes 3-pt jump shot from 26 ft (assist by S. Livingston),22,31
120,2,10:19.0,M. Dellavedova makes 2-pt jump shot from 6 ft,,24,31
121,2,9:57.0,,M. Speights misses 2-pt jump shot from 17 ft,24,31
122,2,9:56.0,Defensive rebound by T. Thompson,,24,31
123,2,9:48.0,K. Love makes 2-pt hook shot from 7 ft (assist by M. Williams),,26,31
124,2,9:39.0,,Turnover by F. Ezeli (traveling),26,31
125,2,9:39.0,,Golden State full timeout,26,31
126,2,9:39.0,K. Irving enters the game for M. Dellavedova,,26,31
127,2,9:39.0,L. James enters the game for M. Williams,,26,31
128,2,9:39.0,,K. Thompson enters the game for S. Livingston,26,31
129,2,9:31.0,Personal foul by M. Speights (drawn by K. Love),,26,31
130,2,9:26.0,Turnover by K. Irving (bad pass; steal by M. Speights),,26,31
131,2,9:20.0,,L. Barbosa misses 2-pt jump shot from 3 ft,26,31
