,QUARTER,TIME_REMAINING,DENVER_ACTION,CHICAGO_ACTION,DENVER_SCORE,CHICAGO_SCORE
0,1,11:46.0,,P. Gasol makes 2-pt layup from 2 ft (assist by D. Rose),0,2
1,1,11:28.0,E. Mudiay misses 2-pt jump shot from 18 ft,,0,2
2,1,11:27.0,,Defensive rebound by T. Snell,0,2
3,1,11:17.0,,P. Gasol makes 2-pt jump shot from 18 ft (assist by D. Rose),0,4
4,1,10:48.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by D. Gallinari),,3,4
5,1,10:33.0,,N. Mirotić makes 3-pt jump shot from 23 ft (assist by T. Snell),3,7
6,1,10:17.0,N. Jokić misses 2-pt jump shot from 20 ft,,3,7
7,1,10:15.0,Offensive rebound by K. Faried,,3,7
8,1,10:15.0,K. Faried misses 2-pt layup from 2 ft (block by P. Gasol),,3,7
9,1,10:13.0,Offensive rebound by K. Faried,,3,7
10,1,10:08.0,K. Faried makes 2-pt layup from 2 ft (assist by E. Mudiay),,5,7
11,1,9:50.0,,D. Rose misses 3-pt jump shot from 24 ft,5,7
12,1,9:49.0,Defensive rebound by N. Jokić,,5,7
13,1,9:33.0,K. Faried makes 2-pt layup from 2 ft (assist by R. Foye),,7,7
14,1,9:33.0,Shooting foul by P. Gasol (drawn by K. Faried),,7,7
15,1,9:33.0,K. Faried misses free throw 1 of 1,,7,7
16,1,9:31.0,,Defensive rebound by N. Mirotić,7,7
17,1,9:22.0,,N. Mirotić misses 3-pt jump shot from 25 ft,7,7
18,1,9:21.0,Defensive rebound by R. Foye,,7,7
19,1,9:09.0,D. Gallinari makes 2-pt jump shot from 21 ft (assist by R. Foye),,9,7
20,1,8:58.0,,T. Snell misses 2-pt dunk at rim,9,7
21,1,8:57.0,,Offensive rebound by P. Gasol,9,7
22,1,8:53.0,,D. Rose makes 2-pt layup at rim (assist by P. Gasol),9,9
23,1,8:33.0,N. Jokić misses 2-pt jump shot from 15 ft,,9,9
24,1,8:32.0,,Defensive rebound by N. Mirotić,9,9
25,1,8:22.0,,P. Gasol makes 2-pt jump shot from 20 ft (assist by J. Butler),9,11
26,1,8:15.0,Denver full timeout,,9,11
27,1,8:05.0,Turnover by E. Mudiay (bad pass; steal by N. Mirotić),,9,11
28,1,7:46.0,,J. Butler misses 3-pt jump shot from 24 ft,9,11
29,1,7:45.0,,Offensive rebound by N. Mirotić,9,11
30,1,7:39.0,,D. Rose misses 2-pt layup from 1 ft,9,11
31,1,7:37.0,Defensive rebound by N. Jokić,,9,11
32,1,7:37.0,Personal foul by D. Rose (drawn by R. Foye),,9,11
33,1,7:23.0,E. Mudiay makes 2-pt layup from 3 ft,,11,11
34,1,7:21.0,,Chicago full timeout,11,11
35,1,7:21.0,,J. Noah enters the game for N. Mirotić,11,11
36,1,7:04.0,,T. Snell misses 2-pt jump shot from 3 ft (block by R. Foye),11,11
37,1,7:04.0,,Offensive rebound by Team,11,11
38,1,6:56.0,,J. Butler misses 2-pt jump shot from 7 ft (block by R. Foye),11,11
39,1,6:53.0,Defensive rebound by K. Faried,,11,11
40,1,6:49.0,N. Jokić makes 2-pt layup from 1 ft (assist by E. Mudiay),,13,11
41,1,6:36.0,,D. Rose misses 2-pt jump shot from 10 ft,13,11
42,1,6:35.0,Defensive rebound by E. Mudiay,,13,11
43,1,6:17.0,D. Gallinari misses 2-pt jump shot from 16 ft,,13,11
44,1,6:15.0,,Defensive rebound by P. Gasol,13,11
45,1,6:03.0,,J. Butler misses 2-pt jump shot from 4 ft (block by N. Jokić),13,11
46,1,6:01.0,Defensive rebound by N. Jokić,,13,11
47,1,5:55.0,R. Foye misses 3-pt jump shot from 23 ft,,13,11
48,1,5:53.0,,Defensive rebound by P. Gasol,13,11
49,1,5:45.0,,D. Rose makes 2-pt layup from 1 ft,13,13
50,1,5:34.0,D. Gallinari misses 2-pt layup from 2 ft (block by J. Noah),,13,13
51,1,5:34.0,Offensive rebound by Team,,13,13
52,1,5:34.0,,A. Brooks enters the game for D. Rose,13,13
53,1,5:31.0,N. Jokić makes 2-pt layup from 1 ft (assist by K. Faried),,15,13
54,1,5:15.0,,P. Gasol makes 2-pt layup from 2 ft,15,15
55,1,5:09.0,Offensive foul by K. Faried (drawn by A. Brooks),,15,15
56,1,5:09.0,Turnover by K. Faried (offensive foul),,15,15
57,1,5:09.0,J. Lauvergne enters the game for N. Jokić,,15,15
58,1,4:58.0,,Turnover by P. Gasol (bad pass; steal by R. Foye),15,15
59,1,4:52.0,K. Faried misses 2-pt layup from 1 ft (block by A. Brooks),,15,15
60,1,4:49.0,,Defensive rebound by T. Snell,15,15
61,1,4:38.0,,A. Brooks misses 3-pt jump shot from 26 ft,15,15
62,1,4:37.0,Defensive rebound by J. Lauvergne,,15,15
63,1,4:28.0,E. Mudiay misses 2-pt jump shot from 19 ft,,15,15
64,1,4:26.0,,Defensive rebound by T. Snell,15,15
