,QUARTER,TIME_REMAINING,INDIANA_ACTION,PHOENIX_ACTION,INDIANA_SCORE,PHOENIX_SCORE
0,1,11:45.0,P. George misses 3-pt jump shot from 23 ft,,0,0
1,1,11:43.0,,Defensive rebound by T. Chandler,0,0
2,1,11:27.0,,D. Booker makes 3-pt jump shot from 22 ft (assist by P. Tucker),0,3
3,1,11:13.0,M. Ellis misses 3-pt jump shot from 25 ft,,0,3
4,1,11:11.0,Offensive rebound by I. Mahinmi,,0,3
5,1,11:07.0,P. George makes 2-pt jump shot from 16 ft,,2,3
6,1,10:48.0,,P. Tucker misses 3-pt jump shot from 23 ft,2,3
7,1,10:46.0,Defensive rebound by G. Robinson,,2,3
8,1,10:25.0,M. Ellis makes 2-pt jump shot from 17 ft (assist by G. Robinson),,4,3
9,1,10:03.0,,P. Tucker makes 2-pt layup from 2 ft,4,5
10,1,9:49.0,Shooting foul by T. Chandler (drawn by M. Ellis),,4,5
11,1,9:49.0,M. Ellis makes free throw 1 of 2,,5,5
12,1,9:49.0,M. Ellis makes free throw 2 of 2,,6,5
13,1,9:35.0,,B. Knight misses 3-pt jump shot from 23 ft,6,5
14,1,9:33.0,Defensive rebound by I. Mahinmi,,6,5
15,1,9:25.0,M. Ellis misses 3-pt jump shot from 25 ft,,6,5
16,1,9:23.0,,Defensive rebound by T. Chandler,6,5
17,1,9:21.0,,Turnover by T. Chandler (bad pass),6,5
18,1,9:12.0,P. George misses 3-pt jump shot from 24 ft,,6,5
19,1,9:10.0,,Defensive rebound by B. Knight,6,5
20,1,9:03.0,,Turnover by B. Knight (lost ball; steal by L. Allen),6,5
21,1,9:00.0,Shooting foul by D. Booker (drawn by G. Robinson),,6,5
22,1,9:00.0,G. Robinson misses free throw 1 of 2,,6,5
23,1,9:00.0,Offensive rebound by Team,,6,5
24,1,9:00.0,G. Robinson makes free throw 2 of 2,,7,5
25,1,8:35.0,,Turnover by B. Knight (lost ball; steal by M. Ellis),7,5
26,1,8:29.0,G. Robinson makes 3-pt jump shot from 22 ft (assist by P. George),,10,5
27,1,8:29.0,,Phoenix full timeout,10,5
28,1,8:16.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by B. Knight),10,8
29,1,8:01.0,Turnover by M. Ellis (bad pass; steal by B. Knight),,10,8
30,1,7:57.0,,Shooting block foul by P. George (drawn by D. Booker),10,8
31,1,7:57.0,,D. Booker makes free throw 1 of 2,10,9
32,1,7:57.0,,D. Booker makes free throw 2 of 2,10,10
33,1,7:37.0,P. George misses 2-pt jump shot from 18 ft,,10,10
34,1,7:35.0,,Defensive rebound by T. Chandler,10,10
35,1,7:16.0,,M. Morris misses 2-pt jump shot from 15 ft,10,10
36,1,7:14.0,Defensive rebound by P. George,,10,10
37,1,7:07.0,P. George makes 2-pt layup from 2 ft,,12,10
