,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,INDIANA_ACTION,GOLDEN STATE_SCORE,INDIANA_SCORE
0,1,11:47.0,S. Curry misses 3-pt jump shot from 25 ft,,0,0
1,1,11:47.0,,Defensive rebound by P. George,0,0
2,1,11:39.0,,P. George misses 2-pt jump shot from 18 ft,0,0
3,1,11:38.0,Defensive rebound by S. Curry,,0,0
4,1,11:18.0,D. Green misses 3-pt jump shot from 26 ft,,0,0
5,1,11:17.0,,Defensive rebound by I. Mahinmi,0,0
6,1,11:12.0,,P. George misses 2-pt layup from 1 ft,0,0
7,1,11:10.0,,Offensive rebound by P. George,0,0
8,1,11:10.0,,P. George makes 2-pt layup from 1 ft,0,2
9,1,11:02.0,K. Thompson misses 3-pt jump shot from 26 ft,,0,2
10,1,11:02.0,,Defensive rebound by C. Miles,0,2
11,1,10:56.0,,Shooting foul by K. Thompson (drawn by C. Miles),0,2
12,1,10:56.0,,C. Miles makes free throw 1 of 3,0,3
13,1,10:56.0,,C. Miles makes free throw 2 of 3,0,4
14,1,10:56.0,,C. Miles makes free throw 3 of 3,0,5
15,1,10:43.0,S. Curry makes 2-pt layup at rim (assist by A. Bogut),,2,5
16,1,10:36.0,,C. Miles makes 2-pt jump shot from 20 ft,2,7
17,1,10:25.0,B. Rush makes 2-pt jump shot from 21 ft (assist by D. Green),,4,7
18,1,10:11.0,,G. Hill makes 2-pt jump shot from 21 ft (assist by P. George),4,9
19,1,9:59.0,Personal foul by P. George (drawn by K. Thompson),,4,9
20,1,9:51.0,D. Green misses 2-pt layup from 2 ft,,4,9
21,1,9:51.0,,Defensive rebound by Team,4,9
22,1,9:34.0,,I. Mahinmi makes 2-pt layup from 1 ft (assist by P. George),4,11
23,1,9:24.0,A. Bogut makes 2-pt layup at rim (assist by S. Curry),,6,11
24,1,9:13.0,,I. Mahinmi makes 2-pt layup at rim (assist by M. Ellis),6,13
25,1,9:02.0,S. Curry misses 2-pt jump shot from 19 ft,,6,13
26,1,9:01.0,,Defensive rebound by P. George,6,13
27,1,8:55.0,,P. George misses 3-pt jump shot from 25 ft,6,13
28,1,8:55.0,Defensive rebound by K. Thompson,,6,13
29,1,8:49.0,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),,8,13
30,1,8:49.0,Shooting foul by I. Mahinmi (drawn by S. Curry),,8,13
31,1,8:49.0,S. Curry makes free throw 1 of 1,,9,13
32,1,8:37.0,,M. Ellis misses 2-pt jump shot from 14 ft,9,13
