,QUARTER,TIME_REMAINING,DALLAS_ACTION,PHOENIX_ACTION,DALLAS_SCORE,PHOENIX_SCORE
0,1,11:41.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,0,0
1,1,11:39.0,,Defensive rebound by E. Bledsoe,0,0
2,1,11:20.0,,B. Knight misses 3-pt jump shot from 24 ft,0,0
3,1,11:18.0,Defensive rebound by W. Matthews,,0,0
4,1,11:09.0,D. Williams makes 2-pt jump shot from 3 ft,,2,0
5,1,10:59.0,,Personal foul by Z. Pachulia (drawn by T. Chandler),2,0
6,1,10:51.0,,M. Morris misses 2-pt jump shot from 12 ft,2,0
7,1,10:48.0,Defensive rebound by D. Nowitzki,,2,0
8,1,10:30.0,D. Nowitzki misses 2-pt jump shot from 16 ft (block by T. Chandler),,2,0
9,1,10:28.0,,Defensive rebound by E. Bledsoe,2,0
10,1,10:22.0,,P. Tucker makes 2-pt dunk at rim (assist by E. Bledsoe),2,2
11,1,10:05.0,D. Williams makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),,5,2
12,1,9:51.0,,M. Morris misses 2-pt jump shot from 16 ft,5,2
13,1,9:48.0,Defensive rebound by D. Williams,,5,2
14,1,9:41.0,Personal foul by P. Tucker (drawn by R. Felton),,5,2
15,1,9:35.0,R. Felton misses 2-pt jump shot from 8 ft,,5,2
16,1,9:31.0,,Defensive rebound by B. Knight,5,2
17,1,9:26.0,,B. Knight makes 2-pt jump shot from 15 ft,5,4
18,1,9:04.0,W. Matthews misses 3-pt jump shot from 24 ft,,5,4
19,1,9:02.0,,Defensive rebound by T. Chandler,5,4
20,1,8:50.0,,E. Bledsoe makes 2-pt jump shot from 15 ft,5,6
21,1,8:41.0,Personal foul by M. Morris (drawn by D. Nowitzki),,5,6
22,1,8:30.0,Shooting foul by P. Tucker (drawn by W. Matthews),,5,6
23,1,8:30.0,W. Matthews misses free throw 1 of 2,,5,6
24,1,8:30.0,Offensive rebound by Team,,5,6
25,1,8:30.0,,T. Warren enters the game for P. Tucker,5,6
26,1,8:30.0,W. Matthews makes free throw 2 of 2,,6,6
27,1,8:21.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,6,6
28,1,8:20.0,,Offensive rebound by T. Chandler,6,6
29,1,8:16.0,,Shooting block foul by D. Williams (drawn by E. Bledsoe),6,6
30,1,8:16.0,,E. Bledsoe makes free throw 1 of 2,6,7
31,1,8:16.0,,E. Bledsoe misses free throw 2 of 2,6,7
32,1,8:15.0,Defensive rebound by D. Nowitzki,,6,7
33,1,8:08.0,Personal foul by E. Bledsoe (drawn by Z. Pachulia),,6,7
34,1,8:05.0,R. Felton makes 2-pt layup from 1 ft (assist by W. Matthews),,8,7
35,1,7:57.0,,E. Bledsoe misses 2-pt jump shot from 7 ft,8,7
36,1,7:54.0,Defensive rebound by Z. Pachulia,,8,7
37,1,7:48.0,D. Williams makes 3-pt jump shot from 24 ft,,11,7
38,1,7:48.0,Violation by Team (jump ball),,11,7
39,1,7:36.0,,B. Knight makes 3-pt jump shot from 22 ft (assist by T. Chandler),11,10
40,1,7:25.0,Z. Pachulia misses 2-pt layup from 1 ft,,11,10
41,1,7:23.0,,Defensive rebound by T. Warren,11,10
42,1,7:12.0,,B. Knight misses 3-pt jump shot from 24 ft,11,10
43,1,7:12.0,,Offensive rebound by Team,11,10
44,1,7:12.0,Loose ball foul by R. Felton (drawn by E. Bledsoe),,11,10
45,1,7:12.0,D. Powell enters the game for D. Nowitzki,,11,10
46,1,7:12.0,J. Evans enters the game for W. Matthews,,11,10
47,1,7:05.0,,M. Morris misses 2-pt hook shot from 8 ft,11,10
48,1,7:03.0,Defensive rebound by D. Powell,,11,10
49,1,6:53.0,Turnover by D. Williams (bad pass; steal by M. Morris),,11,10
50,1,6:49.0,,B. Knight makes 2-pt layup from 2 ft (assist by E. Bledsoe),11,12
51,1,6:38.0,Personal foul by B. Knight (drawn by D. Powell),,11,12
52,1,6:38.0,D. Powell misses free throw 1 of 2,,11,12
53,1,6:38.0,Offensive rebound by Team,,11,12
54,1,6:38.0,D. Powell makes free throw 2 of 2,,12,12
55,1,6:29.0,,Turnover by B. Knight (bad pass; steal by Z. Pachulia),12,12
56,1,6:22.0,D. Williams misses 2-pt jump shot from 9 ft,,12,12
57,1,6:20.0,,Defensive rebound by M. Morris,12,12
58,1,6:13.0,,Offensive foul by T. Chandler (drawn by Z. Pachulia),12,12
59,1,6:13.0,,Turnover by T. Chandler (offensive foul),12,12
60,1,6:13.0,D. Harris enters the game for D. Williams,,12,12
61,1,5:58.0,Z. Pachulia misses 2-pt jump shot from 16 ft,,12,12
62,1,5:56.0,,Defensive rebound by Team,12,12
63,1,5:56.0,,Phoenix full timeout,12,12
64,1,5:56.0,,Violation by Team (jump ball),12,12
65,1,5:45.0,,T. Warren misses 2-pt jump shot from 17 ft,12,12
66,1,5:42.0,Defensive rebound by D. Powell,,12,12
67,1,5:38.0,Personal foul by M. Morris (drawn by D. Powell),,12,12
68,1,5:38.0,D. Powell makes free throw 1 of 2,,13,12
69,1,5:38.0,,M. Teletović enters the game for M. Morris,13,12
70,1,5:38.0,D. Powell misses free throw 2 of 2,,13,12
71,1,5:37.0,,Defensive rebound by M. Teletović,13,12
72,1,5:26.0,,Offensive foul by T. Chandler (drawn by D. Harris),13,12
73,1,5:26.0,,Turnover by T. Chandler (offensive foul),13,12
74,1,5:26.0,,A. Len enters the game for T. Chandler,13,12
75,1,5:17.0,Turnover by D. Harris (bad pass),,13,12
76,1,5:07.0,,E. Bledsoe misses 2-pt layup from 2 ft,13,12
77,1,5:03.0,Defensive rebound by Z. Pachulia,,13,12
78,1,4:58.0,R. Felton makes 2-pt jump shot from 20 ft,,15,12
79,1,4:48.0,,Turnover by B. Knight (bad pass; steal by Z. Pachulia),15,12
80,1,4:37.0,R. Felton misses 2-pt jump shot from 14 ft,,15,12
81,1,4:35.0,,Defensive rebound by T. Warren,15,12
82,1,4:19.0,,E. Bledsoe misses 2-pt layup from 1 ft,15,12
83,1,4:16.0,Defensive rebound by D. Powell,,15,12
84,1,4:12.0,Shooting block foul by A. Len (drawn by Z. Pachulia),,15,12
85,1,4:12.0,Z. Pachulia makes free throw 1 of 2,,16,12
86,1,4:12.0,J. Barea enters the game for R. Felton,,16,12
87,1,4:12.0,,S. Weems enters the game for E. Bledsoe,16,12
88,1,4:12.0,Z. Pachulia makes free throw 2 of 2,,17,12
