,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,ATLANTA_ACTION,LA LAKERS_SCORE,ATLANTA_SCORE
0,1,11:44.0,,T. Sefolosha misses 2-pt layup from 2 ft (block by K. Bryant),0,0
1,1,11:44.0,Defensive rebound by Team,,0,0
2,1,11:25.0,K. Bryant misses 2-pt jump shot from 19 ft,,0,0
3,1,11:24.0,,Defensive rebound by Team,0,0
4,1,11:11.0,,K. Korver misses 3-pt jump shot from 24 ft,0,0
5,1,11:09.0,Defensive rebound by D. Russell,,0,0
6,1,10:57.0,R. Hibbert misses 2-pt hook shot from 9 ft,,0,0
7,1,10:56.0,Offensive rebound by D. Russell,,0,0
8,1,10:55.0,D. Russell misses 2-pt layup at rim,,0,0
9,1,10:53.0,,Defensive rebound by K. Korver,0,0
10,1,10:38.0,,P. Millsap makes 2-pt layup from 2 ft (assist by J. Teague),0,2
11,1,10:26.0,K. Bryant misses 3-pt jump shot from 24 ft,,0,2
12,1,10:25.0,,Defensive rebound by K. Korver,0,2
13,1,10:16.0,,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Teague),0,5
14,1,9:56.0,Turnover by D. Russell (bad pass),,0,5
15,1,9:46.0,,A. Horford makes 2-pt jump shot from 16 ft (assist by K. Korver),0,7
16,1,9:26.0,D. Russell misses 2-pt jump shot from 21 ft,,0,7
17,1,9:24.0,Offensive rebound by R. Hibbert,,0,7
18,1,9:16.0,J. Clarkson misses 2-pt jump shot from 9 ft (block by K. Korver),,0,7
19,1,9:15.0,,Defensive rebound by A. Horford,0,7
20,1,8:59.0,,A. Horford misses 3-pt jump shot from 23 ft,0,7
21,1,8:58.0,Defensive rebound by J. Randle,,0,7
22,1,8:44.0,K. Bryant misses 2-pt jump shot from 10 ft,,0,7
23,1,8:43.0,,Defensive rebound by A. Horford,0,7
24,1,8:37.0,,Turnover by K. Korver (bad pass),0,7
25,1,8:25.0,D. Russell misses 3-pt jump shot from 23 ft,,0,7
26,1,8:24.0,,Defensive rebound by K. Korver,0,7
27,1,8:05.0,,A. Horford misses 3-pt jump shot from 23 ft,0,7
28,1,8:04.0,Defensive rebound by R. Hibbert,,0,7
29,1,7:48.0,,Violation by J. Teague (kicked ball),0,7
30,1,7:39.0,J. Randle misses 2-pt jump shot from 1 ft,,0,7
31,1,7:38.0,Offensive rebound by J. Randle,,0,7
32,1,7:38.0,J. Randle misses 2-pt layup from 1 ft,,0,7
33,1,7:37.0,Offensive rebound by R. Hibbert,,0,7
34,1,7:36.0,R. Hibbert makes 2-pt dunk at rim,,2,7
35,1,7:21.0,,T. Sefolosha misses 3-pt jump shot from 24 ft,2,7
36,1,7:20.0,Defensive rebound by D. Russell,,2,7
37,1,7:09.0,D. Russell makes 3-pt jump shot from 24 ft (assist by K. Bryant),,5,7
38,1,6:58.0,,A. Horford misses 3-pt jump shot from 24 ft,5,7
39,1,6:56.0,Defensive rebound by J. Randle,,5,7
40,1,6:41.0,Turnover by R. Hibbert (lost ball; steal by A. Horford),,5,7
41,1,6:32.0,,P. Millsap misses 3-pt jump shot from 23 ft,5,7
42,1,6:31.0,,Offensive rebound by T. Sefolosha,5,7
43,1,6:26.0,,T. Sefolosha makes 3-pt jump shot from 23 ft,5,10
44,1,6:03.0,R. Hibbert misses 2-pt jump shot from 18 ft,,5,10
45,1,6:02.0,,Defensive rebound by P. Millsap,5,10
46,1,5:57.0,,Atlanta full timeout,5,10
47,1,5:57.0,L. Nance enters the game for J. Randle,,5,10
48,1,5:57.0,L. Williams enters the game for D. Russell,,5,10
49,1,5:57.0,,M. Muscala enters the game for A. Horford,5,10
50,1,5:41.0,,P. Millsap misses 2-pt layup from 1 ft,5,10
51,1,5:41.0,Defensive rebound by Team,,5,10
52,1,5:27.0,R. Hibbert misses 2-pt hook shot from 5 ft,,5,10
53,1,5:26.0,,Defensive rebound by P. Millsap,5,10
54,1,5:26.0,,Personal foul by R. Hibbert (drawn by P. Millsap),5,10
55,1,5:15.0,,P. Millsap misses 2-pt layup from 1 ft (block by R. Hibbert),5,10
56,1,5:14.0,,Offensive rebound by M. Muscala,5,10
57,1,5:12.0,,M. Muscala misses 2-pt layup at rim (block by K. Bryant),5,10
58,1,5:11.0,Defensive rebound by L. Nance,,5,10
59,1,5:02.0,K. Bryant misses 2-pt jump shot from 16 ft,,5,10
60,1,5:00.0,,Defensive rebound by T. Sefolosha,5,10
61,1,4:46.0,,M. Muscala misses 2-pt jump shot from 18 ft,5,10
62,1,4:45.0,Defensive rebound by L. Nance,,5,10
63,1,4:31.0,L. Williams makes 3-pt jump shot from 24 ft (assist by J. Clarkson),,8,10
64,1,4:15.0,,J. Teague makes 2-pt jump shot from 18 ft,8,12
65,1,3:52.0,L. Nance makes 2-pt layup from 1 ft (assist by K. Bryant),,10,12
66,1,3:44.0,,M. Muscala makes 2-pt layup at rim (assist by J. Teague),10,14
67,1,3:44.0,,Shooting foul by L. Williams (drawn by M. Muscala),10,14
68,1,3:44.0,,D. Schröder enters the game for K. Korver,10,14
69,1,3:44.0,,K. Bazemore enters the game for J. Teague,10,14
70,1,3:44.0,B. Bass enters the game for K. Bryant,,10,14
71,1,3:44.0,M. World Peace enters the game for R. Hibbert,,10,14
72,1,3:44.0,,L. Patterson enters the game for T. Sefolosha,10,14
73,1,3:44.0,,M. Muscala makes free throw 1 of 1,10,15
74,1,3:31.0,L. Williams makes 3-pt jump shot from 23 ft (assist by J. Clarkson),,13,15
75,1,3:13.0,,M. Muscala makes 3-pt jump shot from 24 ft (assist by D. Schröder),13,18
76,1,2:49.0,L. Williams misses 2-pt jump shot from 8 ft (block by D. Schröder),,13,18
77,1,2:49.0,,Defensive rebound by D. Schröder,13,18
78,1,2:35.0,,P. Millsap makes 2-pt layup at rim (assist by D. Schröder),13,20
79,1,2:19.0,LA Lakers full timeout,,13,20
80,1,2:19.0,,A. Horford enters the game for P. Millsap,13,20
81,1,2:14.0,J. Clarkson makes 2-pt jump shot from 18 ft (assist by M. World Peace),,15,20
82,1,1:57.0,,K. Bazemore misses 3-pt jump shot from 23 ft,15,20
83,1,1:56.0,Defensive rebound by J. Clarkson,,15,20
84,1,1:48.0,Turnover by L. Williams (lost ball; steal by K. Bazemore),,15,20
85,1,1:24.0,,A. Horford misses 2-pt jump shot from 15 ft,15,20
86,1,1:22.0,Defensive rebound by M. World Peace,,15,20
87,1,1:16.0,Shooting foul by L. Patterson (drawn by L. Williams),,15,20
88,1,1:16.0,L. Williams makes free throw 1 of 2,,16,20
89,1,1:16.0,L. Williams makes free throw 2 of 2,,17,20
90,1,1:01.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by K. Bazemore),17,23
91,1,0:36.0,B. Bass misses 2-pt jump shot from 8 ft,,17,23
92,1,0:33.0,,Defensive rebound by M. Muscala,17,23
93,1,0:25.0,,D. Schröder misses 3-pt jump shot from 25 ft,17,23
94,1,0:23.0,Defensive rebound by M. World Peace,,17,23
95,1,0:05.0,L. Williams makes 2-pt jump shot from 7 ft,,19,23
96,2,11:45.0,L. Williams misses 3-pt jump shot from 24 ft,,19,23
97,2,11:44.0,,Defensive rebound by D. Schröder,19,23
98,2,11:35.0,,D. Schröder misses 3-pt jump shot from 24 ft,19,23
99,2,11:33.0,,Offensive rebound by A. Horford,19,23
100,2,11:23.0,,K. Bazemore makes 2-pt layup from 1 ft,19,25
101,2,11:13.0,D. Russell misses 2-pt layup from 1 ft,,19,25
102,2,11:13.0,,Defensive rebound by Team,19,25
103,2,10:59.0,,K. Bazemore misses 2-pt jump shot from 19 ft,19,25
104,2,10:57.0,Defensive rebound by L. Nance,,19,25
105,2,10:39.0,B. Bass makes 2-pt dunk at rim (assist by L. Williams),,21,25
106,2,10:29.0,,Turnover by L. Patterson (traveling),21,25
107,2,10:12.0,Turnover by D. Russell (bad pass),,21,25
108,2,10:12.0,J. Randle enters the game for L. Nance,,21,25
109,2,10:12.0,,K. Korver enters the game for L. Patterson,21,25
110,2,9:57.0,,A. Horford makes 2-pt jump shot from 17 ft (assist by M. Scott),21,27
111,2,9:44.0,Shooting foul by K. Bazemore (drawn by K. Bryant),,21,27
112,2,9:44.0,K. Bryant misses free throw 1 of 3,,21,27
113,2,9:44.0,Offensive rebound by Team,,21,27
114,2,9:44.0,K. Bryant makes free throw 2 of 3,,22,27
115,2,9:44.0,K. Bryant makes free throw 3 of 3,,23,27
116,2,9:32.0,,M. Scott misses 2-pt layup at rim,23,27
117,2,9:30.0,,Offensive rebound by M. Scott,23,27
118,2,9:30.0,,Shooting foul by B. Bass (drawn by M. Scott),23,27
119,2,9:30.0,,M. Scott makes free throw 1 of 2,23,28
120,2,9:30.0,R. Hibbert enters the game for B. Bass,,23,28
121,2,9:30.0,,M. Scott makes free throw 2 of 2,23,29
122,2,9:18.0,Personal foul by M. Scott (drawn by J. Randle),,23,29
123,2,9:07.0,D. Russell misses 3-pt jump shot from 24 ft,,23,29
124,2,9:05.0,,Defensive rebound by M. Scott,23,29
125,2,8:54.0,,K. Korver misses 3-pt jump shot from 25 ft,23,29
126,2,8:53.0,Defensive rebound by R. Hibbert,,23,29
127,2,8:51.0,Turnover by R. Hibbert (bad pass; steal by K. Bazemore),,23,29
128,2,8:47.0,,M. Scott misses 2-pt jump shot from 17 ft,23,29
129,2,8:45.0,Defensive rebound by K. Bryant,,23,29
130,2,8:34.0,J. Randle misses 2-pt jump shot from 17 ft,,23,29
131,2,8:32.0,,Defensive rebound by D. Schröder,23,29
132,2,8:20.0,,Shooting foul by J. Randle (drawn by A. Horford),23,29
133,2,8:20.0,Official timeout,,23,29
134,2,8:20.0,,A. Horford makes free throw 1 of 2,23,30
135,2,8:20.0,,A. Horford makes free throw 2 of 2,23,31
136,2,7:59.0,K. Bryant misses 3-pt jump shot from 24 ft,,23,31
137,2,7:58.0,,Defensive rebound by K. Bazemore,23,31
138,2,7:41.0,,K. Bazemore makes 3-pt jump shot from 24 ft (assist by M. Scott),23,34
139,2,7:23.0,K. Bryant makes 2-pt jump shot from 4 ft (assist by R. Hibbert),,25,34
140,2,7:12.0,,A. Horford makes 2-pt layup from 1 ft (assist by M. Scott),25,36
141,2,6:51.0,J. Randle misses 2-pt hook shot from 8 ft,,25,36
142,2,6:49.0,,Defensive rebound by A. Horford,25,36
143,2,6:43.0,,M. Scott makes 2-pt jump shot from 15 ft (assist by A. Horford),25,38
144,2,6:35.0,LA Lakers full timeout,,25,38
145,2,6:35.0,,J. Teague enters the game for A. Horford,25,38
146,2,6:35.0,,T. Sefolosha enters the game for K. Bazemore,25,38
147,2,6:35.0,,P. Millsap enters the game for D. Schröder,25,38
148,2,6:27.0,L. Williams misses 2-pt jump shot from 10 ft,,25,38
149,2,6:26.0,,Defensive rebound by P. Millsap,25,38
150,2,6:18.0,,M. Scott misses 2-pt jump shot from 14 ft,25,38
151,2,6:17.0,Defensive rebound by K. Bryant,,25,38
152,2,6:05.0,D. Russell makes 3-pt jump shot from 24 ft (assist by R. Hibbert),,28,38
153,2,5:51.0,,K. Korver makes 2-pt jump shot from 17 ft,28,40
154,2,5:28.0,K. Bryant misses 3-pt jump shot from 27 ft,,28,40
155,2,5:27.0,,Defensive rebound by K. Korver,28,40
156,2,5:22.0,,T. Sefolosha misses 2-pt layup from 1 ft (block by L. Williams),28,40
157,2,5:19.0,,Offensive rebound by M. Scott,28,40
158,2,5:19.0,,M. Scott makes 2-pt layup at rim,28,42
159,2,5:01.0,L. Williams misses 3-pt jump shot from 24 ft,,28,42
160,2,5:00.0,,Defensive rebound by K. Korver,28,42
161,2,4:52.0,,M. Scott makes 2-pt layup from 2 ft (assist by K. Korver),28,44
162,2,4:44.0,LA Lakers full timeout,,28,44
163,2,4:44.0,J. Clarkson enters the game for L. Williams,,28,44
164,2,4:31.0,J. Clarkson misses 2-pt jump shot from 21 ft,,28,44
165,2,4:30.0,Offensive rebound by J. Randle,,28,44
166,2,4:26.0,J. Randle makes 2-pt layup at rim,,30,44
167,2,4:04.0,,P. Millsap makes 2-pt hook shot from 4 ft,30,46
168,2,3:40.0,J. Randle misses 2-pt hook shot from 7 ft,,30,46
169,2,3:40.0,Offensive rebound by R. Hibbert,,30,46
170,2,3:40.0,Shooting foul by P. Millsap (drawn by R. Hibbert),,30,46
171,2,3:40.0,R. Hibbert misses free throw 1 of 2,,30,46
172,2,3:40.0,Offensive rebound by Team,,30,46
173,2,3:40.0,M. World Peace enters the game for K. Bryant,,30,46
174,2,3:40.0,R. Hibbert makes free throw 2 of 2,,31,46
175,2,3:32.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by J. Teague),31,49
176,2,3:06.0,Turnover by D. Russell (bad pass; steal by P. Millsap),,31,49
177,2,3:01.0,,K. Korver misses 3-pt jump shot from 24 ft,31,49
178,2,2:57.0,Defensive rebound by D. Russell,,31,49
179,2,2:37.0,Turnover by R. Hibbert (bad pass; steal by T. Sefolosha),,31,49
180,2,2:24.0,,Atlanta full timeout,31,49
181,2,2:24.0,,K. Bazemore enters the game for K. Korver,31,49
182,2,2:24.0,,A. Horford enters the game for M. Scott,31,49
183,2,2:24.0,L. Nance enters the game for J. Randle,,31,49
184,2,2:24.0,B. Bass enters the game for R. Hibbert,,31,49
185,2,2:17.0,,K. Bazemore misses 2-pt layup from 1 ft,31,49
186,2,2:15.0,Defensive rebound by B. Bass,,31,49
187,2,1:58.0,M. World Peace misses 2-pt jump shot from 20 ft,,31,49
188,2,1:56.0,,Defensive rebound by A. Horford,31,49
189,2,1:47.0,,Shooting foul by M. World Peace (drawn by A. Horford),31,49
190,2,1:47.0,,A. Horford makes free throw 1 of 2,31,50
191,2,1:47.0,,A. Horford misses free throw 2 of 2,31,50
192,2,1:46.0,Defensive rebound by L. Nance,,31,50
193,2,1:27.0,L. Nance makes 2-pt layup from 3 ft (assist by D. Russell),,33,50
194,2,1:06.0,,K. Bazemore misses 2-pt jump shot from 21 ft,33,50
195,2,1:04.0,Defensive rebound by J. Clarkson,,33,50
196,2,0:57.0,Turnover by J. Clarkson (lost ball),,33,50
197,2,0:37.0,,T. Sefolosha makes 2-pt jump shot from 17 ft,33,52
198,2,0:29.0,M. World Peace makes 3-pt jump shot from 22 ft (assist by D. Russell),,36,52
199,2,0:05.0,,P. Millsap misses 2-pt jump shot from 5 ft,36,52
200,2,0:04.0,Defensive rebound by M. World Peace,,36,52
201,3,11:41.0,J. Clarkson makes 3-pt jump shot from 24 ft (assist by D. Russell),,39,52
202,3,11:22.0,,J. Teague makes 3-pt jump shot from 24 ft,39,55
203,3,11:07.0,J. Clarkson misses 2-pt jump shot from 19 ft,,39,55
204,3,11:06.0,,Defensive rebound by A. Horford,39,55
205,3,10:54.0,,A. Horford makes 2-pt dunk at rim (assist by P. Millsap),39,57
206,3,10:35.0,D. Russell makes 3-pt jump shot from 24 ft (assist by R. Hibbert),,42,57
207,3,10:21.0,,Shooting foul by D. Russell (drawn by J. Teague),42,57
208,3,10:21.0,,J. Teague makes free throw 1 of 2,42,58
209,3,10:21.0,,J. Teague makes free throw 2 of 2,42,59
210,3,10:08.0,D. Russell makes 2-pt layup from 1 ft (assist by K. Bryant),,44,59
211,3,9:53.0,Offensive charge foul by P. Millsap (drawn by J. Randle),,44,59
212,3,9:53.0,,Turnover by P. Millsap (offensive foul),44,59
213,3,9:35.0,J. Randle misses 2-pt jump shot from 3 ft (block by K. Korver),,44,59
214,3,9:32.0,Offensive rebound by D. Russell,,44,59
215,3,9:27.0,J. Randle makes 2-pt layup from 3 ft (assist by D. Russell),,46,59
216,3,9:11.0,,Turnover by A. Horford (bad pass; steal by J. Clarkson),46,59
217,3,9:07.0,Turnover by J. Clarkson (lost ball; steal by J. Teague),,46,59
218,3,9:00.0,,A. Horford makes 2-pt dunk at rim (assist by J. Teague),46,61
219,3,8:38.0,J. Randle misses 2-pt jump shot at rim,,46,61
220,3,8:37.0,Offensive rebound by J. Randle,,46,61
221,3,8:37.0,J. Randle misses 2-pt layup at rim,,46,61
222,3,8:36.0,,Defensive rebound by A. Horford,46,61
223,3,8:25.0,,Personal foul by J. Clarkson (drawn by J. Teague),46,61
224,3,8:25.0,L. Nance enters the game for J. Randle,,46,61
225,3,8:13.0,,Turnover by A. Horford (bad pass; steal by L. Nance),46,61
226,3,8:04.0,D. Russell misses 2-pt layup from 1 ft (block by P. Millsap),,46,61
227,3,8:02.0,Offensive rebound by J. Clarkson,,46,61
