,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CLEVELAND_ACTION,SACRAMENTO_SCORE,CLEVELAND_SCORE
0,1,11:44.0,R. Rondo misses 2-pt layup from 1 ft,,0,0
1,1,11:42.0,,Defensive rebound by K. Love,0,0
2,1,11:36.0,,J. Smith misses 3-pt jump shot from 25 ft,0,0
3,1,11:36.0,Defensive rebound by R. Rondo,,0,0
4,1,11:20.0,D. Cousins makes 2-pt hook shot from 7 ft (assist by R. Rondo),,2,0
5,1,10:59.0,,Personal foul by W. Cauley-Stein (drawn by T. Thompson),2,0
6,1,10:51.0,,K. Love misses 3-pt jump shot from 24 ft,2,0
7,1,10:51.0,Defensive rebound by R. Gay,,2,0
8,1,10:35.0,M. Belinelli misses 2-pt layup at rim (block by L. James),,2,0
9,1,10:34.0,,Defensive rebound by T. Thompson,2,0
10,1,10:25.0,,K. Irving makes 3-pt jump shot from 24 ft,2,3
11,1,10:05.0,M. Belinelli makes 3-pt jump shot from 24 ft (assist by R. Rondo),,5,3
12,1,9:38.0,,J. Smith misses 2-pt jump shot from 16 ft,5,3
13,1,9:38.0,,Offensive rebound by J. Smith,5,3
14,1,9:34.0,,K. Irving makes 3-pt jump shot from 23 ft (assist by L. James),5,6
15,1,9:16.0,R. Gay makes 2-pt jump shot from 20 ft,,7,6
16,1,9:05.0,,L. James makes 2-pt layup at rim (assist by K. Irving),7,8
17,1,8:56.0,Turnover by R. Rondo (bad pass),,7,8
18,1,8:43.0,,K. Irving makes 2-pt layup at rim (assist by L. James),7,10
19,1,8:31.0,Shooting foul by K. Irving (drawn by R. Rondo),,7,10
20,1,8:31.0,R. Rondo misses free throw 1 of 2,,7,10
21,1,8:31.0,Offensive rebound by Team,,7,10
22,1,8:31.0,R. Rondo misses free throw 2 of 2,,7,10
23,1,8:30.0,,Defensive rebound by L. James,7,10
24,1,8:17.0,Personal foul by T. Thompson (drawn by D. Cousins),,7,10
25,1,8:17.0,,Personal foul by D. Cousins,7,10
26,1,8:17.0,,Shooting foul by R. Gay (drawn by K. Love),7,10
27,1,8:17.0,,K. Love makes free throw 1 of 2,7,11
28,1,8:17.0,,K. Love makes free throw 2 of 2,7,12
29,1,7:55.0,W. Cauley-Stein misses 2-pt jump shot from 4 ft (block by T. Thompson),,7,12
30,1,7:54.0,,Defensive rebound by L. James,7,12
31,1,7:53.0,,Personal foul by R. Gay (drawn by L. James),7,12
32,1,7:53.0,J. Anderson enters the game for R. Gay,,7,12
33,1,7:39.0,,L. James misses 2-pt jump shot from 12 ft,7,12
34,1,7:36.0,Defensive rebound by J. Anderson,,7,12
35,1,7:33.0,M. Belinelli misses 2-pt layup from 1 ft,,7,12
36,1,7:32.0,Offensive rebound by W. Cauley-Stein,,7,12
37,1,7:32.0,W. Cauley-Stein misses 2-pt dunk at rim,,7,12
38,1,7:31.0,,Defensive rebound by T. Thompson,7,12
39,1,7:20.0,,K. Love misses 2-pt jump shot from 17 ft,7,12
40,1,7:18.0,Defensive rebound by R. Rondo,,7,12
41,1,7:17.0,Turnover by R. Rondo (step out of bounds),,7,12
42,1,7:04.0,,Turnover by K. Irving (lost ball),7,12
43,1,6:55.0,M. Belinelli makes 2-pt jump shot from 21 ft (assist by R. Rondo),,9,12
44,1,6:39.0,,K. Love misses 3-pt jump shot from 23 ft,9,12
45,1,6:39.0,,Offensive rebound by Team,9,12
46,1,6:39.0,,Personal foul by M. Belinelli (drawn by T. Thompson),9,12
47,1,6:35.0,,Personal foul by D. Cousins (drawn by L. James),9,12
48,1,6:35.0,,L. James makes free throw 1 of 2,9,13
49,1,6:35.0,K. Koufos enters the game for D. Cousins,,9,13
50,1,6:35.0,,L. James makes free throw 2 of 2,9,14
51,1,6:23.0,M. Belinelli makes 2-pt jump shot from 18 ft (assist by R. Rondo),,11,14
52,1,6:23.0,Shooting foul by J. Smith (drawn by M. Belinelli),,11,14
53,1,6:23.0,M. Belinelli makes free throw 1 of 1,,12,14
54,1,6:10.0,,L. James misses 2-pt layup from 2 ft (block by J. Anderson),12,14
55,1,6:08.0,Defensive rebound by J. Anderson,,12,14
56,1,6:04.0,Offensive foul by J. Anderson (drawn by K. Irving),,12,14
57,1,6:04.0,Turnover by J. Anderson (offensive foul),,12,14
58,1,5:53.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by K. Irving),12,17
59,1,5:42.0,M. Belinelli misses 3-pt jump shot from 24 ft,,12,17
60,1,5:42.0,,Defensive rebound by T. Thompson,12,17
61,1,5:33.0,,K. Irving misses 3-pt jump shot from 25 ft,12,17
62,1,5:31.0,Defensive rebound by R. Rondo,,12,17
63,1,5:16.0,W. Cauley-Stein makes 2-pt jump shot from 5 ft (assist by J. Anderson),,14,17
64,1,5:13.0,,Cleveland full timeout,14,17
65,1,4:57.0,,L. James makes 2-pt jump shot from 4 ft,14,19
66,1,4:57.0,,Shooting foul by J. Anderson (drawn by L. James),14,19
67,1,4:57.0,,L. James makes free throw 1 of 1,14,20
68,1,4:42.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by R. Rondo),,16,20
69,1,4:23.0,,Turnover by L. James (bad pass; steal by K. Koufos),16,20
70,1,4:07.0,R. Rondo misses 2-pt layup at rim,,16,20
71,1,4:06.0,,Defensive rebound by T. Thompson,16,20
72,1,3:59.0,,J. Smith misses 3-pt jump shot from 24 ft,16,20
73,1,3:58.0,,Offensive rebound by K. Love,16,20
74,1,3:55.0,,Turnover by K. Love (bad pass; steal by R. Rondo),16,20
75,1,3:55.0,Shooting foul by L. James (drawn by W. Cauley-Stein),,16,20
76,1,3:55.0,W. Cauley-Stein misses free throw 1 of 2,,16,20
77,1,3:55.0,Offensive rebound by Team,,16,20
78,1,3:55.0,,T. Mozgov enters the game for T. Thompson,16,20
79,1,3:55.0,W. Cauley-Stein makes free throw 2 of 2,,17,20
80,1,3:37.0,,T. Mozgov makes 2-pt layup from 1 ft (assist by L. James),17,22
81,1,3:20.0,M. Belinelli misses 2-pt jump shot from 17 ft,,17,22
82,1,3:19.0,,Defensive rebound by K. Love,17,22
83,1,3:13.0,,J. Smith makes 2-pt layup at rim (assist by K. Love),17,24
84,1,3:04.0,Turnover by R. Rondo (bad pass),,17,24
85,1,3:04.0,,I. Shumpert enters the game for K. Love,17,24
86,1,3:00.0,O. Casspi enters the game for W. Cauley-Stein,,17,24
87,1,3:00.0,D. Collison enters the game for M. Belinelli,,17,24
88,1,2:46.0,,J. Smith misses 3-pt jump shot from 25 ft,17,24
89,1,2:46.0,Defensive rebound by J. Anderson,,17,24
90,1,2:39.0,K. Koufos makes 2-pt jump shot from 9 ft (assist by D. Collison),,19,24
91,1,2:25.0,,K. Irving misses 2-pt jump shot from 8 ft,19,24
92,1,2:20.0,Defensive rebound by R. Rondo,,19,24
93,1,2:04.0,J. Anderson makes 2-pt jump shot from 8 ft,,21,24
94,1,1:58.0,,I. Shumpert makes 2-pt jump shot from 6 ft (assist by K. Irving),21,26
95,1,1:58.0,,Shooting foul by D. Collison (drawn by I. Shumpert),21,26
96,1,1:58.0,Sacramento full timeout,,21,26
97,1,1:58.0,,M. Williams enters the game for K. Irving,21,26
98,1,1:58.0,,I. Shumpert misses free throw 1 of 1,21,26
99,1,1:57.0,Defensive rebound by O. Casspi,,21,26
100,1,1:42.0,O. Casspi misses 2-pt layup from 2 ft,,21,26
101,1,1:41.0,,Defensive rebound by L. James,21,26
102,1,1:38.0,,Turnover by L. James (bad pass; steal by J. Anderson),21,26
103,1,1:33.0,O. Casspi misses 2-pt layup from 2 ft,,21,26
104,1,1:31.0,,Defensive rebound by L. James,21,26
105,1,1:25.0,,J. Smith misses 2-pt jump shot from 7 ft (block by J. Anderson),21,26
106,1,1:23.0,,Offensive rebound by L. James,21,26
107,1,1:16.0,,M. Williams misses 2-pt jump shot from 17 ft,21,26
108,1,1:15.0,Defensive rebound by R. Rondo,,21,26
109,1,1:03.0,O. Casspi misses 2-pt jump shot from 4 ft,,21,26
110,1,1:02.0,,Defensive rebound by I. Shumpert,21,26
111,1,0:47.0,Violation by O. Casspi (kicked ball),,21,26
112,1,0:46.0,,J. Smith makes 2-pt layup at rim (assist by L. James),21,28
113,1,0:36.0,R. Rondo misses 3-pt jump shot from 23 ft,,21,28
114,1,0:36.0,,Defensive rebound by I. Shumpert,21,28
