,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA LAKERS_ACTION,CHARLOTTE_SCORE,LA LAKERS_SCORE
0,1,11:40.0,M. Williams makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),,3,0
1,1,11:26.0,,R. Hibbert misses 2-pt hook shot from 8 ft,3,0
2,1,11:21.0,Defensive rebound by S. Hawes,,3,0
3,1,11:13.0,K. Walker makes 3-pt jump shot from 24 ft (assist by S. Hawes),,6,0
4,1,10:57.0,,K. Bryant misses 2-pt jump shot from 20 ft,6,0
5,1,10:56.0,Defensive rebound by M. Williams,,6,0
6,1,10:53.0,Shooting foul by J. Clarkson (drawn by M. Kidd-Gilchrist),,6,0
7,1,10:53.0,M. Kidd-Gilchrist misses free throw 1 of 2,,6,0
8,1,10:53.0,Offensive rebound by Team,,6,0
9,1,10:53.0,M. Kidd-Gilchrist makes free throw 2 of 2,,7,0
10,1,10:40.0,,Shooting foul by J. Lin (drawn by L. Williams),7,0
11,1,10:40.0,,L. Williams makes free throw 1 of 2,7,1
12,1,10:40.0,,L. Williams makes free throw 2 of 2,7,2
13,1,10:27.0,J. Lin misses 3-pt jump shot from 23 ft,,7,2
14,1,10:24.0,,Defensive rebound by K. Bryant,7,2
15,1,10:07.0,,J. Randle makes 2-pt hook shot from 4 ft,7,4
16,1,9:47.0,S. Hawes misses 3-pt jump shot from 22 ft,,7,4
17,1,9:47.0,,Defensive rebound by Team,7,4
18,1,9:47.0,Loose ball foul by M. Williams (drawn by J. Randle),,7,4
19,1,9:34.0,,J. Clarkson misses 2-pt jump shot from 17 ft,7,4
20,1,9:32.0,Defensive rebound by M. Kidd-Gilchrist,,7,4
21,1,9:26.0,M. Williams misses 3-pt jump shot from 24 ft,,7,4
22,1,9:23.0,,Defensive rebound by K. Bryant,7,4
23,1,9:12.0,,K. Bryant misses 2-pt jump shot from 9 ft,7,4
24,1,9:08.0,Defensive rebound by M. Kidd-Gilchrist,,7,4
25,1,9:05.0,M. Kidd-Gilchrist makes 2-pt layup at rim,,9,4
26,1,8:58.0,,Personal block foul by M. Kidd-Gilchrist,9,4
27,1,8:51.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by K. Bryant),9,7
28,1,8:27.0,M. Williams misses 3-pt jump shot from 24 ft,,9,7
29,1,8:26.0,,Defensive rebound by R. Hibbert,9,7
30,1,8:21.0,,Turnover by L. Williams (lost ball),9,7
31,1,8:06.0,J. Lin misses 2-pt jump shot from 14 ft,,9,7
32,1,8:05.0,,Defensive rebound by K. Bryant,9,7
33,1,7:56.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by K. Bryant),9,10
34,1,7:39.0,M. Kidd-Gilchrist makes 3-pt jump shot from 24 ft (assist by S. Hawes),,12,10
35,1,7:21.0,,K. Bryant misses 2-pt jump shot from 8 ft,12,10
36,1,7:20.0,Defensive rebound by M. Williams,,12,10
37,1,7:14.0,J. Lin makes 2-pt jump shot from 16 ft (assist by M. Kidd-Gilchrist),,14,10
38,1,6:52.0,,J. Randle misses 2-pt hook shot from 6 ft,14,10
39,1,6:52.0,Defensive rebound by Team,,14,10
40,1,6:37.0,K. Walker makes 3-pt jump shot from 24 ft (assist by S. Hawes),,17,10
41,1,6:24.0,,J. Clarkson misses 3-pt jump shot from 24 ft,17,10
42,1,6:22.0,,Offensive rebound by K. Bryant,17,10
43,1,6:12.0,,K. Bryant misses 2-pt jump shot from 20 ft,17,10
44,1,6:11.0,Defensive rebound by S. Hawes,,17,10
45,1,6:06.0,J. Lin misses 2-pt jump shot from 20 ft,,17,10
46,1,6:05.0,Offensive rebound by M. Kidd-Gilchrist,,17,10
47,1,5:58.0,K. Walker misses 2-pt jump shot from 10 ft,,17,10
48,1,5:55.0,,Defensive rebound by J. Randle,17,10
49,1,5:46.0,,L. Williams misses 2-pt jump shot from 15 ft,17,10
50,1,5:45.0,Defensive rebound by J. Lin,,17,10
51,1,5:34.0,S. Hawes makes 2-pt layup from 1 ft (assist by J. Lin),,19,10
