,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHICAGO_ACTION,WASHINGTON_SCORE,CHICAGO_SCORE
0,1,11:37.0,Turnover by J. Dudley (bad pass; steal by E. Moore),,0,0
1,1,11:26.0,,T. Gibson makes 2-pt layup from 2 ft,0,2
2,1,11:13.0,G. Temple makes 3-pt jump shot from 24 ft (assist by J. Wall),,3,2
3,1,10:50.0,,T. Snell makes 2-pt jump shot from 21 ft,3,4
4,1,10:37.0,J. Wall makes 2-pt jump shot from 16 ft,,5,4
5,1,10:23.0,,E. Moore misses 3-pt jump shot from 24 ft,5,4
6,1,10:22.0,Defensive rebound by J. Wall,,5,4
7,1,10:18.0,O. Porter makes 2-pt jump shot from 17 ft (assist by J. Wall),,7,4
8,1,10:02.0,,T. Gibson makes 2-pt layup from 1 ft (assist by T. Snell),7,6
9,1,10:02.0,,Shooting foul by J. Wall (drawn by T. Gibson),7,6
10,1,10:02.0,,T. Gibson misses free throw 1 of 1,7,6
11,1,10:00.0,Defensive rebound by M. Gortat,,7,6
12,1,9:47.0,Turnover by G. Temple (lost ball; steal by P. Gasol),,7,6
13,1,9:38.0,,M. Dunleavy makes 3-pt jump shot from 22 ft (assist by T. Snell),7,9
14,1,9:20.0,J. Dudley makes 2-pt jump shot from 22 ft (assist by G. Temple),,9,9
15,1,9:03.0,,P. Gasol misses 3-pt jump shot from 24 ft,9,9
16,1,9:01.0,Defensive rebound by J. Wall,,9,9
17,1,8:58.0,Turnover by J. Dudley (offensive foul),,9,9
18,1,8:58.0,,Offensive charge foul by J. Dudley (drawn by M. Dunleavy),9,9
19,1,8:42.0,,T. Snell makes 3-pt jump shot from 24 ft,9,12
20,1,8:30.0,G. Temple misses 3-pt jump shot from 25 ft,,9,12
21,1,8:29.0,,Defensive rebound by P. Gasol,9,12
22,1,8:17.0,,M. Dunleavy makes 2-pt layup from 1 ft (assist by P. Gasol),9,14
23,1,8:04.0,G. Temple makes 2-pt jump shot from 19 ft,,11,14
24,1,7:57.0,,Personal foul by O. Porter,11,14
25,1,7:50.0,Offensive charge foul by T. Snell (drawn by M. Gortat),,11,14
26,1,7:50.0,,Turnover by T. Snell (offensive foul),11,14
27,1,7:35.0,J. Wall misses 3-pt jump shot from 24 ft,,11,14
28,1,7:34.0,,Defensive rebound by E. Moore,11,14
29,1,7:29.0,,M. Dunleavy misses 3-pt jump shot from 22 ft,11,14
30,1,7:27.0,Defensive rebound by O. Porter,,11,14
31,1,7:18.0,G. Temple makes 3-pt jump shot from 23 ft (assist by J. Dudley),,14,14
32,1,7:04.0,,T. Gibson misses 2-pt jump shot from 4 ft (block by M. Gortat),14,14
33,1,7:02.0,Defensive rebound by J. Dudley,,14,14
34,1,6:57.0,G. Temple misses 3-pt jump shot from 24 ft,,14,14
35,1,6:57.0,Offensive rebound by Team,,14,14
36,1,6:57.0,,Loose ball foul by E. Moore,14,14
37,1,6:47.0,J. Wall makes 2-pt jump shot from 16 ft,,16,14
38,1,6:33.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,16,14
39,1,6:32.0,Defensive rebound by M. Gortat,,16,14
40,1,6:23.0,J. Dudley misses 3-pt jump shot from 25 ft,,16,14
41,1,6:21.0,,Defensive rebound by M. Dunleavy,16,14
42,1,6:03.0,,T. Snell misses 2-pt jump shot from 5 ft,16,14
43,1,6:02.0,Defensive rebound by J. Dudley,,16,14
44,1,5:58.0,G. Temple misses 2-pt layup from 3 ft (block by M. Dunleavy),,16,14
45,1,5:56.0,Offensive rebound by O. Porter,,16,14
46,1,5:56.0,O. Porter misses 2-pt dunk at rim,,16,14
47,1,5:49.0,,Defensive rebound by P. Gasol,16,14
48,1,5:47.0,,Turnover by E. Moore (lost ball; steal by G. Temple),16,14
49,1,5:47.0,Personal foul by M. Dunleavy,,16,14
50,1,5:47.0,,Chicago full timeout,16,14
51,1,5:47.0,,D. McDermott enters the game for M. Dunleavy,16,14
52,1,5:47.0,,A. Brooks enters the game for E. Moore,16,14
53,1,5:47.0,B. Beal enters the game for G. Temple,,16,14
54,1,5:35.0,Turnover by J. Dudley (bad pass; steal by T. Gibson),,16,14
55,1,5:33.0,,Shooting foul by J. Wall (drawn by P. Gasol),16,14
56,1,5:33.0,,P. Gasol makes free throw 1 of 2,16,15
57,1,5:33.0,R. Sessions enters the game for J. Wall,,16,15
58,1,5:33.0,,P. Gasol makes free throw 2 of 2,16,16
59,1,5:12.0,O. Porter misses 2-pt jump shot from 21 ft,,16,16
60,1,5:10.0,,Defensive rebound by T. Gibson,16,16
61,1,5:02.0,,T. Snell makes 3-pt jump shot from 24 ft (assist by P. Gasol),16,19
62,1,4:52.0,Turnover by B. Beal (lost ball),,16,19
63,1,4:32.0,,T. Gibson misses 2-pt jump shot from 7 ft,16,19
64,1,4:31.0,Defensive rebound by M. Gortat,,16,19
65,1,4:23.0,R. Sessions makes 2-pt jump shot from 14 ft,,18,19
66,1,4:10.0,,T. Gibson makes 2-pt layup from 1 ft (assist by P. Gasol),18,21
67,1,3:56.0,R. Sessions misses 3-pt jump shot from 24 ft,,18,21
68,1,3:55.0,Offensive rebound by M. Gortat,,18,21
69,1,3:42.0,B. Beal misses 2-pt jump shot from 20 ft,,18,21
70,1,3:41.0,,Defensive rebound by T. Gibson,18,21
71,1,3:38.0,,P. Gasol makes 2-pt layup from 3 ft (assist by A. Brooks),18,23
