,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DALLAS_ACTION,CHARLOTTE_SCORE,DALLAS_SCORE
0,1,11:46.0,,Turnover by R. Felton (bad pass; steal by P. Hairston),0,0
1,1,11:30.0,A. Jefferson makes 2-pt hook shot from 7 ft,,2,0
2,1,11:05.0,,Z. Pachulia makes 2-pt dunk at rim (assist by D. Williams),2,2
3,1,10:47.0,A. Jefferson makes 2-pt jump shot from 1 ft (assist by K. Walker),,4,2
4,1,10:37.0,,R. Felton misses 3-pt jump shot from 24 ft,4,2
5,1,10:36.0,Defensive rebound by M. Williams,,4,2
6,1,10:26.0,K. Walker misses 2-pt jump shot from 13 ft,,4,2
7,1,10:25.0,,Defensive rebound by D. Nowitzki,4,2
8,1,10:16.0,,D. Williams makes 2-pt layup from 2 ft,4,4
9,1,10:06.0,Charlotte full timeout,,4,4
10,1,9:56.0,M. Williams misses 3-pt jump shot from 24 ft,,4,4
11,1,9:55.0,,Defensive rebound by Z. Pachulia,4,4
12,1,9:46.0,,Turnover by R. Felton (bad pass; steal by N. Batum),4,4
13,1,9:35.0,Turnover by N. Batum (bad pass; steal by Z. Pachulia),,4,4
14,1,9:12.0,,Z. Pachulia makes 2-pt jump shot from 14 ft (assist by R. Felton),4,6
15,1,8:55.0,A. Jefferson makes 2-pt layup from 1 ft,,6,6
16,1,8:47.0,,Personal foul by M. Williams (drawn by D. Nowitzki),6,6
17,1,8:43.0,,Shooting foul by A. Jefferson (drawn by W. Matthews),6,6
18,1,8:43.0,,W. Matthews makes free throw 1 of 2,6,7
19,1,8:43.0,,W. Matthews misses free throw 2 of 2,6,7
20,1,8:42.0,Defensive rebound by M. Williams,,6,7
21,1,8:28.0,N. Batum makes 2-pt hook shot from 6 ft,,8,7
22,1,8:12.0,,Z. Pachulia misses 2-pt dunk at rim (block by N. Batum),8,7
23,1,8:10.0,,Offensive rebound by Z. Pachulia,8,7
24,1,8:09.0,,Z. Pachulia misses 2-pt layup at rim,8,7
25,1,8:09.0,Defensive rebound by N. Batum,,8,7
26,1,7:56.0,A. Jefferson misses 2-pt jump shot from 16 ft,,8,7
27,1,7:55.0,,Defensive rebound by Z. Pachulia,8,7
28,1,7:35.0,,W. Matthews misses 3-pt jump shot from 25 ft,8,7
29,1,7:34.0,Defensive rebound by M. Williams,,8,7
30,1,7:15.0,N. Batum misses 3-pt jump shot from 24 ft,,8,7
31,1,7:14.0,,Defensive rebound by D. Williams,8,7
32,1,6:59.0,,D. Williams makes 2-pt jump shot from 4 ft,8,9
33,1,6:34.0,M. Williams misses 2-pt jump shot from 2 ft,,8,9
34,1,6:33.0,Offensive rebound by M. Williams,,8,9
35,1,6:33.0,M. Williams misses 2-pt layup from 2 ft,,8,9
36,1,6:32.0,Offensive rebound by A. Jefferson,,8,9
37,1,6:26.0,P. Hairston misses 3-pt jump shot from 24 ft,,8,9
38,1,6:25.0,,Defensive rebound by Z. Pachulia,8,9
39,1,6:13.0,,D. Williams makes 2-pt layup from 1 ft (assist by Z. Pachulia),8,11
40,1,5:58.0,N. Batum misses 2-pt jump shot from 18 ft,,8,11
41,1,5:57.0,Offensive rebound by A. Jefferson,,8,11
42,1,5:53.0,K. Walker makes 3-pt jump shot from 25 ft (assist by A. Jefferson),,11,11
