,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,LA LAKERS_ACTION,LA CLIPPERS_SCORE,LA LAKERS_SCORE
0,1,11:39.0,,K. Bryant misses 2-pt jump shot from 14 ft,0,0
1,1,11:39.0,,Offensive rebound by L. Nance,0,0
2,1,11:35.0,,L. Nance misses 2-pt jump shot from 14 ft,0,0
3,1,11:34.0,Defensive rebound by D. Jordan,,0,0
4,1,11:20.0,B. Griffin makes 2-pt layup from 1 ft,,2,0
5,1,11:02.0,,R. Hibbert makes 2-pt jump shot from 15 ft (assist by J. Clarkson),2,2
6,1,10:45.0,J. Redick misses 3-pt jump shot from 24 ft,,2,2
7,1,10:45.0,,Defensive rebound by L. Nance,2,2
8,1,10:33.0,,Turnover by L. Nance (bad pass; steal by C. Paul),2,2
9,1,10:28.0,,Violation by L. Nance (kicked ball),2,2
10,1,10:24.0,C. Paul makes 2-pt jump shot from 17 ft,,4,2
11,1,10:12.0,,Personal foul by J. Redick (drawn by L. Nance),4,2
12,1,10:02.0,,Turnover by K. Bryant (bad pass; steal by C. Paul),4,2
13,1,9:56.0,B. Griffin makes 2-pt layup from 1 ft,,6,2
14,1,9:47.0,,R. Hibbert makes 2-pt dunk at rim (assist by L. Williams),6,4
15,1,9:35.0,C. Paul misses 3-pt jump shot from 25 ft,,6,4
16,1,9:31.0,Offensive rebound by D. Jordan,,6,4
17,1,9:31.0,D. Jordan makes 2-pt jump shot from 11 ft,,8,4
18,1,9:07.0,,R. Hibbert makes 2-pt layup from 2 ft (assist by K. Bryant),8,6
19,1,8:48.0,J. Redick makes 2-pt jump shot from 15 ft (assist by B. Griffin),,10,6
20,1,8:35.0,,R. Hibbert makes 2-pt jump shot from 17 ft (assist by J. Clarkson),10,8
21,1,8:21.0,J. Redick makes 2-pt jump shot from 20 ft (assist by C. Paul),,12,8
22,1,8:09.0,,Turnover by J. Clarkson (bad pass; steal by D. Jordan),12,8
23,1,7:48.0,C. Paul makes 2-pt jump shot from 4 ft,,14,8
24,1,7:35.0,,Shooting foul by B. Griffin (drawn by L. Williams),14,8
25,1,7:35.0,,L. Williams misses free throw 1 of 2,14,8
26,1,7:35.0,,Offensive rebound by Team,14,8
27,1,7:35.0,,L. Williams makes free throw 2 of 2,14,9
28,1,7:24.0,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),,17,9
29,1,7:09.0,,K. Bryant misses 2-pt jump shot from 12 ft,17,9
30,1,7:08.0,Defensive rebound by D. Jordan,,17,9
31,1,6:51.0,C. Paul misses 3-pt jump shot from 25 ft,,17,9
32,1,6:50.0,,Defensive rebound by L. Nance,17,9
33,1,6:31.0,,L. Nance misses 2-pt layup from 1 ft,17,9
