,QUARTER,TIME_REMAINING,ATLANTA_ACTION,SAN ANTONIO_ACTION,ATLANTA_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,,T. Duncan makes 2-pt layup from 2 ft (assist by T. Parker),0,2
1,1,11:18.0,P. Millsap misses 2-pt jump shot from 11 ft,,0,2
2,1,11:17.0,,Defensive rebound by T. Duncan,0,2
3,1,11:08.0,,T. Parker makes 2-pt jump shot from 10 ft,0,4
4,1,10:56.0,A. Horford misses 2-pt jump shot from 6 ft,,0,4
5,1,10:55.0,,Defensive rebound by L. Aldridge,0,4
6,1,10:44.0,,T. Duncan misses 2-pt jump shot from 20 ft,0,4
7,1,10:43.0,Defensive rebound by J. Teague,,0,4
8,1,10:32.0,P. Millsap misses 2-pt jump shot from 4 ft (block by L. Aldridge),,0,4
9,1,10:32.0,Offensive rebound by Team,,0,4
10,1,10:28.0,Turnover by J. Teague (lost ball; steal by T. Parker),,0,4
11,1,10:16.0,,K. Leonard misses 2-pt jump shot from 17 ft,0,4
12,1,10:15.0,Defensive rebound by T. Sefolosha,,0,4
13,1,10:05.0,Turnover by J. Teague (bad pass; steal by D. Green),,0,4
14,1,10:02.0,,Turnover by D. Green (bad pass),0,4
15,1,9:51.0,J. Teague misses 2-pt jump shot from 18 ft,,0,4
16,1,9:49.0,,Defensive rebound by T. Parker,0,4
17,1,9:34.0,,L. Aldridge makes 2-pt jump shot from 21 ft (assist by T. Duncan),0,6
18,1,9:15.0,A. Horford makes 2-pt jump shot from 18 ft,,2,6
19,1,8:55.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by T. Parker),2,8
20,1,8:39.0,Turnover by T. Sefolosha (traveling),,2,8
21,1,8:27.0,,T. Parker misses 2-pt jump shot from 8 ft (block by P. Millsap),2,8
22,1,8:25.0,,Offensive rebound by T. Duncan,2,8
23,1,8:21.0,,L. Aldridge misses 2-pt jump shot from 18 ft,2,8
24,1,8:20.0,Defensive rebound by P. Millsap,,2,8
25,1,8:09.0,Shooting foul by T. Duncan (drawn by T. Sefolosha),,2,8
26,1,8:09.0,T. Sefolosha misses free throw 1 of 2,,2,8
27,1,8:09.0,Offensive rebound by Team,,2,8
28,1,8:09.0,T. Sefolosha makes free throw 2 of 2,,3,8
29,1,7:44.0,,T. Parker misses 3-pt jump shot from 24 ft,3,8
30,1,7:43.0,Defensive rebound by T. Sefolosha,,3,8
31,1,7:38.0,J. Teague misses 3-pt jump shot from 24 ft,,3,8
32,1,7:37.0,Offensive rebound by P. Millsap,,3,8
33,1,7:32.0,A. Horford misses 3-pt jump shot from 25 ft,,3,8
34,1,7:31.0,,Defensive rebound by T. Duncan,3,8
35,1,7:20.0,,Shooting foul by T. Sefolosha (drawn by K. Leonard),3,8
