,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ORLANDO_ACTION,LA CLIPPERS_SCORE,ORLANDO_SCORE
0,1,11:44.0,J. Redick makes 3-pt jump shot from 23 ft (assist by C. Paul),,3,0
1,1,11:28.0,,T. Harris misses 2-pt jump shot from 17 ft,3,0
2,1,11:26.0,,Offensive rebound by V. Oladipo,3,0
3,1,11:20.0,,V. Oladipo makes 2-pt jump shot from 20 ft,3,2
4,1,11:04.0,P. Pierce misses 3-pt jump shot from 24 ft,,3,2
5,1,11:03.0,,Defensive rebound by N. Vučević,3,2
6,1,10:54.0,,N. Vučević misses 2-pt jump shot from 19 ft,3,2
7,1,10:54.0,Defensive rebound by L. Mbah a Moute,,3,2
8,1,10:33.0,D. Jordan misses 2-pt jump shot from 6 ft (block by A. Gordon),,3,2
9,1,10:32.0,,Defensive rebound by E. Payton,3,2
10,1,10:23.0,,V. Oladipo misses 3-pt jump shot from 24 ft,3,2
11,1,10:22.0,Defensive rebound by D. Jordan,,3,2
12,1,10:13.0,Personal foul by V. Oladipo (drawn by J. Redick),,3,2
13,1,10:13.0,J. Redick makes free throw 1 of 3,,4,2
14,1,10:13.0,J. Redick makes free throw 2 of 3,,5,2
15,1,10:13.0,J. Redick makes free throw 3 of 3,,6,2
16,1,9:52.0,,V. Oladipo makes 3-pt jump shot from 25 ft (assist by N. Vučević),6,5
17,1,9:40.0,P. Pierce makes 3-pt jump shot from 25 ft (assist by C. Paul),,9,5
18,1,9:20.0,,T. Harris misses 3-pt jump shot from 23 ft,9,5
19,1,9:19.0,,Offensive rebound by N. Vučević,9,5
20,1,9:19.0,,N. Vučević misses 2-pt layup at rim,9,5
21,1,9:17.0,Defensive rebound by P. Pierce,,9,5
22,1,9:10.0,Def 3 sec tech foul by N. Vučević,,9,5
23,1,9:10.0,C. Paul makes technical free throw,,10,5
24,1,9:06.0,C. Paul makes 2-pt jump shot from 18 ft,,12,5
25,1,8:48.0,,T. Harris misses 3-pt jump shot from 24 ft,12,5
26,1,8:47.0,Defensive rebound by P. Pierce,,12,5
27,1,8:34.0,P. Pierce makes 2-pt jump shot from 19 ft,,14,5
28,1,8:20.0,,N. Vučević makes 2-pt hook shot from 9 ft (assist by E. Payton),14,7
29,1,8:00.0,C. Paul misses 3-pt jump shot from 25 ft,,14,7
30,1,8:00.0,Offensive rebound by D. Jordan,,14,7
31,1,7:51.0,C. Paul misses 2-pt jump shot from 15 ft,,14,7
32,1,7:51.0,,Defensive rebound by T. Harris,14,7
