,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
0,1,11:49.0,Turnover by K. Love (bad pass),,0,0
1,1,11:34.0,,E. Fournier misses 2-pt layup at rim,0,0
2,1,11:34.0,Defensive rebound by Team,,0,0
3,1,11:24.0,Turnover by K. Irving (bad pass; steal by V. Oladipo),,0,0
4,1,11:20.0,,V. Oladipo makes 2-pt layup from 1 ft,0,2
5,1,11:00.0,L. James misses 3-pt jump shot from 25 ft,,0,2
6,1,11:00.0,Offensive rebound by T. Mozgov,,0,2
7,1,10:55.0,Turnover by T. Mozgov (bad pass; steal by E. Fournier),,0,2
8,1,10:49.0,,E. Fournier makes 2-pt layup at rim,0,4
9,1,10:49.0,Cleveland full timeout,,0,4
10,1,10:32.0,T. Mozgov makes 2-pt dunk at rim (assist by L. James),,2,4
11,1,10:12.0,,B. Jennings makes 2-pt jump shot from 14 ft,2,6
12,1,9:55.0,K. Irving misses 2-pt jump shot from 17 ft,,2,6
13,1,9:55.0,,Defensive rebound by V. Oladipo,2,6
14,1,9:47.0,,V. Oladipo misses 2-pt jump shot from 20 ft,2,6
15,1,9:47.0,Defensive rebound by K. Love,,2,6
16,1,9:41.0,L. James makes 2-pt layup from 1 ft (assist by K. Love),,4,6
17,1,9:25.0,,V. Oladipo makes 2-pt jump shot from 18 ft,4,8
18,1,9:06.0,K. Irving misses 3-pt jump shot from 25 ft,,4,8
19,1,9:05.0,,Defensive rebound by D. Dedmon,4,8
20,1,8:52.0,,B. Jennings misses 3-pt jump shot from 25 ft,4,8
21,1,8:52.0,Defensive rebound by L. James,,4,8
22,1,8:41.0,K. Love makes 2-pt jump shot from 19 ft (assist by K. Irving),,6,8
23,1,8:29.0,,E. Fournier misses 2-pt layup from 1 ft,6,8
24,1,8:28.0,Defensive rebound by K. Love,,6,8
25,1,8:14.0,K. Irving makes 3-pt jump shot from 24 ft (assist by L. James),,9,8
26,1,7:59.0,,A. Gordon makes 3-pt jump shot from 24 ft (assist by V. Oladipo),9,11
27,1,7:45.0,T. Mozgov misses 2-pt layup at rim (block by D. Dedmon),,9,11
28,1,7:44.0,,Defensive rebound by V. Oladipo,9,11
29,1,7:41.0,,Shooting foul by T. Mozgov (drawn by V. Oladipo),9,11
30,1,7:41.0,,V. Oladipo makes free throw 1 of 2,9,12
31,1,7:41.0,,V. Oladipo makes free throw 2 of 2,9,13
32,1,7:26.0,J. Smith makes 2-pt jump shot from 22 ft,,11,13
33,1,7:12.0,,V. Oladipo misses 2-pt jump shot from 10 ft,11,13
34,1,7:12.0,,Offensive rebound by V. Oladipo,11,13
35,1,7:08.0,,B. Jennings misses 2-pt jump shot from 7 ft,11,13
36,1,7:07.0,Defensive rebound by T. Mozgov,,11,13
37,1,6:57.0,K. Irving makes 2-pt layup from 1 ft,,13,13
38,1,6:49.0,,A. Gordon makes 2-pt dunk at rim (assist by B. Jennings),13,15
39,1,6:30.0,,Offensive charge foul by L. James (drawn by E. Fournier),13,15
40,1,6:30.0,Turnover by L. James (offensive foul),,13,15
41,1,6:13.0,,E. Fournier misses 2-pt dunk at rim (block by L. James),13,15
42,1,6:13.0,Defensive rebound by K. Love,,13,15
43,1,5:56.0,Shooting foul by A. Gordon (drawn by T. Mozgov),,13,15
44,1,5:56.0,T. Mozgov misses free throw 1 of 2,,13,15
45,1,5:56.0,Offensive rebound by Team,,13,15
46,1,5:56.0,T. Mozgov makes free throw 2 of 2,,14,15
47,1,5:45.0,,B. Jennings misses 2-pt jump shot from 17 ft,14,15
48,1,5:43.0,,Offensive rebound by A. Gordon,14,15
49,1,5:43.0,,A. Gordon misses 2-pt layup at rim,14,15
