,QUARTER,TIME_REMAINING,PORTLAND_ACTION,GOLDEN STATE_ACTION,PORTLAND_SCORE,GOLDEN STATE_SCORE
0,1,11:42.0,M. Harkless makes 2-pt jump shot from 5 ft (assist by A. Aminu),,2,0
1,1,11:21.0,,D. Green makes 2-pt layup from 1 ft,2,2
2,1,10:57.0,Shooting foul by S. Curry (drawn by C. McCollum),,2,2
3,1,10:57.0,C. McCollum misses free throw 1 of 2,,2,2
4,1,10:57.0,Offensive rebound by Team,,2,2
5,1,10:57.0,C. McCollum makes free throw 2 of 2,,3,2
6,1,10:47.0,,D. Green misses 3-pt jump shot from 24 ft,3,2
7,1,10:46.0,,Offensive rebound by F. Ezeli,3,2
8,1,10:46.0,,F. Ezeli misses 2-pt dunk at rim,3,2
9,1,10:44.0,Defensive rebound by D. Lillard,,3,2
10,1,10:36.0,M. Plumlee makes 2-pt layup from 1 ft (assist by D. Lillard),,5,2
11,1,10:17.0,,F. Ezeli makes 2-pt dunk at rim (assist by D. Green),5,4
12,1,10:10.0,M. Plumlee misses 2-pt layup from 1 ft,,5,4
13,1,10:09.0,Offensive rebound by M. Plumlee,,5,4
14,1,10:03.0,A. Aminu makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,8,4
15,1,9:50.0,,S. Curry misses 2-pt hook shot from 7 ft,8,4
16,1,9:50.0,Defensive rebound by D. Lillard,,8,4
17,1,9:39.0,M. Plumlee makes 2-pt layup from 2 ft,,10,4
18,1,9:22.0,,H. Barnes makes 2-pt jump shot from 17 ft,10,6
19,1,8:59.0,Turnover by A. Aminu (bad pass; steal by S. Curry),,10,6
20,1,8:52.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry),10,9
21,1,8:41.0,D. Lillard misses 2-pt jump shot from 17 ft,,10,9
22,1,8:40.0,,Defensive rebound by F. Ezeli,10,9
23,1,8:20.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Green),10,12
24,1,7:59.0,C. McCollum makes 2-pt jump shot from 10 ft,,12,12
25,1,7:49.0,,S. Curry misses 2-pt jump shot from 4 ft,12,12
26,1,7:49.0,,Offensive rebound by S. Curry,12,12
27,1,7:47.0,,S. Curry makes 2-pt layup from 2 ft,12,14
28,1,7:36.0,D. Lillard makes 2-pt jump shot from 11 ft,,14,14
29,1,7:36.0,Shooting foul by D. Green (drawn by D. Lillard),,14,14
30,1,7:36.0,,A. Varejão enters the game for F. Ezeli,14,14
31,1,7:36.0,D. Lillard makes free throw 1 of 1,,15,14
32,1,7:24.0,,S. Curry makes 2-pt layup from 1 ft,15,16
33,1,7:12.0,Offensive foul by M. Plumlee (drawn by A. Varejão),,15,16
34,1,7:12.0,Turnover by M. Plumlee (offensive foul),,15,16
35,1,7:05.0,,Turnover by S. Curry (bad pass; steal by A. Aminu),15,16
36,1,6:59.0,M. Harkless makes 2-pt dunk at rim (assist by A. Aminu),,17,16
37,1,6:46.0,,K. Thompson makes 2-pt jump shot from 8 ft,17,18
38,1,6:40.0,Shooting foul by H. Barnes (drawn by D. Lillard),,17,18
39,1,6:40.0,D. Lillard makes free throw 1 of 2,,18,18
40,1,6:40.0,,Golden State full timeout,18,18
41,1,6:40.0,D. Lillard misses free throw 2 of 2,,18,18
42,1,6:40.0,,Defensive rebound by A. Varejão,18,18
43,1,6:19.0,,H. Barnes misses 3-pt jump shot from 24 ft,18,18
44,1,6:19.0,Defensive rebound by M. Harkless,,18,18
45,1,6:05.0,A. Aminu misses 2-pt layup from 1 ft,,18,18
46,1,6:05.0,Offensive rebound by M. Plumlee,,18,18
47,1,6:01.0,Turnover by A. Aminu (traveling),,18,18
48,1,5:48.0,,K. Thompson misses 2-pt jump shot from 14 ft,18,18
49,1,5:47.0,,Offensive rebound by S. Curry,18,18
50,1,5:44.0,,S. Curry misses 3-pt jump shot from 25 ft,18,18
51,1,5:41.0,Defensive rebound by M. Plumlee,,18,18
52,1,5:30.0,M. Plumlee makes 2-pt layup from 2 ft (assist by C. McCollum),,20,18
53,1,5:17.0,,Shooting foul by C. McCollum (drawn by D. Green),20,18
54,1,5:17.0,,D. Green makes free throw 1 of 2,20,19
55,1,5:17.0,,L. Barbosa enters the game for K. Thompson,20,19
56,1,5:17.0,,D. Green misses free throw 2 of 2,20,19
57,1,5:16.0,Defensive rebound by M. Harkless,,20,19
58,1,4:57.0,D. Lillard makes 2-pt jump shot from 9 ft (assist by M. Plumlee),,22,19
59,1,4:37.0,,D. Green misses 2-pt jump shot from 1 ft (block by M. Plumlee),22,19
60,1,4:36.0,,Offensive rebound by D. Green,22,19
61,1,4:36.0,,D. Green makes 2-pt layup from 1 ft,22,21
62,1,4:21.0,M. Harkless makes 3-pt jump shot from 27 ft (assist by M. Plumlee),,25,21
63,1,4:12.0,,D. Green misses 2-pt jump shot from 16 ft,25,21
64,1,4:12.0,Defensive rebound by M. Harkless,,25,21
65,1,3:55.0,Shooting foul by A. Varejão (drawn by D. Lillard),,25,21
66,1,3:55.0,D. Lillard makes free throw 1 of 2,,26,21
67,1,3:55.0,,S. Livingston enters the game for H. Barnes,26,21
68,1,3:55.0,G. Henderson enters the game for A. Aminu,,26,21
69,1,3:55.0,E. Davis enters the game for M. Plumlee,,26,21
70,1,3:55.0,A. Crabbe enters the game for C. McCollum,,26,21
71,1,3:55.0,D. Lillard makes free throw 2 of 2,,27,21
72,1,3:40.0,,S. Curry makes 2-pt jump shot from 20 ft,27,23
73,1,3:20.0,M. Harkless misses 3-pt jump shot from 24 ft,,27,23
