,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DALLAS_ACTION,PHILADELPHIA_SCORE,DALLAS_SCORE
0,1,11:51.0,R. Covington makes 3-pt jump shot from 25 ft (assist by J. Okafor),,3,0
1,1,11:35.0,,D. Nowitzki misses 2-pt jump shot from 4 ft,3,0
2,1,11:34.0,,Offensive rebound by Z. Pachulia,3,0
3,1,11:34.0,,Z. Pachulia makes 2-pt layup at rim,3,2
4,1,11:24.0,J. Okafor makes 2-pt jump shot from 9 ft (assist by I. Smith),,5,2
5,1,11:00.0,,D. Williams misses 2-pt jump shot from 21 ft,5,2
6,1,10:59.0,Defensive rebound by J. Okafor,,5,2
7,1,10:38.0,J. Okafor misses 2-pt jump shot from 18 ft,,5,2
8,1,10:37.0,,Defensive rebound by D. Williams,5,2
9,1,10:29.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,5,2
10,1,10:27.0,Defensive rebound by R. Covington,,5,2
11,1,10:10.0,J. Okafor makes 2-pt jump shot from 8 ft,,7,2
12,1,9:50.0,,Turnover by C. Parsons (lost ball; steal by R. Covington),7,2
13,1,9:44.0,R. Covington misses 3-pt jump shot from 25 ft,,7,2
14,1,9:42.0,,Defensive rebound by W. Matthews,7,2
15,1,9:36.0,,Personal foul by N. Noel (drawn by Z. Pachulia),7,2
16,1,9:25.0,,C. Parsons misses 3-pt jump shot from 24 ft,7,2
17,1,9:25.0,Defensive rebound by N. Noel,,7,2
18,1,9:19.0,Turnover by I. Smith (lost ball; steal by Z. Pachulia),,7,2
19,1,9:11.0,,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by W. Matthews),7,5
20,1,8:57.0,J. Okafor makes 2-pt jump shot from 7 ft,,9,5
21,1,8:42.0,,D. Williams makes 3-pt jump shot from 25 ft (assist by W. Matthews),9,8
22,1,8:31.0,N. Stauskas misses 3-pt jump shot from 25 ft,,9,8
23,1,8:29.0,,Defensive rebound by D. Williams,9,8
24,1,8:26.0,,Turnover by D. Williams (lost ball; steal by N. Noel),9,8
25,1,8:22.0,J. Okafor makes 2-pt layup from 2 ft,,11,8
26,1,8:22.0,Shooting foul by Z. Pachulia (drawn by J. Okafor),,11,8
27,1,8:22.0,J. Okafor makes free throw 1 of 1,,12,8
28,1,8:09.0,,W. Matthews makes 2-pt jump shot from 15 ft (assist by D. Williams),12,10
29,1,7:54.0,N. Noel misses 2-pt jump shot from 14 ft,,12,10
30,1,7:53.0,,Defensive rebound by Z. Pachulia,12,10
31,1,7:43.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by C. Parsons),12,13
32,1,7:28.0,N. Noel misses 2-pt jump shot from 7 ft,,12,13
33,1,7:27.0,,Defensive rebound by D. Nowitzki,12,13
34,1,7:07.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by D. Williams),12,15
35,1,7:07.0,,Shooting foul by N. Noel (drawn by Z. Pachulia),12,15
36,1,7:07.0,,R. Felton enters the game for D. Nowitzki,12,15
37,1,7:07.0,,Z. Pachulia makes free throw 1 of 1,12,16
38,1,6:51.0,I. Smith makes 2-pt jump shot from 5 ft,,14,16
39,1,6:28.0,,D. Williams misses 3-pt jump shot from 26 ft,14,16
40,1,6:27.0,,Offensive rebound by Z. Pachulia,14,16
41,1,6:23.0,,C. Parsons misses 3-pt jump shot from 24 ft,14,16
42,1,6:23.0,Defensive rebound by R. Covington,,14,16
43,1,6:12.0,J. Okafor makes 2-pt dunk at rim (assist by N. Stauskas),,16,16
44,1,6:11.0,,Dallas full timeout,16,16
45,1,6:11.0,J. Grant enters the game for N. Noel,,16,16
46,1,5:52.0,,C. Parsons makes 2-pt layup from 2 ft (assist by D. Williams),16,18
47,1,5:36.0,J. Okafor makes 2-pt jump shot from 5 ft,,18,18
48,1,5:23.0,,Personal foul by I. Smith (drawn by D. Williams),18,18
49,1,5:23.0,H. Thompson enters the game for N. Stauskas,,18,18
50,1,5:23.0,,S. Mejri enters the game for Z. Pachulia,18,18
51,1,5:10.0,,R. Felton misses 2-pt jump shot from 8 ft,18,18
52,1,5:08.0,Defensive rebound by J. Okafor,,18,18
53,1,4:57.0,J. Okafor makes 2-pt jump shot from 2 ft,,20,18
54,1,4:57.0,Shooting foul by S. Mejri (drawn by J. Okafor),,20,18
55,1,4:57.0,I. Canaan enters the game for R. Covington,,20,18
56,1,4:57.0,J. Okafor misses free throw 1 of 1,,20,18
57,1,4:55.0,,Defensive rebound by W. Matthews,20,18
58,1,4:45.0,,S. Mejri makes 2-pt dunk at rim (assist by D. Williams),20,20
