,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DENVER_ACTION,GOLDEN STATE_SCORE,DENVER_SCORE
0,1,11:42.0,Shooting foul by N. Jokić (drawn by A. Bogut),,0,0
1,1,11:42.0,A. Bogut misses free throw 1 of 2,,0,0
2,1,11:42.0,Offensive rebound by Team,,0,0
3,1,11:42.0,A. Bogut makes free throw 2 of 2,,1,0
4,1,11:25.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),1,2
5,1,11:03.0,J. Thompson misses 2-pt layup from 2 ft,,1,2
6,1,11:02.0,,Defensive rebound by Team,1,2
7,1,10:50.0,,N. Jokić misses 3-pt jump shot from 24 ft,1,2
8,1,10:49.0,Defensive rebound by S. Curry,,1,2
9,1,10:37.0,S. Curry misses 2-pt layup from 1 ft,,1,2
10,1,10:34.0,,Defensive rebound by N. Jokić,1,2
11,1,10:27.0,,Shooting foul by J. Thompson (drawn by D. Gallinari),1,2
12,1,10:27.0,,D. Gallinari makes free throw 1 of 2,1,3
13,1,10:27.0,,D. Gallinari makes free throw 2 of 2,1,4
14,1,10:14.0,J. Thompson misses 2-pt jump shot from 4 ft,,1,4
15,1,10:13.0,,Defensive rebound by D. Gallinari,1,4
16,1,10:02.0,,N. Jokić misses 2-pt layup from 2 ft (block by A. Bogut),1,4
17,1,10:01.0,Defensive rebound by J. Thompson,,1,4
18,1,9:58.0,Turnover by S. Curry (bad pass; steal by J. Nelson),,1,4
19,1,9:51.0,,J. Nelson misses 3-pt jump shot from 24 ft,1,4
20,1,9:50.0,Defensive rebound by A. Bogut,,1,4
21,1,9:43.0,S. Curry misses 3-pt jump shot from 25 ft,,1,4
22,1,9:42.0,,Defensive rebound by N. Jokić,1,4
23,1,9:22.0,,G. Harris misses 3-pt jump shot from 24 ft,1,4
24,1,9:21.0,,Offensive rebound by N. Jokić,1,4
25,1,9:18.0,,N. Jokić makes 2-pt layup from 2 ft,1,6
26,1,9:06.0,Turnover by S. Curry (bad pass; steal by N. Jokić),,1,6
27,1,9:00.0,,G. Harris misses 2-pt layup from 1 ft,1,6
28,1,8:58.0,Defensive rebound by J. Thompson,,1,6
29,1,8:56.0,Personal foul by N. Jokić (drawn by K. Thompson),,1,6
30,1,8:56.0,,J. Nurkić enters the game for N. Jokić,1,6
31,1,8:47.0,K. Thompson makes 2-pt jump shot from 20 ft (assist by S. Curry),,3,6
32,1,8:34.0,,D. Gallinari makes 2-pt jump shot from 4 ft,3,8
33,1,8:34.0,,Shooting block foul by B. Rush (drawn by D. Gallinari),3,8
34,1,8:34.0,,D. Gallinari makes free throw 1 of 1,3,9
35,1,8:23.0,S. Curry makes 3-pt jump shot from 25 ft,,6,9
36,1,8:09.0,,G. Harris makes 2-pt jump shot from 10 ft (assist by J. Nelson),6,11
37,1,7:58.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry),,9,11
38,1,7:46.0,,Shooting foul by A. Bogut (drawn by D. Gallinari),9,11
39,1,7:46.0,,D. Gallinari makes free throw 1 of 2,9,12
40,1,7:46.0,,D. Gallinari makes free throw 2 of 2,9,13
41,1,7:35.0,A. Bogut makes 2-pt jump shot from 5 ft (assist by S. Curry),,11,13
42,1,7:18.0,,K. Faried makes 2-pt dunk at rim (assist by J. Nurkić),11,15
43,1,7:03.0,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),,13,15
44,1,6:40.0,,D. Gallinari misses 2-pt jump shot from 22 ft,13,15
45,1,6:39.0,Defensive rebound by B. Rush,,13,15
46,1,6:29.0,K. Thompson makes 2-pt layup from 1 ft,,15,15
47,1,6:29.0,Shooting foul by K. Faried (drawn by K. Thompson),,15,15
48,1,6:29.0,K. Thompson misses free throw 1 of 1,,15,15
49,1,6:27.0,,Defensive rebound by J. Nurkić,15,15
50,1,6:15.0,,J. Nelson misses 2-pt jump shot from 20 ft,15,15
51,1,6:13.0,,Offensive rebound by K. Faried,15,15
52,1,6:12.0,,K. Faried misses 2-pt layup from 1 ft (block by J. Thompson),15,15
53,1,6:11.0,,Offensive rebound by Team,15,15
54,1,5:54.0,,J. Nelson misses 3-pt jump shot from 25 ft,15,15
55,1,5:54.0,,Offensive rebound by J. Nurkić,15,15
56,1,5:51.0,,J. Nurkić misses 2-pt layup from 2 ft,15,15
57,1,5:50.0,,Offensive rebound by G. Harris,15,15
58,1,5:42.0,Loose ball foul by J. Thompson (drawn by J. Nelson),,15,15
59,1,5:42.0,,Denver full timeout,15,15
