,QUARTER,TIME_REMAINING,NEW YORK_ACTION,LA CLIPPERS_ACTION,NEW YORK_SCORE,LA CLIPPERS_SCORE
0,1,11:37.0,,J. Redick misses 2-pt jump shot from 21 ft,0,0
1,1,11:34.0,Defensive rebound by C. Anthony,,0,0
2,1,11:20.0,K. Porziņģis misses 2-pt hook shot from 9 ft,,0,0
3,1,11:19.0,Offensive rebound by R. Lopez,,0,0
4,1,11:19.0,R. Lopez makes 2-pt dunk at rim,,2,0
5,1,11:00.0,,W. Johnson misses 2-pt jump shot from 21 ft,2,0
6,1,11:00.0,Defensive rebound by R. Lopez,,2,0
7,1,10:42.0,K. Porziņģis misses 3-pt jump shot from 23 ft,,2,0
8,1,10:41.0,Offensive rebound by R. Lopez,,2,0
9,1,10:41.0,R. Lopez makes 2-pt layup at rim,,4,0
10,1,10:23.0,,J. Redick misses 2-pt jump shot from 21 ft,4,0
11,1,10:23.0,Defensive rebound by J. Calderón,,4,0
12,1,10:15.0,J. Calderón misses 2-pt jump shot from 18 ft,,4,0
13,1,10:14.0,,Defensive rebound by W. Johnson,4,0
14,1,10:00.0,,W. Johnson misses 2-pt jump shot from 17 ft,4,0
15,1,9:59.0,Defensive rebound by C. Anthony,,4,0
16,1,9:43.0,Shooting foul by W. Johnson (drawn by K. Porziņģis),,4,0
17,1,9:43.0,K. Porziņģis makes free throw 1 of 2,,5,0
18,1,9:43.0,K. Porziņģis misses free throw 2 of 2,,5,0
19,1,9:39.0,,Defensive rebound by D. Jordan,5,0
20,1,9:31.0,,Shooting foul by S. Vujačić (drawn by J. Redick),5,0
21,1,9:31.0,,J. Redick makes free throw 1 of 2,5,1
22,1,9:31.0,,J. Redick makes free throw 2 of 2,5,2
23,1,9:14.0,C. Anthony makes 3-pt jump shot from 24 ft (assist by J. Calderón),,8,2
24,1,8:58.0,,C. Paul makes 3-pt jump shot from 24 ft,8,5
25,1,8:42.0,C. Anthony makes 2-pt jump shot from 19 ft (assist by K. Porziņģis),,10,5
26,1,8:30.0,,W. Johnson misses 3-pt jump shot from 24 ft,10,5
27,1,8:29.0,,Offensive rebound by D. Jordan,10,5
28,1,8:13.0,,C. Paul makes 2-pt layup from 1 ft,10,7
29,1,8:02.0,K. Porziņģis misses 2-pt hook shot from 4 ft,,10,7
30,1,8:00.0,,Defensive rebound by D. Jordan,10,7
31,1,7:55.0,,W. Johnson makes 2-pt dunk at rim (assist by C. Paul),10,9
32,1,7:37.0,J. Calderón makes 2-pt jump shot from 19 ft (assist by S. Vujačić),,12,9
33,1,7:17.0,,Personal foul by C. Anthony,12,9
34,1,7:11.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),12,11
35,1,6:45.0,C. Anthony makes 2-pt dunk at rim,,14,11
36,1,6:28.0,,C. Paul makes 2-pt layup from 1 ft,14,13
37,1,6:15.0,Shooting foul by W. Johnson (drawn by K. Porziņģis),,14,13
38,1,6:15.0,K. Porziņģis makes free throw 1 of 2,,15,13
39,1,6:15.0,K. Porziņģis makes free throw 2 of 2,,16,13
40,1,6:05.0,,Turnover by J. Redick (bad pass; steal by C. Anthony),16,13
41,1,5:51.0,R. Lopez misses 2-pt jump shot from 16 ft,,16,13
42,1,5:51.0,,Defensive rebound by W. Johnson,16,13
43,1,5:42.0,,J. Green makes 3-pt jump shot from 23 ft (assist by C. Paul),16,16
44,1,5:26.0,J. Calderón misses 3-pt jump shot from 24 ft,,16,16
45,1,5:25.0,,Defensive rebound by D. Jordan,16,16
46,1,5:15.0,,W. Johnson makes 3-pt jump shot from 22 ft (assist by J. Green),16,19
47,1,5:15.0,,Shooting foul by K. Porziņģis (drawn by W. Johnson),16,19
48,1,5:15.0,,LA Clippers full timeout,16,19
49,1,5:15.0,K. O'Quinn enters the game for R. Lopez,,16,19
50,1,5:15.0,,W. Johnson misses free throw 1 of 1,16,19
51,1,5:12.0,Defensive rebound by K. Porziņģis,,16,19
