,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DALLAS_ACTION,PORTLAND_SCORE,DALLAS_SCORE
0,1,11:43.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by C. McCollum),,3,0
1,1,11:17.0,,R. Felton makes 3-pt jump shot from 23 ft (assist by D. Nowitzki),3,3
2,1,10:57.0,N. Vonleh misses 2-pt jump shot from 22 ft,,3,3
3,1,10:56.0,,Defensive rebound by R. Felton,3,3
4,1,10:49.0,,Personal block foul by A. Aminu,3,3
5,1,10:43.0,,Personal foul by A. Aminu,3,3
6,1,10:43.0,G. Henderson enters the game for A. Aminu,,3,3
7,1,10:42.0,,Turnover by D. Nowitzki (bad pass; steal by M. Plumlee),3,3
8,1,10:39.0,M. Plumlee makes 2-pt dunk at rim,,5,3
9,1,10:25.0,,R. Felton misses 2-pt jump shot from 7 ft,5,3
10,1,10:24.0,,Offensive rebound by Z. Pachulia,5,3
11,1,10:21.0,,Z. Pachulia misses 2-pt hook shot from 4 ft,5,3
12,1,10:20.0,Defensive rebound by M. Plumlee,,5,3
13,1,10:05.0,,Violation by Z. Pachulia (kicked ball),5,3
14,1,9:57.0,D. Lillard makes 3-pt jump shot from 27 ft (assist by C. McCollum),,8,3
15,1,9:43.0,,Z. Pachulia misses 2-pt jump shot from 7 ft,8,3
16,1,9:42.0,Defensive rebound by M. Plumlee,,8,3
17,1,9:35.0,G. Henderson makes 3-pt jump shot from 23 ft (assist by M. Plumlee),,11,3
18,1,9:34.0,,Dallas full timeout,11,3
19,1,9:26.0,,Shooting foul by N. Vonleh (drawn by D. Nowitzki),11,3
20,1,9:26.0,,D. Nowitzki makes free throw 1 of 2,11,4
21,1,9:26.0,,D. Nowitzki makes free throw 2 of 2,11,5
22,1,9:09.0,Shooting foul by R. Felton (drawn by C. McCollum),,11,5
23,1,9:09.0,C. McCollum misses free throw 1 of 2,,11,5
24,1,9:09.0,Offensive rebound by Team,,11,5
25,1,9:09.0,C. McCollum makes free throw 2 of 2,,12,5
26,1,9:02.0,,Personal foul by C. McCollum,12,5
27,1,8:51.0,,W. Matthews misses 2-pt jump shot from 6 ft (block by C. McCollum),12,5
28,1,8:49.0,Defensive rebound by N. Vonleh,,12,5
29,1,8:43.0,C. McCollum misses 3-pt jump shot from 22 ft,,12,5
30,1,8:42.0,,Defensive rebound by Z. Pachulia,12,5
31,1,8:33.0,,Turnover by R. Felton (bad pass; steal by C. McCollum),12,5
32,1,8:31.0,Personal take foul by D. Nowitzki,,12,5
33,1,8:09.0,C. McCollum misses 3-pt jump shot from 25 ft,,12,5
34,1,8:09.0,,Defensive rebound by D. Nowitzki,12,5
35,1,8:09.0,Loose ball foul by M. Plumlee,,12,5
36,1,8:09.0,,D. Nowitzki makes free throw 1 of 2,12,6
37,1,8:09.0,,D. Nowitzki makes free throw 2 of 2,12,7
38,1,7:53.0,Turnover by D. Lillard (bad pass),,12,7
39,1,7:37.0,,D. Nowitzki makes 2-pt jump shot from 11 ft (assist by W. Matthews),12,9
40,1,7:22.0,G. Henderson makes 2-pt jump shot from 9 ft,,14,9
41,1,7:14.0,,Turnover by W. Matthews (lost ball; steal by G. Henderson),14,9
42,1,7:09.0,Personal foul by W. Matthews,,14,9
43,1,7:09.0,,J. Anderson enters the game for W. Matthews,14,9
44,1,7:09.0,,D. Lee enters the game for Z. Pachulia,14,9
45,1,6:55.0,M. Plumlee makes 2-pt jump shot from 4 ft (assist by D. Lillard),,16,9
46,1,6:55.0,Shooting foul by D. Lee (drawn by M. Plumlee),,16,9
47,1,6:55.0,M. Plumlee misses free throw 1 of 1,,16,9
48,1,6:54.0,,Defensive rebound by D. Lee,16,9
49,1,6:43.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,16,9
50,1,6:42.0,Defensive rebound by M. Plumlee,,16,9
51,1,6:35.0,G. Henderson misses 3-pt jump shot from 22 ft,,16,9
52,1,6:34.0,,Defensive rebound by D. Nowitzki,16,9
53,1,6:26.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,16,9
54,1,6:25.0,,Offensive rebound by D. Lee,16,9
55,1,6:15.0,,Shooting block foul by M. Plumlee (drawn by D. Williams),16,9
56,1,6:15.0,,D. Williams makes free throw 1 of 2,16,10
57,1,6:15.0,,D. Harris enters the game for D. Nowitzki,16,10
58,1,6:15.0,M. Harkless enters the game for N. Vonleh,,16,10
59,1,6:15.0,,D. Williams makes free throw 2 of 2,16,11
60,1,6:00.0,G. Henderson misses 3-pt jump shot from 23 ft,,16,11
61,1,6:00.0,Offensive rebound by M. Plumlee,,16,11
62,1,6:00.0,,Loose ball foul by R. Felton,16,11
63,1,6:00.0,M. Plumlee makes free throw 1 of 2,,17,11
64,1,6:00.0,,C. Villanueva enters the game for R. Felton,17,11
65,1,6:00.0,M. Plumlee misses free throw 2 of 2,,17,11
66,1,5:59.0,,Defensive rebound by D. Lee,17,11
67,1,5:48.0,,D. Williams makes 2-pt jump shot from 5 ft,17,13
68,1,5:40.0,G. Henderson misses 3-pt jump shot from 23 ft,,17,13
69,1,5:39.0,,Defensive rebound by C. Villanueva,17,13
70,1,5:26.0,,D. Lee makes 2-pt hook shot from 5 ft (assist by D. Williams),17,15
71,1,5:15.0,D. Lillard makes 2-pt layup from 1 ft,,19,15
72,1,5:03.0,,D. Williams makes 2-pt jump shot from 19 ft (assist by D. Lee),19,17
73,1,5:02.0,Portland full timeout,,19,17
74,1,5:02.0,E. Davis enters the game for M. Plumlee,,19,17
75,1,5:02.0,A. Crabbe enters the game for C. McCollum,,19,17
76,1,4:49.0,M. Harkless misses 3-pt jump shot from 22 ft,,19,17
77,1,4:48.0,Offensive rebound by Team,,19,17
78,1,4:31.0,M. Harkless makes 2-pt dunk at rim (assist by D. Lillard),,21,17
79,1,4:24.0,,C. Villanueva misses 2-pt layup from 1 ft (block by G. Henderson),21,17
80,1,4:23.0,Defensive rebound by A. Crabbe,,21,17
81,1,4:17.0,D. Lillard misses 2-pt jump shot from 16 ft,,21,17
82,1,4:16.0,,Defensive rebound by D. Lee,21,17
83,1,4:13.0,,Turnover by D. Lee (lost ball; steal by M. Harkless),21,17
84,1,4:03.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by D. Lillard),,24,17
85,1,3:54.0,,D. Williams makes 3-pt jump shot from 25 ft,24,20
86,1,3:54.0,,Shooting foul by A. Crabbe (drawn by D. Williams),24,20
87,1,3:54.0,,D. Williams makes free throw 1 of 1,24,21
88,1,3:43.0,Turnover by D. Lillard (lost ball; steal by D. Williams),,24,21
89,1,3:32.0,,Personal foul by D. Lillard,24,21
90,1,3:32.0,,D. Williams makes free throw 1 of 2,24,22
