,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,TORONTO_ACTION,BROOKLYN_SCORE,TORONTO_SCORE
0,1,11:44.0,B. Lopez makes 2-pt jump shot from 13 ft,,2,0
1,1,11:26.0,,D. DeRozan misses 2-pt jump shot from 15 ft,2,0
2,1,11:26.0,Defensive rebound by W. Ellington,,2,0
3,1,11:17.0,T. Young makes 2-pt jump shot from 19 ft (assist by W. Ellington),,4,0
4,1,10:57.0,,J. Valančiūnas misses 2-pt hook shot from 4 ft,4,0
5,1,10:57.0,Defensive rebound by B. Lopez,,4,0
6,1,10:48.0,W. Ellington misses 2-pt jump shot from 14 ft,,4,0
7,1,10:48.0,,Defensive rebound by J. Valančiūnas,4,0
8,1,10:38.0,,N. Powell misses 3-pt jump shot from 23 ft (block by B. Lopez),4,0
9,1,10:38.0,,Offensive rebound by N. Powell,4,0
10,1,10:34.0,,N. Powell misses 2-pt layup from 4 ft,4,0
11,1,10:33.0,Defensive rebound by B. Lopez,,4,0
12,1,10:18.0,B. Bogdanović misses 2-pt layup from 4 ft (block by J. Thompson),,4,0
13,1,10:16.0,,Defensive rebound by D. DeRozan,4,0
14,1,10:00.0,,J. Valančiūnas makes 2-pt layup from 1 ft,4,2
15,1,9:48.0,Turnover by B. Lopez (bad pass; steal by J. Thompson),,4,2
16,1,9:43.0,,Shooting foul by W. Ellington (drawn by N. Powell),4,2
17,1,9:43.0,,N. Powell makes free throw 1 of 2,4,3
18,1,9:43.0,,N. Powell makes free throw 2 of 2,4,4
19,1,9:34.0,T. Young makes 2-pt jump shot from 18 ft (assist by D. Sloan),,6,4
20,1,9:19.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),6,6
21,1,9:08.0,B. Lopez makes 2-pt jump shot from 21 ft (assist by D. Sloan),,8,6
22,1,8:49.0,,Turnover by N. Powell (bad pass; steal by B. Lopez),8,6
23,1,8:39.0,T. Young misses 2-pt jump shot from 17 ft,,8,6
24,1,8:39.0,,Defensive rebound by D. DeRozan,8,6
25,1,8:29.0,,D. DeRozan makes 2-pt jump shot from 16 ft,8,8
26,1,8:14.0,B. Lopez makes 2-pt jump shot from 16 ft,,10,8
27,1,7:49.0,,J. Valančiūnas misses 2-pt jump shot from 13 ft,10,8
28,1,7:48.0,Defensive rebound by T. Young,,10,8
29,1,7:41.0,D. Sloan makes 2-pt layup from 4 ft,,12,8
30,1,7:28.0,,D. DeRozan misses 3-pt jump shot from 23 ft,12,8
31,1,7:28.0,,Offensive rebound by J. Thompson,12,8
32,1,7:24.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by J. Thompson),12,10
33,1,7:07.0,D. Sloan misses 2-pt jump shot from 18 ft,,12,10
34,1,7:07.0,,Defensive rebound by J. Valančiūnas,12,10
35,1,6:53.0,,J. Thompson makes 2-pt jump shot from 17 ft (assist by D. DeRozan),12,12
36,1,6:34.0,W. Ellington misses 3-pt jump shot from 24 ft,,12,12
37,1,6:34.0,Offensive rebound by W. Ellington,,12,12
38,1,6:30.0,W. Ellington misses 2-pt jump shot from 12 ft,,12,12
39,1,6:29.0,,Defensive rebound by J. Thompson,12,12
40,1,6:20.0,,K. Lowry misses 3-pt jump shot from 27 ft,12,12
41,1,6:19.0,Defensive rebound by B. Bogdanović,,12,12
42,1,6:00.0,T. Young makes 2-pt layup from 1 ft (assist by W. Ellington),,14,12
43,1,6:00.0,,Toronto full timeout,14,12
44,1,5:37.0,,D. DeRozan makes 2-pt dunk from 2 ft (assist by K. Lowry),14,14
45,1,5:17.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by B. Lopez),,16,14
46,1,5:03.0,,Personal block foul by W. Ellington,16,14
47,1,5:03.0,M. Brown enters the game for W. Ellington,,16,14
48,1,4:49.0,,Turnover by Team (shot clock),16,14
49,1,4:35.0,T. Young makes 2-pt jump shot from 18 ft,,18,14
50,1,4:13.0,,J. Thompson makes 3-pt jump shot from 25 ft (assist by N. Powell),18,17
51,1,3:53.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by M. Brown),,21,17
52,1,3:42.0,,Turnover by D. DeRozan (bad pass),21,17
53,1,3:23.0,T. Young misses 2-pt jump shot from 8 ft,,21,17
54,1,3:22.0,,Defensive rebound by K. Lowry,21,17
55,1,3:11.0,,K. Lowry makes 2-pt layup from 4 ft,21,19
56,1,2:49.0,B. Bogdanović misses 2-pt layup from 2 ft (block by N. Powell),,21,19
57,1,2:48.0,,Defensive rebound by J. Thompson,21,19
58,1,2:47.0,,Personal foul by D. Sloan,21,19
59,1,2:47.0,Brooklyn full timeout,,21,19
60,1,2:47.0,T. Robinson enters the game for B. Lopez,,21,19
61,1,2:47.0,,B. Biyombo enters the game for N. Powell,21,19
62,1,2:47.0,,P. Patterson enters the game for J. Thompson,21,19
63,1,2:47.0,,C. Joseph enters the game for J. Valančiūnas,21,19
64,1,2:47.0,,T. Ross enters the game for K. Lowry,21,19
65,1,2:34.0,,D. DeRozan makes 2-pt dunk at rim (assist by T. Ross),21,21
66,1,2:07.0,T. Young makes 2-pt hook shot from 5 ft,,23,21
67,1,1:43.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by D. DeRozan),23,24
68,1,1:21.0,T. Young misses 2-pt jump shot from 14 ft,,23,24
69,1,1:20.0,,Defensive rebound by C. Joseph,23,24
70,1,1:05.0,,P. Patterson makes 2-pt jump shot from 5 ft,23,26
71,1,0:54.0,D. Sloan misses 2-pt hook shot from 4 ft,,23,26
72,1,0:53.0,,Defensive rebound by T. Ross,23,26
73,1,0:42.0,,T. Ross misses 3-pt jump shot from 26 ft,23,26
74,1,0:41.0,Defensive rebound by T. Young,,23,26
75,1,0:31.0,Turnover by D. Sloan (bad pass),,23,26
76,1,0:31.0,S. Larkin enters the game for B. Bogdanović,,23,26
77,1,0:31.0,S. Kilpatrick enters the game for D. Sloan,,23,26
78,1,0:09.0,,D. DeRozan misses 2-pt layup from 3 ft,23,26
79,1,0:09.0,,Offensive rebound by P. Patterson,23,26
80,1,0:08.0,,Shooting foul by T. Robinson (drawn by P. Patterson),23,26
81,1,0:08.0,,P. Patterson makes free throw 1 of 2,23,27
82,1,0:08.0,,P. Patterson makes free throw 2 of 2,23,28
83,1,0:02.0,S. Larkin misses 2-pt jump shot from 6 ft (block by T. Ross),,23,28
84,1,0:02.0,Offensive rebound by Team,,23,28
85,1,0:01.0,T. Robinson misses 2-pt layup from 2 ft,,23,28
86,1,0:00.0,,Defensive rebound by T. Ross,23,28
87,2,11:41.0,,T. Ross misses 3-pt jump shot from 23 ft,23,28
88,2,11:41.0,Defensive rebound by Team,,23,28
89,2,11:28.0,W. Reed makes 2-pt hook shot from 8 ft (assist by M. Brown),,25,28
90,2,11:10.0,,C. Joseph misses 3-pt jump shot from 26 ft,25,28
91,2,11:10.0,Defensive rebound by T. Robinson,,25,28
92,2,10:48.0,S. Kilpatrick makes 3-pt jump shot from 26 ft,,28,28
93,2,10:26.0,,Turnover by K. Lowry (bad pass),28,28
94,2,10:15.0,W. Reed misses 2-pt jump shot from 9 ft,,28,28
95,2,10:15.0,Offensive rebound by T. Robinson,,28,28
96,2,10:12.0,T. Robinson misses 2-pt layup from 2 ft,,28,28
97,2,10:12.0,Offensive rebound by W. Reed,,28,28
98,2,10:09.0,W. Reed makes 2-pt layup from 1 ft,,30,28
99,2,10:03.0,,Toronto full timeout,30,28
100,2,9:49.0,,P. Patterson makes 2-pt jump shot from 17 ft (assist by K. Lowry),30,30
101,2,9:49.0,,Shooting foul by T. Robinson (drawn by P. Patterson),30,30
102,2,9:49.0,,P. Patterson misses free throw 1 of 1,30,30
103,2,9:48.0,Defensive rebound by T. Robinson,,30,30
104,2,9:30.0,S. Larkin misses 3-pt jump shot from 26 ft,,30,30
105,2,9:30.0,,Defensive rebound by T. Ross,30,30
106,2,9:22.0,,K. Lowry misses 3-pt jump shot from 26 ft,30,30
107,2,9:21.0,Defensive rebound by T. Robinson,,30,30
108,2,9:04.0,Personal foul by C. Joseph,,30,30
109,2,8:59.0,Turnover by S. Larkin (bad pass; steal by P. Patterson),,30,30
110,2,8:44.0,,Turnover by K. Lowry (bad pass; steal by W. Reed),30,30
111,2,8:38.0,S. Kilpatrick makes 3-pt jump shot from 24 ft (assist by M. Brown),,33,30
112,2,8:24.0,,Turnover by B. Biyombo (offensive foul),33,30
113,2,8:24.0,,Offensive foul by B. Biyombo (drawn by S. Larkin),33,30
114,2,8:13.0,,Violation by P. Patterson (kicked ball),33,30
115,2,8:00.0,M. Brown misses 2-pt hook shot from 5 ft,,33,30
116,2,8:00.0,Offensive rebound by W. Reed,,33,30
117,2,7:55.0,W. Reed makes 2-pt layup at rim,,35,30
118,2,7:46.0,,T. Ross misses 2-pt jump shot from 18 ft,35,30
119,2,7:45.0,,Offensive rebound by B. Biyombo,35,30
120,2,7:44.0,,Turnover by B. Biyombo (bad pass),35,30
121,2,7:35.0,Personal foul by C. Joseph,,35,30
122,2,7:35.0,,D. DeRozan enters the game for C. Joseph,35,30
123,2,7:27.0,W. Reed misses 2-pt jump shot from 13 ft,,35,30
124,2,7:26.0,,Defensive rebound by T. Ross,35,30
125,2,7:19.0,,Shooting block foul by S. Kilpatrick (drawn by K. Lowry),35,30
126,2,7:19.0,,K. Lowry misses free throw 1 of 2,35,30
127,2,7:19.0,,Offensive rebound by Team,35,30
128,2,7:19.0,,K. Lowry makes free throw 2 of 2,35,31
