,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,LA CLIPPERS_ACTION,LA LAKERS_SCORE,LA CLIPPERS_SCORE
0,1,11:34.0,A. Brown misses 3-pt jump shot from 25 ft,,0,0
1,1,11:33.0,,Defensive rebound by D. Jordan,0,0
2,1,11:15.0,,W. Johnson misses 3-pt jump shot from 26 ft,0,0
3,1,11:14.0,Defensive rebound by L. Williams,,0,0
4,1,11:06.0,A. Brown makes 3-pt jump shot from 24 ft (assist by L. Williams),,3,0
5,1,10:53.0,,Personal foul by A. Brown (drawn by J. Redick),3,0
6,1,10:43.0,,C. Paul misses 2-pt layup from 2 ft,3,0
7,1,10:40.0,Defensive rebound by L. Williams,,3,0
8,1,10:34.0,Personal foul by J. Redick,,3,0
9,1,10:27.0,J. Clarkson misses 3-pt jump shot from 26 ft,,3,0
10,1,10:26.0,,Defensive rebound by L. Mbah a Moute,3,0
11,1,10:17.0,,C. Paul makes 2-pt jump shot from 14 ft,3,2
12,1,10:05.0,Turnover by J. Randle (bad pass; steal by L. Mbah a Moute),,3,2
13,1,9:59.0,,W. Johnson makes 2-pt layup from 3 ft (assist by C. Paul),3,4
14,1,9:40.0,R. Hibbert misses 2-pt hook shot from 11 ft,,3,4
15,1,9:37.0,,Defensive rebound by D. Jordan,3,4
16,1,9:27.0,,J. Redick makes 2-pt jump shot from 17 ft (assist by C. Paul),3,6
17,1,9:15.0,Shooting foul by D. Jordan (drawn by L. Williams),,3,6
18,1,9:15.0,L. Williams misses free throw 1 of 3,,3,6
19,1,9:15.0,Offensive rebound by Team,,3,6
20,1,9:15.0,L. Williams makes free throw 2 of 3,,4,6
21,1,9:15.0,L. Williams makes free throw 3 of 3,,5,6
22,1,9:02.0,,W. Johnson makes 2-pt layup from 2 ft (assist by C. Paul),5,8
23,1,8:41.0,J. Clarkson makes 2-pt jump shot from 19 ft,,7,8
24,1,8:27.0,,W. Johnson makes 2-pt layup from 1 ft (assist by C. Paul),7,10
25,1,8:15.0,J. Randle misses 2-pt jump shot from 13 ft,,7,10
26,1,8:14.0,,Defensive rebound by J. Redick,7,10
27,1,7:58.0,,Personal foul by J. Randle (drawn by L. Mbah a Moute),7,10
28,1,7:52.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),7,12
29,1,7:25.0,J. Randle misses 2-pt jump shot from 14 ft,,7,12
30,1,7:24.0,,Defensive rebound by L. Mbah a Moute,7,12
31,1,7:14.0,,C. Paul makes 2-pt jump shot from 9 ft,7,14
32,1,6:55.0,R. Hibbert makes 2-pt jump shot from 18 ft (assist by J. Clarkson),,9,14
33,1,6:42.0,,Shooting foul by L. Williams (drawn by J. Redick),9,14
34,1,6:42.0,,J. Redick misses free throw 1 of 3,9,14
35,1,6:42.0,,Offensive rebound by Team,9,14
36,1,6:42.0,,J. Redick makes free throw 2 of 3,9,15
37,1,6:42.0,,J. Redick makes free throw 3 of 3,9,16
38,1,6:35.0,Shooting foul by D. Jordan (drawn by L. Williams),,9,16
39,1,6:35.0,L. Williams misses free throw 1 of 2,,9,16
40,1,6:35.0,Offensive rebound by Team,,9,16
41,1,6:35.0,,C. Aldrich enters the game for D. Jordan,9,16
42,1,6:35.0,L. Williams makes free throw 2 of 2,,10,16
43,1,6:23.0,,Personal block foul by J. Clarkson (drawn by C. Paul),10,16
44,1,6:20.0,,J. Redick misses 3-pt jump shot from 26 ft,10,16
45,1,6:19.0,Defensive rebound by J. Randle,,10,16
46,1,6:04.0,R. Hibbert makes 2-pt dunk at rim (assist by L. Williams),,12,16
47,1,5:59.0,,Shooting foul by R. Hibbert (drawn by C. Aldrich),12,16
48,1,5:59.0,,LA Clippers full timeout,12,16
49,1,5:59.0,D. Russell enters the game for L. Williams,,12,16
50,1,5:59.0,,C. Aldrich makes free throw 1 of 2,12,17
