,QUARTER,TIME_REMAINING,DALLAS_ACTION,OKLAHOMA CITY_ACTION,DALLAS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:46.0,,K. Durant misses 2-pt jump shot from 6 ft,0,0
1,1,11:44.0,,Offensive rebound by S. Adams,0,0
2,1,11:44.0,,S. Adams misses 2-pt layup from 1 ft,0,0
3,1,11:44.0,Defensive rebound by J. Barea,,0,0
4,1,11:26.0,W. Matthews misses 3-pt jump shot from 25 ft,,0,0
5,1,11:25.0,,Defensive rebound by A. Roberson,0,0
6,1,11:15.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by R. Westbrook),0,3
7,1,11:06.0,Shooting foul by S. Adams (drawn by S. Mejri),,0,3
8,1,11:06.0,S. Mejri misses free throw 1 of 2,,0,3
9,1,11:06.0,Offensive rebound by Team,,0,3
10,1,11:06.0,S. Mejri misses free throw 2 of 2,,0,3
11,1,11:06.0,,Defensive rebound by S. Ibaka,0,3
12,1,10:54.0,,K. Durant makes 2-pt layup from 2 ft (assist by R. Westbrook),0,5
13,1,10:43.0,Turnover by D. Williams (bad pass),,0,5
14,1,10:31.0,,K. Durant makes 2-pt jump shot from 16 ft (assist by R. Westbrook),0,7
15,1,10:07.0,J. Barea misses 2-pt jump shot from 11 ft,,0,7
16,1,10:06.0,,Defensive rebound by K. Durant,0,7
17,1,9:56.0,,A. Roberson makes 2-pt layup from 2 ft,0,9
18,1,9:56.0,Dallas full timeout,,0,9
19,1,9:44.0,D. Williams misses 2-pt layup from 2 ft (block by S. Ibaka),,0,9
20,1,9:44.0,Offensive rebound by Team,,0,9
21,1,9:42.0,D. Williams makes 2-pt jump shot from 19 ft (assist by J. Barea),,2,9
22,1,9:31.0,,Turnover by R. Westbrook (lost ball),2,9
23,1,9:24.0,D. Williams misses 2-pt jump shot from 4 ft,,2,9
24,1,9:24.0,Offensive rebound by Team,,2,9
25,1,9:24.0,,Loose ball foul by A. Roberson,2,9
26,1,9:14.0,D. Nowitzki misses 2-pt jump shot from 13 ft,,2,9
27,1,9:13.0,,Defensive rebound by K. Durant,2,9
28,1,9:03.0,,R. Westbrook makes 3-pt jump shot from 26 ft (assist by K. Durant),2,12
29,1,8:46.0,J. Barea misses 3-pt jump shot from 26 ft,,2,12
30,1,8:46.0,,Defensive rebound by A. Roberson,2,12
31,1,8:37.0,,Personal foul by D. Nowitzki,2,12
32,1,8:31.0,,R. Westbrook misses 2-pt layup from 2 ft,2,12
33,1,8:30.0,Defensive rebound by Team,,2,12
34,1,8:05.0,W. Matthews misses 3-pt jump shot from 22 ft,,2,12
35,1,8:05.0,,Defensive rebound by S. Ibaka,2,12
36,1,7:56.0,,Shooting foul by S. Mejri (drawn by K. Durant),2,12
37,1,7:56.0,,K. Durant makes 2-pt layup from 2 ft,2,14
38,1,7:56.0,,K. Durant makes free throw 1 of 1,2,15
