,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SAN ANTONIO_ACTION,MEMPHIS_SCORE,SAN ANTONIO_SCORE
0,1,11:35.0,,K. Anderson makes 2-pt jump shot from 8 ft (assist by T. Duncan),0,2
1,1,11:19.0,J. Farmar makes 2-pt layup at rim (assist by C. Andersen),,2,2
2,1,11:03.0,,K. Martin misses 2-pt jump shot from 17 ft (block by M. Barnes),2,2
3,1,11:02.0,Defensive rebound by M. Barnes,,2,2
4,1,11:00.0,Turnover by M. Barnes (bad pass; steal by K. Anderson),,2,2
5,1,10:54.0,,Turnover by K. Martin (bad pass; steal by J. Farmar),2,2
6,1,10:46.0,C. Andersen makes 2-pt layup at rim (assist by J. Farmar),,4,2
7,1,10:34.0,,T. Parker makes 2-pt layup from 1 ft,4,4
8,1,10:15.0,J. Green misses 2-pt jump shot from 17 ft,,4,4
9,1,10:15.0,,Defensive rebound by T. Duncan,4,4
10,1,10:03.0,,T. Duncan makes 2-pt jump shot from 4 ft (assist by T. Parker),4,6
11,1,9:47.0,J. Green makes 2-pt jump shot from 19 ft,,6,6
12,1,9:29.0,,T. Duncan makes 2-pt jump shot from 5 ft,6,8
13,1,9:10.0,C. Andersen misses 2-pt layup from 2 ft (block by T. Parker),,6,8
14,1,9:09.0,Offensive rebound by M. Barnes,,6,8
15,1,9:06.0,C. Andersen misses 2-pt jump shot from 10 ft,,6,8
16,1,9:06.0,,Defensive rebound by T. Duncan,6,8
17,1,8:51.0,,L. Aldridge makes 2-pt layup from 1 ft,6,10
18,1,8:39.0,M. Barnes misses 2-pt jump shot from 13 ft,,6,10
19,1,8:38.0,,Defensive rebound by L. Aldridge,6,10
20,1,8:21.0,,Turnover by L. Aldridge (bad pass; steal by M. Barnes),6,10
21,1,8:17.0,Turnover by M. Barnes (bad pass; steal by T. Duncan),,6,10
22,1,8:09.0,,Personal foul by J. Green,6,10
23,1,7:53.0,,K. Anderson misses 3-pt jump shot from 23 ft,6,10
24,1,7:52.0,Defensive rebound by M. Barnes,,6,10
25,1,7:43.0,J. Green misses 2-pt jump shot from 20 ft,,6,10
26,1,7:42.0,,Defensive rebound by T. Parker,6,10
27,1,7:29.0,,L. Aldridge makes 2-pt jump shot from 8 ft,6,12
28,1,7:15.0,M. Barnes makes 3-pt jump shot from 24 ft (assist by J. Green),,9,12
29,1,7:04.0,,Personal foul by J. Farmar,9,12
30,1,6:57.0,,K. Martin misses 2-pt jump shot from 16 ft,9,12
31,1,6:56.0,,Offensive rebound by L. Aldridge,9,12
32,1,6:56.0,,Shooting foul by M. Barnes (drawn by L. Aldridge),9,12
33,1,6:56.0,,L. Aldridge makes free throw 1 of 2,9,13
34,1,6:56.0,,L. Aldridge makes free throw 2 of 2,9,14
35,1,6:44.0,C. Andersen makes 2-pt jump shot from 19 ft (assist by J. Green),,11,14
36,1,6:43.0,,San Antonio full timeout,11,14
37,1,6:25.0,,L. Aldridge makes 2-pt jump shot from 8 ft (assist by T. Parker),11,16
38,1,5:57.0,J. Green makes 2-pt jump shot from 13 ft,,13,16
39,1,5:43.0,,T. Parker misses 2-pt jump shot from 16 ft,13,16
40,1,5:42.0,,Offensive rebound by T. Duncan,13,16
41,1,5:31.0,,K. Martin makes 3-pt jump shot from 25 ft (assist by T. Duncan),13,19
42,1,5:17.0,J. Green makes 2-pt jump shot from 17 ft (assist by C. Andersen),,15,19
43,1,4:52.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by T. Duncan),15,21
44,1,4:40.0,Shooting foul by T. Parker (drawn by M. Barnes),,15,21
45,1,4:40.0,M. Barnes makes free throw 1 of 2,,16,21
46,1,4:40.0,,M. Ginóbili enters the game for K. Martin,16,21
47,1,4:40.0,R. McCallum enters the game for J. Farmar,,16,21
48,1,4:40.0,V. Carter enters the game for T. Allen,,16,21
49,1,4:40.0,M. Barnes makes free throw 2 of 2,,17,21
50,1,4:22.0,,L. Aldridge misses 2-pt jump shot from 16 ft,17,21
51,1,4:22.0,Defensive rebound by R. McCallum,,17,21
52,1,4:06.0,V. Carter misses 3-pt jump shot from 24 ft,,17,21
53,1,4:04.0,,Defensive rebound by K. Anderson,17,21
54,1,3:56.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by M. Ginóbili),17,23
55,1,3:44.0,C. Andersen makes 3-pt jump shot from 24 ft (assist by V. Carter),,20,23
56,1,3:29.0,,Shooting foul by J. Green (drawn by T. Parker),20,23
57,1,3:29.0,,T. Parker makes free throw 1 of 2,20,24
58,1,3:29.0,,D. West enters the game for T. Duncan,20,24
59,1,3:29.0,R. Hollins enters the game for M. Barnes,,20,24
60,1,3:29.0,L. Stephenson enters the game for J. Green,,20,24
61,1,3:29.0,,T. Parker makes free throw 2 of 2,20,25
62,1,3:17.0,Def 3 sec tech foul by L. Aldridge,,20,25
63,1,3:17.0,V. Carter makes technical free throw,,21,25
64,1,3:17.0,,A. Miller enters the game for T. Parker,21,25
65,1,3:17.0,Memphis full timeout,,21,25
66,1,3:08.0,R. McCallum misses 3-pt jump shot from 24 ft,,21,25
67,1,3:07.0,,Defensive rebound by D. West,21,25
68,1,2:51.0,,K. Anderson misses 2-pt layup from 1 ft,21,25
69,1,2:50.0,Defensive rebound by C. Andersen,,21,25
70,1,2:37.0,Personal foul by K. Anderson,,21,25
71,1,2:37.0,,K. Martin enters the game for K. Anderson,21,25
72,1,2:37.0,J. Martin enters the game for C. Andersen,,21,25
