,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,ATLANTA_ACTION,OKLAHOMA CITY_SCORE,ATLANTA_SCORE
0,1,11:36.0,,Turnover by J. Teague (bad pass; steal by A. Roberson),0,0
1,1,11:31.0,R. Westbrook makes 2-pt layup from 1 ft,,2,0
2,1,11:13.0,,P. Millsap misses 3-pt jump shot from 23 ft,2,0
3,1,11:12.0,Defensive rebound by R. Westbrook,,2,0
4,1,10:59.0,K. Durant misses 3-pt jump shot from 24 ft,,2,0
5,1,10:58.0,,Defensive rebound by K. Korver,2,0
6,1,10:53.0,,P. Millsap makes 2-pt dunk at rim (assist by T. Sefolosha),2,2
7,1,10:33.0,R. Westbrook misses 2-pt jump shot from 16 ft,,2,2
8,1,10:31.0,,Defensive rebound by A. Horford,2,2
9,1,10:20.0,,J. Teague makes 2-pt jump shot from 8 ft,2,4
10,1,10:06.0,K. Durant misses 3-pt jump shot from 24 ft,,2,4
11,1,10:05.0,,Defensive rebound by A. Horford,2,4
12,1,9:56.0,,K. Korver misses 2-pt jump shot from 19 ft,2,4
13,1,9:55.0,,Offensive rebound by A. Horford,2,4
14,1,9:44.0,,A. Horford makes 2-pt layup from 1 ft (assist by J. Teague),2,6
15,1,9:30.0,R. Westbrook misses 3-pt jump shot from 23 ft,,2,6
16,1,9:29.0,,Defensive rebound by P. Millsap,2,6
17,1,9:14.0,Violation by S. Ibaka (def goaltending),,2,6
18,1,9:14.0,,J. Teague makes 2-pt layup from 2 ft,2,8
19,1,9:04.0,K. Durant makes 2-pt jump shot from 16 ft (assist by R. Westbrook),,4,8
20,1,8:59.0,,Turnover by J. Teague (bad pass),4,8
21,1,8:45.0,R. Westbrook misses 2-pt jump shot from 12 ft,,4,8
22,1,8:44.0,,Defensive rebound by A. Horford,4,8
23,1,8:31.0,,A. Horford makes 2-pt jump shot from 5 ft,4,10
24,1,8:31.0,,Shooting foul by S. Adams (drawn by A. Horford),4,10
25,1,8:31.0,,A. Horford makes free throw 1 of 1,4,11
26,1,8:14.0,K. Durant makes 2-pt jump shot from 11 ft,,6,11
27,1,8:04.0,,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Teague),6,14
28,1,7:48.0,Shooting foul by P. Millsap (drawn by S. Adams),,6,14
29,1,7:48.0,S. Adams misses free throw 1 of 2,,6,14
30,1,7:48.0,Offensive rebound by Team,,6,14
31,1,7:48.0,S. Adams misses free throw 2 of 2,,6,14
32,1,7:47.0,,Defensive rebound by K. Korver,6,14
33,1,7:37.0,,Shooting foul by S. Ibaka (drawn by P. Millsap),6,14
34,1,7:37.0,,P. Millsap makes free throw 1 of 2,6,15
35,1,7:37.0,,P. Millsap makes free throw 2 of 2,6,16
36,1,7:30.0,S. Ibaka misses 2-pt jump shot from 21 ft,,6,16
37,1,7:28.0,Offensive rebound by R. Westbrook,,6,16
38,1,7:25.0,S. Ibaka misses 2-pt jump shot from 18 ft,,6,16
39,1,7:24.0,,Defensive rebound by T. Sefolosha,6,16
40,1,7:22.0,,Turnover by T. Sefolosha (bad pass),6,16
41,1,7:10.0,S. Ibaka misses 2-pt jump shot from 19 ft,,6,16
42,1,7:09.0,,Defensive rebound by T. Sefolosha,6,16
43,1,6:57.0,,Turnover by P. Millsap (lost ball; steal by A. Roberson),6,16
44,1,6:51.0,R. Westbrook misses 2-pt jump shot from 19 ft,,6,16
45,1,6:50.0,,Defensive rebound by K. Korver,6,16
46,1,6:30.0,,A. Horford misses 2-pt layup from 1 ft (block by K. Durant),6,16
47,1,6:28.0,,Offensive rebound by P. Millsap,6,16
48,1,6:28.0,,P. Millsap misses 2-pt layup at rim (block by K. Durant),6,16
49,1,6:28.0,Defensive rebound by Team,,6,16
50,1,6:17.0,K. Durant misses 2-pt jump shot from 17 ft,,6,16
51,1,6:16.0,,Defensive rebound by J. Teague,6,16
52,1,6:03.0,,P. Millsap makes 2-pt jump shot from 15 ft (assist by J. Teague),6,18
53,1,5:58.0,Oklahoma City full timeout,,6,18
54,1,5:58.0,,M. Muscala enters the game for A. Horford,6,18
55,1,5:42.0,A. Roberson makes 3-pt jump shot from 22 ft (assist by S. Ibaka),,9,18
56,1,5:27.0,,K. Korver makes 2-pt jump shot from 18 ft (assist by P. Millsap),9,20
