,QUARTER,TIME_REMAINING,CHICAGO_ACTION,CHARLOTTE_ACTION,CHICAGO_SCORE,CHARLOTTE_SCORE
0,1,11:39.0,,M. Williams makes 3-pt jump shot from 24 ft (assist by C. Zeller),0,3
1,1,11:27.0,Personal foul by C. Zeller (drawn by P. Gasol),,0,3
2,1,11:22.0,M. Dunleavy misses 2-pt layup from 1 ft,,0,3
3,1,11:20.0,,Defensive rebound by N. Batum,0,3
4,1,11:12.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 15 ft,0,3
5,1,11:11.0,Defensive rebound by E. Moore,,0,3
6,1,10:55.0,M. Dunleavy misses 3-pt jump shot from 22 ft,,0,3
7,1,10:54.0,,Defensive rebound by N. Batum,0,3
8,1,10:36.0,,C. Zeller makes 2-pt layup at rim (assist by K. Walker),0,5
9,1,10:22.0,P. Gasol makes 2-pt jump shot from 18 ft (assist by M. Dunleavy),,2,5
10,1,10:00.0,,N. Batum makes 2-pt jump shot from 15 ft,2,7
11,1,9:41.0,T. Gibson makes 2-pt layup from 2 ft (assist by P. Gasol),,4,7
12,1,9:23.0,,K. Walker makes 2-pt jump shot from 18 ft,4,9
13,1,8:57.0,P. Gasol misses 3-pt jump shot from 24 ft,,4,9
14,1,8:56.0,,Defensive rebound by C. Zeller,4,9
15,1,8:45.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 10 ft,4,11
16,1,8:29.0,K. Hinrich misses 2-pt jump shot from 10 ft,,4,11
17,1,8:26.0,,Defensive rebound by M. Kidd-Gilchrist,4,11
18,1,8:16.0,,Turnover by N. Batum (bad pass; steal by E. Moore),4,11
19,1,8:00.0,M. Dunleavy misses 2-pt layup at rim,,4,11
20,1,7:59.0,,Defensive rebound by N. Batum,4,11
21,1,7:47.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 7 ft,4,13
22,1,7:47.0,,Shooting foul by E. Moore (drawn by M. Kidd-Gilchrist),4,13
23,1,7:47.0,,M. Kidd-Gilchrist makes free throw 1 of 1,4,14
24,1,7:38.0,Personal foul by C. Zeller (drawn by P. Gasol),,4,14
25,1,7:38.0,,S. Hawes enters the game for C. Zeller,4,14
26,1,7:27.0,P. Gasol makes 2-pt jump shot from 12 ft,,6,14
27,1,7:12.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by P. Gasol),6,14
28,1,7:10.0,,Offensive rebound by M. Kidd-Gilchrist,6,14
29,1,7:07.0,,N. Batum makes 3-pt jump shot from 24 ft (assist by K. Walker),6,17
30,1,7:07.0,Chicago full timeout,,6,17
31,1,7:07.0,D. McDermott enters the game for M. Dunleavy,,6,17
32,1,6:59.0,Personal foul by S. Hawes (drawn by P. Gasol),,6,17
33,1,6:48.0,P. Gasol misses 2-pt jump shot from 17 ft,,6,17
34,1,6:46.0,,Defensive rebound by K. Walker,6,17
35,1,6:37.0,,M. Kidd-Gilchrist misses 2-pt layup at rim,6,17
36,1,6:36.0,Defensive rebound by P. Gasol,,6,17
37,1,6:31.0,E. Moore misses 3-pt jump shot from 22 ft,,6,17
38,1,6:28.0,,Defensive rebound by N. Batum,6,17
39,1,6:11.0,,N. Batum misses 3-pt jump shot from 24 ft,6,17
40,1,6:10.0,Defensive rebound by T. Gibson,,6,17
41,1,6:04.0,E. Moore makes 3-pt jump shot from 25 ft (assist by K. Hinrich),,9,17
42,1,5:44.0,,S. Hawes makes 3-pt jump shot from 25 ft (assist by N. Batum),9,20
43,1,5:23.0,Offensive foul by T. Gibson (drawn by M. Williams),,9,20
44,1,5:23.0,Turnover by T. Gibson (offensive foul),,9,20
45,1,5:23.0,A. Brooks enters the game for K. Hinrich,,9,20
46,1,5:15.0,,Shooting foul by A. Brooks (drawn by K. Walker),9,20
47,1,5:15.0,,K. Walker makes free throw 1 of 2,9,21
48,1,5:15.0,,K. Walker misses free throw 2 of 2,9,21
49,1,5:14.0,Defensive rebound by T. Gibson,,9,21
50,1,4:57.0,T. Gibson makes 2-pt layup from 1 ft (assist by P. Gasol),,11,21
51,1,4:36.0,,M. Kidd-Gilchrist makes 2-pt layup from 2 ft,11,23
52,1,4:21.0,Turnover by E. Moore (bad pass; steal by N. Batum),,11,23
53,1,4:17.0,,Shooting foul by D. McDermott (drawn by M. Kidd-Gilchrist),11,23
54,1,4:17.0,,M. Kidd-Gilchrist makes free throw 1 of 2,11,24
55,1,4:17.0,B. Portis enters the game for T. Gibson,,11,24
56,1,4:17.0,,F. Kaminsky enters the game for M. Williams,11,24
57,1,4:17.0,,M. Kidd-Gilchrist misses free throw 2 of 2,11,24
58,1,4:16.0,Defensive rebound by B. Portis,,11,24
59,1,4:05.0,E. Moore makes 2-pt jump shot from 9 ft (assist by A. Brooks),,13,24
60,1,3:52.0,,K. Walker misses 2-pt jump shot from 18 ft,13,24
61,1,3:51.0,Defensive rebound by B. Portis,,13,24
62,1,3:43.0,A. Brooks misses 2-pt jump shot from 8 ft,,13,24
63,1,3:41.0,,Defensive rebound by M. Kidd-Gilchrist,13,24
64,1,3:31.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by N. Batum),13,26
65,1,3:15.0,A. Brooks makes 2-pt layup from 1 ft,,15,26
66,1,3:07.0,,Charlotte full timeout,15,26
67,1,3:07.0,,J. Lamb enters the game for M. Kidd-Gilchrist,15,26
68,1,3:07.0,,J. Lin enters the game for N. Batum,15,26
69,1,2:49.0,,J. Lin misses 3-pt jump shot from 24 ft,15,26
70,1,2:48.0,Defensive rebound by P. Gasol,,15,26
71,1,2:35.0,D. McDermott misses 3-pt jump shot from 22 ft,,15,26
72,1,2:34.0,,Defensive rebound by J. Lin,15,26
73,1,2:20.0,,S. Hawes makes 2-pt jump shot from 16 ft,15,28
74,1,2:06.0,D. McDermott misses 2-pt jump shot from 17 ft,,15,28
75,1,2:05.0,,Defensive rebound by F. Kaminsky,15,28
76,1,1:53.0,,S. Hawes makes 2-pt jump shot from 15 ft (assist by J. Lamb),15,30
77,1,1:39.0,A. Brooks misses 2-pt jump shot from 18 ft,,15,30
78,1,1:39.0,,Defensive rebound by Team,15,30
79,1,1:39.0,Loose ball foul by B. Portis (drawn by J. Lin),,15,30
80,1,1:29.0,,J. Lin misses 2-pt layup from 1 ft (block by P. Gasol),15,30
81,1,1:26.0,Defensive rebound by D. McDermott,,15,30
82,1,1:21.0,A. Brooks misses 3-pt jump shot from 27 ft,,15,30
83,1,1:20.0,,Defensive rebound by K. Walker,15,30
84,1,1:11.0,,J. Lamb misses 3-pt jump shot from 25 ft,15,30
85,1,1:10.0,,Offensive rebound by S. Hawes,15,30
86,1,1:05.0,,S. Hawes misses 2-pt layup at rim,15,30
87,1,1:04.0,Defensive rebound by P. Gasol,,15,30
88,1,1:00.0,E. Moore makes 2-pt jump shot from 20 ft (assist by A. Brooks),,17,30
89,1,0:47.0,,K. Walker misses 3-pt jump shot from 25 ft,17,30
90,1,0:46.0,,Offensive rebound by Team,17,30
91,1,0:46.0,Loose ball foul by B. Portis (drawn by F. Kaminsky),,17,30
92,1,0:46.0,,F. Kaminsky makes free throw 1 of 2,17,31
93,1,0:46.0,,F. Kaminsky makes free throw 2 of 2,17,32
94,1,0:37.0,P. Gasol makes 3-pt jump shot from 24 ft (assist by A. Brooks),,20,32
95,1,0:29.0,,K. Walker makes 3-pt jump shot from 24 ft,20,35
96,1,0:08.0,Turnover by E. Moore (lost ball; steal by K. Walker),,20,35
97,1,0:01.0,,J. Lamb makes 3-pt jump shot from 22 ft (assist by K. Walker),20,38
98,2,11:47.0,C. Bairstow misses 2-pt jump shot from 17 ft,,20,38
99,2,11:45.0,,Defensive rebound by J. Lin,20,38
100,2,11:32.0,,Shooting foul by D. McDermott (drawn by J. Lamb),20,38
101,2,11:32.0,,J. Lamb makes free throw 1 of 2,20,39
102,2,11:32.0,,J. Lamb makes free throw 2 of 2,20,40
103,2,11:19.0,A. Brooks misses 2-pt layup from 1 ft,,20,40
104,2,11:17.0,Offensive rebound by B. Portis,,20,40
105,2,11:17.0,B. Portis misses 2-pt layup at rim,,20,40
106,2,11:15.0,,Defensive rebound by S. Hawes,20,40
107,2,11:06.0,,S. Hawes misses 3-pt jump shot from 25 ft,20,40
108,2,11:05.0,Defensive rebound by D. McDermott,,20,40
109,2,10:44.0,Shooting foul by F. Kaminsky (drawn by T. Snell),,20,40
110,2,10:44.0,T. Snell makes free throw 1 of 2,,21,40
111,2,10:44.0,T. Snell misses free throw 2 of 2,,21,40
112,2,10:41.0,,Defensive rebound by S. Hawes,21,40
113,2,10:22.0,,F. Kaminsky misses 3-pt jump shot from 24 ft,21,40
114,2,10:21.0,Defensive rebound by Team,,21,40
115,2,10:06.0,B. Portis misses 2-pt jump shot from 20 ft,,21,40
116,2,10:05.0,,Defensive rebound by N. Batum,21,40
117,2,9:48.0,,S. Hawes misses 2-pt layup from 1 ft (block by C. Bairstow),21,40
118,2,9:46.0,Defensive rebound by A. Brooks,,21,40
119,2,9:42.0,D. McDermott misses 3-pt jump shot from 24 ft,,21,40
120,2,9:40.0,Offensive rebound by B. Portis,,21,40
121,2,9:40.0,B. Portis misses 2-pt layup at rim,,21,40
122,2,9:38.0,,Defensive rebound by S. Hawes,21,40
123,2,9:30.0,,J. Lin misses 3-pt jump shot from 25 ft,21,40
124,2,9:29.0,Defensive rebound by C. Bairstow,,21,40
125,2,9:21.0,A. Brooks misses 2-pt jump shot from 20 ft,,21,40
126,2,9:19.0,,Defensive rebound by F. Kaminsky,21,40
127,2,9:11.0,,J. Lamb misses 2-pt jump shot from 3 ft (block by B. Portis),21,40
128,2,9:09.0,Defensive rebound by T. Snell,,21,40
129,2,8:56.0,A. Brooks misses 2-pt layup from 1 ft,,21,40
130,2,8:55.0,,Defensive rebound by S. Hawes,21,40
131,2,8:50.0,,N. Batum makes 2-pt layup at rim (assist by J. Lin),21,42
132,2,8:50.0,Chicago full timeout,,21,42
133,2,8:50.0,T. Gibson enters the game for A. Brooks,,21,42
134,2,8:50.0,K. Hinrich enters the game for C. Bairstow,,21,42
135,2,8:37.0,Shooting foul by S. Hawes (drawn by B. Portis),,21,42
136,2,8:37.0,B. Portis misses free throw 1 of 2,,21,42
137,2,8:37.0,Offensive rebound by Team,,21,42
138,2,8:37.0,B. Portis makes free throw 2 of 2,,22,42
139,2,8:12.0,,J. Lin misses 2-pt jump shot from 20 ft,22,42
140,2,8:10.0,Defensive rebound by T. Gibson,,22,42
141,2,8:02.0,T. Snell misses 3-pt jump shot from 25 ft,,22,42
142,2,7:59.0,,Defensive rebound by N. Batum,22,42
143,2,7:54.0,,J. Lin makes 2-pt layup from 1 ft (assist by N. Batum),22,44
144,2,7:34.0,T. Gibson makes 2-pt jump shot from 14 ft (assist by T. Snell),,24,44
145,2,7:17.0,,F. Kaminsky misses 2-pt layup from 2 ft,24,44
146,2,7:16.0,Defensive rebound by K. Hinrich,,24,44
147,2,7:07.0,Turnover by K. Hinrich (bad pass; steal by N. Batum),,24,44
148,2,7:04.0,,Shooting foul by D. McDermott (drawn by S. Hawes),24,44
149,2,7:04.0,,S. Hawes makes free throw 1 of 2,24,45
150,2,7:04.0,M. Dunleavy enters the game for D. McDermott,,24,45
151,2,7:04.0,P. Gasol enters the game for B. Portis,,24,45
152,2,7:04.0,,M. Williams enters the game for F. Kaminsky,24,45
153,2,7:04.0,,S. Hawes makes free throw 2 of 2,24,46
154,2,6:46.0,K. Hinrich misses 3-pt jump shot from 25 ft,,24,46
155,2,6:45.0,,Defensive rebound by S. Hawes,24,46
156,2,6:34.0,,J. Lin misses 3-pt jump shot from 25 ft,24,46
157,2,6:32.0,Defensive rebound by K. Hinrich,,24,46
158,2,6:22.0,M. Dunleavy makes 3-pt jump shot from 25 ft (assist by P. Gasol),,27,46
159,2,6:00.0,,N. Batum makes 2-pt jump shot from 14 ft,27,48
160,2,5:44.0,T. Gibson misses 2-pt jump shot from 6 ft,,27,48
161,2,5:44.0,Offensive rebound by T. Gibson,,27,48
162,2,5:44.0,Shooting foul by J. Lamb (drawn by T. Gibson),,27,48
163,2,5:44.0,Official timeout,,27,48
164,2,5:44.0,,C. Zeller enters the game for S. Hawes,27,48
165,2,5:44.0,T. Gibson makes free throw 1 of 2,,28,48
166,2,5:44.0,T. Gibson misses free throw 2 of 2,,28,48
167,2,5:42.0,,Defensive rebound by J. Lamb,28,48
168,2,5:27.0,,J. Lamb misses 3-pt jump shot from 25 ft,28,48
169,2,5:25.0,Defensive rebound by T. Snell,,28,48
170,2,5:16.0,P. Gasol misses 2-pt jump shot from 19 ft,,28,48
171,2,5:16.0,Offensive rebound by Team,,28,48
172,2,5:16.0,,Loose ball foul by M. Williams (drawn by T. Gibson),28,48
173,2,5:16.0,E. Moore enters the game for T. Snell,,28,48
174,2,5:16.0,,K. Walker enters the game for J. Lin,28,48
175,2,5:16.0,,M. Kidd-Gilchrist enters the game for J. Lamb,28,48
176,2,5:03.0,T. Gibson makes 2-pt dunk at rim (assist by K. Hinrich),,30,48
177,2,4:42.0,,K. Walker misses 2-pt jump shot from 18 ft,30,48
178,2,4:41.0,Defensive rebound by E. Moore,,30,48
179,2,4:31.0,E. Moore makes 3-pt jump shot from 23 ft (assist by K. Hinrich),,33,48
180,2,4:31.0,,Charlotte full timeout,33,48
181,2,4:13.0,,N. Batum makes 2-pt jump shot from 15 ft,33,50
182,2,3:55.0,K. Hinrich makes 3-pt jump shot from 24 ft,,36,50
183,2,3:29.0,,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,36,50
184,2,3:29.0,,Offensive rebound by C. Zeller,36,50
185,2,3:29.0,,Shooting foul by E. Moore (drawn by C. Zeller),36,50
186,2,3:29.0,,C. Zeller misses free throw 1 of 2,36,50
187,2,3:29.0,,Offensive rebound by Team,36,50
188,2,3:29.0,,C. Zeller misses free throw 2 of 2,36,50
189,2,3:27.0,Defensive rebound by P. Gasol,,36,50
190,2,3:17.0,Turnover by K. Hinrich (lost ball; steal by K. Walker),,36,50
191,2,3:17.0,,Clear path foul by K. Hinrich,36,50
192,2,3:17.0,,K. Walker misses clear path free throw 1 of 2,36,50
193,2,3:17.0,,Offensive rebound by Team,36,50
194,2,3:17.0,,K. Walker makes clear path free throw 2 of 2,36,51
195,2,3:04.0,,Shooting foul by K. Hinrich (drawn by K. Walker),36,51
196,2,3:04.0,,K. Walker makes free throw 1 of 3,36,52
197,2,3:04.0,,K. Walker makes free throw 2 of 3,36,53
198,2,3:04.0,,K. Walker makes free throw 3 of 3,36,54
199,2,2:47.0,P. Gasol makes 2-pt layup from 1 ft (assist by K. Hinrich),,38,54
200,2,2:47.0,Shooting foul by C. Zeller (drawn by P. Gasol),,38,54
201,2,2:47.0,,S. Hawes enters the game for C. Zeller,38,54
202,2,2:47.0,P. Gasol makes free throw 1 of 1,,39,54
