,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SAN ANTONIO_ACTION,PHOENIX_SCORE,SAN ANTONIO_SCORE
0,1,11:42.0,D. Booker misses 2-pt layup from 1 ft,,0,0
1,1,11:41.0,,Defensive rebound by D. West,0,0
2,1,11:30.0,,Shooting foul by A. Len (drawn by L. Aldridge),0,0
3,1,11:30.0,,L. Aldridge misses free throw 1 of 2,0,0
4,1,11:30.0,,Offensive rebound by Team,0,0
5,1,11:30.0,,L. Aldridge misses free throw 2 of 2,0,0
6,1,11:30.0,Defensive rebound by J. Leuer,,0,0
7,1,11:19.0,Personal foul by T. Parker (drawn by B. Knight),,0,0
8,1,11:10.0,D. Booker makes 2-pt jump shot from 13 ft,,2,0
9,1,10:47.0,,T. Parker makes 2-pt layup at rim,2,2
10,1,10:47.0,,Shooting foul by A. Len (drawn by T. Parker),2,2
11,1,10:47.0,T. Chandler enters the game for A. Len,,2,2
12,1,10:47.0,,T. Parker misses free throw 1 of 1,2,2
13,1,10:45.0,Defensive rebound by J. Leuer,,2,2
14,1,10:30.0,J. Leuer misses 2-pt jump shot from 15 ft,,2,2
15,1,10:29.0,,Defensive rebound by T. Parker,2,2
16,1,10:21.0,,D. West misses 2-pt jump shot from 17 ft,2,2
17,1,10:20.0,Defensive rebound by D. Booker,,2,2
18,1,10:11.0,Turnover by J. Leuer (bad pass; steal by K. Leonard),,2,2
19,1,9:48.0,,D. Green misses 2-pt jump shot from 15 ft,2,2
20,1,9:45.0,Defensive rebound by T. Chandler,,2,2
21,1,9:40.0,B. Knight misses 2-pt jump shot from 19 ft,,2,2
22,1,9:37.0,,Defensive rebound by D. Green,2,2
23,1,9:27.0,,D. West misses 2-pt jump shot from 9 ft (block by T. Chandler),2,2
24,1,9:25.0,Defensive rebound by J. Leuer,,2,2
25,1,9:18.0,Offensive foul by J. Leuer (drawn by K. Leonard),,2,2
26,1,9:18.0,Turnover by J. Leuer (offensive foul),,2,2
27,1,9:05.0,,L. Aldridge makes 2-pt jump shot from 17 ft (assist by T. Parker),2,4
28,1,8:52.0,Turnover by B. Knight (bad pass; steal by T. Parker),,2,4
29,1,8:41.0,,Personal foul by J. Leuer (drawn by L. Aldridge),2,4
30,1,8:41.0,M. Morris enters the game for J. Leuer,,2,4
31,1,8:27.0,,L. Aldridge misses 2-pt jump shot from 14 ft,2,4
32,1,8:26.0,Defensive rebound by D. Booker,,2,4
33,1,8:24.0,Turnover by D. Booker (bad pass; steal by T. Parker),,2,4
34,1,8:04.0,,T. Parker makes 2-pt jump shot from 11 ft,2,6
35,1,8:04.0,Phoenix full timeout,,2,6
36,1,7:46.0,D. Booker misses 2-pt jump shot from 16 ft,,2,6
37,1,7:45.0,,Defensive rebound by D. West,2,6
38,1,7:36.0,,T. Parker misses 2-pt jump shot from 13 ft,2,6
39,1,7:33.0,Defensive rebound by T. Chandler,,2,6
40,1,7:25.0,B. Knight makes 2-pt jump shot from 9 ft (assist by M. Morris),,4,6
41,1,7:09.0,,Shooting foul by M. Morris (drawn by L. Aldridge),4,6
42,1,7:09.0,,L. Aldridge makes free throw 1 of 2,4,7
43,1,7:09.0,S. Weems enters the game for D. Booker,,4,7
44,1,7:09.0,,L. Aldridge makes free throw 2 of 2,4,8
45,1,6:53.0,M. Morris misses 3-pt jump shot from 24 ft,,4,8
46,1,6:52.0,,Defensive rebound by D. West,4,8
47,1,6:38.0,,L. Aldridge misses 2-pt jump shot from 6 ft (block by T. Chandler),4,8
48,1,6:37.0,Defensive rebound by S. Weems,,4,8
49,1,6:28.0,P. Tucker misses 3-pt jump shot from 24 ft,,4,8
50,1,6:26.0,,Defensive rebound by L. Aldridge,4,8
51,1,6:16.0,,D. West makes 2-pt jump shot from 13 ft (assist by T. Parker),4,10
52,1,5:51.0,T. Chandler makes 2-pt dunk at rim (assist by M. Morris),,6,10
53,1,5:34.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by T. Parker),6,12
54,1,5:18.0,Turnover by M. Morris (bad pass; steal by K. Leonard),,6,12
