,QUARTER,TIME_REMAINING,DENVER_ACTION,TORONTO_ACTION,DENVER_SCORE,TORONTO_SCORE
0,1,11:34.0,,L. Scola misses 2-pt jump shot from 11 ft,0,0
1,1,11:34.0,Defensive rebound by D. Gallinari,,0,0
2,1,11:14.0,J. Lauvergne makes 2-pt hook shot from 6 ft (assist by D. Arthur),,2,0
3,1,10:59.0,,K. Lowry misses 3-pt jump shot from 25 ft,2,0
4,1,10:59.0,Defensive rebound by J. Lauvergne,,2,0
5,1,10:47.0,R. Foye misses 2-pt jump shot from 20 ft,,2,0
6,1,10:46.0,,Defensive rebound by K. Lowry,2,0
7,1,10:41.0,,L. Scola makes 2-pt layup at rim (assist by K. Lowry),2,2
8,1,10:19.0,D. Gallinari makes 2-pt jump shot from 17 ft,,4,2
9,1,10:13.0,,Turnover by K. Lowry (bad pass; steal by D. Arthur),4,2
10,1,9:51.0,D. Arthur makes 3-pt jump shot from 24 ft (assist by E. Mudiay),,7,2
11,1,9:31.0,,B. Biyombo makes 2-pt dunk at rim (assist by D. DeRozan),7,4
12,1,9:12.0,J. Lauvergne makes 2-pt hook shot from 9 ft (assist by R. Foye),,9,4
13,1,9:00.0,,D. DeRozan misses 2-pt jump shot from 18 ft,9,4
14,1,8:59.0,Defensive rebound by J. Lauvergne,,9,4
15,1,8:50.0,E. Mudiay misses 2-pt jump shot from 10 ft,,9,4
16,1,8:50.0,,Defensive rebound by B. Biyombo,9,4
17,1,8:43.0,,Turnover by K. Lowry (bad pass; steal by D. Arthur),9,4
18,1,8:35.0,D. Arthur makes 2-pt jump shot from 19 ft (assist by D. Gallinari),,11,4
19,1,8:25.0,,Toronto full timeout,11,4
20,1,8:16.0,,K. Lowry misses 2-pt jump shot from 4 ft,11,4
21,1,8:15.0,Defensive rebound by J. Lauvergne,,11,4
22,1,8:07.0,D. Arthur makes 2-pt jump shot from 11 ft (assist by E. Mudiay),,13,4
23,1,7:49.0,,L. Scola misses 3-pt jump shot from 24 ft,13,4
24,1,7:49.0,,Offensive rebound by Team,13,4
25,1,7:39.0,,D. Carroll misses 2-pt jump shot from 11 ft,13,4
26,1,7:38.0,,Offensive rebound by B. Biyombo,13,4
27,1,7:36.0,,B. Biyombo misses 2-pt layup at rim,13,4
28,1,7:35.0,Defensive rebound by D. Arthur,,13,4
29,1,7:31.0,J. Lauvergne makes 2-pt layup from 3 ft (assist by R. Foye),,15,4
30,1,7:13.0,,D. DeRozan misses 2-pt layup from 2 ft,15,4
31,1,7:13.0,Defensive rebound by D. Arthur,,15,4
32,1,7:03.0,,Violation by D. DeRozan (kicked ball),15,4
33,1,6:54.0,Personal foul by D. Carroll (drawn by D. Gallinari),,15,4
34,1,6:54.0,,P. Patterson enters the game for L. Scola,15,4
35,1,6:41.0,D. Arthur misses 2-pt dunk from 1 ft (block by B. Biyombo),,15,4
36,1,6:40.0,,Defensive rebound by K. Lowry,15,4
37,1,6:40.0,,Personal foul by D. Gallinari (drawn by K. Lowry),15,4
38,1,6:29.0,,Shooting foul by E. Mudiay (drawn by D. DeRozan),15,4
39,1,6:29.0,,D. DeRozan makes free throw 1 of 2,15,5
40,1,6:29.0,,D. DeRozan makes free throw 2 of 2,15,6
41,1,6:13.0,D. Arthur misses 2-pt jump shot from 17 ft,,15,6
42,1,6:12.0,,Defensive rebound by D. Carroll,15,6
