,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BOSTON_ACTION,WASHINGTON_SCORE,BOSTON_SCORE
0,1,11:47.0,B. Beal makes 2-pt layup at rim (assist by J. Wall),,2,0
1,1,11:32.0,,J. Crowder misses 2-pt jump shot from 3 ft,2,0
2,1,11:31.0,,Offensive rebound by A. Johnson,2,0
3,1,11:31.0,,A. Johnson makes 2-pt layup at rim,2,2
4,1,11:05.0,O. Porter misses 3-pt jump shot from 25 ft,,2,2
5,1,11:04.0,Offensive rebound by K. Humphries,,2,2
6,1,10:56.0,J. Wall makes 2-pt layup at rim,,4,2
7,1,10:39.0,,A. Bradley misses 3-pt jump shot from 25 ft,4,2
8,1,10:38.0,Defensive rebound by M. Gortat,,4,2
9,1,10:32.0,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),,6,2
10,1,10:32.0,,Boston full timeout,6,2
11,1,10:19.0,,Shooting foul by K. Humphries (drawn by A. Johnson),6,2
12,1,10:19.0,,A. Johnson makes free throw 1 of 2,6,3
13,1,10:19.0,,A. Johnson misses free throw 2 of 2,6,3
14,1,10:19.0,Defensive rebound by K. Humphries,,6,3
15,1,10:02.0,Turnover by B. Beal (bad pass; steal by I. Thomas),,6,3
16,1,9:57.0,,I. Thomas misses 2-pt layup from 1 ft (block by J. Wall),6,3
17,1,9:56.0,Defensive rebound by B. Beal,,6,3
18,1,9:49.0,O. Porter makes 2-pt jump shot from 17 ft (assist by B. Beal),,8,3
19,1,9:37.0,,J. Crowder makes 2-pt layup from 1 ft,8,5
20,1,9:29.0,M. Gortat makes 2-pt layup from 1 ft (assist by O. Porter),,10,5
21,1,9:21.0,,Personal foul by J. Wall (drawn by I. Thomas),10,5
22,1,9:15.0,,J. Sullinger makes 2-pt jump shot from 22 ft (assist by I. Thomas),10,7
23,1,8:56.0,Personal foul by A. Johnson (drawn by K. Humphries),,10,7
24,1,8:47.0,O. Porter misses 2-pt layup from 2 ft (block by J. Crowder),,10,7
25,1,8:45.0,,Defensive rebound by A. Johnson,10,7
26,1,8:35.0,,J. Sullinger makes 2-pt layup from 1 ft,10,9
27,1,8:11.0,J. Wall misses 3-pt jump shot from 27 ft,,10,9
28,1,8:11.0,,Defensive rebound by J. Sullinger,10,9
29,1,8:05.0,,A. Johnson makes 2-pt layup at rim (assist by J. Crowder),10,11
30,1,7:59.0,K. Humphries misses 3-pt jump shot from 23 ft,,10,11
31,1,7:58.0,,Defensive rebound by I. Thomas,10,11
32,1,7:45.0,,I. Thomas misses 2-pt jump shot from 4 ft,10,11
33,1,7:44.0,Defensive rebound by K. Humphries,,10,11
34,1,7:36.0,J. Wall misses 3-pt jump shot from 24 ft,,10,11
35,1,7:35.0,,Defensive rebound by J. Crowder,10,11
36,1,7:22.0,,A. Johnson misses 3-pt jump shot from 25 ft,10,11
37,1,7:21.0,,Offensive rebound by J. Sullinger,10,11
38,1,7:15.0,,J. Sullinger makes 2-pt jump shot from 13 ft,10,13
39,1,7:06.0,B. Beal makes 2-pt layup at rim (assist by M. Gortat),,12,13
40,1,6:46.0,,Turnover by J. Sullinger (lost ball),12,13
41,1,6:37.0,B. Beal misses 2-pt jump shot from 18 ft,,12,13
42,1,6:37.0,,Defensive rebound by J. Crowder,12,13
43,1,6:26.0,,J. Crowder misses 3-pt jump shot from 25 ft,12,13
44,1,6:25.0,Defensive rebound by M. Gortat,,12,13
45,1,6:16.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,14,13
46,1,6:16.0,Shooting foul by A. Johnson (drawn by M. Gortat),,14,13
47,1,6:16.0,M. Gortat misses free throw 1 of 1,,14,13
48,1,6:15.0,,Defensive rebound by A. Johnson,14,13
49,1,5:55.0,,J. Sullinger makes 2-pt jump shot from 22 ft (assist by I. Thomas),14,15
50,1,5:47.0,Turnover by J. Wall (bad pass; steal by J. Sullinger),,14,15
51,1,5:44.0,,Shooting foul by B. Beal (drawn by I. Thomas),14,15
52,1,5:44.0,,I. Thomas makes free throw 1 of 2,14,16
53,1,5:44.0,,K. Olynyk enters the game for A. Johnson,14,16
54,1,5:44.0,,I. Thomas misses free throw 2 of 2,14,16
