,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BOSTON_ACTION,PHILADELPHIA_SCORE,BOSTON_SCORE
0,1,11:43.0,,A. Bradley makes 2-pt jump shot from 10 ft (assist by J. Sullinger),0,2
1,1,11:17.0,R. Covington misses 3-pt jump shot from 25 ft,,0,2
2,1,11:16.0,,Defensive rebound by J. Sullinger,0,2
3,1,11:08.0,,A. Bradley misses 2-pt jump shot from 19 ft,0,2
4,1,11:07.0,,Offensive rebound by A. Johnson,0,2
5,1,11:07.0,,A. Johnson makes 2-pt layup at rim,0,4
6,1,10:43.0,J. Okafor misses 2-pt layup from 1 ft,,0,4
7,1,10:42.0,,Defensive rebound by J. Sullinger,0,4
8,1,10:36.0,,I. Thomas misses 2-pt jump shot from 9 ft,0,4
9,1,10:35.0,Defensive rebound by R. Covington,,0,4
10,1,10:26.0,N. Noel misses 2-pt jump shot from 19 ft,,0,4
11,1,10:25.0,,Defensive rebound by J. Crowder,0,4
12,1,10:13.0,,J. Sullinger makes 3-pt jump shot from 24 ft (assist by I. Thomas),0,7
13,1,9:50.0,Shooting foul by J. Sullinger (drawn by J. Okafor),,0,7
14,1,9:50.0,J. Okafor makes free throw 1 of 2,,1,7
15,1,9:50.0,J. Okafor makes free throw 2 of 2,,2,7
16,1,9:34.0,,J. Sullinger makes 2-pt layup from 1 ft (assist by I. Thomas),2,9
17,1,9:08.0,I. Canaan misses 3-pt jump shot from 25 ft,,2,9
18,1,9:06.0,,Defensive rebound by I. Thomas,2,9
19,1,8:57.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by I. Thomas),2,12
20,1,8:56.0,Philadelphia full timeout,,2,12
21,1,8:40.0,J. Okafor makes 2-pt hook shot from 9 ft,,4,12
22,1,8:26.0,,J. Crowder misses 2-pt layup from 2 ft (block by R. Covington),4,12
23,1,8:26.0,,Offensive rebound by Team,4,12
24,1,8:19.0,,J. Sullinger misses 2-pt layup from 2 ft (block by J. Okafor),4,12
25,1,8:17.0,Defensive rebound by T. McConnell,,4,12
26,1,8:07.0,R. Covington makes 3-pt jump shot from 23 ft (assist by J. Okafor),,7,12
27,1,7:51.0,,A. Bradley makes 2-pt jump shot from 21 ft (assist by J. Sullinger),7,14
28,1,7:42.0,T. McConnell makes 2-pt layup from 2 ft,,9,14
29,1,7:32.0,,J. Sullinger misses 3-pt jump shot from 24 ft,9,14
30,1,7:31.0,Defensive rebound by R. Covington,,9,14
31,1,7:23.0,J. Okafor misses 2-pt jump shot from 13 ft,,9,14
32,1,7:22.0,,Defensive rebound by A. Johnson,9,14
33,1,7:14.0,,I. Thomas misses 2-pt layup from 1 ft (block by T. McConnell),9,14
34,1,7:13.0,Defensive rebound by R. Covington,,9,14
