,QUARTER,TIME_REMAINING,HOUSTON_ACTION,NEW YORK_ACTION,HOUSTON_SCORE,NEW YORK_SCORE
0,1,11:40.0,D. Howard makes 2-pt hook shot from 6 ft,,2,0
1,1,11:23.0,,K. Porziņģis misses 2-pt jump shot from 8 ft,2,0
2,1,11:22.0,Defensive rebound by P. Beverley,,2,0
3,1,11:12.0,J. Harden misses 3-pt jump shot from 24 ft,,2,0
4,1,11:12.0,,Defensive rebound by R. Lopez,2,0
5,1,10:59.0,,Turnover by A. Afflalo (bad pass; steal by J. Harden),2,0
6,1,10:54.0,T. Ariza makes 2-pt dunk at rim (assist by J. Harden),,4,0
7,1,10:32.0,,L. Thomas makes 3-pt jump shot from 22 ft (assist by K. Porziņģis),4,3
8,1,10:10.0,C. Capela misses 2-pt layup from 2 ft (block by K. Porziņģis),,4,3
9,1,10:09.0,,Defensive rebound by J. Calderón,4,3
10,1,10:03.0,,J. Calderón misses 2-pt jump shot from 16 ft,4,3
11,1,10:03.0,,Offensive rebound by K. Porziņģis,4,3
12,1,9:45.0,,A. Afflalo makes 2-pt jump shot from 19 ft (assist by R. Lopez),4,5
13,1,9:40.0,Personal foul by R. Lopez (drawn by P. Beverley),,4,5
14,1,9:28.0,J. Harden misses 2-pt jump shot from 20 ft,,4,5
15,1,9:28.0,,Defensive rebound by K. Porziņģis,4,5
16,1,9:18.0,,J. Calderón misses 2-pt jump shot from 19 ft,4,5
17,1,9:17.0,,Offensive rebound by Team,4,5
18,1,9:17.0,Loose ball foul by D. Howard (drawn by K. Porziņģis),,4,5
19,1,9:10.0,,Shooting foul by T. Ariza (drawn by A. Afflalo),4,5
20,1,9:10.0,,A. Afflalo makes free throw 1 of 2,4,6
21,1,9:10.0,,A. Afflalo misses free throw 2 of 2,4,6
22,1,9:09.0,Defensive rebound by C. Capela,,4,6
23,1,8:54.0,Shooting foul by R. Lopez (drawn by C. Capela),,4,6
24,1,8:54.0,C. Capela makes 2-pt layup from 2 ft (assist by D. Howard),,6,6
25,1,8:54.0,,K. Séraphin enters the game for R. Lopez,6,6
26,1,8:54.0,C. Capela misses free throw 1 of 1,,6,6
27,1,8:53.0,Offensive rebound by T. Ariza,,6,6
28,1,8:53.0,T. Ariza makes 2-pt dunk at rim,,8,6
29,1,8:33.0,,K. Porziņģis makes 2-pt jump shot from 10 ft,8,8
30,1,8:19.0,Personal foul by K. Porziņģis (drawn by C. Capela),,8,8
31,1,8:19.0,T. Jones enters the game for D. Howard,,8,8
32,1,8:09.0,J. Harden makes 2-pt layup from 1 ft,,10,8
33,1,7:54.0,,K. Séraphin misses 2-pt jump shot from 14 ft,10,8
34,1,7:53.0,Defensive rebound by C. Capela,,10,8
35,1,7:42.0,P. Beverley misses 3-pt jump shot from 23 ft,,10,8
36,1,7:42.0,,Defensive rebound by K. Porziņģis,10,8
37,1,7:32.0,,A. Afflalo misses 3-pt jump shot from 24 ft,10,8
38,1,7:30.0,Defensive rebound by T. Jones,,10,8
39,1,7:23.0,J. Harden misses 3-pt jump shot from 26 ft,,10,8
40,1,7:23.0,,Defensive rebound by A. Afflalo,10,8
41,1,7:10.0,,K. Séraphin misses 2-pt jump shot from 18 ft,10,8
42,1,7:10.0,Defensive rebound by C. Capela,,10,8
43,1,6:56.0,T. Jones misses 2-pt layup from 1 ft,,10,8
44,1,6:55.0,,Defensive rebound by K. Séraphin,10,8
45,1,6:33.0,,K. Séraphin makes 2-pt jump shot from 8 ft,10,10
46,1,6:07.0,P. Beverley misses 3-pt jump shot from 25 ft,,10,10
47,1,6:07.0,,Defensive rebound by K. Porziņģis,10,10
48,1,5:52.0,,K. Porziņģis misses 2-pt jump shot from 13 ft,10,10
49,1,5:51.0,Defensive rebound by C. Capela,,10,10
50,1,5:41.0,J. Harden makes 2-pt jump shot from 14 ft,,12,10
51,1,5:35.0,,New York full timeout,12,10
52,1,5:35.0,J. Terry enters the game for P. Beverley,,12,10
53,1,5:17.0,,K. Séraphin misses 2-pt hook shot from 5 ft,12,10
54,1,5:17.0,Defensive rebound by T. Ariza,,12,10
55,1,4:57.0,Personal foul by L. Thomas (drawn by J. Harden),,12,10
56,1,4:50.0,Turnover by J. Terry (traveling),,12,10
57,1,4:44.0,,Shooting foul by J. Terry (drawn by J. Calderón),12,10
58,1,4:44.0,,J. Calderón makes free throw 1 of 2,12,11
59,1,4:44.0,,J. Calderón makes free throw 2 of 2,12,12
60,1,4:28.0,T. Ariza misses 2-pt layup from 1 ft,,12,12
61,1,4:27.0,Offensive rebound by C. Capela,,12,12
62,1,4:27.0,C. Capela misses 2-pt layup at rim,,12,12
63,1,4:26.0,,Defensive rebound by A. Afflalo,12,12
64,1,4:14.0,,A. Afflalo makes 2-pt jump shot from 19 ft (assist by J. Calderón),12,14
65,1,3:51.0,J. Terry makes 3-pt jump shot from 25 ft (assist by T. Jones),,15,14
66,1,3:37.0,,A. Afflalo makes 3-pt jump shot from 24 ft (assist by J. Calderón),15,17
67,1,3:22.0,Shooting foul by K. Séraphin (drawn by C. Capela),,15,17
68,1,3:22.0,C. Capela makes free throw 1 of 2,,16,17
69,1,3:22.0,,D. Williams enters the game for K. Porziņģis,16,17
70,1,3:22.0,,L. Galloway enters the game for J. Calderón,16,17
71,1,3:22.0,K. McDaniels enters the game for T. Ariza,,16,17
72,1,3:22.0,C. Capela misses free throw 2 of 2,,16,17
73,1,3:21.0,,Defensive rebound by K. Séraphin,16,17
74,1,3:04.0,,L. Galloway makes 2-pt layup from 1 ft (assist by K. Séraphin),16,19
75,1,2:46.0,J. Harden misses 2-pt jump shot from 16 ft,,16,19
76,1,2:46.0,Offensive rebound by T. Jones,,16,19
77,1,2:45.0,T. Jones misses 2-pt layup at rim,,16,19
78,1,2:43.0,Offensive rebound by T. Jones,,16,19
79,1,2:42.0,T. Jones makes 2-pt layup from 1 ft,,18,19
80,1,2:24.0,,Shooting foul by K. McDaniels (drawn by A. Afflalo),18,19
81,1,2:24.0,Houston full timeout,,18,19
82,1,2:24.0,D. Howard enters the game for C. Capela,,18,19
83,1,2:24.0,M. Thornton enters the game for J. Harden,,18,19
84,1,2:24.0,,A. Afflalo makes free throw 1 of 2,18,20
85,1,2:24.0,,C. Early enters the game for L. Thomas,18,20
86,1,2:24.0,,A. Afflalo makes free throw 2 of 2,18,21
87,1,2:05.0,D. Howard misses 2-pt layup at rim,,18,21
88,1,2:05.0,,Defensive rebound by A. Afflalo,18,21
89,1,1:54.0,,K. Séraphin makes 2-pt hook shot from 7 ft,18,23
90,1,1:38.0,D. Howard misses 2-pt layup from 1 ft (block by K. Séraphin),,18,23
91,1,1:37.0,,Defensive rebound by D. Williams,18,23
92,1,1:35.0,,J. Grant enters the game for A. Afflalo,18,23
93,1,1:27.0,,Turnover by L. Galloway (bad pass; steal by J. Terry),18,23
94,1,1:27.0,Personal take foul by D. Williams (drawn by J. Terry),,18,23
95,1,1:27.0,J. Terry misses free throw 1 of 2,,18,23
96,1,1:27.0,Offensive rebound by Team,,18,23
97,1,1:27.0,J. Terry makes free throw 2 of 2,,19,23
98,1,1:04.0,,D. Williams makes 2-pt jump shot from 16 ft,19,25
99,1,0:44.0,D. Howard makes 2-pt layup from 2 ft,,21,25
100,1,0:41.0,,Turnover by K. Séraphin (bad pass; steal by J. Terry),21,25
101,1,0:36.0,M. Thornton misses 3-pt jump shot from 25 ft,,21,25
102,1,0:35.0,Offensive rebound by K. McDaniels,,21,25
103,1,0:32.0,K. McDaniels misses 2-pt layup from 2 ft,,21,25
104,1,0:31.0,,Defensive rebound by Team,21,25
105,1,0:14.0,,L. Galloway misses 2-pt layup from 2 ft,21,25
