,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW YORK_ACTION,SACRAMENTO_SCORE,NEW YORK_SCORE
0,1,11:43.0,D. Cousins makes 2-pt hook shot from 3 ft,,2,0
1,1,11:25.0,,A. Afflalo misses 2-pt jump shot from 18 ft,2,0
2,1,11:24.0,,Offensive rebound by S. Vujačić,2,0
3,1,11:20.0,,R. Lopez makes 2-pt hook shot from 4 ft (assist by S. Vujačić),2,2
4,1,10:53.0,R. Rondo misses 3-pt jump shot from 22 ft,,2,2
5,1,10:52.0,,Defensive rebound by S. Vujačić,2,2
6,1,10:39.0,,R. Lopez misses 2-pt jump shot from 14 ft,2,2
7,1,10:38.0,Defensive rebound by R. Gay,,2,2
8,1,10:31.0,R. Gay misses 3-pt jump shot from 24 ft,,2,2
9,1,10:30.0,,Defensive rebound by K. Porziņģis,2,2
10,1,10:18.0,,R. Lopez makes 2-pt hook shot from 3 ft (assist by J. Calderón),2,4
11,1,9:58.0,D. Cousins misses 2-pt jump shot from 17 ft,,2,4
12,1,9:57.0,,Defensive rebound by K. Porziņģis,2,4
13,1,9:37.0,,A. Afflalo misses 3-pt jump shot from 25 ft,2,4
14,1,9:36.0,Defensive rebound by Team,,2,4
15,1,9:13.0,Q. Acy misses 3-pt jump shot from 25 ft,,2,4
16,1,9:12.0,,Defensive rebound by S. Vujačić,2,4
17,1,9:06.0,,Personal foul by Q. Acy,2,4
18,1,8:56.0,,Turnover by J. Calderón (lost ball; steal by R. Rondo),2,4
19,1,8:46.0,D. Cousins makes 3-pt jump shot from 24 ft (assist by D. Collison),,5,4
20,1,8:32.0,,Turnover by K. Porziņģis (bad pass; steal by D. Collison),5,4
21,1,8:28.0,D. Collison makes 2-pt layup from 1 ft,,7,4
22,1,8:13.0,,K. Porziņģis misses 3-pt jump shot from 26 ft,7,4
23,1,8:12.0,Defensive rebound by D. Cousins,,7,4
24,1,7:53.0,R. Gay misses 3-pt jump shot from 24 ft,,7,4
25,1,7:52.0,Offensive rebound by Team,,7,4
26,1,7:52.0,,Loose ball foul by A. Afflalo,7,4
27,1,7:36.0,D. Cousins misses 2-pt layup from 2 ft (block by R. Lopez),,7,4
28,1,7:35.0,,Defensive rebound by R. Lopez,7,4
29,1,7:31.0,,Personal block foul by D. Collison,7,4
30,1,7:22.0,,S. Vujačić misses 3-pt jump shot from 26 ft,7,4
31,1,7:21.0,Defensive rebound by D. Cousins,,7,4
32,1,7:10.0,D. Cousins misses 2-pt jump shot from 7 ft (block by K. Porziņģis),,7,4
33,1,7:09.0,Offensive rebound by D. Cousins,,7,4
34,1,7:00.0,D. Collison misses 2-pt jump shot from 19 ft,,7,4
35,1,6:59.0,,Defensive rebound by A. Afflalo,7,4
36,1,6:42.0,,Offensive foul by A. Afflalo (drawn by D. Cousins),7,4
37,1,6:42.0,,Turnover by A. Afflalo (offensive foul),7,4
38,1,6:42.0,,L. Galloway enters the game for A. Afflalo,7,4
39,1,6:29.0,Turnover by R. Rondo (lost ball; steal by J. Calderón),,7,4
40,1,6:24.0,,Turnover by S. Vujačić (bad pass; steal by Q. Acy),7,4
41,1,6:18.0,D. Collison makes 3-pt jump shot from 23 ft (assist by R. Rondo),,10,4
42,1,5:57.0,,R. Lopez misses 2-pt jump shot from 13 ft,10,4
43,1,5:56.0,Defensive rebound by D. Cousins,,10,4
44,1,5:49.0,Turnover by R. Rondo (bad pass),,10,4
45,1,5:49.0,,New York full timeout,10,4
46,1,5:35.0,,K. Porziņģis makes 2-pt jump shot from 19 ft (assist by S. Vujačić),10,6
47,1,5:21.0,Turnover by D. Cousins (bad pass),,10,6
48,1,5:06.0,,K. Porziņģis misses 2-pt jump shot from 18 ft,10,6
49,1,5:05.0,Defensive rebound by D. Cousins,,10,6
50,1,4:52.0,D. Cousins misses 2-pt layup from 2 ft (block by R. Lopez),,10,6
51,1,4:51.0,,Defensive rebound by R. Lopez,10,6
52,1,4:45.0,,J. Calderón misses 2-pt jump shot from 21 ft,10,6
53,1,4:44.0,,Offensive rebound by S. Vujačić,10,6
54,1,4:31.0,,K. Porziņģis misses 2-pt jump shot from 7 ft,10,6
55,1,4:30.0,Defensive rebound by R. Rondo,,10,6
56,1,4:24.0,R. Gay misses 2-pt layup from 1 ft (block by K. Porziņģis),,10,6
57,1,4:23.0,,Defensive rebound by R. Lopez,10,6
58,1,4:16.0,,S. Vujačić misses 3-pt jump shot from 25 ft,10,6
59,1,4:15.0,Defensive rebound by D. Cousins,,10,6
60,1,4:09.0,D. Collison makes 3-pt jump shot from 24 ft (assist by D. Cousins),,13,6
61,1,3:56.0,M. Belinelli enters the game for D. Collison,,13,6
62,1,3:56.0,O. Casspi enters the game for R. Gay,,13,6
63,1,3:56.0,,D. Williams enters the game for S. Vujačić,13,6
64,1,3:56.0,,J. Grant enters the game for J. Calderón,13,6
65,1,3:53.0,,L. Galloway misses 2-pt jump shot from 21 ft,13,6
66,1,3:52.0,Defensive rebound by Q. Acy,,13,6
67,1,3:37.0,O. Casspi makes 3-pt jump shot from 23 ft (assist by D. Cousins),,16,6
68,1,3:10.0,,L. Galloway makes 2-pt layup from 1 ft,16,8
69,1,3:07.0,Turnover by R. Rondo (bad pass),,16,8
70,1,2:56.0,,J. Grant misses 2-pt layup from 1 ft (block by D. Cousins),16,8
71,1,2:55.0,,Offensive rebound by Team,16,8
72,1,2:55.0,Sacramento full timeout,,16,8
73,1,2:55.0,K. Koufos enters the game for Q. Acy,,16,8
74,1,2:55.0,,K. O'Quinn enters the game for R. Lopez,16,8
75,1,2:48.0,,D. Williams misses 2-pt jump shot from 17 ft,16,8
76,1,2:47.0,Defensive rebound by R. Rondo,,16,8
77,1,2:34.0,Shooting foul by K. Porziņģis (drawn by M. Belinelli),,16,8
78,1,2:34.0,M. Belinelli makes free throw 1 of 2,,17,8
79,1,2:34.0,M. Belinelli makes free throw 2 of 2,,18,8
80,1,2:17.0,,K. Porziņģis misses 2-pt layup from 1 ft,18,8
81,1,2:16.0,Defensive rebound by O. Casspi,,18,8
82,1,2:06.0,Shooting foul by K. O'Quinn (drawn by O. Casspi),,18,8
83,1,2:06.0,O. Casspi makes free throw 1 of 2,,19,8
84,1,2:06.0,O. Casspi misses free throw 2 of 2,,19,8
85,1,2:05.0,Offensive rebound by D. Cousins,,19,8
86,1,2:01.0,D. Cousins makes 2-pt hook shot from 4 ft,,21,8
87,1,1:37.0,,J. Grant makes 2-pt layup from 1 ft (assist by L. Galloway),21,10
88,1,1:25.0,D. Cousins makes 2-pt jump shot from 15 ft (assist by R. Rondo),,23,10
89,1,1:13.0,,K. Porziņģis misses 3-pt jump shot from 27 ft,23,10
90,1,1:12.0,Defensive rebound by D. Cousins,,23,10
91,1,1:03.0,D. Cousins misses 3-pt jump shot from 24 ft,,23,10
92,1,1:02.0,,Defensive rebound by D. Williams,23,10
93,1,0:53.0,,K. O'Quinn misses 2-pt jump shot from 20 ft,23,10
94,1,0:52.0,Defensive rebound by R. Rondo,,23,10
95,1,0:47.0,Personal foul by D. Williams,,23,10
96,1,0:42.0,K. Koufos makes 2-pt hook shot from 3 ft (assist by M. Belinelli),,25,10
97,1,0:30.0,,Shooting foul by O. Casspi (drawn by D. Williams),25,10
98,1,0:30.0,,D. Williams makes free throw 1 of 2,25,11
99,1,0:30.0,,D. Williams makes free throw 2 of 2,25,12
100,1,0:07.0,M. Belinelli makes 3-pt jump shot from 23 ft (assist by R. Rondo),,28,12
101,1,0:02.0,,D. Williams misses 3-pt jump shot from 25 ft,28,12
102,1,0:00.0,Defensive rebound by D. Cousins,,28,12
103,2,12:00.0,,Violation by Team (jump ball),28,12
104,2,11:44.0,,L. Galloway makes 2-pt jump shot from 18 ft (assist by L. Amundson),28,14
105,2,11:21.0,Turnover by O. Casspi (bad pass; steal by L. Galloway),,28,14
106,2,11:19.0,,Personal foul by M. Belinelli,28,14
107,2,11:10.0,,D. Williams makes 2-pt jump shot from 15 ft (assist by L. Amundson),28,16
108,2,10:53.0,Personal foul by L. Amundson,,28,16
109,2,10:40.0,O. Casspi makes 2-pt hook shot from 4 ft (assist by D. Collison),,30,16
110,2,10:22.0,,Turnover by L. Galloway (bad pass; steal by D. Collison),30,16
111,2,10:14.0,R. Gay makes 2-pt dunk at rim (assist by D. Collison),,32,16
112,2,9:57.0,,L. Amundson misses 2-pt hook shot from 6 ft,32,16
113,2,9:56.0,,Offensive rebound by K. O'Quinn,32,16
114,2,9:52.0,,Shooting foul by R. Gay (drawn by K. O'Quinn),32,16
115,2,9:52.0,,K. O'Quinn makes free throw 1 of 2,32,17
116,2,9:52.0,,K. O'Quinn makes free throw 2 of 2,32,18
117,2,9:38.0,D. Collison misses 2-pt jump shot from 19 ft,,32,18
118,2,9:37.0,,Defensive rebound by D. Williams,32,18
119,2,9:30.0,,D. Williams makes 2-pt layup from 1 ft,32,20
120,2,9:14.0,R. Gay misses 2-pt layup at rim,,32,20
121,2,9:13.0,,Defensive rebound by K. O'Quinn,32,20
122,2,9:09.0,,D. Williams makes 2-pt layup at rim,32,22
123,2,9:09.0,,Shooting foul by K. Koufos (drawn by D. Williams),32,22
124,2,9:09.0,,D. Williams makes free throw 1 of 1,32,23
125,2,8:50.0,R. Gay misses 3-pt jump shot from 22 ft,,32,23
126,2,8:48.0,Offensive rebound by O. Casspi,,32,23
127,2,8:48.0,O. Casspi makes 2-pt layup at rim,,34,23
128,2,8:33.0,,D. Williams misses 2-pt jump shot from 14 ft,34,23
129,2,8:32.0,,Offensive rebound by K. O'Quinn,34,23
130,2,8:30.0,,K. O'Quinn misses 2-pt layup from 2 ft,34,23
131,2,8:29.0,Defensive rebound by K. Koufos,,34,23
132,2,8:21.0,Shooting foul by L. Galloway (drawn by D. Collison),,34,23
133,2,8:21.0,Official timeout,,34,23
134,2,8:21.0,,R. Lopez enters the game for L. Galloway,34,23
135,2,8:21.0,,J. Calderón enters the game for K. O'Quinn,34,23
136,2,8:21.0,D. Collison makes free throw 1 of 2,,35,23
137,2,8:21.0,D. Collison makes free throw 2 of 2,,36,23
138,2,8:06.0,,J. Grant misses 2-pt layup from 2 ft,36,23
139,2,8:05.0,,Offensive rebound by L. Amundson,36,23
140,2,8:00.0,,J. Grant misses 3-pt jump shot from 23 ft,36,23
141,2,7:59.0,Defensive rebound by O. Casspi,,36,23
142,2,7:53.0,M. Belinelli misses 3-pt jump shot from 25 ft,,36,23
143,2,7:52.0,Offensive rebound by Team,,36,23
144,2,7:44.0,R. Gay makes 2-pt jump shot from 17 ft,,38,23
145,2,7:23.0,,Turnover by R. Lopez (bad pass; steal by O. Casspi),38,23
146,2,7:18.0,Shooting foul by D. Williams (drawn by O. Casspi),,38,23
147,2,7:18.0,O. Casspi misses free throw 1 of 2,,38,23
148,2,7:18.0,Offensive rebound by Team,,38,23
149,2,7:18.0,,K. Porziņģis enters the game for L. Amundson,38,23
150,2,7:18.0,,A. Afflalo enters the game for D. Williams,38,23
151,2,7:18.0,O. Casspi makes free throw 2 of 2,,39,23
152,2,7:07.0,,A. Afflalo makes 2-pt jump shot from 15 ft,39,25
153,2,7:07.0,,Shooting foul by O. Casspi (drawn by A. Afflalo),39,25
154,2,7:07.0,,A. Afflalo makes free throw 1 of 1,39,26
155,2,6:55.0,O. Casspi misses 3-pt jump shot from 25 ft,,39,26
156,2,6:54.0,,Defensive rebound by J. Grant,39,26
157,2,6:37.0,,J. Grant makes 2-pt layup from 1 ft (assist by K. Porziņģis),39,28
158,2,6:22.0,Turnover by R. Gay (bad pass; steal by R. Lopez),,39,28
159,2,6:02.0,,J. Grant makes 3-pt jump shot from 23 ft,39,31
160,2,5:58.0,Sacramento full timeout,,39,31
161,2,5:58.0,Q. Acy enters the game for O. Casspi,,39,31
162,2,5:58.0,D. Cousins enters the game for K. Koufos,,39,31
163,2,5:47.0,Def 3 sec tech foul by K. Porziņģis,,39,31
164,2,5:47.0,M. Belinelli makes technical free throw,,40,31
165,2,5:36.0,Q. Acy misses 2-pt jump shot from 19 ft,,40,31
166,2,5:35.0,,Defensive rebound by R. Lopez,40,31
167,2,5:22.0,,R. Lopez misses 2-pt hook shot from 3 ft,40,31
168,2,5:21.0,Defensive rebound by D. Cousins,,40,31
169,2,5:07.0,R. Gay misses 2-pt layup from 1 ft,,40,31
170,2,5:06.0,Offensive rebound by R. Gay,,40,31
171,2,5:05.0,R. Gay makes 2-pt dunk at rim,,42,31
172,2,4:47.0,,K. Porziņģis makes 2-pt jump shot from 12 ft,42,33
173,2,4:43.0,Turnover by Q. Acy (bad pass; steal by J. Grant),,42,33
174,2,4:30.0,,R. Lopez misses 2-pt hook shot from 5 ft,42,33
175,2,4:29.0,Defensive rebound by D. Collison,,42,33
176,2,4:06.0,D. Collison makes 3-pt jump shot from 25 ft (assist by Q. Acy),,45,33
177,2,3:39.0,,A. Afflalo makes 3-pt jump shot from 24 ft (assist by J. Grant),45,36
178,2,3:26.0,M. Belinelli misses 2-pt jump shot from 20 ft,,45,36
179,2,3:25.0,,Defensive rebound by A. Afflalo,45,36
180,2,3:12.0,,K. Porziņģis misses 2-pt layup from 2 ft,45,36
181,2,3:11.0,,Offensive rebound by R. Lopez,45,36
182,2,3:10.0,,R. Lopez misses 2-pt layup from 2 ft (block by R. Gay),45,36
183,2,3:09.0,Defensive rebound by D. Collison,,45,36
184,2,3:03.0,D. Collison misses 2-pt layup from 1 ft (block by J. Grant),,45,36
185,2,3:02.0,,Defensive rebound by J. Calderón,45,36
186,2,3:00.0,,Offensive foul by R. Lopez (drawn by D. Cousins),45,36
187,2,3:00.0,,Turnover by R. Lopez (offensive foul),45,36
188,2,3:00.0,R. Rondo enters the game for M. Belinelli,,45,36
189,2,2:39.0,R. Gay misses 2-pt jump shot from 8 ft,,45,36
190,2,2:38.0,,Defensive rebound by K. Porziņģis,45,36
